frameNo,left,top,w,h,conf,lat,long,alt
584,3758,1261,76,48,0.0,23.055951,72.506035,133.912
585,3756,1265,77,46,0.0,23.055951,72.506035,133.912
586,3746,1268,78,44,0.0,23.055951,72.506035,133.912
587,3739,1270,78,42,0.0,23.055951,72.506035,133.912
588,3735,1271,77,41,0.0,23.055951,72.506035,133.912
589,3728,1273,78,39,0.0,23.055951,72.506035,133.913
593,3696,1273,78,38,0.0,23.055951,72.506035,133.913
594,3693,1274,76,38,0.0,23.055951,72.506035,133.913
595,3687,1276,75,37,0.0,23.055951,72.506035,133.921
596,3682,1277,73,37,0.0,23.055951,72.506035,133.921
600,3652,1285,77,35,0.0,23.055951,72.506035,133.921
601,3648,1284,78,35,0.0,23.055951,72.506035,133.923
602,3639,1284,79,35,0.0,23.055951,72.506035,133.923
603,3629,1284,78,35,0.0,23.055951,72.506035,133.923
604,3621,1284,77,35,0.0,23.055951,72.506035,133.923
605,3611,1285,77,36,0.0,23.055951,72.506035,133.923
606,3596,1283,82,37,0.0,23.055951,72.506035,133.923
651,3303,1298,46,28,0.0,23.055951,72.506035,133.943
652,3290,1298,49,28,0.0,23.055951,72.506035,133.943
653,3283,1299,52,28,0.0,23.055951,72.506035,133.943
654,3278,1299,49,28,0.0,23.055951,72.506035,133.943
655,3269,1302,49,28,0.0,23.055951,72.506034,133.944
656,3259,1302,51,28,0.0,23.055951,72.506034,133.944
657,3256,1303,50,27,0.0,23.055951,72.506034,133.944
658,3249,1302,47,27,0.0,23.055951,72.506034,133.944
659,3238,1301,48,27,0.0,23.055951,72.506034,133.944
660,3230,1302,48,27,0.0,23.055951,72.506034,133.944
661,3226,1303,46,26,0.0,23.055951,72.506034,133.945
662,3221,1303,43,26,0.0,23.055951,72.506034,133.945
663,3215,1305,43,26,0.0,23.055951,72.506034,133.945
664,3209,1306,44,26,0.0,23.055951,72.506034,133.945
665,3201,1306,43,27,0.0,23.055951,72.506034,133.945
666,3191,1308,42,28,0.0,23.055951,72.506034,133.945
675,3102,1310,74,36,0.0,23.055951,72.506034,133.947
676,3096,1312,76,36,0.0,23.05595,72.506034,133.947
677,3086,1312,79,37,0.0,23.05595,72.506034,133.947
678,3077,1313,82,38,0.0,23.05595,72.506034,133.947
679,3069,1313,83,39,0.0,23.055951,72.506034,133.95
680,3063,1313,83,39,0.0,23.055951,72.506034,133.95
