frameNo,left,top,w,h,conf,lat,long,alt
1365,112,959,79,40,0.0,23.055952,72.506035,133.065
1372,172,959,78,36,0.0,23.055952,72.506035,133.063
1373,184,962,71,33,0.0,23.055952,72.506035,133.063
1374,192,963,68,33,0.0,23.055951,72.506035,133.062
1375,201,964,66,32,0.0,23.055951,72.506035,133.062
1376,211,965,63,31,0.0,23.055951,72.506035,133.062
1377,218,966,61,30,0.0,23.055951,72.506035,133.062
1381,246,965,58,29,0.0,23.055952,72.506035,133.064
1382,252,964,58,28,0.0,23.055952,72.506035,133.064
1383,260,964,58,27,0.0,23.055952,72.506035,133.064
1384,269,964,60,27,0.0,23.055952,72.506035,133.064
1385,279,966,58,27,0.0,23.055952,72.506035,133.064
1386,286,967,56,26,0.0,23.055952,72.506035,133.069
1387,291,967,56,26,0.0,23.055952,72.506035,133.069
1388,293,964,61,29,0.0,23.055952,72.506035,133.069
1389,295,962,66,31,0.0,23.055952,72.506035,133.069
1390,308,962,62,30,0.0,23.055952,72.506035,133.069
1391,316,959,66,31,0.0,23.055952,72.506035,133.069
1392,320,958,67,32,0.0,23.055952,72.506035,133.076
1393,325,957,67,32,0.0,23.055952,72.506035,133.076
1394,335,955,65,33,0.0,23.055952,72.506035,133.076
1395,346,960,60,32,0.0,23.055952,72.506035,133.076
1396,354,958,59,32,0.0,23.055952,72.506035,133.076
1397,360,959,60,32,0.0,23.055952,72.506035,133.076
1398,367,960,60,31,0.0,23.055952,72.506035,133.077
1399,374,959,59,30,0.0,23.055952,72.506035,133.077
1400,381,960,59,30,0.0,23.055952,72.506035,133.077
1401,389,959,58,30,0.0,23.055952,72.506035,133.077
1402,393,961,58,30,0.0,23.055952,72.506035,133.077
1403,399,960,59,30,0.0,23.055952,72.506035,133.077
1404,405,962,61,29,0.0,23.055952,72.506035,133.082
1405,417,960,61,29,0.0,23.055952,72.506035,133.082
1406,424,960,56,29,0.0,23.055952,72.506035,133.082
1407,430,959,58,30,0.0,23.055952,72.506035,133.082
1408,434,957,60,31,0.0,23.055952,72.506035,133.082
1409,440,956,60,31,0.0,23.055952,72.506035,133.082
1410,444,955,60,32,0.0,23.055952,72.506035,133.087
1411,450,957,59,30,0.0,23.055952,72.506035,133.087
1412,460,957,57,30,0.0,23.055952,72.506035,133.087
1413,466,957,56,31,0.0,23.055952,72.506035,133.087
1414,471,958,54,31,0.0,23.055952,72.506035,133.087
1434,569,954,64,33,0.0,23.055952,72.506035,133.081
1435,573,955,67,34,0.0,23.055952,72.506035,133.081
1447,640,953,41,31,0.0,23.055951,72.506035,133.074
1452,665,959,51,28,0.0,23.055951,72.506035,133.076
1453,668,961,52,28,0.0,23.055951,72.506035,133.076
1454,673,962,52,27,0.0,23.055951,72.506035,133.076
1455,679,961,53,28,0.0,23.055951,72.506035,133.076
1456,686,960,56,27,0.0,23.055951,72.506035,133.076
1457,692,959,58,28,0.0,23.055951,72.506035,133.076
1458,699,958,59,28,0.0,23.055951,72.506035,133.075
1459,703,959,58,26,0.0,23.055951,72.506035,133.075
1460,710,959,58,26,0.0,23.055951,72.506035,133.075
1461,717,958,57,27,0.0,23.055951,72.506035,133.075
1462,722,958,58,27,0.0,23.055951,72.506035,133.075
1463,726,954,57,28,0.0,23.055951,72.506035,133.075
1464,730,952,62,30,0.0,23.055951,72.506035,133.072
1465,735,951,65,32,0.0,23.055951,72.506035,133.072
1466,740,951,67,33,0.0,23.055951,72.506035,133.072
1467,743,952,68,33,0.0,23.055951,72.506035,133.072
1468,748,953,68,32,0.0,23.055951,72.506035,133.072
1469,752,952,70,34,0.0,23.055951,72.506035,133.072
1470,757,953,71,33,0.0,23.055951,72.506035,133.073
1471,757,949,74,33,0.0,23.055951,72.506035,133.073
1472,762,947,74,33,0.0,23.055951,72.506035,133.073
1473,768,950,74,33,0.0,23.055951,72.506035,133.073
1474,774,950,74,33,0.0,23.055951,72.506035,133.073
1475,781,949,75,32,0.0,23.055951,72.506035,133.073
1476,791,948,74,32,0.0,23.055951,72.506035,133.078
1477,801,947,72,32,0.0,23.055951,72.506035,133.078
1478,806,946,73,32,0.0,23.055951,72.506035,133.078
1479,809,946,74,32,0.0,23.055951,72.506035,133.078
1480,814,943,78,32,0.0,23.055951,72.506035,133.078
1481,820,940,80,32,0.0,23.055951,72.506035,133.078
1482,828,941,81,31,0.0,23.055951,72.506035,133.083
1486,866,939,65,30,0.0,23.055951,72.506035,133.083
1487,871,938,66,31,0.0,23.055951,72.506035,133.083
1488,876,938,67,30,0.0,23.055951,72.506035,133.089
1489,883,937,68,31,0.0,23.055951,72.506035,133.089
1490,883,936,70,32,0.0,23.055951,72.506035,133.089
1491,884,935,75,32,0.0,23.055951,72.506035,133.089
1492,887,932,78,33,0.0,23.055951,72.506035,133.089
1493,894,930,79,33,0.0,23.055951,72.506035,133.089
1494,902,930,78,34,0.0,23.055951,72.506035,133.098
1495,910,929,79,34,0.0,23.055951,72.506035,133.098
1496,916,928,80,34,0.0,23.055951,72.506035,133.098
1497,922,928,81,34,0.0,23.055951,72.506035,133.098
1498,929,927,81,33,0.0,23.055951,72.506035,133.098
1499,942,927,79,33,0.0,23.055951,72.506035,133.098
1500,956,925,77,34,0.0,23.055951,72.506035,133.107
1501,965,924,75,34,0.0,23.055951,72.506035,133.107
1502,971,923,74,35,0.0,23.055951,72.506035,133.107
1503,977,923,73,35,0.0,23.055951,72.506035,133.107
1504,979,922,74,35,0.0,23.055951,72.506035,133.107
1505,982,920,75,36,0.0,23.055951,72.506035,133.107
1506,990,919,74,35,0.0,23.055951,72.506035,133.11
1507,996,916,74,35,0.0,23.055951,72.506035,133.11
1508,1001,914,74,35,0.0,23.055951,72.506035,133.11
1509,1004,912,75,35,0.0,23.055951,72.506035,133.11
1510,1012,910,78,34,0.0,23.055951,72.506035,133.11
1511,1018,909,80,34,0.0,23.055951,72.506035,133.11
1512,1026,907,81,34,0.0,23.055951,72.506035,133.116
1513,1031,904,78,34,0.0,23.055951,72.506035,133.116
1514,1035,903,76,34,0.0,23.055951,72.506035,133.116
1515,1039,904,76,34,0.0,23.055951,72.506035,133.116
1516,1044,903,76,34,0.0,23.055951,72.506035,133.116
1517,1049,903,76,34,0.0,23.055951,72.506035,133.116
1518,1055,903,77,35,0.0,23.055951,72.506035,133.118
1519,1064,903,78,34,0.0,23.055951,72.506035,133.118
1520,1070,902,78,35,0.0,23.055951,72.506035,133.118
1521,1074,901,78,34,0.0,23.055951,72.506035,133.118
1522,1082,900,77,34,0.0,23.055951,72.506035,133.118
1523,1090,899,76,33,0.0,23.055951,72.506035,133.118
1524,1096,897,75,33,0.0,23.055951,72.506035,133.122
1525,1099,897,74,34,0.0,23.055951,72.506035,133.122
1526,1103,895,75,35,0.0,23.055951,72.506035,133.122
1527,1112,897,75,34,0.0,23.055951,72.506035,133.122
1528,1124,895,75,34,0.0,23.055951,72.506035,133.122
1532,1155,890,76,35,0.0,23.055951,72.506035,133.125
1533,1159,888,77,36,0.0,23.055951,72.506035,133.125
1534,1162,887,78,36,0.0,23.055951,72.506035,133.125
1612,1430,618,37,60,0.0,23.055951,72.506035,133.078
1633,1453,513,26,52,0.0,23.055951,72.506034,133.053
1634,1454,506,26,53,0.0,23.055951,72.506034,133.053
1635,1453,501,26,54,0.0,23.055951,72.506034,133.053
1636,1452,496,26,53,0.0,23.055951,72.506034,133.053
1637,1452,489,26,54,0.0,23.055951,72.506034,133.053
1638,1451,482,27,55,0.0,23.055951,72.506034,133.048
1639,1452,476,26,56,0.0,23.055951,72.506034,133.048
1640,1450,468,28,59,0.0,23.055951,72.506034,133.048
1641,1450,464,27,58,0.0,23.055951,72.506034,133.048
1642,1450,458,27,59,0.0,23.055951,72.506034,133.048
1643,1449,452,28,60,0.0,23.055951,72.506034,133.048
1644,1446,446,30,62,0.0,23.055951,72.506034,133.04
1645,1444,441,31,62,0.0,23.055951,72.506034,133.04
1646,1443,435,32,62,0.0,23.055951,72.506034,133.04
1647,1443,427,31,62,0.0,23.055951,72.506034,133.04
1648,1443,420,30,60,0.0,23.055951,72.506034,133.04
1649,1443,412,30,62,0.0,23.055951,72.506034,133.04
1650,1442,404,29,64,0.0,23.055951,72.506034,133.035
1651,1439,397,31,64,0.0,23.055951,72.506034,133.035
1652,1438,394,31,62,0.0,23.055951,72.506034,133.035
1653,1437,389,31,63,0.0,23.055951,72.506034,133.035
1654,1436,379,31,66,0.0,23.055951,72.506034,133.035
1655,1433,372,31,61,0.0,23.055951,72.506034,133.035
1656,1432,371,31,61,0.0,23.055951,72.506034,133.032
1657,1432,364,30,60,0.0,23.055951,72.506034,133.032
1658,1432,357,29,60,0.0,23.055951,72.506034,133.032
1659,1432,350,28,61,0.0,23.055951,72.506034,133.032
1660,1430,344,28,61,0.0,23.055951,72.506034,133.032
1661,1429,338,28,61,0.0,23.055951,72.506034,133.032
1662,1427,332,29,63,0.0,23.055951,72.506034,133.022
1663,1427,324,29,66,0.0,23.055951,72.506034,133.022
1664,1425,319,29,65,0.0,23.055951,72.506034,133.022
1665,1423,312,28,64,0.0,23.055951,72.506034,133.022
1666,1421,305,29,63,0.0,23.055951,72.506034,133.022
1667,1419,296,29,65,0.0,23.055951,72.506034,133.022
1668,1418,291,30,64,0.0,23.055951,72.506034,133.018
1669,1417,286,30,64,0.0,23.055951,72.506034,133.018
1670,1414,276,31,63,0.0,23.055951,72.506034,133.018
1671,1412,269,31,62,0.0,23.055951,72.506034,133.018
1672,1410,264,31,62,0.0,23.055951,72.506034,133.018
1673,1408,258,32,62,0.0,23.055951,72.506034,133.018
1674,1405,252,33,61,0.0,23.055951,72.506034,133.007
1675,1405,246,31,61,0.0,23.055951,72.506034,133.007
1676,1405,241,31,60,0.0,23.055951,72.506034,133.007
1677,1404,232,30,60,0.0,23.055951,72.506034,133.007
1678,1401,225,31,60,0.0,23.055951,72.506034,133.007
1679,1400,216,31,61,0.0,23.055951,72.506034,133.007
1680,1398,209,31,62,0.0,23.055951,72.506035,132.991
1681,1397,201,31,64,0.0,23.055951,72.506035,132.991
1682,1396,194,30,65,0.0,23.055951,72.506035,132.991
1683,1394,188,31,66,0.0,23.055951,72.506035,132.991
1684,1389,180,32,61,0.0,23.055951,72.506035,132.991
1685,1390,175,31,59,0.0,23.055951,72.506035,132.991
1686,1389,165,32,60,0.0,23.055951,72.506035,132.985
1687,1386,160,31,59,0.0,23.055951,72.506035,132.985
1688,1383,156,33,58,0.0,23.055951,72.506035,132.985
1689,1383,150,33,58,0.0,23.055951,72.506035,132.985
1690,1380,146,34,56,0.0,23.055951,72.506035,132.985
1691,1379,133,33,58,0.0,23.055951,72.506035,132.985
1692,1378,125,33,58,0.0,23.055951,72.506035,132.974
1693,1375,120,33,58,0.0,23.055951,72.506035,132.974
1694,1372,113,33,59,0.0,23.055951,72.506035,132.974
1695,1370,102,33,61,0.0,23.055951,72.506035,132.974
1696,1366,94,35,61,0.0,23.055951,72.506035,132.974
1697,1363,85,35,59,0.0,23.055951,72.506035,132.974
1698,1361,79,36,59,0.0,23.055951,72.506035,132.965
