frameNo,left,top,w,h,conf,lat,long,alt
146,2266,623,72,40,0.0,23.055951,72.506036,133.804
147,2266,623,72,40,0.0,23.055951,72.506036,133.804
148,2266,623,73,40,0.0,23.055951,72.506036,133.804
149,2265,624,73,40,0.0,23.055951,72.506036,133.804
150,2266,623,72,40,0.0,23.055951,72.506036,133.804
151,2265,624,72,40,0.0,23.055951,72.506036,133.819
152,2266,624,71,40,0.0,23.055951,72.506036,133.819
153,2266,623,73,41,0.0,23.055951,72.506036,133.819
154,2266,623,73,41,0.0,23.055951,72.506036,133.819
155,2265,623,73,41,0.0,23.055951,72.506036,133.819
156,2265,623,73,41,0.0,23.055951,72.506036,133.819
157,2265,623,72,41,0.0,23.05595,72.506036,133.825
158,2265,624,72,40,0.0,23.05595,72.506036,133.825
159,2265,624,72,40,0.0,23.05595,72.506036,133.825
160,2265,623,73,41,0.0,23.05595,72.506036,133.825
161,2265,623,72,41,0.0,23.05595,72.506036,133.825
162,2266,623,72,41,0.0,23.05595,72.506036,133.825
163,2266,623,72,41,0.0,23.05595,72.506036,133.834
164,2266,623,72,41,0.0,23.05595,72.506036,133.834
165,2266,622,72,42,0.0,23.05595,72.506036,133.834
166,2267,623,72,41,0.0,23.05595,72.506036,133.834
167,2267,623,72,41,0.0,23.05595,72.506036,133.834
168,2266,623,72,41,0.0,23.05595,72.506036,133.834
169,2266,623,72,41,0.0,23.05595,72.506036,133.844
170,2267,622,72,42,0.0,23.05595,72.506036,133.844
171,2267,622,72,42,0.0,23.05595,72.506036,133.844
172,2267,621,73,43,0.0,23.05595,72.506036,133.844
173,2267,622,72,43,0.0,23.05595,72.506036,133.844
174,2267,623,72,42,0.0,23.05595,72.506036,133.844
175,2266,623,72,42,0.0,23.05595,72.506036,133.849
179,2267,636,67,36,0.0,23.05595,72.506036,133.849
180,2268,637,65,35,0.0,23.05595,72.506036,133.849
181,2268,632,65,35,0.0,23.05595,72.506036,133.854
182,2268,635,64,35,0.0,23.05595,72.506036,133.854
183,2269,638,63,34,0.0,23.05595,72.506036,133.854
184,2269,639,63,33,0.0,23.05595,72.506036,133.854
185,2269,639,63,33,0.0,23.05595,72.506036,133.854
186,2269,639,63,32,0.0,23.05595,72.506036,133.854
187,2269,639,63,32,0.0,23.05595,72.506036,133.864
188,2269,638,63,33,0.0,23.05595,72.506036,133.864
189,2269,639,63,32,0.0,23.05595,72.506036,133.864
190,2269,639,63,32,0.0,23.05595,72.506037,133.864
191,2268,633,64,33,0.0,23.05595,72.506037,133.864
195,2267,628,67,36,0.0,23.05595,72.506036,133.867
203,2268,631,64,33,0.0,23.05595,72.506036,133.869
204,2268,628,65,35,0.0,23.05595,72.506036,133.869
205,2269,627,65,35,0.0,23.05595,72.506036,133.874
206,2269,626,66,36,0.0,23.05595,72.506036,133.874
207,2269,625,66,37,0.0,23.05595,72.506036,133.874
208,2269,624,67,37,0.0,23.05595,72.506036,133.874
235,2270,636,53,30,0.0,23.05595,72.506036,133.911
236,2270,636,53,30,0.0,23.05595,72.506036,133.911
237,2270,637,52,29,0.0,23.05595,72.506036,133.911
238,2269,637,53,28,0.0,23.05595,72.506036,133.911
239,2269,637,52,28,0.0,23.05595,72.506036,133.911
240,2269,637,51,28,0.0,23.05595,72.506036,133.911
241,2269,637,52,28,0.0,23.05595,72.506036,133.918
332,2264,623,71,41,0.0,23.055951,72.506036,133.955
336,2264,623,71,41,0.0,23.055951,72.506036,133.955
