frameNo,left,top,w,h,conf,lat,long,alt
238,2248,1299,34,49,0.0,23.055987,72.506014,133.006
259,2284,1425,29,36,0.0,23.055987,72.506014,133.025
260,2286,1430,28,36,0.0,23.055987,72.506014,133.025
264,2294,1458,28,39,0.0,23.055987,72.506014,133.034
265,2296,1464,28,39,0.0,23.055987,72.506014,133.034
266,2297,1469,28,38,0.0,23.055987,72.506014,133.034
267,2296,1474,28,39,0.0,23.055987,72.506014,133.034
268,2300,1483,28,40,0.0,23.055987,72.506014,133.034
269,2303,1489,28,40,0.0,23.055987,72.506014,133.034
270,2303,1493,30,43,0.0,23.055987,72.506014,133.034
282,2322,1575,31,46,0.0,23.055987,72.506014,133.031
283,2324,1582,30,44,0.0,23.055987,72.506014,133.031
284,2326,1589,29,43,0.0,23.055987,72.506014,133.031
285,2327,1595,29,46,0.0,23.055987,72.506014,133.038
286,2330,1607,28,44,0.0,23.055987,72.506014,133.038
287,2332,1614,29,44,0.0,23.055987,72.506014,133.038
288,2333,1622,28,46,0.0,23.055987,72.506014,133.038
292,2340,1652,28,45,0.0,23.055987,72.506014,133.033
293,2341,1656,30,44,0.0,23.055987,72.506014,133.033
294,2343,1664,30,44,0.0,23.055987,72.506014,133.033
295,2344,1672,30,44,0.0,23.055987,72.506014,133.033
296,2345,1676,30,43,0.0,23.055987,72.506014,133.033
300,2353,1709,31,41,0.0,23.055987,72.506014,133.032
301,2354,1715,32,42,0.0,23.055987,72.506014,133.032
302,2359,1727,32,45,0.0,23.055987,72.506014,133.032
303,2361,1733,32,48,0.0,23.055987,72.506014,133.026
304,2362,1738,32,49,0.0,23.055987,72.506014,133.026
305,2366,1749,32,48,0.0,23.055987,72.506014,133.026
306,2367,1758,32,46,0.0,23.055987,72.506014,133.026
307,2370,1765,31,46,0.0,23.055987,72.506014,133.026
323,2405,1884,36,49,0.0,23.055987,72.506014,133.021
324,2409,1890,33,45,0.0,23.055987,72.506014,133.021
325,2412,1897,32,43,0.0,23.055987,72.506014,133.021
326,2414,1903,33,46,0.0,23.055987,72.506014,133.021
327,2415,1910,33,47,0.0,23.055987,72.506014,133.014
331,2430,1944,33,47,0.0,23.055987,72.506014,133.014
332,2431,1951,33,45,0.0,23.055987,72.506014,133.014
333,2435,1957,32,44,0.0,23.055987,72.506014,133.013
334,2437,1968,33,46,0.0,23.055987,72.506014,133.013
335,2440,1975,34,49,0.0,23.055987,72.506014,133.013
336,2442,1984,34,48,0.0,23.055987,72.506014,133.013
337,2447,1992,33,47,0.0,23.055987,72.506014,133.013
338,2447,1999,35,45,0.0,23.055987,72.506014,133.013
339,2451,2006,34,44,0.0,23.055987,72.506014,133.005
344,2467,2050,34,44,0.0,23.055987,72.506014,133.005
345,2470,2057,35,45,0.0,23.055987,72.506014,133.003
346,2475,2064,35,46,0.0,23.055987,72.506014,133.003
347,2478,2072,34,46,0.0,23.055987,72.506014,133.003
348,2480,2081,34,44,0.0,23.055987,72.506014,133.003
349,2483,2090,34,43,0.0,23.055987,72.506014,133.003
350,2486,2096,34,43,0.0,23.055987,72.506014,133.003
351,2490,2106,33,45,0.0,23.055987,72.506014,132.991
352,2492,2111,33,44,0.0,23.055987,72.506014,132.991
353,2492,2116,33,42,0.0,23.055987,72.506014,132.991
