frameNo,left,top,w,h,conf,lat,long,alt
451,1456,904,173,86,0.0,23.055987,72.506014,132.832
472,1632,897,183,85,0.0,23.055987,72.506014,132.819
476,1666,894,187,90,0.0,23.055987,72.506014,132.819
477,1675,892,186,91,0.0,23.055987,72.506014,132.811
478,1685,893,184,91,0.0,23.055987,72.506014,132.811
479,1695,893,185,91,0.0,23.055987,72.506014,132.811
480,1704,894,185,90,0.0,23.055987,72.506014,132.811
481,1712,893,186,91,0.0,23.055987,72.506014,132.811
482,1721,892,185,92,0.0,23.055987,72.506014,132.811
483,1733,891,183,92,0.0,23.055987,72.506014,132.812
507,1973,890,182,88,0.0,23.055987,72.506014,132.834
508,1984,890,184,88,0.0,23.055987,72.506014,132.834
509,1995,890,184,88,0.0,23.055987,72.506014,132.834
510,2003,890,184,88,0.0,23.055987,72.506014,132.834
511,2014,891,184,88,0.0,23.055987,72.506014,132.834
512,2025,892,185,86,0.0,23.055987,72.506014,132.834
513,2035,893,185,85,0.0,23.055987,72.506014,132.843
517,2075,894,185,85,0.0,23.055987,72.506014,132.843
518,2086,895,185,84,0.0,23.055987,72.506014,132.843
522,2132,897,185,82,0.0,23.055987,72.506014,132.848
523,2141,899,187,82,0.0,23.055987,72.506014,132.848
524,2150,899,188,84,0.0,23.055987,72.506014,132.848
540,2334,903,192,89,0.0,23.055987,72.506014,132.864
