frameNo,left,top,w,h,conf,lat,long,alt
8,2282,395,69,39,0.0,23.055986,72.506015,133.064
9,2283,393,70,39,0.0,23.055986,72.506015,133.07
10,2284,393,70,39,0.0,23.055986,72.506015,133.07
11,2286,392,70,39,0.0,23.055986,72.506015,133.07
12,2287,391,71,39,0.0,23.055986,72.506015,133.07
13,2287,391,70,39,0.0,23.055986,72.506015,133.07
14,2288,392,71,39,0.0,23.055986,72.506015,133.07
15,2288,392,71,39,0.0,23.055986,72.506015,133.068
16,2287,392,73,39,0.0,23.055986,72.506015,133.068
17,2288,392,73,40,0.0,23.055986,72.506015,133.068
18,2286,393,75,41,0.0,23.055986,72.506015,133.068
19,2286,393,76,41,0.0,23.055986,72.506015,133.068
20,2285,393,76,42,0.0,23.055986,72.506015,133.068
158,2288,394,69,39,0.0,23.055987,72.506015,133.075
159,2289,393,69,39,0.0,23.055987,72.506015,133.062
160,2289,393,69,38,0.0,23.055987,72.506015,133.062
161,2290,392,69,39,0.0,23.055987,72.506015,133.062
162,2290,391,70,40,0.0,23.055987,72.506015,133.062
163,2292,391,69,39,0.0,23.055987,72.506015,133.062
164,2292,391,69,39,0.0,23.055987,72.506015,133.062
165,2292,390,69,40,0.0,23.055987,72.506015,133.046
166,2293,391,69,39,0.0,23.055987,72.506015,133.046
167,2294,390,69,39,0.0,23.055987,72.506015,133.046
168,2294,391,69,38,0.0,23.055987,72.506015,133.046
169,2294,391,69,38,0.0,23.055987,72.506015,133.046
209,2291,392,70,38,0.0,23.055987,72.506015,132.977
210,2291,392,69,38,0.0,23.055987,72.506015,132.977
211,2290,392,69,39,0.0,23.055987,72.506015,132.977
212,2289,393,69,38,0.0,23.055987,72.506015,132.977
213,2290,393,68,38,0.0,23.055987,72.506015,132.983
214,2289,393,68,38,0.0,23.055987,72.506015,132.983
215,2289,393,68,38,0.0,23.055987,72.506015,132.983
216,2288,394,69,38,0.0,23.055987,72.506015,132.983
217,2288,394,68,38,0.0,23.055987,72.506015,132.983
218,2287,394,69,39,0.0,23.055987,72.506015,132.983
261,2265,421,72,42,0.0,23.055987,72.506014,133.034
262,2265,421,72,41,0.0,23.055987,72.506014,133.034
263,2265,421,72,42,0.0,23.055987,72.506014,133.034
264,2266,421,71,42,0.0,23.055987,72.506014,133.034
265,2265,422,71,41,0.0,23.055987,72.506014,133.034
266,2265,423,71,41,0.0,23.055987,72.506014,133.034
267,2264,422,73,42,0.0,23.055987,72.506014,133.034
268,2264,422,73,42,0.0,23.055987,72.506014,133.034
269,2264,422,73,42,0.0,23.055987,72.506014,133.034
270,2265,422,73,42,0.0,23.055987,72.506014,133.034
271,2265,421,72,42,0.0,23.055987,72.506014,133.034
272,2265,422,72,41,0.0,23.055987,72.506014,133.034
273,2265,421,72,41,0.0,23.055987,72.506014,133.03
274,2266,420,72,42,0.0,23.055987,72.506014,133.03
275,2267,420,72,42,0.0,23.055987,72.506014,133.03
279,2266,421,72,41,0.0,23.055987,72.506014,133.031
280,2266,421,72,42,0.0,23.055987,72.506014,133.031
281,2266,422,70,41,0.0,23.055987,72.506014,133.031
282,2267,422,70,41,0.0,23.055987,72.506014,133.031
283,2266,422,71,42,0.0,23.055987,72.506014,133.031
284,2265,422,71,43,0.0,23.055987,72.506014,133.031
285,2265,422,71,43,0.0,23.055987,72.506014,133.038
286,2265,422,71,42,0.0,23.055987,72.506014,133.038
287,2265,422,70,42,0.0,23.055987,72.506014,133.038
288,2265,422,70,42,0.0,23.055987,72.506014,133.038
289,2265,423,70,42,0.0,23.055987,72.506014,133.038
290,2265,422,70,43,0.0,23.055987,72.506014,133.038
291,2266,422,69,43,0.0,23.055987,72.506014,133.033
292,2266,422,70,42,0.0,23.055987,72.506014,133.033
293,2267,421,69,42,0.0,23.055987,72.506014,133.033
294,2268,421,69,42,0.0,23.055987,72.506014,133.033
