frameNo,left,top,w,h,conf,lat,long,alt
1,2539,1556,56,28,0.0,23.05595,72.506036,133.565
2,2541,1557,54,28,0.0,23.05595,72.506036,133.565
7,2542,1555,55,28,0.0,23.05595,72.506036,133.573
8,2541,1554,57,29,0.0,23.05595,72.506036,133.573
12,2565,1547,37,25,0.0,23.05595,72.506036,133.573
22,2539,1533,51,37,0.0,23.05595,72.506036,133.593
27,2557,1534,31,29,0.0,23.055951,72.506036,133.607
34,2554,1528,37,32,0.0,23.05595,72.506036,133.618
35,2555,1528,36,32,0.0,23.05595,72.506036,133.618
36,2556,1528,34,32,0.0,23.05595,72.506036,133.618
37,2556,1528,34,31,0.0,23.05595,72.506036,133.628
76,2529,1531,37,26,0.0,23.05595,72.506036,133.677
77,2528,1531,37,26,0.0,23.05595,72.506036,133.677
78,2526,1531,37,26,0.0,23.05595,72.506036,133.677
79,2525,1530,39,27,0.0,23.05595,72.506036,133.687
80,2524,1530,40,27,0.0,23.05595,72.506036,133.687
81,2524,1529,41,27,0.0,23.05595,72.506036,133.687
91,2552,1519,37,27,0.0,23.05595,72.506036,133.714
92,2551,1518,38,28,0.0,23.05595,72.506036,133.714
93,2550,1518,37,27,0.0,23.05595,72.506036,133.714
94,2548,1519,40,26,0.0,23.05595,72.506036,133.714
95,2546,1519,42,26,0.0,23.05595,72.506036,133.714
96,2544,1519,43,26,0.0,23.05595,72.506036,133.714
97,2542,1519,45,28,0.0,23.05595,72.506036,133.723
98,2541,1519,46,28,0.0,23.05595,72.506036,133.723
99,2539,1519,47,28,0.0,23.05595,72.506036,133.723
100,2537,1517,49,29,0.0,23.05595,72.506036,133.723
125,2541,1508,43,27,0.0,23.05595,72.506036,133.772
126,2540,1506,44,28,0.0,23.05595,72.506036,133.772
168,2532,1474,59,34,0.0,23.05595,72.506036,133.834
169,2531,1471,62,36,0.0,23.05595,72.506036,133.844
170,2532,1471,64,36,0.0,23.05595,72.506036,133.844
171,2532,1470,65,36,0.0,23.05595,72.506036,133.844
172,2533,1471,65,35,0.0,23.05595,72.506036,133.844
173,2531,1471,66,35,0.0,23.05595,72.506036,133.844
174,2531,1472,65,34,0.0,23.05595,72.506036,133.844
175,2533,1472,64,33,0.0,23.05595,72.506036,133.849
187,2539,1456,48,28,0.0,23.05595,72.506036,133.864
191,2537,1452,51,28,0.0,23.05595,72.506037,133.864
192,2530,1453,56,30,0.0,23.05595,72.506037,133.864
193,2525,1451,60,32,0.0,23.05595,72.506036,133.867
204,2523,1431,59,31,0.0,23.05595,72.506036,133.869
205,2522,1430,62,32,0.0,23.05595,72.506036,133.874
206,2523,1428,64,33,0.0,23.05595,72.506036,133.874
207,2522,1427,65,33,0.0,23.05595,72.506036,133.874
222,2511,1402,69,37,0.0,23.05595,72.506036,133.882
223,2511,1401,70,38,0.0,23.05595,72.506036,133.891
229,2505,1391,76,36,0.0,23.05595,72.506036,133.904
230,2507,1389,74,37,0.0,23.05595,72.506036,133.904
231,2504,1389,77,37,0.0,23.05595,72.506036,133.904
232,2503,1388,76,37,0.0,23.05595,72.506036,133.904
233,2506,1386,74,37,0.0,23.05595,72.506036,133.904
234,2505,1386,76,37,0.0,23.05595,72.506036,133.904
235,2505,1386,76,37,0.0,23.05595,72.506036,133.911
236,2504,1384,76,38,0.0,23.05595,72.506036,133.911
237,2502,1383,75,38,0.0,23.05595,72.506036,133.911
241,2501,1378,75,36,0.0,23.05595,72.506036,133.918
242,2503,1374,76,37,0.0,23.05595,72.506036,133.918
243,2505,1371,75,36,0.0,23.05595,72.506036,133.918
244,2507,1366,74,36,0.0,23.05595,72.506036,133.918
245,2506,1364,74,36,0.0,23.05595,72.506036,133.918
246,2506,1363,74,37,0.0,23.05595,72.506036,133.918
247,2506,1362,73,37,0.0,23.055951,72.506036,133.927
253,2501,1360,68,35,0.0,23.055951,72.506036,133.944
254,2501,1360,69,35,0.0,23.055951,72.506036,133.944
255,2502,1359,70,35,0.0,23.055951,72.506036,133.944
256,2502,1359,70,36,0.0,23.055951,72.506036,133.944
257,2499,1355,72,37,0.0,23.055951,72.506036,133.944
258,2497,1350,72,39,0.0,23.055951,72.506036,133.944
259,2494,1346,73,41,0.0,23.055951,72.506036,133.951
260,2493,1344,73,41,0.0,23.055951,72.506036,133.951
261,2492,1342,72,42,0.0,23.055951,72.506036,133.951
262,2491,1341,73,42,0.0,23.055951,72.506036,133.951
263,2488,1340,73,42,0.0,23.055951,72.506036,133.951
264,2487,1340,72,41,0.0,23.055951,72.506036,133.951
265,2486,1340,72,39,0.0,23.055951,72.506036,133.954
266,2489,1339,70,39,0.0,23.055951,72.506036,133.954
267,2490,1339,69,38,0.0,23.055951,72.506036,133.954
268,2490,1337,68,38,0.0,23.055951,72.506036,133.954
269,2488,1335,69,36,0.0,23.055951,72.506036,133.954
270,2487,1333,70,36,0.0,23.055951,72.506036,133.954
271,2486,1332,70,36,0.0,23.055951,72.506036,133.959
272,2486,1331,70,37,0.0,23.055951,72.506036,133.959
273,2487,1328,70,37,0.0,23.055951,72.506036,133.959
274,2487,1326,70,37,0.0,23.055951,72.506036,133.959
275,2484,1325,72,38,0.0,23.055951,72.506036,133.959
276,2481,1324,74,39,0.0,23.055951,72.506036,133.959
277,2479,1323,76,38,0.0,23.055951,72.506036,133.962
280,2503,1325,40,28,0.0,23.055951,72.506036,133.962
281,2503,1325,38,29,0.0,23.055951,72.506036,133.962
282,2502,1324,37,29,0.0,23.055951,72.506036,133.962
283,2501,1322,38,29,0.0,23.055951,72.506036,133.963
284,2501,1320,38,29,0.0,23.055951,72.506036,133.963
285,2499,1317,39,31,0.0,23.055951,72.506036,133.963
286,2498,1314,39,33,0.0,23.055951,72.506036,133.963
287,2497,1312,40,34,0.0,23.055951,72.506036,133.963
288,2489,1310,45,36,0.0,23.055951,72.506036,133.963
289,2494,1306,43,37,0.0,23.055951,72.506036,133.963
294,2484,1301,61,39,0.0,23.055951,72.506036,133.963
303,2479,1295,65,34,0.0,23.055951,72.506036,133.967
304,2481,1294,57,33,0.0,23.055951,72.506036,133.967
305,2483,1291,52,33,0.0,23.055951,72.506036,133.967
306,2485,1289,56,35,0.0,23.055951,72.506036,133.967
307,2488,1286,53,35,0.0,23.055951,72.506036,133.965
312,2495,1280,43,30,0.0,23.055951,72.506036,133.965
319,2490,1278,50,28,0.0,23.055951,72.506036,133.962
320,2490,1274,48,27,0.0,23.055951,72.506036,133.962
321,2491,1272,47,26,0.0,23.055951,72.506036,133.962
322,2490,1272,46,26,0.0,23.055951,72.506036,133.962
323,2492,1270,45,28,0.0,23.055951,72.506036,133.962
324,2493,1269,45,27,0.0,23.055951,72.506036,133.962
329,2495,1263,45,27,0.0,23.055951,72.506036,133.959
334,2492,1258,44,29,0.0,23.055951,72.506036,133.955
341,2496,1250,43,26,0.0,23.055951,72.506036,133.955
342,2495,1248,43,27,0.0,23.055951,72.506036,133.955
