frameNo,left,top,w,h,conf,lat,long,alt
1,2539.0,1556.0,56.0,28.0,0.0,23.05595,72.506036,133.565
2,2541.0,1557.0,54.0,28.0,0.0,23.05595,72.506036,133.565
3,2541.2,1556.6,54.2,28.0,0.0,23.05595,72.506036,133.5666
4,2541.4,1556.2,54.4,28.0,0.0,23.05595,72.506036,133.5682
5,2541.6,1555.8,54.6,28.0,0.0,23.05595,72.506036,133.56980000000001
6,2541.8,1555.4,54.8,28.0,0.0,23.05595,72.506036,133.5714
7,2542.0,1555.0,55.0,28.0,0.0,23.05595,72.506036,133.573
8,2541.0,1554.0,57.0,29.0,0.0,23.05595,72.506036,133.573
9,2547.0,1552.25,52.0,28.0,0.0,23.05595,72.506036,133.573
10,2553.0,1550.5,47.0,27.0,0.0,23.05595,72.506036,133.573
11,2559.0,1548.75,42.0,26.0,0.0,23.05595,72.506036,133.573
12,2565.0,1547.0,37.0,25.0,0.0,23.05595,72.506036,133.573
13,2562.4,1545.6,38.4,26.2,0.0,23.05595,72.506036,133.57500000000002
14,2559.8,1544.2,39.8,27.4,0.0,23.05595,72.506036,133.577
15,2557.2,1542.8,41.2,28.6,0.0,23.05595,72.506036,133.579
16,2554.6,1541.4,42.6,29.8,0.0,23.05595,72.506036,133.581
17,2552.0,1540.0,44.0,31.0,0.0,23.05595,72.506036,133.583
18,2549.4,1538.6,45.4,32.2,0.0,23.05595,72.506036,133.585
19,2546.8,1537.2,46.8,33.4,0.0,23.05595,72.506036,133.587
20,2544.2,1535.8,48.2,34.6,0.0,23.05595,72.506036,133.589
21,2541.6,1534.4,49.6,35.8,0.0,23.05595,72.506036,133.59099999999998
22,2539.0,1533.0,51.0,37.0,0.0,23.05595,72.506036,133.593
23,2542.6,1533.2,47.0,35.4,0.0,23.055950199999998,72.506036,133.5958
24,2546.2,1533.4,43.0,33.8,0.0,23.0559504,72.506036,133.5986
25,2549.8,1533.6,39.0,32.2,0.0,23.0559506,72.506036,133.60139999999998
26,2553.4,1533.8,35.0,30.6,0.0,23.0559508,72.506036,133.6042
27,2557.0,1534.0,31.0,29.0,0.0,23.055951,72.506036,133.607
28,2556.5714285714284,1533.142857142857,31.857142857142858,29.428571428571427,0.0,23.055950857142857,72.506036,133.60857142857142
29,2556.1428571428573,1532.2857142857142,32.714285714285715,29.857142857142858,0.0,23.055950714285714,72.506036,133.61014285714285
30,2555.714285714286,1531.4285714285713,33.57142857142857,30.285714285714285,0.0,23.05595057142857,72.506036,133.61171428571427
31,2555.285714285714,1530.5714285714287,34.42857142857143,30.714285714285715,0.0,23.05595042857143,72.506036,133.61328571428572
32,2554.8571428571427,1529.7142857142858,35.285714285714285,31.142857142857142,0.0,23.055950285714285,72.506036,133.61485714285715
33,2554.4285714285716,1528.857142857143,36.14285714285714,31.57142857142857,0.0,23.055950142857142,72.506036,133.61642857142857
34,2554.0,1528.0,37.0,32.0,0.0,23.05595,72.506036,133.618
35,2555.0,1528.0,36.0,32.0,0.0,23.05595,72.506036,133.618
36,2556.0,1528.0,34.0,32.0,0.0,23.05595,72.506036,133.618
37,2556.0,1528.0,34.0,31.0,0.0,23.05595,72.506036,133.628
38,2555.3076923076924,1528.076923076923,34.07692307692308,30.871794871794872,0.0,23.05595,72.506036,133.6292564102564
39,2554.6153846153848,1528.1538461538462,34.15384615384615,30.743589743589745,0.0,23.05595,72.506036,133.63051282051282
40,2553.923076923077,1528.2307692307693,34.23076923076923,30.615384615384617,0.0,23.05595,72.506036,133.6317692307692
41,2553.230769230769,1528.3076923076924,34.30769230769231,30.48717948717949,0.0,23.05595,72.506036,133.63302564102563
42,2552.5384615384614,1528.3846153846155,34.38461538461539,30.358974358974358,0.0,23.05595,72.506036,133.63428205128204
43,2551.846153846154,1528.4615384615386,34.46153846153846,30.23076923076923,0.0,23.05595,72.506036,133.63553846153846
44,2551.153846153846,1528.5384615384614,34.53846153846154,30.102564102564102,0.0,23.05595,72.506036,133.63679487179485
45,2550.4615384615386,1528.6153846153845,34.61538461538461,29.974358974358974,0.0,23.05595,72.506036,133.63805128205126
46,2549.769230769231,1528.6923076923076,34.69230769230769,29.846153846153847,0.0,23.05595,72.506036,133.63930769230768
47,2549.076923076923,1528.7692307692307,34.76923076923077,29.71794871794872,0.0,23.05595,72.506036,133.6405641025641
48,2548.3846153846152,1528.8461538461538,34.84615384615385,29.58974358974359,0.0,23.05595,72.506036,133.6418205128205
49,2547.6923076923076,1528.923076923077,34.92307692307692,29.46153846153846,0.0,23.05595,72.506036,133.6430769230769
50,2547.0,1529.0,35.0,29.333333333333332,0.0,23.05595,72.506036,133.64433333333332
51,2546.3076923076924,1529.076923076923,35.07692307692308,29.205128205128204,0.0,23.05595,72.506036,133.64558974358974
52,2545.6153846153848,1529.1538461538462,35.15384615384615,29.076923076923077,0.0,23.05595,72.506036,133.64684615384616
53,2544.923076923077,1529.2307692307693,35.23076923076923,28.94871794871795,0.0,23.05595,72.506036,133.64810256410254
54,2544.230769230769,1529.3076923076924,35.30769230769231,28.82051282051282,0.0,23.05595,72.506036,133.64935897435896
55,2543.5384615384614,1529.3846153846155,35.38461538461539,28.692307692307693,0.0,23.05595,72.506036,133.65061538461538
56,2542.846153846154,1529.4615384615386,35.46153846153846,28.564102564102566,0.0,23.05595,72.506036,133.6518717948718
57,2542.153846153846,1529.5384615384614,35.53846153846154,28.435897435897438,0.0,23.05595,72.506036,133.65312820512818
58,2541.4615384615386,1529.6153846153845,35.61538461538461,28.307692307692307,0.0,23.05595,72.506036,133.6543846153846
59,2540.769230769231,1529.6923076923076,35.69230769230769,28.17948717948718,0.0,23.05595,72.506036,133.65564102564102
60,2540.076923076923,1529.7692307692307,35.76923076923077,28.05128205128205,0.0,23.05595,72.506036,133.65689743589743
61,2539.3846153846152,1529.8461538461538,35.84615384615385,27.923076923076923,0.0,23.05595,72.506036,133.65815384615382
62,2538.6923076923076,1529.923076923077,35.92307692307692,27.794871794871796,0.0,23.05595,72.506036,133.65941025641024
63,2538.0,1530.0,36.0,27.666666666666668,0.0,23.05595,72.506036,133.66066666666666
