frameNo,left,top,w,h,conf,lat,long,alt
3,2557.0,725.0,52.0,44.0,0.0,23.05595,72.506036,133.565
4,2556.6666666666665,725.6666666666666,50.0,43.333333333333336,0.0,23.05595,72.506036,133.565
5,2556.3333333333335,726.3333333333334,48.0,42.666666666666664,0.0,23.05595,72.506036,133.565
6,2556.0,727.0,46.0,42.0,0.0,23.05595,72.506036,133.565
7,2556.0,727.0,46.0,42.0,0.0,23.05595,72.506036,133.573
8,2556.0,727.0,46.0,42.0,0.0,23.05595,72.506036,133.573
9,2556.0,725.0,48.0,43.0,0.0,23.05595,72.506036,133.573
10,2556.0,725.0,49.0,44.0,0.0,23.05595,72.506036,133.573
11,2556.0,725.0,48.0,43.0,0.0,23.05595,72.506036,133.573
12,2556.0,725.0,48.0,43.0,0.0,23.05595,72.506036,133.573
13,2556.0,725.0,47.0,43.0,0.0,23.05595,72.506036,133.585
14,2556.0,725.0,48.0,43.0,0.0,23.05595,72.506036,133.585
15,2556.0,725.0,49.0,43.0,0.0,23.05595,72.506036,133.585
16,2557.0,724.0,48.0,44.0,0.0,23.05595,72.506036,133.585
17,2557.0,724.0,48.0,44.0,0.0,23.05595,72.506036,133.585
18,2557.0,725.0,48.0,43.0,0.0,23.05595,72.506036,133.585
19,2557.0,724.0,49.0,44.0,0.0,23.05595,72.506036,133.593
20,2557.0,723.0,49.0,44.0,0.0,23.05595,72.506036,133.593
21,2559.0,722.0,52.0,44.0,0.0,23.05595,72.506036,133.593
22,2560.0,722.0,53.0,44.0,0.0,23.05595,72.506036,133.593
23,2559.0,722.0,55.0,44.0,0.0,23.05595,72.506036,133.593
24,2559.0,722.0,55.0,43.0,0.0,23.05595,72.506036,133.593
25,2559.0,722.0,56.0,43.0,0.0,23.055951,72.506036,133.607
26,2557.0,723.0,54.0,44.0,0.0,23.055951,72.506036,133.607
27,2561.0,720.0,55.0,42.0,0.0,23.055951,72.506036,133.607
28,2562.0,719.0,56.0,41.0,0.0,23.055951,72.506036,133.607
29,2558.0,722.0,55.0,42.0,0.0,23.055951,72.506036,133.607
30,2556.0,723.0,54.0,43.0,0.0,23.055951,72.506036,133.607
31,2556.0,723.0,53.0,44.0,0.0,23.05595,72.506036,133.618
32,2556.0,724.0,52.0,44.0,0.0,23.05595,72.506036,133.618
33,2556.0,724.0,52.0,45.0,0.0,23.05595,72.506036,133.618
34,2561.0,721.0,54.0,42.0,0.0,23.05595,72.506036,133.618
35,2562.0,720.0,57.0,39.0,0.0,23.05595,72.506036,133.618
36,2562.0,720.0,59.0,38.0,0.0,23.05595,72.506036,133.618
37,2560.0,723.0,59.0,39.0,0.0,23.05595,72.506036,133.628
38,2560.0,722.0,61.0,38.0,0.0,23.05595,72.506036,133.628
39,2560.0,721.0,62.0,37.0,0.0,23.05595,72.506036,133.628
40,2560.0,721.0,62.0,37.0,0.0,23.05595,72.506036,133.628
41,2558.0,723.0,62.0,38.0,0.0,23.05595,72.506036,133.628
42,2558.2727272727275,722.8181818181819,62.09090909090909,37.54545454545455,0.0,23.05595,72.506036,133.62936363636362
43,2558.5454545454545,722.6363636363636,62.18181818181818,37.09090909090909,0.0,23.05595,72.506036,133.63072727272726
44,2558.818181818182,722.4545454545455,62.27272727272727,36.63636363636363,0.0,23.05595,72.506036,133.6320909090909
45,2559.090909090909,722.2727272727273,62.36363636363637,36.18181818181818,0.0,23.05595,72.506036,133.63345454545453
46,2559.3636363636365,722.0909090909091,62.45454545454545,35.72727272727273,0.0,23.05595,72.506036,133.63481818181816
47,2559.6363636363635,721.9090909090909,62.54545454545455,35.27272727272727,0.0,23.05595,72.506036,133.63618181818183
48,2559.909090909091,721.7272727272727,62.63636363636363,34.81818181818182,0.0,23.05595,72.506036,133.63754545454546
49,2560.181818181818,721.5454545454545,62.72727272727273,34.36363636363637,0.0,23.05595,72.506036,133.6389090909091
50,2560.4545454545455,721.3636363636364,62.81818181818182,33.90909090909091,0.0,23.05595,72.506036,133.64027272727273
51,2560.7272727272725,721.1818181818181,62.90909090909091,33.45454545454545,0.0,23.05595,72.506036,133.64163636363637
52,2561.0,721.0,63.0,33.0,0.0,23.05595,72.506036,133.643
53,2560.0,721.0,63.0,32.0,0.0,23.05595,72.506036,133.643
54,2561.0,722.0,63.0,30.0,0.0,23.05595,72.506036,133.643
55,2562.0,722.0,63.0,30.0,0.0,23.055951,72.506036,133.653
56,2561.0,722.0,63.0,31.0,0.0,23.055951,72.506036,133.653
57,2561.0,724.0,65.0,31.0,0.0,23.055951,72.506036,133.653
58,2561.0,724.0,66.0,32.0,0.0,23.055951,72.506036,133.653
59,2560.0,724.0,68.0,33.0,0.0,23.055951,72.506036,133.653
60,2559.0,724.0,68.0,32.0,0.0,23.055951,72.506036,133.653
61,2560.0,723.0,68.0,31.0,0.0,23.055951,72.506036,133.666
62,2560.0,722.0,67.0,32.0,0.0,23.055951,72.506036,133.666
63,2561.0,722.0,67.0,32.0,0.0,23.055951,72.506036,133.666
64,2561.0,722.0,67.0,32.0,0.0,23.055951,72.506036,133.666
