frameNo,left,top,w,h,conf,lat,long,alt
852,11.0,953.0,72.0,29.0,0.0,23.055951,72.506035,133.967
853,23.0,951.0,71.0,30.0,0.0,23.055951,72.506035,133.967
854,32.0,952.0,71.0,29.0,0.0,23.055951,72.506035,133.967
855,40.0,951.0,70.0,30.0,0.0,23.055951,72.506035,133.967
856,49.0,951.0,70.0,31.0,0.0,23.055951,72.506035,133.967
857,54.0,951.0,70.0,31.0,0.0,23.055951,72.506035,133.967
858,62.0,951.0,69.0,31.0,0.0,23.055951,72.506035,133.956
859,70.0,951.0,73.0,33.0,0.0,23.055951,72.506035,133.956
860,75.0,951.0,75.0,33.0,0.0,23.055951,72.506035,133.956
861,83.0,949.0,79.0,35.0,0.0,23.055951,72.506035,133.956
862,91.0,947.0,81.0,37.0,0.0,23.055951,72.506035,133.956
863,97.0,946.0,83.0,38.0,0.0,23.055951,72.506035,133.956
864,107.0,944.0,84.0,39.0,0.0,23.055951,72.506035,133.952
865,113.0,944.0,85.0,38.0,0.0,23.055951,72.506035,133.952
866,124.0,943.0,84.0,37.0,0.0,23.055951,72.506035,133.952
867,133.0,942.0,84.0,38.0,0.0,23.055952,72.506035,133.952
868,140.0,944.0,83.0,36.0,0.0,23.055952,72.506035,133.952
869,147.0,944.0,83.0,37.0,0.0,23.055952,72.506035,133.952
870,155.0,945.0,84.0,39.0,0.0,23.055951,72.506035,133.943
871,163.0,946.0,85.0,40.0,0.0,23.055951,72.506035,133.943
872,170.0,945.0,85.0,40.0,0.0,23.055951,72.506035,133.943
873,178.0,945.0,85.0,41.0,0.0,23.055951,72.506035,133.943
874,185.0,946.0,83.0,40.0,0.0,23.055951,72.506035,133.943
875,194.0,946.0,81.0,41.0,0.0,23.055951,72.506035,133.943
876,198.0,945.0,82.0,40.0,0.0,23.055952,72.506035,133.94
877,210.0,946.0,80.0,40.0,0.0,23.055952,72.506035,133.94
878,224.0,949.0,77.0,38.0,0.0,23.055952,72.506035,133.94
879,234.0,949.0,75.0,37.0,0.0,23.055952,72.506035,133.94
880,243.0,951.0,73.0,36.0,0.0,23.055952,72.506035,133.94
881,253.0,951.0,71.0,35.0,0.0,23.055952,72.506035,133.94
882,261.0,951.0,71.0,35.0,0.0,23.055952,72.506035,133.933
883,268.0,952.0,71.0,34.0,0.0,23.055952,72.506035,133.933
884,273.0,951.0,73.0,34.0,0.0,23.055952,72.506035,133.933
885,280.0,951.0,75.0,35.0,0.0,23.055952,72.506035,133.933
886,285.0,952.0,76.0,34.0,0.0,23.055952,72.506035,133.933
887,293.0,951.0,78.0,34.0,0.0,23.055952,72.506035,133.933
