frameNo,left,top,w,h,conf,lat,long,alt
1,2398,1500,95,59,0.0,23.05595,72.506036,133.565
2,2362,1498,124,64,0.0,23.05595,72.506036,133.565
3,2357,1501,121,63,0.0,23.05595,72.506036,133.565
4,2352,1504,115,60,0.0,23.05595,72.506036,133.565
5,2348,1506,108,57,0.0,23.05595,72.506036,133.565
9,2311,1506,109,60,0.0,23.05595,72.506036,133.573
10,2303,1507,108,59,0.0,23.05595,72.506036,133.573
11,2289,1510,111,60,0.0,23.05595,72.506036,133.573
12,2284,1512,110,61,0.0,23.05595,72.506036,133.573
13,2284,1513,107,61,0.0,23.05595,72.506036,133.585
14,2274,1516,107,61,0.0,23.05595,72.506036,133.585
15,2271,1517,104,62,0.0,23.05595,72.506036,133.585
16,2264,1518,99,60,0.0,23.05595,72.506036,133.585
46,1982,1532,118,67,0.0,23.05595,72.506036,133.639
47,1976,1531,118,68,0.0,23.05595,72.506036,133.639
48,1968,1529,118,71,0.0,23.05595,72.506036,133.639
49,1957,1528,119,70,0.0,23.05595,72.506036,133.643
112,1390,1530,111,66,0.0,23.05595,72.506036,133.746
122,1288,1530,115,59,0.0,23.05595,72.506036,133.772
123,1278,1531,113,58,0.0,23.05595,72.506036,133.772
124,1264,1531,112,57,0.0,23.05595,72.506036,133.772
125,1258,1531,110,57,0.0,23.05595,72.506036,133.772
126,1246,1529,113,60,0.0,23.05595,72.506036,133.772
127,1238,1526,111,58,0.0,23.05595,72.506036,133.779
128,1230,1529,107,56,0.0,23.05595,72.506036,133.779
136,1153,1526,110,50,0.0,23.05595,72.506036,133.791
137,1140,1525,111,51,0.0,23.05595,72.506036,133.791
138,1131,1525,108,52,0.0,23.05595,72.506036,133.791
139,1122,1524,110,53,0.0,23.055951,72.506036,133.795
140,1113,1523,109,53,0.0,23.055951,72.506036,133.795
141,1108,1522,108,54,0.0,23.055951,72.506036,133.795
142,1098,1522,108,55,0.0,23.055951,72.506036,133.795
143,1086,1522,109,55,0.0,23.055951,72.506036,133.795
144,1078,1519,107,54,0.0,23.055951,72.506036,133.795
145,1068,1520,108,53,0.0,23.055951,72.506036,133.804
146,1056,1519,108,54,0.0,23.055951,72.506036,133.804
147,1046,1519,109,53,0.0,23.055951,72.506036,133.804
148,1034,1517,110,54,0.0,23.055951,72.506036,133.804
149,1023,1517,111,54,0.0,23.055951,72.506036,133.804
150,1017,1516,110,54,0.0,23.055951,72.506036,133.804
151,1009,1515,109,55,0.0,23.055951,72.506036,133.819
152,1001,1516,108,55,0.0,23.055951,72.506036,133.819
156,958,1517,109,53,0.0,23.055951,72.506036,133.819
157,945,1516,110,55,0.0,23.05595,72.506036,133.825
158,936,1516,112,56,0.0,23.05595,72.506036,133.825
159,926,1514,115,57,0.0,23.05595,72.506036,133.825
160,918,1514,113,57,0.0,23.05595,72.506036,133.825
161,911,1515,112,57,0.0,23.05595,72.506036,133.825
162,900,1510,112,58,0.0,23.05595,72.506036,133.825
163,887,1509,111,56,0.0,23.05595,72.506036,133.834
164,877,1509,112,55,0.0,23.05595,72.506036,133.834
165,867,1509,113,54,0.0,23.05595,72.506036,133.834
166,857,1508,113,54,0.0,23.05595,72.506036,133.834
167,843,1508,115,53,0.0,23.05595,72.506036,133.834
168,832,1508,115,53,0.0,23.05595,72.506036,133.834
169,822,1507,115,54,0.0,23.05595,72.506036,133.844
170,815,1506,114,54,0.0,23.05595,72.506036,133.844
171,807,1507,113,54,0.0,23.05595,72.506036,133.844
172,798,1508,112,55,0.0,23.05595,72.506036,133.844
177,739,1508,112,58,0.0,23.05595,72.506036,133.849
182,701,1505,110,55,0.0,23.05595,72.506036,133.854
183,691,1503,111,55,0.0,23.05595,72.506036,133.854
184,681,1502,112,54,0.0,23.05595,72.506036,133.854
185,671,1502,111,53,0.0,23.05595,72.506036,133.854
186,657,1501,114,52,0.0,23.05595,72.506036,133.854
187,645,1500,115,53,0.0,23.05595,72.506036,133.864
188,636,1497,116,55,0.0,23.05595,72.506036,133.864
189,627,1499,117,56,0.0,23.05595,72.506036,133.864
190,614,1497,119,59,0.0,23.05595,72.506037,133.864
191,604,1498,119,58,0.0,23.05595,72.506037,133.864
192,593,1496,122,62,0.0,23.05595,72.506037,133.864
