frameNo,left,top,w,h,conf,lat,long,alt
1789,3763,1295,73,34,0.0,23.055988,72.506013,132.37
1790,3763,1296,74,34,0.0,23.055988,72.506013,132.368
1791,3749,1297,80,35,0.0,23.055988,72.506013,132.368
1792,3745,1299,76,33,0.0,23.055988,72.506013,132.368
1793,3730,1299,81,33,0.0,23.055988,72.506013,132.368
1794,3722,1302,79,32,0.0,23.055988,72.506013,132.368
1795,3722,1303,74,32,0.0,23.055988,72.506013,132.368
1796,3703,1302,82,32,0.0,23.055988,72.506013,132.366
1797,3690,1302,86,32,0.0,23.055988,72.506013,132.366
1808,3594,1308,94,35,0.0,23.055988,72.506013,132.358
1809,3596,1309,90,34,0.0,23.055988,72.506013,132.358
1810,3597,1313,82,33,0.0,23.055988,72.506013,132.358
1814,3557,1313,78,34,0.0,23.055988,72.506013,132.354
1815,3552,1314,76,35,0.0,23.055988,72.506013,132.354
1816,3546,1314,78,35,0.0,23.055988,72.506013,132.354
1817,3540,1317,77,35,0.0,23.055988,72.506013,132.354
1818,3537,1319,75,34,0.0,23.055988,72.506013,132.354
1819,3539,1320,71,34,0.0,23.055988,72.506013,132.354
1820,3524,1318,76,34,0.0,23.055988,72.506013,132.355
1821,3512,1316,80,35,0.0,23.055988,72.506013,132.355
1822,3506,1317,77,34,0.0,23.055988,72.506013,132.355
1823,3503,1317,73,33,0.0,23.055988,72.506013,132.355
1824,3497,1318,71,32,0.0,23.055988,72.506013,132.355
1825,3480,1318,74,32,0.0,23.055988,72.506013,132.355
1826,3471,1318,75,31,0.0,23.055988,72.506013,132.35
1827,3459,1317,78,32,0.0,23.055988,72.506013,132.35
1828,3452,1318,80,32,0.0,23.055988,72.506013,132.35
1829,3452,1320,79,31,0.0,23.055988,72.506013,132.35
1830,3454,1322,73,30,0.0,23.055988,72.506013,132.35
1831,3449,1323,70,29,0.0,23.055988,72.506013,132.35
1832,3447,1324,65,28,0.0,23.055988,72.506014,132.352
1833,3445,1324,61,28,0.0,23.055988,72.506014,132.352
1834,3428,1323,67,28,0.0,23.055988,72.506014,132.352
1835,3414,1322,72,28,0.0,23.055988,72.506014,132.352
1836,3404,1323,75,28,0.0,23.055988,72.506014,132.352
1837,3396,1324,78,27,0.0,23.055988,72.506014,132.352
1838,3389,1324,79,27,0.0,23.055988,72.506013,132.346
1839,3384,1324,79,27,0.0,23.055988,72.506013,132.346
1840,3380,1324,78,28,0.0,23.055988,72.506013,132.346
1841,3372,1324,80,29,0.0,23.055988,72.506013,132.346
1842,3366,1325,82,28,0.0,23.055988,72.506013,132.346
1843,3359,1325,84,29,0.0,23.055988,72.506013,132.346
1844,3361,1325,80,29,0.0,23.055988,72.506014,132.345
1845,3358,1325,77,29,0.0,23.055988,72.506014,132.345
1846,3356,1327,73,28,0.0,23.055988,72.506014,132.345
1847,3347,1328,73,28,0.0,23.055988,72.506014,132.345
1848,3335,1330,79,27,0.0,23.055988,72.506014,132.345
1849,3328,1330,82,27,0.0,23.055988,72.506014,132.345
1850,3319,1329,83,27,0.0,23.055988,72.506014,132.342
1851,3313,1330,84,26,0.0,23.055988,72.506014,132.342
1852,3307,1330,84,27,0.0,23.055988,72.506014,132.342
