frameNo,left,top,w,h,conf,lat,long,alt
2069,3771,1142,60,36,0.0,23.055988,72.506014,132.47
2070,3757,1142,70,35,0.0,23.055988,72.506014,132.47
2071,3746,1143,81,36,0.0,23.055988,72.506014,132.472
2072,3733,1145,88,35,0.0,23.055988,72.506014,132.472
2073,3719,1145,92,34,0.0,23.055988,72.506014,132.472
2074,3707,1147,94,34,0.0,23.055988,72.506014,132.472
2075,3693,1146,99,37,0.0,23.055988,72.506014,132.472
2076,3681,1147,99,37,0.0,23.055988,72.506014,132.472
2077,3668,1148,100,36,0.0,23.055988,72.506014,132.472
2078,3659,1151,97,35,0.0,23.055988,72.506014,132.472
2079,3650,1152,96,35,0.0,23.055988,72.506014,132.472
2080,3635,1152,98,36,0.0,23.055988,72.506014,132.472
2081,3622,1153,98,35,0.0,23.055988,72.506014,132.472
2082,3609,1153,98,36,0.0,23.055988,72.506014,132.472
2083,3601,1157,97,35,0.0,23.055988,72.506014,132.472
2084,3590,1157,97,34,0.0,23.055988,72.506014,132.472
2085,3577,1157,97,34,0.0,23.055988,72.506014,132.472
2086,3563,1157,99,35,0.0,23.055988,72.506014,132.472
2087,3553,1159,99,34,0.0,23.055988,72.506014,132.472
2088,3543,1159,100,35,0.0,23.055988,72.506014,132.472
2089,3533,1160,100,36,0.0,23.055988,72.506014,132.476
2090,3522,1160,100,38,0.0,23.055988,72.506014,132.476
2091,3511,1164,99,37,0.0,23.055988,72.506014,132.476
2092,3500,1162,99,38,0.0,23.055988,72.506014,132.476
2093,3491,1165,97,36,0.0,23.055988,72.506014,132.476
2094,3478,1164,98,36,0.0,23.055988,72.506014,132.476
2095,3463,1167,99,35,0.0,23.055988,72.506014,132.481
2096,3450,1166,99,35,0.0,23.055988,72.506014,132.481
2097,3441,1167,99,37,0.0,23.055988,72.506014,132.481
2098,3433,1168,99,38,0.0,23.055988,72.506014,132.481
2099,3420,1171,98,36,0.0,23.055988,72.506014,132.481
2100,3408,1171,96,36,0.0,23.055988,72.506014,132.481
2101,3397,1171,94,35,0.0,23.055988,72.506014,132.482
2102,3385,1171,96,35,0.0,23.055988,72.506014,132.482
2103,3375,1172,97,35,0.0,23.055988,72.506014,132.482
2104,3365,1173,95,34,0.0,23.055988,72.506014,132.482
2105,3356,1174,94,33,0.0,23.055988,72.506014,132.482
2106,3343,1173,96,35,0.0,23.055988,72.506014,132.482
2107,3330,1172,99,37,0.0,23.055988,72.506014,132.482
2108,3318,1173,98,36,0.0,23.055988,72.506014,132.482
2109,3307,1173,98,37,0.0,23.055988,72.506014,132.482
2110,3298,1175,97,36,0.0,23.055988,72.506014,132.482
2111,3290,1175,94,37,0.0,23.055988,72.506014,132.482
2112,3278,1177,94,36,0.0,23.055988,72.506014,132.482
2113,3269,1178,90,34,0.0,23.055988,72.506014,132.486
2114,3259,1178,88,34,0.0,23.055988,72.506014,132.486
2115,3242,1178,91,36,0.0,23.055988,72.506014,132.486
2116,3230,1180,94,37,0.0,23.055988,72.506014,132.486
2117,3226,1182,91,37,0.0,23.055988,72.506014,132.486
2118,3212,1181,91,37,0.0,23.055988,72.506014,132.486
2119,3201,1182,90,37,0.0,23.055988,72.506014,132.48
2120,3197,1184,87,36,0.0,23.055988,72.506014,132.48
2121,3181,1184,88,37,0.0,23.055988,72.506014,132.48
2122,3169,1184,88,36,0.0,23.055988,72.506014,132.48
2123,3164,1185,85,36,0.0,23.055988,72.506014,132.48
2124,3158,1184,83,37,0.0,23.055988,72.506014,132.48
2125,3148,1186,82,36,0.0,23.055988,72.506014,132.48
2136,3027,1192,86,32,0.0,23.055988,72.506014,132.484
2137,3015,1192,88,34,0.0,23.055988,72.506014,132.489
2138,3006,1194,88,32,0.0,23.055988,72.506014,132.489
2139,2995,1195,88,32,0.0,23.055988,72.506014,132.489
2139,3022,1191,41,31,0.0,23.055988,72.506014,132.489
2140,2983,1193,90,35,0.0,23.055988,72.506014,132.489
2140,3013,1192,42,30,0.0,23.055988,72.506014,132.489
2141,2974,1193,89,35,0.0,23.055988,72.506014,132.489
2141,3004,1193,42,30,0.0,23.055988,72.506014,132.489
2142,2962,1194,91,36,0.0,23.055988,72.506014,132.489
2142,2994,1193,42,30,0.0,23.055988,72.506014,132.489
2143,2953,1196,91,36,0.0,23.055988,72.506014,132.486
2143,2981,1195,41,31,0.0,23.055988,72.506014,132.486
2144,2950,1196,86,35,0.0,23.055988,72.506014,132.486
2144,2976,1195,39,31,0.0,23.055988,72.506014,132.486
2145,2948,1198,80,34,0.0,23.055988,72.506014,132.486
2145,2972,1194,37,31,0.0,23.055988,72.506014,132.486
2146,2935,1197,81,34,0.0,23.055988,72.506014,132.486
2146,2960,1195,37,30,0.0,23.055988,72.506014,132.486
2147,2923,1197,83,35,0.0,23.055988,72.506014,132.486
2147,2956,1197,35,30,0.0,23.055988,72.506014,132.486
2148,2911,1197,85,35,0.0,23.055988,72.506014,132.486
2148,2937,1197,35,31,0.0,23.055988,72.506014,132.486
2149,2900,1196,88,37,0.0,23.055988,72.506014,132.483
2149,2926,1198,35,31,0.0,23.055988,72.506014,132.483
2150,2892,1196,89,38,0.0,23.055988,72.506014,132.483
2150,2923,1198,35,32,0.0,23.055988,72.506014,132.483
2151,2883,1195,89,40,0.0,23.055988,72.506014,132.483
2151,2913,1198,37,32,0.0,23.055988,72.506014,132.483
2152,2871,1197,89,41,0.0,23.055988,72.506014,132.483
2152,2899,1199,35,33,0.0,23.055988,72.506014,132.483
2153,2863,1197,88,41,0.0,23.055988,72.506014,132.483
2153,2889,1198,35,34,0.0,23.055988,72.506014,132.483
2154,2852,1197,87,41,0.0,23.055988,72.506014,132.483
2154,2880,1199,35,33,0.0,23.055988,72.506014,132.483
2155,2848,1199,85,39,0.0,23.055988,72.506014,132.485
2155,2876,1199,35,32,0.0,23.055988,72.506014,132.485
2156,2841,1200,82,38,0.0,23.055988,72.506014,132.485
2156,2872,1199,34,32,0.0,23.055988,72.506014,132.485
2157,2839,1202,77,37,0.0,23.055988,72.506014,132.485
2157,2866,1200,33,30,0.0,23.055988,72.506014,132.485
2158,2830,1203,77,36,0.0,23.055988,72.506014,132.485
2158,2861,1201,33,30,0.0,23.055988,72.506014,132.485
2159,2818,1203,80,34,0.0,23.055988,72.506014,132.485
2159,2844,1203,34,30,0.0,23.055988,72.506014,132.485
