frameNo,left,top,w,h,conf,lat,long,alt
640,1858,3,38,61,0.0,23.055987,72.506014,132.74
641,1858,3,39,66,0.0,23.055987,72.506014,132.74
642,1859,5,40,71,0.0,23.055987,72.506014,132.74
643,1860,8,42,78,0.0,23.055987,72.506014,132.74
644,1862,14,42,79,0.0,23.055987,72.506014,132.74
645,1863,19,42,80,0.0,23.055987,72.506014,132.736
646,1865,26,43,83,0.0,23.055987,72.506014,132.736
647,1867,33,44,84,0.0,23.055987,72.506014,132.736
648,1870,41,42,82,0.0,23.055987,72.506014,132.736
649,1872,47,41,82,0.0,23.055987,72.506014,132.736
650,1875,55,40,83,0.0,23.055987,72.506014,132.736
651,1876,63,40,82,0.0,23.055987,72.506014,132.73
652,1878,70,39,81,0.0,23.055987,72.506014,132.73
653,1879,77,39,81,0.0,23.055987,72.506014,132.73
654,1881,83,40,81,0.0,23.055987,72.506014,132.73
655,1882,91,39,79,0.0,23.055987,72.506014,132.73
656,1884,96,38,78,0.0,23.055987,72.506014,132.73
657,1885,104,38,79,0.0,23.055987,72.506014,132.719
658,1887,110,37,80,0.0,23.055987,72.506014,132.719
659,1888,117,37,77,0.0,23.055987,72.506014,132.719
660,1889,123,37,75,0.0,23.055987,72.506014,132.719
661,1890,129,38,76,0.0,23.055987,72.506014,132.719
662,1893,137,37,77,0.0,23.055987,72.506014,132.71
663,1895,144,36,78,0.0,23.055987,72.506014,132.71
664,1896,151,37,78,0.0,23.055987,72.506014,132.71
665,1898,157,36,78,0.0,23.055987,72.506014,132.71
666,1899,162,36,77,0.0,23.055987,72.506014,132.71
667,1900,167,36,78,0.0,23.055987,72.506014,132.71
668,1902,173,37,77,0.0,23.055987,72.506014,132.71
669,1905,180,36,77,0.0,23.055987,72.506014,132.702
670,1906,186,36,74,0.0,23.055987,72.506014,132.702
671,1907,191,36,73,0.0,23.055987,72.506014,132.702
672,1908,198,34,73,0.0,23.055987,72.506014,132.702
673,1909,205,34,72,0.0,23.055987,72.506014,132.702
674,1911,211,34,68,0.0,23.055987,72.506014,132.702
675,1914,223,35,69,0.0,23.055987,72.506014,132.697
676,1916,230,36,69,0.0,23.055987,72.506014,132.697
677,1917,236,37,70,0.0,23.055987,72.506014,132.697
678,1918,240,37,71,0.0,23.055987,72.506014,132.697
679,1918,244,38,71,0.0,23.055987,72.506014,132.697
680,1919,250,38,71,0.0,23.055987,72.506014,132.697
681,1921,259,38,70,0.0,23.055987,72.506014,132.69
682,1923,267,38,69,0.0,23.055987,72.506014,132.69
