frameNo,left,top,w,h,conf,lat,long,alt
648,6,1001,80,44,0.0,23.055987,72.506014,132.736
649,13,1007,86,39,0.0,23.055987,72.506014,132.736
650,18,1009,88,36,0.0,23.055987,72.506014,132.736
651,26,1010,93,35,0.0,23.055987,72.506014,132.73
652,36,1011,95,34,0.0,23.055987,72.506014,132.73
653,54,1012,96,33,0.0,23.055987,72.506014,132.73
654,66,1012,94,33,0.0,23.055987,72.506014,132.73
655,78,1013,91,33,0.0,23.055987,72.506014,132.73
656,85,1014,88,32,0.0,23.055987,72.506014,132.73
657,95,1015,85,32,0.0,23.055987,72.506014,132.719
658,108,1015,84,33,0.0,23.055987,72.506014,132.719
659,119,1015,81,34,0.0,23.055987,72.506014,132.719
660,132,1015,79,34,0.0,23.055987,72.506014,132.719
661,142,1016,76,33,0.0,23.055987,72.506014,132.719
674,263,1012,89,41,0.0,23.055987,72.506014,132.702
675,270,1014,96,39,0.0,23.055987,72.506014,132.697
676,275,1012,106,42,0.0,23.055987,72.506014,132.697
677,280,1010,111,44,0.0,23.055987,72.506014,132.697
678,283,1013,119,42,0.0,23.055987,72.506014,132.697
679,284,1014,124,42,0.0,23.055987,72.506014,132.697
680,305,1015,117,40,0.0,23.055987,72.506014,132.697
684,368,1016,95,38,0.0,23.055987,72.506014,132.69
685,377,1017,93,36,0.0,23.055987,72.506014,132.69
686,381,1019,93,35,0.0,23.055987,72.506014,132.69
687,393,1019,90,34,0.0,23.055987,72.506014,132.69
688,396,1018,90,35,0.0,23.055987,72.506014,132.69
689,414,1018,87,35,0.0,23.055987,72.506014,132.69
690,421,1018,88,34,0.0,23.055987,72.506014,132.69
691,432,1018,86,34,0.0,23.055987,72.506014,132.69
692,442,1018,88,34,0.0,23.055987,72.506014,132.69
693,452,1017,88,34,0.0,23.055987,72.506014,132.684
694,462,1017,90,34,0.0,23.055987,72.506014,132.684
695,474,1016,86,35,0.0,23.055987,72.506014,132.684
696,483,1015,84,35,0.0,23.055987,72.506014,132.684
697,491,1013,81,36,0.0,23.055987,72.506014,132.684
698,504,1015,82,36,0.0,23.055987,72.506014,132.684
699,512,1015,79,35,0.0,23.055987,72.506014,132.689
