frameNo,left,top,w,h,conf,lat,long,alt
1,3547,573,147,77,0.0,23.055986,72.506015,133.062
2,3549,574,149,76,0.0,23.055986,72.506015,133.062
3,3549,573,152,77,0.0,23.055986,72.506015,133.064
4,3549,573,152,77,0.0,23.055986,72.506015,133.064
5,3549,574,152,77,0.0,23.055986,72.506015,133.064
6,3549,574,151,77,0.0,23.055986,72.506015,133.064
7,3549,573,152,78,0.0,23.055986,72.506015,133.064
8,3549,574,151,77,0.0,23.055986,72.506015,133.064
9,3548,574,151,78,0.0,23.055986,72.506015,133.07
10,3550,574,151,78,0.0,23.055986,72.506015,133.07
11,3548,575,149,78,0.0,23.055986,72.506015,133.07
12,3549,575,148,78,0.0,23.055986,72.506015,133.07
13,3548,576,144,77,0.0,23.055986,72.506015,133.07
14,3548,577,143,77,0.0,23.055986,72.506015,133.07
15,3549,577,141,77,0.0,23.055986,72.506015,133.068
16,3551,576,142,78,0.0,23.055986,72.506015,133.068
17,3550,575,141,79,0.0,23.055986,72.506015,133.068
18,3551,575,142,79,0.0,23.055986,72.506015,133.068
19,3551,575,141,79,0.0,23.055986,72.506015,133.068
20,3551,574,141,80,0.0,23.055986,72.506015,133.068
21,3550,574,138,80,0.0,23.055987,72.506015,133.075
22,3549,575,136,79,0.0,23.055987,72.506015,133.075
23,3551,575,138,79,0.0,23.055987,72.506015,133.075
24,3552,574,140,81,0.0,23.055987,72.506015,133.075
25,3552,574,141,81,0.0,23.055987,72.506015,133.075
26,3552,574,143,81,0.0,23.055987,72.506015,133.075
27,3553,575,146,80,0.0,23.055986,72.506015,133.073
28,3553,576,148,80,0.0,23.055986,72.506015,133.073
29,3552,575,150,80,0.0,23.055986,72.506015,133.073
30,3551,576,150,80,0.0,23.055986,72.506015,133.073
31,3551,576,150,80,0.0,23.055986,72.506015,133.073
32,3551,577,150,79,0.0,23.055986,72.506015,133.073
33,3551,578,149,78,0.0,23.055987,72.506015,133.075
34,3551,578,148,78,0.0,23.055987,72.506015,133.075
35,3551,578,147,78,0.0,23.055987,72.506015,133.075
36,3552,579,146,77,0.0,23.055987,72.506015,133.075
37,3553,579,147,78,0.0,23.055987,72.506015,133.075
38,3553,580,147,77,0.0,23.055987,72.506015,133.075
39,3552,580,148,77,0.0,23.055987,72.506015,133.073
40,3552,580,147,77,0.0,23.055987,72.506015,133.073
41,3552,580,147,76,0.0,23.055987,72.506015,133.073
42,3551,580,147,76,0.0,23.055987,72.506015,133.073
43,3551,580,146,77,0.0,23.055987,72.506015,133.073
44,3551,580,143,77,0.0,23.055987,72.506015,133.073
45,3551,580,143,77,0.0,23.055987,72.506015,133.074
46,3551,580,143,77,0.0,23.055987,72.506015,133.074
47,3551,580,143,77,0.0,23.055987,72.506015,133.074
48,3551,580,144,77,0.0,23.055987,72.506015,133.074
49,3552,580,144,77,0.0,23.055987,72.506015,133.074
50,3553,580,145,78,0.0,23.055987,72.506015,133.074
51,3552,580,146,77,0.0,23.055987,72.506015,133.068
52,3551,580,146,78,0.0,23.055987,72.506015,133.068
53,3551,580,145,77,0.0,23.055987,72.506015,133.068
54,3551,580,144,77,0.0,23.055987,72.506015,133.068
55,3551,580,146,77,0.0,23.055987,72.506015,133.068
56,3551,580,146,77,0.0,23.055987,72.506015,133.068
57,3551,581,146,77,0.0,23.055987,72.506015,133.071
58,3551,581,146,77,0.0,23.055987,72.506015,133.071
59,3551,582,145,76,0.0,23.055987,72.506015,133.071
60,3552,581,146,77,0.0,23.055987,72.506015,133.071
61,3551,581,146,77,0.0,23.055987,72.506015,133.071
62,3550,580,144,78,0.0,23.055987,72.506015,133.071
63,3550,581,143,77,0.0,23.055987,72.506015,133.07
64,3550,583,142,76,0.0,23.055987,72.506015,133.07
65,3550,583,140,77,0.0,23.055987,72.506015,133.07
66,3550,583,138,76,0.0,23.055987,72.506015,133.07
67,3550,582,135,77,0.0,23.055987,72.506015,133.07
68,3551,583,135,76,0.0,23.055987,72.506015,133.07
69,3551,583,134,76,0.0,23.055987,72.506015,133.075
70,3551,583,130,76,0.0,23.055987,72.506015,133.075
71,3552,584,128,75,0.0,23.055987,72.506015,133.075
72,3553,585,126,74,0.0,23.055987,72.506015,133.075
73,3553,584,124,75,0.0,23.055987,72.506015,133.075
74,3554,585,123,74,0.0,23.055987,72.506015,133.075
75,3555,585,122,74,0.0,23.055987,72.506015,133.077
76,3555,585,122,73,0.0,23.055987,72.506015,133.077
77,3555,584,121,74,0.0,23.055987,72.506015,133.077
78,3555,584,122,74,0.0,23.055987,72.506015,133.077
79,3555,584,122,74,0.0,23.055987,72.506015,133.077
80,3555,584,122,74,0.0,23.055987,72.506015,133.077
81,3555,585,122,74,0.0,23.055987,72.506015,133.087
82,3555,585,122,74,0.0,23.055987,72.506015,133.087
83,3555,585,121,74,0.0,23.055987,72.506015,133.087
84,3555,585,121,73,0.0,23.055987,72.506015,133.087
85,3556,586,121,73,0.0,23.055987,72.506015,133.087
86,3556,587,121,72,0.0,23.055987,72.506015,133.087
87,3555,586,121,73,0.0,23.055987,72.506015,133.096
88,3555,585,120,73,0.0,23.055987,72.506015,133.096
89,3555,584,120,74,0.0,23.055987,72.506015,133.096
90,3555,583,120,75,0.0,23.055987,72.506015,133.096
91,3554,582,120,76,0.0,23.055987,72.506015,133.096
92,3554,581,119,77,0.0,23.055987,72.506015,133.096
93,3554,581,119,77,0.0,23.055987,72.506015,133.101
94,3555,580,117,78,0.0,23.055987,72.506015,133.101
95,3555,579,117,78,0.0,23.055987,72.506015,133.101
96,3555,579,118,78,0.0,23.055987,72.506015,133.101
97,3555,579,118,78,0.0,23.055987,72.506015,133.101
98,3553,579,118,79,0.0,23.055987,72.506015,133.101
99,3553,579,117,79,0.0,23.055987,72.506015,133.107
100,3553,579,117,80,0.0,23.055987,72.506015,133.107
101,3554,579,118,80,0.0,23.055987,72.506015,133.107
102,3554,579,119,80,0.0,23.055987,72.506015,133.107
103,3554,579,121,80,0.0,23.055987,72.506015,133.107
104,3554,580,122,79,0.0,23.055987,72.506015,133.107
105,3554,580,123,79,0.0,23.055987,72.506015,133.106
106,3554,580,124,79,0.0,23.055987,72.506015,133.106
107,3553,580,125,79,0.0,23.055987,72.506015,133.106
108,3554,581,126,78,0.0,23.055987,72.506015,133.106
109,3555,581,127,78,0.0,23.055987,72.506015,133.106
110,3554,582,129,78,0.0,23.055987,72.506015,133.106
111,3554,582,130,77,0.0,23.055987,72.506015,133.107
112,3554,582,130,77,0.0,23.055987,72.506015,133.107
113,3555,582,132,77,0.0,23.055987,72.506015,133.107
114,3556,584,134,76,0.0,23.055987,72.506015,133.107
