frameNo,left,top,w,h,conf,lat,long,alt
1,2235.0,661.0,74.0,37.0,0.0,23.055986,72.506015,133.062
2,2231.0,660.0,79.0,41.0,0.0,23.055986,72.506015,133.062
3,2230.0,660.0,74.0,38.0,0.0,23.055986,72.506015,133.064
4,2227.0,659.0,76.0,39.0,0.0,23.055986,72.506015,133.064
5,2224.0,660.0,74.0,38.0,0.0,23.055986,72.506015,133.064
6,2221.0,658.0,76.0,39.0,0.0,23.055986,72.506015,133.064
7,2219.0,659.0,73.0,38.0,0.0,23.055986,72.506015,133.064
8,2215.0,658.0,73.0,39.0,0.0,23.055986,72.506015,133.064
9,2213.0,658.0,71.0,39.0,0.0,23.055986,72.506015,133.07
10,2210.0,658.0,71.0,39.0,0.0,23.055986,72.506015,133.07
11,2207.0,659.0,72.0,38.0,0.0,23.055986,72.506015,133.07
12,2206.0,658.0,72.0,39.0,0.0,23.055986,72.506015,133.07
13,2202.0,659.0,72.0,38.0,0.0,23.055986,72.506015,133.07
14,2201.0,658.0,72.0,38.0,0.0,23.055986,72.506015,133.07
15,2199.0,658.0,71.0,39.0,0.0,23.055986,72.506015,133.068
16,2197.0,657.0,71.0,38.0,0.0,23.055986,72.506015,133.068
17,2194.0,656.0,71.0,39.0,0.0,23.055986,72.506015,133.068
18,2190.0,656.0,71.0,39.0,0.0,23.055986,72.506015,133.068
19,2188.0,655.0,73.0,39.0,0.0,23.055986,72.506015,133.068
20,2187.0,654.0,73.0,39.0,0.0,23.055986,72.506015,133.068
21,2185.0,653.0,74.0,40.0,0.0,23.055987,72.506015,133.075
22,2182.0,653.0,74.0,40.0,0.0,23.055987,72.506015,133.075
23,2181.0,653.0,73.0,39.0,0.0,23.055987,72.506015,133.075
24,2177.0,651.0,74.0,40.0,0.0,23.055987,72.506015,133.075
25,2176.0,649.0,73.0,41.0,0.0,23.055987,72.506015,133.075
26,2176.0,648.0,71.0,41.0,0.0,23.055987,72.506015,133.075
27,2173.0,648.0,70.0,41.0,0.0,23.055986,72.506015,133.073
28,2171.0,647.0,70.0,41.0,0.0,23.055986,72.506015,133.073
29,2168.0,647.0,69.0,40.0,0.0,23.055986,72.506015,133.073
30,2165.0,646.0,69.0,40.0,0.0,23.055986,72.506015,133.073
31,2164.0,646.0,68.0,40.0,0.0,23.055986,72.506015,133.073
32,2164.0,646.0,68.0,39.0,0.0,23.055986,72.506015,133.073
33,2164.0,645.0,67.0,39.0,0.0,23.055987,72.506015,133.075
34,2162.0,643.0,67.0,41.0,0.0,23.055987,72.506015,133.075
35,2161.0,642.0,67.0,42.0,0.0,23.055987,72.506015,133.075
36,2160.0,641.0,67.0,41.0,0.0,23.055987,72.506015,133.075
37,2157.0,641.0,67.0,40.0,0.0,23.055987,72.506015,133.075
38,2157.0,640.0,66.0,41.0,0.0,23.055987,72.506015,133.075
39,2154.0,640.0,66.0,41.0,0.0,23.055987,72.506015,133.073
40,2153.0,639.0,66.0,41.0,0.0,23.055987,72.506015,133.073
41,2153.0,638.0,65.0,41.0,0.0,23.055987,72.506015,133.073
42,2150.0,637.0,65.0,42.0,0.0,23.055987,72.506015,133.073
43,2149.0,638.0,66.0,42.0,0.0,23.055987,72.506015,133.073
44,2148.0,638.0,66.0,42.0,0.0,23.055987,72.506015,133.073
45,2145.0,636.0,67.0,42.0,0.0,23.055987,72.506015,133.074
46,2143.0,635.0,68.0,43.0,0.0,23.055987,72.506015,133.074
47,2140.0,632.0,66.0,44.0,0.0,23.055987,72.506015,133.074
48,2138.0,630.0,66.0,44.0,0.0,23.055987,72.506015,133.074
49,2137.0,629.0,65.0,45.0,0.0,23.055987,72.506015,133.074
50,2135.0,627.0,66.0,46.0,0.0,23.055987,72.506015,133.074
51,2135.0,627.0,64.0,45.0,0.0,23.055987,72.506015,133.068
52,2131.0,627.0,69.0,46.0,0.0,23.055987,72.506015,133.068
53,2126.0,626.0,71.0,46.0,0.0,23.055987,72.506015,133.068
54,2122.0,624.0,73.0,47.0,0.0,23.055987,72.506015,133.068
55,2120.0,625.0,76.0,47.0,0.0,23.055987,72.506015,133.068
56,2116.0,623.0,77.0,47.0,0.0,23.055987,72.506015,133.068
57,2113.0,622.0,80.0,48.0,0.0,23.055987,72.506015,133.071
58,2113.0,623.0,80.0,47.0,0.0,23.055987,72.506015,133.071
59,2111.0,622.0,80.0,47.0,0.0,23.055987,72.506015,133.071
60,2107.0,621.0,81.0,48.0,0.0,23.055987,72.506015,133.071
61,2104.0,620.0,83.0,47.0,0.0,23.055987,72.506015,133.071
62,2102.0,620.0,84.0,46.0,0.0,23.055987,72.506015,133.071
63,2102.0,621.0,84.0,45.0,0.0,23.055987,72.506015,133.07
64,2101.0,620.0,84.0,44.0,0.0,23.055987,72.506015,133.07
65,2100.0,620.0,84.0,45.0,0.0,23.055987,72.506015,133.07
66,2100.0,619.0,83.0,46.0,0.0,23.055987,72.506015,133.07
67,2099.0,619.0,82.0,46.0,0.0,23.055987,72.506015,133.07
68,2097.0,618.0,82.0,46.0,0.0,23.055987,72.506015,133.07
69,2096.0,618.0,82.0,46.0,0.0,23.055987,72.506015,133.075
70,2095.0,617.0,81.0,46.0,0.0,23.055987,72.506015,133.075
71,2094.0,617.0,81.0,47.0,0.0,23.055987,72.506015,133.075
72,2093.0,617.0,79.0,47.0,0.0,23.055987,72.506015,133.075
73,2092.0,616.0,78.0,48.0,0.0,23.055987,72.506015,133.075
74,2093.0,615.0,75.0,49.0,0.0,23.055987,72.506015,133.075
75,2092.0,615.0,75.0,48.0,0.0,23.055987,72.506015,133.077
76,2093.0,615.0,73.0,47.0,0.0,23.055987,72.506015,133.077
77,2093.0,614.0,72.0,47.0,0.0,23.055987,72.506015,133.077
78,2092.0,613.0,71.0,48.0,0.0,23.055987,72.506015,133.077
79,2090.0,613.0,71.0,49.0,0.0,23.055987,72.506015,133.077
80,2090.0,612.0,70.0,49.0,0.0,23.055987,72.506015,133.077
81,2088.0,611.0,69.0,49.0,0.0,23.055987,72.506015,133.087
82,2088.0,610.0,68.0,49.0,0.0,23.055987,72.506015,133.087
83,2087.0,608.0,67.0,49.0,0.0,23.055987,72.506015,133.087
84,2085.0,608.0,66.0,49.0,0.0,23.055987,72.506015,133.087
85,2083.0,607.0,67.0,49.0,0.0,23.055987,72.506015,133.087
86,2083.0,607.0,66.0,49.0,0.0,23.055987,72.506015,133.087
87,2081.0,606.0,67.0,49.0,0.0,23.055987,72.506015,133.096
88,2081.0,606.0,66.0,49.0,0.0,23.055987,72.506015,133.096
89,2078.0,605.0,65.0,49.0,0.0,23.055987,72.506015,133.096
90,2075.0,605.0,63.0,49.0,0.0,23.055987,72.506015,133.096
91,2073.0,605.0,63.0,49.0,0.0,23.055987,72.506015,133.096
92,2070.0,604.0,62.0,50.0,0.0,23.055987,72.506015,133.096
93,2069.0,602.0,61.0,51.0,0.0,23.055987,72.506015,133.101
94,2067.0,601.0,61.0,49.0,0.0,23.055987,72.506015,133.101
95,2062.0,600.0,62.0,48.0,0.0,23.055987,72.506015,133.101
96,2060.0,599.0,62.0,48.0,0.0,23.055987,72.506015,133.101
97,2057.0,600.0,63.0,46.0,0.0,23.055987,72.506015,133.101
98,2055.0,601.0,62.0,46.0,0.0,23.055987,72.506015,133.101
99,2050.0,600.0,63.0,45.0,0.0,23.055987,72.506015,133.107
100,2048.0,599.0,63.0,45.0,0.0,23.055987,72.506015,133.107
101,2046.0,600.0,66.0,44.0,0.0,23.055987,72.506015,133.107
102,2044.0,600.0,67.0,43.0,0.0,23.055987,72.506015,133.107
103,2040.0,599.0,71.0,44.0,0.0,23.055987,72.506015,133.107
104,2037.0,599.0,71.0,42.0,0.0,23.055987,72.506015,133.107
105,2032.0,599.0,73.0,42.0,0.0,23.055987,72.506015,133.106
106,2028.0,599.0,72.0,41.0,0.0,23.055987,72.506015,133.106
107,2025.0,600.0,71.0,39.0,0.0,23.055987,72.506015,133.106
108,2021.0,600.0,71.0,39.0,0.0,23.055987,72.506015,133.106
109,2018.0,599.0,70.0,38.0,0.0,23.055987,72.506015,133.106
110,2013.0,600.0,71.0,37.0,0.0,23.055987,72.506015,133.106
111,2009.0,600.0,71.0,36.0,0.0,23.055987,72.506015,133.107
112,2005.0,600.0,71.0,37.0,0.0,23.055987,72.506015,133.107
113,1998.0,600.0,72.0,37.0,0.0,23.055987,72.506015,133.107
114,1994.0,599.0,72.0,37.0,0.0,23.055987,72.506015,133.107
115,1989.0,599.0,72.0,35.0,0.0,23.055987,72.506015,133.107
116,1987.0,599.0,72.0,36.0,0.0,23.055987,72.506015,133.107
117,1984.0,598.0,73.0,36.0,0.0,23.055987,72.506015,133.107
118,1981.0,599.0,73.0,36.0,0.0,23.055987,72.506015,133.107
119,1978.0,599.0,74.0,35.0,0.0,23.055987,72.506015,133.107
120,1975.0,599.0,72.0,35.0,0.0,23.055987,72.506015,133.107
121,1972.0,599.0,71.0,35.0,0.0,23.055987,72.506015,133.107
122,1969.0,600.0,70.0,35.0,0.0,23.055987,72.506015,133.107
123,1965.0,600.0,70.0,36.0,0.0,23.055987,72.506015,133.108
124,1960.0,600.0,70.0,35.0,0.0,23.055987,72.506015,133.108
125,1957.0,602.0,70.0,35.0,0.0,23.055987,72.506015,133.108
126,1953.0,602.0,70.0,34.0,0.0,23.055987,72.506015,133.108
127,1947.0,602.0,70.0,34.0,0.0,23.055987,72.506015,133.108
128,1945.0,602.0,68.0,34.0,0.0,23.055987,72.506015,133.108
129,1942.0,602.0,69.0,34.0,0.0,23.055987,72.506015,133.096
130,1936.0,603.0,71.0,34.0,0.0,23.055987,72.506015,133.096
131,1932.0,603.0,71.0,33.0,0.0,23.055987,72.506015,133.096
132,1926.0,603.0,72.0,35.0,0.0,23.055987,72.506015,133.096
133,1921.0,604.0,73.0,34.0,0.0,23.055987,72.506015,133.096
134,1918.0,604.0,74.0,35.0,0.0,23.055987,72.506015,133.096
135,1914.0,605.0,74.0,35.0,0.0,23.055987,72.506015,133.09
136,1909.0,605.0,75.0,36.0,0.0,23.055987,72.506015,133.09
137,1905.0,607.0,75.0,36.0,0.0,23.055987,72.506015,133.09
138,1902.0,608.0,76.0,37.0,0.0,23.055987,72.506015,133.09
139,1897.0,609.0,77.0,38.0,0.0,23.055987,72.506015,133.09
140,1892.0,609.0,77.0,37.0,0.0,23.055987,72.506015,133.09
141,1889.0,609.0,77.0,37.0,0.0,23.055987,72.506015,133.088
142,1886.0,609.0,76.0,38.0,0.0,23.055987,72.506015,133.088
143,1882.0,610.0,75.0,37.0,0.0,23.055987,72.506015,133.088
144,1877.0,611.0,75.0,38.0,0.0,23.055987,72.506015,133.088
145,1873.0,612.0,74.0,37.0,0.0,23.055987,72.506015,133.088
146,1870.0,613.0,75.0,38.0,0.0,23.055987,72.506015,133.088
147,1867.0,614.0,74.0,39.0,0.0,23.055987,72.506015,133.087
148,1861.0,616.0,75.0,39.0,0.0,23.055987,72.506015,133.087
149,1856.0,615.0,76.0,40.0,0.0,23.055987,72.506015,133.087
150,1852.0,616.0,75.0,40.0,0.0,23.055987,72.506015,133.087
151,1848.0,616.0,74.0,39.0,0.0,23.055987,72.506015,133.087
152,1845.0,617.0,74.0,40.0,0.0,23.055987,72.506015,133.087
153,1841.0,618.0,74.0,40.0,0.0,23.055987,72.506015,133.075
154,1837.0,619.0,74.0,39.0,0.0,23.055987,72.506015,133.075
155,1834.0,618.0,73.0,41.0,0.0,23.055987,72.506015,133.075
156,1830.0,619.0,75.0,41.0,0.0,23.055987,72.506015,133.075
157,1827.0,620.0,74.0,41.0,0.0,23.055987,72.506015,133.075
158,1823.0,620.0,74.0,41.0,0.0,23.055987,72.506015,133.075
159,1817.0,623.0,76.0,40.0,0.0,23.055987,72.506015,133.062
160,1814.0,625.0,74.0,39.0,0.0,23.055987,72.506015,133.062
161,1807.0,627.0,75.0,38.0,0.0,23.055987,72.506015,133.062
162,1804.0,627.0,75.0,39.0,0.0,23.055987,72.506015,133.062
163,1799.0,627.0,74.0,40.0,0.0,23.055987,72.506015,133.062
164,1796.0,627.0,74.0,41.0,0.0,23.055987,72.506015,133.062
165,1792.0,627.0,74.0,41.0,0.0,23.055987,72.506015,133.046
166,1787.0,629.0,74.0,40.0,0.0,23.055987,72.506015,133.046
167,1784.0,630.0,73.0,40.0,0.0,23.055987,72.506015,133.046
168,1781.0,631.0,72.0,40.0,0.0,23.055987,72.506015,133.046
169,1777.0,632.0,72.0,39.0,0.0,23.055987,72.506015,133.046
170,1773.0,633.0,71.0,40.0,0.0,23.055987,72.506015,133.046
171,1768.0,635.0,71.0,39.0,0.0,23.055987,72.506015,133.031
172,1762.0,636.0,72.0,39.0,0.0,23.055987,72.506015,133.031
173,1755.0,638.0,73.0,39.0,0.0,23.055987,72.506015,133.031
174,1749.0,640.0,74.0,39.0,0.0,23.055987,72.506015,133.031
175,1744.0,640.0,75.0,39.0,0.0,23.055987,72.506015,133.031
176,1741.0,639.0,75.0,39.0,0.0,23.055987,72.506015,133.031
177,1737.0,641.0,75.0,40.0,0.0,23.055987,72.506015,133.016
178,1735.0,642.0,75.0,41.0,0.0,23.055987,72.506015,133.016
179,1730.0,644.0,74.0,40.0,0.0,23.055987,72.506015,133.016
180,1726.0,645.0,74.0,40.0,0.0,23.055987,72.506015,133.016
181,1722.0,645.0,73.0,40.0,0.0,23.055987,72.506015,133.016
182,1717.0,646.0,73.0,39.0,0.0,23.055987,72.506015,133.016
183,1714.0,648.0,73.0,39.0,0.0,23.055987,72.506015,133.006
184,1707.0,649.0,73.0,39.0,0.0,23.055987,72.506015,133.006
185,1701.0,651.0,74.0,39.0,0.0,23.055987,72.506015,133.006
186,1695.0,652.0,74.0,39.0,0.0,23.055987,72.506015,133.006
187,1690.0,652.0,74.0,38.0,0.0,23.055987,72.506015,133.006
188,1685.0,653.0,73.0,38.0,0.0,23.055987,72.506015,133.006
189,1682.0,655.0,71.0,37.0,0.0,23.055987,72.506015,132.996
190,1677.0,657.0,71.0,37.0,0.0,23.055987,72.506015,132.996
191,1672.0,659.0,72.0,37.0,0.0,23.055987,72.506015,132.996
192,1665.0,660.0,72.0,36.0,0.0,23.055987,72.506015,132.996
193,1659.0,659.0,75.0,38.0,0.0,23.055987,72.506015,132.996
194,1655.0,661.0,74.0,37.0,0.0,23.055987,72.506015,132.996
195,1650.0,661.0,74.0,38.0,0.0,23.055987,72.506015,132.99
196,1645.0,662.0,74.0,38.0,0.0,23.055987,72.506015,132.99
197,1640.0,663.0,75.0,38.0,0.0,23.055987,72.506015,132.99
198,1636.0,664.0,75.0,37.0,0.0,23.055987,72.506015,132.99
199,1631.0,664.0,76.0,38.0,0.0,23.055987,72.506015,132.99
200,1628.0,666.0,75.0,38.0,0.0,23.055987,72.506015,132.99
201,1622.0,667.0,75.0,39.0,0.0,23.055987,72.506015,132.983
202,1617.0,668.0,75.0,40.0,0.0,23.055987,72.506015,132.983
203,1612.0,670.0,74.0,38.0,0.0,23.055987,72.506015,132.983
204,1606.0,669.0,74.0,39.0,0.0,23.055987,72.506015,132.983
205,1602.0,669.0,74.0,39.0,0.0,23.055987,72.506015,132.983
206,1599.0,670.0,73.0,40.0,0.0,23.055987,72.506015,132.983
207,1594.0,670.0,73.0,40.0,0.0,23.055987,72.506015,132.977
208,1589.0,671.0,73.0,41.0,0.0,23.055987,72.506015,132.977
209,1585.0,674.0,73.0,39.0,0.0,23.055987,72.506015,132.977
210,1581.0,675.0,72.0,39.0,0.0,23.055987,72.506015,132.977
211,1575.0,676.0,73.0,39.0,0.0,23.055987,72.506015,132.977
212,1571.0,677.0,71.0,38.0,0.0,23.055987,72.506015,132.977
213,1564.0,677.0,72.0,39.0,0.0,23.055987,72.506015,132.983
214,1558.0,677.0,72.0,40.0,0.0,23.055987,72.506015,132.983
215,1554.0,678.0,72.0,40.0,0.0,23.055987,72.506015,132.983
216,1548.0,678.0,73.0,40.0,0.0,23.055987,72.506015,132.983
217,1543.0,678.0,73.0,40.0,0.0,23.055987,72.506015,132.983
218,1539.0,679.0,73.0,39.0,0.0,23.055987,72.506015,132.983
219,1536.0,680.0,73.0,39.0,0.0,23.055987,72.506015,132.986
220,1531.0,681.0,71.0,39.0,0.0,23.055987,72.506015,132.986
221,1524.0,682.0,71.0,39.0,0.0,23.055987,72.506015,132.986
222,1518.0,683.0,72.0,39.0,0.0,23.055987,72.506015,132.986
223,1513.0,685.0,72.0,38.0,0.0,23.055987,72.506015,132.986
224,1508.0,685.0,71.0,38.0,0.0,23.055987,72.506015,132.986
225,1504.0,686.0,71.0,37.0,0.0,23.055987,72.506015,132.994
226,1501.0,688.0,69.0,36.0,0.0,23.055987,72.506015,132.994
227,1498.0,688.0,68.0,37.0,0.0,23.055987,72.506015,132.994
228,1494.0,689.0,68.0,37.0,0.0,23.055987,72.506015,132.994
229,1488.0,688.0,69.0,35.0,0.0,23.055987,72.506015,132.994
230,1482.0,689.0,69.0,35.0,0.0,23.055987,72.506015,132.994
231,1477.0,690.0,69.0,36.0,0.0,23.055987,72.506015,132.998
232,1473.0,690.0,70.0,36.0,0.0,23.055987,72.506015,132.998
233,1469.0,691.0,69.0,35.0,0.0,23.055987,72.506015,132.998
234,1463.0,690.0,68.0,35.0,0.0,23.055987,72.506015,132.998
235,1457.0,690.0,69.0,36.0,0.0,23.055987,72.506015,132.998
236,1452.0,689.0,70.0,37.0,0.0,23.055987,72.506015,132.998
237,1450.0,690.0,69.0,36.0,0.0,23.055987,72.506014,133.006
238,1447.0,691.0,68.0,36.0,0.0,23.055987,72.506014,133.006
239,1441.0,691.0,70.0,36.0,0.0,23.055987,72.506014,133.006
240,1436.0,691.0,70.0,37.0,0.0,23.055987,72.506014,133.006
241,1433.0,691.0,70.0,38.0,0.0,23.055987,72.506014,133.006
242,1429.0,692.0,70.0,37.0,0.0,23.055987,72.506014,133.006
243,1424.0,692.0,71.0,37.0,0.0,23.055987,72.506015,133.012
244,1419.0,691.0,71.0,37.0,0.0,23.055987,72.506015,133.012
245,1416.0,691.0,71.0,38.0,0.0,23.055987,72.506015,133.012
246,1411.0,691.0,72.0,38.0,0.0,23.055987,72.506014,133.012
247,1406.0,691.0,72.0,37.0,0.0,23.055987,72.506014,133.012
248,1403.0,691.0,70.0,36.0,0.0,23.055987,72.506014,133.012
249,1399.0,691.0,70.0,37.0,0.0,23.055987,72.506014,133.019
250,1395.0,691.0,69.0,37.0,0.0,23.055987,72.506014,133.019
251,1392.0,692.0,70.0,36.0,0.0,23.055987,72.506014,133.019
252,1386.0,692.0,70.0,36.0,0.0,23.055987,72.506014,133.019
253,1382.0,693.0,70.0,35.0,0.0,23.055987,72.506014,133.019
254,1380.0,693.0,70.0,35.0,0.0,23.055987,72.506014,133.019
255,1375.0,694.0,70.0,34.0,0.0,23.055987,72.506014,133.025
256,1369.0,694.0,71.0,34.0,0.0,23.055987,72.506014,133.025
257,1364.0,694.0,74.0,35.0,0.0,23.055987,72.506014,133.025
258,1359.0,694.0,75.0,35.0,0.0,23.055987,72.506014,133.025
259,1355.0,694.0,76.0,36.0,0.0,23.055987,72.506014,133.025
260,1352.0,694.0,75.0,35.0,0.0,23.055987,72.506014,133.025
261,1347.0,694.0,75.0,35.0,0.0,23.055987,72.506014,133.034
262,1346.0,694.0,74.0,34.0,0.0,23.055987,72.506014,133.034
263,1341.0,695.0,75.0,34.0,0.0,23.055987,72.506014,133.034
264,1339.0,695.0,75.0,34.0,0.0,23.055987,72.506014,133.034
