frameNo,left,top,w,h,conf,lat,long,alt
2090,52.0,882.0,49.0,30.0,0.0,23.055988,72.506014,132.476
2091,56.0,884.0,51.0,30.0,0.0,23.055988,72.506014,132.476
2092,61.0,884.0,52.0,30.0,0.0,23.055988,72.506014,132.476
2093,73.0,885.0,51.0,30.0,0.0,23.055988,72.506014,132.476
2094,83.0,886.0,51.0,31.0,0.0,23.055988,72.506014,132.476
2095,92.0,888.0,51.0,30.0,0.0,23.055988,72.506014,132.481
2096,97.0,887.0,54.0,32.0,0.0,23.055988,72.506014,132.481
2097,104.0,887.0,52.0,31.0,0.0,23.055988,72.506014,132.481
2098,112.0,885.0,54.0,32.0,0.0,23.055988,72.506014,132.481
2099,120.0,884.0,54.0,32.0,0.0,23.055988,72.506014,132.481
2100,129.0,886.0,53.0,31.0,0.0,23.055988,72.506014,132.481
2101,136.0,886.0,53.0,32.0,0.0,23.055988,72.506014,132.482
2102,144.0,885.0,50.0,32.0,0.0,23.055988,72.506014,132.482
2103,155.0,883.0,49.0,31.0,0.0,23.055988,72.506014,132.482
2104,163.0,883.0,48.0,29.0,0.0,23.055988,72.506014,132.482
2105,170.0,882.0,47.0,29.0,0.0,23.055988,72.506014,132.482
2106,180.0,884.0,49.0,30.0,0.0,23.055988,72.506014,132.482
2107,187.0,884.0,49.0,30.0,0.0,23.055988,72.506014,132.482
2108,194.0,883.0,49.0,31.0,0.0,23.055988,72.506014,132.482
2109,204.0,882.0,51.0,30.0,0.0,23.055988,72.506014,132.482
2110,213.0,881.0,50.0,30.0,0.0,23.055988,72.506014,132.482
2111,218.0,881.0,49.0,30.0,0.0,23.055988,72.506014,132.482
2112,230.0,882.0,46.0,29.0,0.0,23.055988,72.506014,132.482
2113,237.0,882.0,45.0,30.0,0.0,23.055988,72.506014,132.486
2114,242.0,881.0,44.0,30.0,0.0,23.055988,72.506014,132.486
2115,250.0,880.0,45.0,30.0,0.0,23.055988,72.506014,132.486
2116,258.0,880.0,50.0,29.0,0.0,23.055988,72.506014,132.486
2117,264.0,879.0,51.0,30.0,0.0,23.055988,72.506014,132.486
2118,274.0,878.0,49.0,30.0,0.0,23.055988,72.506014,132.486
2119,282.0,878.0,47.0,30.0,0.0,23.055988,72.506014,132.48
2120,288.0,878.0,45.0,30.0,0.0,23.055988,72.506014,132.48
2121,293.0,877.0,45.0,31.0,0.0,23.055988,72.506014,132.48
2122,300.0,877.0,43.0,31.0,0.0,23.055988,72.506014,132.48
2123,311.0,876.0,45.0,30.0,0.0,23.055988,72.506014,132.48
2124,318.0,876.0,48.0,30.0,0.0,23.055988,72.506014,132.48
2125,323.0,877.0,52.0,31.0,0.0,23.055988,72.506014,132.48
2126,331.0,876.0,50.0,30.0,0.0,23.055988,72.506014,132.48
2127,339.0,874.0,50.0,31.0,0.0,23.055988,72.506014,132.48
2128,345.0,873.0,50.0,31.0,0.0,23.055988,72.506014,132.48
2129,353.0,872.0,47.0,31.0,0.0,23.055988,72.506014,132.48
2130,364.0,870.0,44.0,31.0,0.0,23.055988,72.506014,132.48
2131,372.0,870.0,41.0,31.0,0.0,23.055988,72.506014,132.484
2132,377.0,871.0,40.0,30.0,0.0,23.055988,72.506014,132.484
2133,381.0,871.0,43.0,30.0,0.0,23.055988,72.506014,132.484
2134,388.0,870.0,41.0,31.0,0.0,23.055988,72.506014,132.484
2135,396.0,871.0,40.0,30.0,0.0,23.055988,72.506014,132.484
2136,401.0,870.0,40.0,31.0,0.0,23.055988,72.506014,132.484
2137,406.0,871.0,38.0,30.0,0.0,23.055988,72.506014,132.489
2138,418.0,872.0,40.0,30.0,0.0,23.055988,72.506014,132.489
2139,425.8,871.2,40.0,29.8,0.0,23.055988,72.506014,132.4884
2140,433.6,870.4,40.0,29.6,0.0,23.055988,72.506014,132.4878
2141,441.4,869.6,40.0,29.4,0.0,23.055988,72.506014,132.4872
2142,449.2,868.8,40.0,29.2,0.0,23.055988,72.506014,132.48659999999998
2143,457.0,868.0,40.0,29.0,0.0,23.055988,72.506014,132.486
2144,463.0,866.0,41.0,29.0,0.0,23.055988,72.506014,132.486
2145,468.0,866.0,40.0,29.0,0.0,23.055988,72.506014,132.486
2146,473.0,866.0,39.0,29.0,0.0,23.055988,72.506014,132.486
2147,478.0,866.0,38.0,29.0,0.0,23.055988,72.506014,132.486
2148,484.0,866.0,37.0,29.0,0.0,23.055988,72.506014,132.486
2149,491.0,866.0,37.0,30.0,0.0,23.055988,72.506014,132.483
2150,497.0,866.0,38.0,30.0,0.0,23.055988,72.506014,132.483
2151,504.0,864.0,37.0,31.0,0.0,23.055988,72.506014,132.483
2152,511.0,862.0,38.0,31.0,0.0,23.055988,72.506014,132.483
2153,518.0,860.0,38.0,31.0,0.0,23.055988,72.506014,132.483
2154,524.0,859.0,38.0,32.0,0.0,23.055988,72.506014,132.483
2155,528.0,859.0,38.0,31.0,0.0,23.055988,72.506014,132.485
2156,532.25,857.25,39.25,31.5,0.0,23.055988,72.506014,132.485
2157,536.5,855.5,40.5,32.0,0.0,23.055988,72.506014,132.485
2158,540.75,853.75,41.75,32.5,0.0,23.055988,72.506014,132.485
2159,545.0,852.0,43.0,33.0,0.0,23.055988,72.506014,132.485
2160,551.0,854.0,44.0,31.0,0.0,23.055988,72.506014,132.485
2161,557.375,853.25,43.5,31.0,0.0,23.055988,72.506014,132.483
2162,563.75,852.5,43.0,31.0,0.0,23.055988,72.506014,132.481
2163,570.125,851.75,42.5,31.0,0.0,23.055988,72.506014,132.479
2164,576.5,851.0,42.0,31.0,0.0,23.055988,72.506014,132.477
2165,582.875,850.25,41.5,31.0,0.0,23.055988,72.506014,132.475
2166,589.25,849.5,41.0,31.0,0.0,23.055988,72.506014,132.473
2167,595.625,848.75,40.5,31.0,0.0,23.055988,72.506014,132.471
