frameNo,left,top,w,h,conf,lat,long,alt
2388,3722.0,1238.0,44.0,28.0,0.0,23.055988,72.506014,132.77
2389,3716.0,1241.0,42.0,27.0,0.0,23.055988,72.506014,132.774
2390,3700.0,1244.0,42.0,27.0,0.0,23.055988,72.506014,132.774
2391,3691.0,1247.0,39.0,25.0,0.0,23.055988,72.506014,132.774
2392,3679.0,1248.0,39.0,25.0,0.0,23.055988,72.506014,132.774
2393,3662.0,1250.0,40.0,25.0,0.0,23.055988,72.506014,132.774
2394,3648.0,1252.0,41.0,26.0,0.0,23.055988,72.506014,132.774
2395,3639.0,1253.0,41.0,26.0,0.0,23.055988,72.506014,132.78
2396,3626.0,1253.0,42.0,26.0,0.0,23.055988,72.506014,132.78
2397,3612.0,1254.0,41.0,27.0,0.0,23.055988,72.506014,132.78
2398,3598.0,1256.0,43.0,28.0,0.0,23.055988,72.506014,132.78
2399,3589.0,1257.0,43.0,29.0,0.0,23.055988,72.506014,132.78
2400,3576.0,1258.0,42.0,29.0,0.0,23.055988,72.506014,132.78
2401,3565.0,1260.0,41.0,29.0,0.0,23.055988,72.506014,132.787
2402,3549.0,1262.0,43.0,30.0,0.0,23.055988,72.506014,132.787
2403,3538.0,1262.0,44.0,30.0,0.0,23.055988,72.506014,132.787
2404,3530.0,1262.0,45.0,31.0,0.0,23.055988,72.506014,132.787
2405,3515.0,1264.0,45.0,31.0,0.0,23.055988,72.506014,132.787
2406,3498.0,1266.0,46.0,31.0,0.0,23.055988,72.506014,132.787
2407,3485.0,1266.0,46.0,30.0,0.0,23.055988,72.506014,132.788
2408,3476.0,1266.0,47.0,30.0,0.0,23.055988,72.506014,132.788
2409,3466.0,1268.0,45.0,30.0,0.0,23.055988,72.506014,132.788
2410,3453.0,1269.0,44.0,30.0,0.0,23.055988,72.506014,132.788
2411,3441.0,1271.0,42.0,29.0,0.0,23.055988,72.506014,132.788
2412,3434.0,1271.0,41.0,29.0,0.0,23.055988,72.506014,132.788
2413,3421.0,1273.0,42.0,28.0,0.0,23.055988,72.506014,132.793
2414,3407.0,1273.0,41.0,29.0,0.0,23.055988,72.506014,132.793
2415,3394.0,1276.0,40.0,29.0,0.0,23.055988,72.506014,132.793
2416,3382.0,1278.0,42.0,29.0,0.0,23.055988,72.506014,132.793
2417,3371.0,1279.0,42.0,30.0,0.0,23.055988,72.506014,132.793
2418,3356.0,1281.0,42.0,29.0,0.0,23.055988,72.506014,132.793
2419,3346.0,1282.0,42.0,29.0,0.0,23.055988,72.506014,132.795
2420,3337.0,1284.0,42.0,29.0,0.0,23.055988,72.506014,132.795
2421,3327.0,1284.0,41.0,29.0,0.0,23.055988,72.506014,132.795
2422,3313.0,1284.0,40.0,30.0,0.0,23.055988,72.506014,132.795
2423,3302.0,1285.0,40.0,29.0,0.0,23.055988,72.506014,132.795
2424,3290.0,1286.0,40.0,30.0,0.0,23.055988,72.506014,132.795
2425,3283.0,1289.0,39.0,29.0,0.0,23.055988,72.506014,132.795
2426,3272.0,1291.0,39.0,31.0,0.0,23.055988,72.506014,132.795
2427,3262.0,1293.0,38.0,30.0,0.0,23.055988,72.506014,132.795
2428,3252.0,1294.0,38.0,29.0,0.0,23.055988,72.506014,132.795
2429,3241.0,1294.0,39.0,28.0,0.0,23.055988,72.506014,132.795
2430,3229.0,1296.0,39.0,28.0,0.0,23.055988,72.506014,132.795
2431,3220.0,1298.0,38.0,28.0,0.0,23.055988,72.506014,132.797
2432,3206.0,1298.0,38.0,28.0,0.0,23.055988,72.506014,132.797
2433,3196.0,1300.0,38.0,28.0,0.0,23.055988,72.506014,132.797
2434,3183.0,1300.0,38.0,29.0,0.0,23.055988,72.506014,132.797
2435,3173.0,1302.0,38.0,29.0,0.0,23.055988,72.506014,132.797
2436,3162.0,1304.0,39.0,29.0,0.0,23.055988,72.506014,132.797
2437,3152.0,1303.0,39.0,30.0,0.0,23.055988,72.506014,132.793
2438,3142.0,1306.0,39.0,30.0,0.0,23.055988,72.506014,132.793
2439,3128.0,1307.0,40.0,30.0,0.0,23.055988,72.506014,132.793
