frameNo,left,top,w,h,conf,lat,long,alt
227,2104.0,2044.0,51.0,66.0,0.0,23.055987,72.506015,132.994
228,2098.0,2037.0,49.0,65.0,0.0,23.055987,72.506015,132.994
229,2099.0,2029.0,47.0,65.0,0.0,23.055987,72.506015,132.994
230,2088.0,2018.0,52.0,71.0,0.0,23.055987,72.506015,132.994
231,2080.0,2011.0,54.0,69.0,0.0,23.055987,72.506015,132.998
232,2081.0,2004.0,51.0,68.0,0.0,23.055987,72.506015,132.998
233,2074.0,1997.0,51.0,66.0,0.0,23.055987,72.506015,132.998
234,2072.0,1988.0,51.0,66.0,0.0,23.055987,72.506015,132.998
235,2074.0,1985.0,48.0,64.0,0.0,23.055987,72.506015,132.998
236,2069.0,1978.0,46.0,61.0,0.0,23.055987,72.506015,132.998
237,2067.0,1969.0,45.0,63.0,0.0,23.055987,72.506014,133.006
238,2066.0,1962.0,43.0,63.0,0.0,23.055987,72.506014,133.006
239,2061.6111111111113,1954.1666666666667,43.22222222222222,63.111111111111114,0.0,23.055987,72.506014,133.00705555555555
240,2057.222222222222,1946.3333333333333,43.44444444444444,63.22222222222222,0.0,23.055987,72.506014,133.0081111111111
241,2052.8333333333335,1938.5,43.666666666666664,63.333333333333336,0.0,23.055987,72.506014,133.00916666666666
242,2048.4444444444443,1930.6666666666667,43.888888888888886,63.44444444444444,0.0,23.055987,72.506014,133.0102222222222
243,2044.0555555555557,1922.8333333333333,44.111111111111114,63.55555555555556,0.0,23.055987,72.506014,133.0112777777778
244,2039.6666666666667,1915.0,44.333333333333336,63.666666666666664,0.0,23.055987,72.506014,133.01233333333334
245,2035.2777777777778,1907.1666666666667,44.55555555555556,63.77777777777778,0.0,23.055987,72.506014,133.0133888888889
246,2030.888888888889,1899.3333333333333,44.77777777777778,63.888888888888886,0.0,23.055987,72.506014,133.01444444444445
247,2026.5,1891.5,45.0,64.0,0.0,23.055987,72.506014,133.0155
248,2022.111111111111,1883.6666666666667,45.22222222222222,64.11111111111111,0.0,23.055987,72.506014,133.01655555555556
249,2017.7222222222222,1875.8333333333333,45.44444444444444,64.22222222222223,0.0,23.055987,72.506014,133.0176111111111
250,2013.3333333333333,1868.0,45.666666666666664,64.33333333333333,0.0,23.055987,72.506014,133.01866666666666
251,2008.9444444444443,1860.1666666666667,45.888888888888886,64.44444444444444,0.0,23.055987,72.506014,133.0197222222222
252,2004.5555555555557,1852.3333333333333,46.111111111111114,64.55555555555556,0.0,23.055987,72.506014,133.0207777777778
253,2000.1666666666667,1844.5,46.333333333333336,64.66666666666667,0.0,23.055987,72.506014,133.02183333333335
254,1995.7777777777778,1836.6666666666667,46.55555555555556,64.77777777777777,0.0,23.055987,72.506014,133.0228888888889
255,1991.388888888889,1828.8333333333333,46.77777777777778,64.88888888888889,0.0,23.055987,72.506014,133.02394444444445
256,1987.0,1821.0,47.0,65.0,0.0,23.055987,72.506014,133.025
257,1982.0,1814.0,48.0,66.0,0.0,23.055987,72.506014,133.025
258,1978.75,1807.25,48.75,65.0,0.0,23.055987,72.506014,133.02725
259,1975.5,1800.5,49.5,64.0,0.0,23.055987,72.506014,133.02949999999998
260,1972.25,1793.75,50.25,63.0,0.0,23.055987,72.506014,133.03175
261,1969.0,1787.0,51.0,62.0,0.0,23.055987,72.506014,133.034
262,1964.75,1780.0,50.75,61.75,0.0,23.055987,72.506014,133.034
263,1960.5,1773.0,50.5,61.5,0.0,23.055987,72.506014,133.034
264,1956.25,1766.0,50.25,61.25,0.0,23.055987,72.506014,133.034
265,1952.0,1759.0,50.0,61.0,0.0,23.055987,72.506014,133.034
266,1952.0,1752.0,47.0,62.0,0.0,23.055987,72.506014,133.034
267,1947.75,1744.0,47.5,62.25,0.0,23.055987,72.506014,133.034
268,1943.5,1736.0,48.0,62.5,0.0,23.055987,72.506014,133.034
269,1939.25,1728.0,48.5,62.75,0.0,23.055987,72.506014,133.034
270,1935.0,1720.0,49.0,63.0,0.0,23.055987,72.506014,133.034
271,1932.0,1714.0,50.0,64.0,0.0,23.055987,72.506014,133.034
272,1933.0,1720.0,50.0,58.0,0.0,23.055987,72.506014,133.034
273,1929.0,1709.0,49.0,59.0,0.0,23.055987,72.506014,133.03
274,1925.0,1700.5,48.0,59.75,0.0,23.055987,72.506014,133.03
275,1921.0,1692.0,47.0,60.5,0.0,23.055987,72.506014,133.03
276,1917.0,1683.5,46.0,61.25,0.0,23.055987,72.506014,133.03
277,1913.0,1675.0,45.0,62.0,0.0,23.055987,72.506014,133.03
278,1909.0,1669.0,45.0,61.0,0.0,23.055987,72.506014,133.03
279,1908.0,1662.0,44.0,60.0,0.0,23.055987,72.506014,133.031
280,1906.0,1656.0,44.0,60.0,0.0,23.055987,72.506014,133.031
281,1904.0,1651.0,45.0,60.0,0.0,23.055987,72.506014,133.031
282,1902.0,1649.0,45.0,59.0,0.0,23.055987,72.506014,133.031
283,1902.0,1644.0,44.0,59.0,0.0,23.055987,72.506014,133.031
284,1902.0,1641.0,42.0,58.0,0.0,23.055987,72.506014,133.031
285,1893.0,1629.0,46.0,60.0,0.0,23.055987,72.506014,133.038
286,1889.0,1622.5,47.0,60.0,0.0,23.055987,72.506014,133.038
287,1885.0,1616.0,48.0,60.0,0.0,23.055987,72.506014,133.038
288,1881.0,1609.5,49.0,60.0,0.0,23.055987,72.506014,133.038
289,1877.0,1603.0,50.0,60.0,0.0,23.055987,72.506014,133.038
290,1877.0,1596.0,50.0,61.0,0.0,23.055987,72.506014,133.038
291,1876.0,1590.0,48.0,61.0,0.0,23.055987,72.506014,133.033
292,1872.0,1586.0,50.0,63.0,0.0,23.055987,72.506014,133.033
293,1873.0,1581.0,50.0,64.0,0.0,23.055987,72.506014,133.033
294,1870.75,1576.0,49.0,63.75,0.0,23.055987,72.506014,133.03275
295,1868.5,1571.0,48.0,63.5,0.0,23.055987,72.506014,133.0325
296,1866.25,1566.0,47.0,63.25,0.0,23.055987,72.506014,133.03225
297,1864.0,1561.0,46.0,63.0,0.0,23.055987,72.506014,133.032
298,1863.0,1556.0,45.0,64.0,0.0,23.055987,72.506014,133.032
299,1861.0,1554.0,46.0,63.0,0.0,23.055987,72.506014,133.032
300,1860.0,1549.0,45.0,62.0,0.0,23.055987,72.506014,133.032
301,1858.0,1543.0,44.0,62.0,0.0,23.055987,72.506014,133.032
302,1856.0,1542.0,44.0,61.0,0.0,23.055987,72.506014,133.032
303,1855.0,1539.0,44.0,61.0,0.0,23.055987,72.506014,133.026
304,1849.0,1530.0,48.0,61.0,0.0,23.055987,72.506014,133.026
305,1848.0,1526.0,47.0,62.0,0.0,23.055987,72.506014,133.026
306,1846.5,1522.5,47.25,62.25,0.0,23.055987,72.506014,133.02550000000002
307,1845.0,1519.0,47.5,62.5,0.0,23.055987,72.506014,133.025
308,1843.5,1515.5,47.75,62.75,0.0,23.055987,72.506014,133.0245
309,1842.0,1512.0,48.0,63.0,0.0,23.055987,72.506014,133.024
310,1837.0,1508.0,48.0,61.0,0.0,23.055987,72.506014,133.024
311,1838.0,1508.0,48.0,61.0,0.0,23.055987,72.506014,133.024
312,1837.0,1506.0,48.0,59.0,0.0,23.055987,72.506014,133.024
313,1836.0,1502.25,47.5,58.5,0.0,23.055987,72.506014,133.023
314,1835.0,1498.5,47.0,58.0,0.0,23.055987,72.506014,133.022
315,1834.0,1494.75,46.5,57.5,0.0,23.055987,72.506014,133.02100000000002
316,1833.0,1491.0,46.0,57.0,0.0,23.055987,72.506014,133.02
317,1834.0,1491.0,46.0,56.0,0.0,23.055987,72.506014,133.02
318,1832.6666666666667,1487.1666666666667,46.166666666666664,56.166666666666664,0.0,23.055987,72.506014,133.02016666666668
319,1831.3333333333333,1483.3333333333333,46.333333333333336,56.333333333333336,0.0,23.055987,72.506014,133.02033333333333
320,1830.0,1479.5,46.5,56.5,0.0,23.055987,72.506014,133.0205
321,1828.6666666666667,1475.6666666666667,46.666666666666664,56.666666666666664,0.0,23.055987,72.506014,133.02066666666667
322,1827.3333333333333,1471.8333333333333,46.833333333333336,56.833333333333336,0.0,23.055987,72.506014,133.02083333333331
323,1826.0,1468.0,47.0,57.0,0.0,23.055987,72.506014,133.021
324,1823.0,1465.0,45.0,58.0,0.0,23.055987,72.506014,133.021
325,1824.0,1464.0,45.0,59.0,0.0,23.055987,72.506014,133.021
326,1824.0,1459.0,44.0,61.0,0.0,23.055987,72.506014,133.021
327,1825.0,1457.0,42.0,61.0,0.0,23.055987,72.506014,133.014
