frameNo,left,top,w,h,conf,lat,long,alt
18,2194.0,385.0,64.0,44.0,0.0,23.055986,72.506015,133.068
19,2194.0,384.0,65.0,46.0,0.0,23.055986,72.506015,133.068
20,2194.0,384.0,65.0,46.0,0.0,23.055986,72.506015,133.068
21,2194.75,384.625,64.125,45.25,0.0,23.055986,72.506015,133.068625
22,2195.5,385.25,63.25,44.5,0.0,23.055986,72.506015,133.06925
23,2196.25,385.875,62.375,43.75,0.0,23.055986,72.506015,133.06987500000002
24,2197.0,386.5,61.5,43.0,0.0,23.055986,72.506015,133.0705
25,2197.75,387.125,60.625,42.25,0.0,23.055986,72.506015,133.071125
26,2198.5,387.75,59.75,41.5,0.0,23.055986,72.506015,133.07175
27,2199.25,388.375,58.875,40.75,0.0,23.055986,72.506015,133.07237500000002
28,2200.0,389.0,58.0,40.0,0.0,23.055986,72.506015,133.073
29,2201.0,390.0,56.0,39.0,0.0,23.055986,72.506015,133.073
30,2202.0,390.0,56.0,39.0,0.0,23.055986,72.506015,133.073
31,2202.0,390.0,56.0,39.0,0.0,23.055986,72.506015,133.073
32,2202.0,390.0,55.0,38.0,0.0,23.055986,72.506015,133.073
33,2201.8333333333335,390.0,55.333333333333336,38.0,0.0,23.055986166666667,72.506015,133.07333333333332
34,2201.6666666666665,390.0,55.666666666666664,38.0,0.0,23.055986333333333,72.506015,133.07366666666667
35,2201.5,390.0,56.0,38.0,0.0,23.0559865,72.506015,133.074
36,2201.3333333333335,390.0,56.333333333333336,38.0,0.0,23.055986666666666,72.506015,133.07433333333333
37,2201.1666666666665,390.0,56.666666666666664,38.0,0.0,23.055986833333332,72.506015,133.07466666666664
38,2201.0,390.0,57.0,38.0,0.0,23.055987,72.506015,133.075
39,2202.0,391.0,56.0,37.0,0.0,23.055987,72.506015,133.073
40,2202.0,391.0,56.0,38.0,0.0,23.055987,72.506015,133.073
41,2202.0,390.0,56.0,38.0,0.0,23.055987,72.506015,133.073
42,2203.0,391.0,56.0,37.0,0.0,23.055987,72.506015,133.073
43,2203.0,390.0,56.0,38.0,0.0,23.055987,72.506015,133.073
44,2203.0,391.0,56.0,37.0,0.0,23.055987,72.506015,133.073
45,2203.0,390.0,56.0,38.0,0.0,23.055987,72.506015,133.074
46,2204.0,391.0,56.0,37.0,0.0,23.055987,72.506015,133.074
47,2205.0,391.0,55.0,37.0,0.0,23.055987,72.506015,133.074
48,2208.0,394.0,57.0,38.0,0.0,23.055987,72.506015,133.074
49,2206.0,391.0,56.0,38.0,0.0,23.055987,72.506015,133.074
50,2209.0,394.0,58.0,38.0,0.0,23.055987,72.506015,133.074
51,2209.0,394.0,58.0,38.0,0.0,23.055987,72.506015,133.068
52,2210.0,395.0,59.0,38.0,0.0,23.055987,72.506015,133.068
53,2210.0,395.0,59.0,38.0,0.0,23.055987,72.506015,133.068
54,2210.0,396.0,60.0,38.0,0.0,23.055987,72.506015,133.068
55,2207.0,393.0,59.0,38.0,0.0,23.055987,72.506015,133.068
56,2210.0,395.0,59.0,38.0,0.0,23.055987,72.506015,133.068
57,2207.0,391.0,58.0,38.0,0.0,23.055987,72.506015,133.071
58,2209.0,393.0,58.0,39.0,0.0,23.055987,72.506015,133.071
59,2210.0,395.0,59.0,38.0,0.0,23.055987,72.506015,133.071
60,2209.0,393.0,60.0,39.0,0.0,23.055987,72.506015,133.071
61,2208.0,393.0,61.0,40.0,0.0,23.055987,72.506015,133.071
62,2209.0,393.0,60.0,39.0,0.0,23.055987,72.506015,133.071
63,2209.0,394.0,61.0,39.0,0.0,23.055987,72.506015,133.07
64,2209.0,393.0,62.0,40.0,0.0,23.055987,72.506015,133.07
65,2209.0,394.0,62.0,40.0,0.0,23.055987,72.506015,133.07
66,2209.0,394.0,62.0,40.0,0.0,23.055987,72.506015,133.07
67,2207.0,391.0,61.0,39.0,0.0,23.055987,72.506015,133.07
68,2206.0,390.0,62.0,39.0,0.0,23.055987,72.506015,133.07
69,2206.0,390.0,61.0,39.0,0.0,23.055987,72.506015,133.075
70,2206.0,389.0,60.0,39.0,0.0,23.055987,72.506015,133.075
71,2206.0,390.0,60.0,38.0,0.0,23.055987,72.506015,133.075
72,2206.0,389.0,60.0,39.0,0.0,23.055987,72.506015,133.075
73,2206.0,390.0,60.0,39.0,0.0,23.055987,72.506015,133.075
74,2206.0,390.0,59.0,39.0,0.0,23.055987,72.506015,133.075
75,2206.0,390.0,60.0,39.0,0.0,23.055987,72.506015,133.077
76,2206.0,390.0,60.0,39.0,0.0,23.055987,72.506015,133.077
77,2205.0,389.0,62.0,39.0,0.0,23.055987,72.506015,133.077
78,2208.0,392.0,62.0,40.0,0.0,23.055987,72.506015,133.077
