frameNo,left,top,w,h,conf,lat,long,alt
1267,1817.0,1.0,31.0,42.0,0.0,23.055988,72.506014,132.63
1268,1816.0,0.0,32.0,45.0,0.0,23.055988,72.506014,132.637
1269,1815.0,0.0,34.0,48.0,0.0,23.055988,72.506014,132.637
1270,1815.0,3.0,35.0,50.0,0.0,23.055988,72.506014,132.637
1271,1815.0,11.0,35.0,50.0,0.0,23.055988,72.506014,132.637
1272,1816.0,18.0,35.0,50.0,0.0,23.055988,72.506014,132.637
1273,1818.0,24.0,35.0,51.0,0.0,23.055988,72.506014,132.637
1274,1819.0,30.0,36.0,51.0,0.0,23.055988,72.506014,132.64
1275,1820.0,37.0,36.0,53.0,0.0,23.055988,72.506014,132.64
1276,1822.0,45.0,35.0,52.0,0.0,23.055988,72.506014,132.64
1277,1823.0,52.0,36.0,53.0,0.0,23.055988,72.506014,132.64
1278,1825.0,59.0,35.0,53.0,0.0,23.055988,72.506014,132.64
1279,1827.0,65.0,35.0,52.0,0.0,23.055988,72.506014,132.64
1280,1830.0,71.0,34.0,52.0,0.0,23.055988,72.506014,132.636
1281,1830.0,78.0,34.0,51.0,0.0,23.055988,72.506014,132.636
1282,1830.0,85.0,34.0,52.0,0.0,23.055988,72.506014,132.636
1283,1831.0,92.0,35.0,52.0,0.0,23.055988,72.506014,132.636
1284,1833.0,97.0,35.0,54.0,0.0,23.055988,72.506014,132.636
1285,1836.0,105.0,34.0,53.0,0.0,23.055988,72.506014,132.636
1286,1838.0,112.0,34.0,52.0,0.0,23.055988,72.506014,132.636
1287,1840.0,118.0,34.0,53.0,0.0,23.055988,72.506014,132.636
1288,1842.0,126.0,34.0,54.0,0.0,23.055988,72.506014,132.636
1289,1842.0,131.0,34.0,54.0,0.0,23.055988,72.506014,132.636
1290,1843.0,139.0,36.0,57.0,0.0,23.055988,72.506014,132.636
1291,1847.0,147.0,34.0,56.0,0.0,23.055988,72.506014,132.636
1292,1848.0,153.0,34.0,54.0,0.0,23.055988,72.506015,132.633
1293,1849.0,160.0,33.0,53.0,0.0,23.055988,72.506015,132.633
1294,1851.0,166.0,33.0,52.0,0.0,23.055988,72.506015,132.633
1295,1853.0,172.0,33.0,50.0,0.0,23.055988,72.506015,132.633
1296,1855.0,179.0,32.0,49.0,0.0,23.055988,72.506015,132.633
1297,1856.0,185.0,32.0,49.0,0.0,23.055988,72.506015,132.633
1298,1858.0,193.0,32.0,49.0,0.0,23.055988,72.506014,132.628
1299,1858.0,200.0,33.0,50.0,0.0,23.055988,72.506014,132.628
1300,1860.0,205.0,33.0,50.0,0.0,23.055988,72.506014,132.628
1301,1862.0,214.0,33.0,50.0,0.0,23.055988,72.506015,132.628
1302,1864.0,221.0,32.0,50.0,0.0,23.055988,72.506015,132.628
1303,1865.0,226.0,33.0,50.0,0.0,23.055988,72.506015,132.628
1304,1868.0,233.0,32.0,50.0,0.0,23.055988,72.506015,132.622
1305,1870.0,239.0,33.0,51.0,0.0,23.055988,72.506015,132.622
1306,1872.0,245.0,32.0,50.0,0.0,23.055988,72.506015,132.622
1307,1872.0,252.0,33.0,49.0,0.0,23.055988,72.506015,132.622
1308,1873.0,257.0,33.0,48.0,0.0,23.055988,72.506015,132.622
1309,1876.0,263.0,32.0,48.0,0.0,23.055988,72.506015,132.622
1310,1876.0,267.0,32.0,46.0,0.0,23.055988,72.506015,132.614
1311,1878.0,272.0,31.0,46.0,0.0,23.055988,72.506015,132.614
1312,1879.0,279.0,32.0,45.0,0.0,23.055988,72.506015,132.614
1313,1880.0,284.0,32.0,46.0,0.0,23.055988,72.506015,132.614
1314,1882.0,287.0,33.0,50.0,0.0,23.055988,72.506015,132.614
1315,1884.0,298.0,35.0,53.0,0.0,23.055988,72.506015,132.614
1316,1887.0,307.0,34.0,53.0,0.0,23.055988,72.506015,132.605
1317,1890.0,315.0,34.0,53.0,0.0,23.055988,72.506015,132.605
