frameNo,left,top,w,h,conf,lat,long,alt
1,2819.0,1526.0,62.0,46.0,0.0,23.055986,72.506015,133.062
2,2813.0,1529.0,67.0,47.0,0.0,23.055986,72.506015,133.062
3,2808.0,1532.0,67.0,45.0,0.0,23.055986,72.506015,133.064
4,2802.0,1535.0,69.0,46.0,0.0,23.055986,72.506015,133.064
5,2798.0,1538.0,68.0,45.0,0.0,23.055986,72.506015,133.064
6,2794.0,1543.0,67.0,45.0,0.0,23.055986,72.506015,133.064
7,2790.0,1546.0,67.0,45.0,0.0,23.055986,72.506015,133.064
8,2787.0,1549.0,68.0,45.0,0.0,23.055986,72.506015,133.064
9,2784.0,1551.0,68.0,44.0,0.0,23.055986,72.506015,133.07
10,2780.0,1555.0,67.0,45.0,0.0,23.055986,72.506015,133.07
11,2775.0,1558.0,67.0,45.0,0.0,23.055986,72.506015,133.07
12,2771.0,1561.0,66.0,45.0,0.0,23.055986,72.506015,133.07
13,2766.0,1562.0,66.0,47.0,0.0,23.055986,72.506015,133.07
14,2762.0,1565.0,66.0,48.0,0.0,23.055986,72.506015,133.07
15,2759.0,1568.0,65.0,48.0,0.0,23.055986,72.506015,133.068
16,2754.0,1571.0,63.0,48.0,0.0,23.055986,72.506015,133.068
17,2751.0,1574.0,63.0,49.0,0.0,23.055986,72.506015,133.068
18,2748.0,1578.0,63.0,49.0,0.0,23.055986,72.506015,133.068
19,2744.0,1579.0,62.0,51.0,0.0,23.055986,72.506015,133.068
20,2742.0,1583.0,61.0,53.0,0.0,23.055986,72.506015,133.068
21,2738.0,1586.0,61.0,53.0,0.0,23.055987,72.506015,133.075
22,2737.0,1591.0,59.0,52.0,0.0,23.055987,72.506015,133.075
23,2735.0,1595.0,57.0,52.0,0.0,23.055987,72.506015,133.075
24,2734.0,1598.0,54.0,52.0,0.0,23.055987,72.506015,133.075
25,2731.0,1603.0,52.0,51.0,0.0,23.055987,72.506015,133.075
26,2727.0,1607.0,51.0,52.0,0.0,23.055987,72.506015,133.075
27,2722.0,1613.0,52.0,53.0,0.0,23.055986,72.506015,133.073
28,2717.0,1617.0,52.0,53.0,0.0,23.055986,72.506015,133.073
29,2714.608695652174,1620.7391304347825,51.69565217391305,53.34782608695652,0.0,23.05598604347826,72.506015,133.07278260869566
30,2712.217391304348,1624.4782608695652,51.391304347826086,53.69565217391305,0.0,23.055986086956523,72.506015,133.07256521739131
31,2709.8260869565215,1628.2173913043478,51.08695652173913,54.04347826086956,0.0,23.055986130434782,72.506015,133.07234782608697
32,2707.4347826086955,1631.9565217391305,50.78260869565217,54.391304347826086,0.0,23.055986173913045,72.506015,133.07213043478262
33,2705.0434782608695,1635.695652173913,50.47826086956522,54.73913043478261,0.0,23.055986217391304,72.506015,133.07191304347828
34,2702.6521739130435,1639.4347826086957,50.17391304347826,55.08695652173913,0.0,23.055986260869567,72.506015,133.07169565217393
35,2700.2608695652175,1643.1739130434783,49.869565217391305,55.434782608695656,0.0,23.055986304347826,72.506015,133.07147826086958
36,2697.8695652173915,1646.9130434782608,49.565217391304344,55.78260869565217,0.0,23.055986347826085,72.506015,133.07126086956524
37,2695.478260869565,1650.6521739130435,49.26086956521739,56.130434782608695,0.0,23.055986391304348,72.506015,133.0710434782609
38,2693.086956521739,1654.391304347826,48.95652173913044,56.47826086956522,0.0,23.055986434782607,72.506015,133.07082608695654
39,2690.695652173913,1658.1304347826087,48.65217391304348,56.82608695652174,0.0,23.05598647826087,72.506015,133.0706086956522
40,2688.304347826087,1661.8695652173913,48.34782608695652,57.17391304347826,0.0,23.05598652173913,72.506015,133.07039130434782
41,2685.913043478261,1665.608695652174,48.04347826086956,57.52173913043478,0.0,23.055986565217392,72.506015,133.07017391304348
42,2683.521739130435,1669.3478260869565,47.73913043478261,57.869565217391305,0.0,23.05598660869565,72.506015,133.06995652173913
43,2681.1304347826085,1673.0869565217392,47.434782608695656,58.21739130434783,0.0,23.055986652173914,72.506015,133.06973913043478
44,2678.7391304347825,1676.8260869565217,47.130434782608695,58.565217391304344,0.0,23.055986695652173,72.506015,133.06952173913044
45,2676.3478260869565,1680.5652173913043,46.826086956521735,58.91304347826087,0.0,23.055986739130432,72.506015,133.0693043478261
46,2673.9565217391305,1684.304347826087,46.52173913043478,59.26086956521739,0.0,23.055986782608695,72.506015,133.06908695652174
47,2671.5652173913045,1688.0434782608695,46.21739130434783,59.608695652173914,0.0,23.055986826086954,72.506015,133.0688695652174
48,2669.1739130434785,1691.7826086956522,45.91304347826087,59.95652173913044,0.0,23.055986869565217,72.506015,133.06865217391305
49,2666.782608695652,1695.5217391304348,45.608695652173914,60.30434782608695,0.0,23.055986913043476,72.506015,133.0684347826087
50,2664.391304347826,1699.2608695652175,45.30434782608695,60.65217391304348,0.0,23.05598695652174,72.506015,133.06821739130436
51,2662.0,1703.0,45.0,61.0,0.0,23.055987,72.506015,133.068
52,2659.0,1705.0,48.0,66.0,0.0,23.055987,72.506015,133.068
53,2656.0,1710.0,50.0,66.0,0.0,23.055987,72.506015,133.068
54,2653.0,1714.0,50.0,66.0,0.0,23.055987,72.506015,133.068
55,2653.0,1718.0,48.0,66.0,0.0,23.055987,72.506015,133.068
56,2652.0,1721.0,47.0,66.0,0.0,23.055987,72.506015,133.068
57,2650.0,1726.0,45.0,65.0,0.0,23.055987,72.506015,133.071
58,2648.0,1729.0,43.0,65.0,0.0,23.055987,72.506015,133.071
59,2648.0,1733.0,41.0,67.0,0.0,23.055987,72.506015,133.071
60,2647.0,1736.0,41.0,68.0,0.0,23.055987,72.506015,133.071
61,2647.0,1742.0,40.0,68.0,0.0,23.055987,72.506015,133.071
62,2647.0,1744.0,40.0,70.0,0.0,23.055987,72.506015,133.071
63,2647.0,1748.0,39.0,70.0,0.0,23.055987,72.506015,133.07
64,2645.0,1752.0,39.0,72.0,0.0,23.055987,72.506015,133.07
65,2646.0,1757.0,38.0,70.0,0.0,23.055987,72.506015,133.07
66,2644.0,1763.0,38.0,69.0,0.0,23.055987,72.506015,133.07
67,2641.0,1769.0,38.0,71.0,0.0,23.055987,72.506015,133.07
68,2639.0,1773.0,38.0,72.0,0.0,23.055987,72.506015,133.07
69,2638.0,1776.0,38.0,73.0,0.0,23.055987,72.506015,133.075
70,2637.0,1782.0,38.0,73.0,0.0,23.055987,72.506015,133.075
71,2635.0,1785.0,39.0,74.0,0.0,23.055987,72.506015,133.075
72,2634.0,1788.0,39.0,75.0,0.0,23.055987,72.506015,133.075
73,2632.0,1792.0,40.0,75.0,0.0,23.055987,72.506015,133.075
74,2630.0,1797.0,40.0,74.0,0.0,23.055987,72.506015,133.075
75,2630.0,1802.0,39.0,74.0,0.0,23.055987,72.506015,133.077
76,2631.0,1806.0,39.0,73.0,0.0,23.055987,72.506015,133.077
77,2629.0,1811.0,38.0,74.0,0.0,23.055987,72.506015,133.077
78,2628.0,1816.0,39.0,73.0,0.0,23.055987,72.506015,133.077
79,2628.0,1820.0,38.0,74.0,0.0,23.055987,72.506015,133.077
80,2627.0,1824.0,37.0,72.0,0.0,23.055987,72.506015,133.077
81,2625.0,1828.0,37.0,72.0,0.0,23.055987,72.506015,133.087
82,2624.0,1831.0,37.0,74.0,0.0,23.055987,72.506015,133.087
83,2623.0,1836.0,37.0,73.0,0.0,23.055987,72.506015,133.087
84,2622.0,1840.0,37.0,74.0,0.0,23.055987,72.506015,133.087
85,2621.0,1844.0,37.0,75.0,0.0,23.055987,72.506015,133.087
86,2622.0,1847.0,37.0,76.0,0.0,23.055987,72.506015,133.087
87,2622.0,1852.0,37.0,75.0,0.0,23.055987,72.506015,133.096
88,2622.0,1857.0,36.0,74.0,0.0,23.055987,72.506015,133.096
89,2621.0,1861.0,35.0,76.0,0.0,23.055987,72.506015,133.096
90,2618.0,1866.0,37.0,76.0,0.0,23.055987,72.506015,133.096
91,2618.0,1868.0,37.0,76.0,0.0,23.055987,72.506015,133.096
92,2616.0,1873.0,37.0,76.0,0.0,23.055987,72.506015,133.096
93,2614.0,1878.0,39.0,75.0,0.0,23.055987,72.506015,133.101
94,2614.0,1882.0,38.0,73.0,0.0,23.055987,72.506015,133.101
95,2614.0,1888.0,38.0,73.0,0.0,23.055987,72.506015,133.101
96,2613.0,1892.0,39.0,73.0,0.0,23.055987,72.506015,133.101
97,2612.0,1898.0,39.0,73.0,0.0,23.055987,72.506015,133.101
98,2612.0,1903.0,38.0,74.0,0.0,23.055987,72.506015,133.101
99,2612.0,1907.0,38.0,74.0,0.0,23.055987,72.506015,133.107
100,2611.0,1912.0,38.0,73.0,0.0,23.055987,72.506015,133.107
101,2610.0,1915.0,37.0,74.0,0.0,23.055987,72.506015,133.107
102,2610.0,1920.0,37.0,74.0,0.0,23.055987,72.506015,133.107
103,2611.0,1924.0,36.0,74.0,0.0,23.055987,72.506015,133.107
104,2611.0,1929.0,36.0,74.0,0.0,23.055987,72.506015,133.107
105,2611.0,1934.0,36.0,75.0,0.0,23.055987,72.506015,133.106
106,2611.0,1939.0,36.0,76.0,0.0,23.055987,72.506015,133.106
107,2610.0,1947.0,36.0,74.0,0.0,23.055987,72.506015,133.106
108,2611.0,1953.0,36.0,73.0,0.0,23.055987,72.506015,133.106
109,2611.0,1956.0,36.0,74.0,0.0,23.055987,72.506015,133.106
110,2611.0,1961.0,36.0,73.0,0.0,23.055987,72.506015,133.106
111,2610.0,1966.0,37.0,71.0,0.0,23.055987,72.506015,133.107
112,2610.0,1970.0,37.0,73.0,0.0,23.055987,72.506015,133.107
113,2611.0,1975.0,36.0,72.0,0.0,23.055987,72.506015,133.107
114,2610.0,1980.0,37.0,72.0,0.0,23.055987,72.506015,133.107
115,2611.0,1987.0,36.0,71.0,0.0,23.055987,72.506015,133.107
116,2610.0,1992.0,37.0,71.0,0.0,23.055987,72.506015,133.107
117,2610.0,1998.0,38.0,72.0,0.0,23.055987,72.506015,133.107
118,2610.0,2001.0,37.0,74.0,0.0,23.055987,72.506015,133.107
119,2611.0,2005.0,37.0,75.0,0.0,23.055987,72.506015,133.107
120,2611.0,2009.0,38.0,75.0,0.0,23.055987,72.506015,133.107
121,2612.0,2014.0,40.0,75.0,0.0,23.055987,72.506015,133.107
122,2612.0,2021.0,41.0,75.0,0.0,23.055987,72.506015,133.107
123,2612.0,2026.0,41.0,75.0,0.0,23.055987,72.506015,133.108
124,2612.0,2031.0,42.0,75.0,0.0,23.055987,72.506015,133.108
125,2613.0,2035.0,42.0,75.0,0.0,23.055987,72.506015,133.108
126,2614.0,2041.0,41.0,75.0,0.0,23.055987,72.506015,133.108
127,2614.0,2046.0,43.0,73.0,0.0,23.055987,72.506015,133.108
128,2616.0,2052.0,42.0,72.0,0.0,23.055987,72.506015,133.108
129,2617.0,2057.0,42.0,72.0,0.0,23.055987,72.506015,133.096
130,2619.0,2063.0,41.0,71.0,0.0,23.055987,72.506015,133.096
131,2621.0,2068.0,39.0,71.0,0.0,23.055987,72.506015,133.096
132,2621.0,2073.0,39.0,72.0,0.0,23.055987,72.506015,133.096
133,2622.0,2078.0,39.0,72.0,0.0,23.055987,72.506015,133.096
134,2623.0,2083.0,40.0,72.0,0.0,23.055987,72.506015,133.096
135,2624.0,2086.0,41.0,73.0,0.0,23.055987,72.506015,133.09
136,2626.0,2090.0,41.0,69.0,0.0,23.055987,72.506015,133.09
137,2628.0,2095.0,41.0,64.0,0.0,23.055987,72.506015,133.09
138,2628.3333333333335,2102.3333333333335,39.333333333333336,56.666666666666664,0.0,23.055987,72.506015,133.09
139,2628.6666666666665,2109.6666666666665,37.666666666666664,49.333333333333336,0.0,23.055987,72.506015,133.09
140,2629.0,2117.0,36.0,42.0,0.0,23.055987,72.506015,133.09
