frameNo,left,top,w,h,conf,lat,long,alt
1,2520.0,570.0,67.0,45.0,0.0,23.055986,72.506015,133.062
2,2520.0,570.0,65.0,45.0,0.0,23.055986,72.506015,133.062
3,2520.0,570.0,65.0,45.0,0.0,23.055986,72.506015,133.064
4,2520.0,570.0,65.0,46.0,0.0,23.055986,72.506015,133.064
5,2520.0,570.0,64.0,46.0,0.0,23.055986,72.506015,133.064
6,2521.0,569.0,65.0,46.0,0.0,23.055986,72.506015,133.064
7,2520.0,569.0,65.0,46.0,0.0,23.055986,72.506015,133.064
8,2521.0,570.0,64.0,46.0,0.0,23.055986,72.506015,133.064
9,2521.0,571.0,65.0,45.0,0.0,23.055986,72.506015,133.07
10,2520.0,571.0,65.0,44.0,0.0,23.055986,72.506015,133.07
11,2520.0,571.0,65.0,44.0,0.0,23.055986,72.506015,133.07
12,2518.0,572.0,65.0,44.0,0.0,23.055986,72.506015,133.07
13,2517.0,573.0,64.0,43.0,0.0,23.055986,72.506015,133.07
14,2517.0,574.0,63.0,42.0,0.0,23.055986,72.506015,133.07
15,2517.0,575.0,62.0,41.0,0.0,23.055986,72.506015,133.068
16,2516.0,574.0,63.0,42.0,0.0,23.055986,72.506015,133.068
17,2517.0,574.0,62.0,41.0,0.0,23.055986,72.506015,133.068
18,2516.0,574.0,63.0,41.0,0.0,23.055986,72.506015,133.068
19,2516.0,574.0,62.0,41.0,0.0,23.055986,72.506015,133.068
20,2517.0,574.0,63.0,41.0,0.0,23.055986,72.506015,133.068
21,2518.0,573.0,63.0,42.0,0.0,23.055987,72.506015,133.075
22,2518.0,573.0,64.0,41.0,0.0,23.055987,72.506015,133.075
23,2519.0,572.0,63.0,42.0,0.0,23.055987,72.506015,133.075
24,2519.0,571.0,64.0,42.0,0.0,23.055987,72.506015,133.075
25,2519.0,571.0,65.0,42.0,0.0,23.055987,72.506015,133.075
26,2519.0,570.0,66.0,43.0,0.0,23.055987,72.506015,133.075
27,2519.0,569.0,66.0,44.0,0.0,23.055986,72.506015,133.073
28,2519.0,569.0,67.0,44.0,0.0,23.055986,72.506015,133.073
29,2519.0,568.0,67.0,45.0,0.0,23.055986,72.506015,133.073
30,2519.0,569.0,67.0,44.0,0.0,23.055986,72.506015,133.073
31,2519.0,569.0,66.0,45.0,0.0,23.055986,72.506015,133.073
32,2519.0,570.0,66.0,44.0,0.0,23.055986,72.506015,133.073
33,2519.0,569.0,65.0,45.0,0.0,23.055987,72.506015,133.075
