frameNo,left,top,w,h,conf,lat,long,alt
366,57.0,858.0,47.0,32.0,0.0,23.055987,72.506014,132.975
367,72.0,861.0,44.0,29.0,0.0,23.055987,72.506014,132.975
368,83.0,860.0,43.0,29.0,0.0,23.055987,72.506014,132.975
369,92.0,859.0,43.0,29.0,0.0,23.055987,72.506014,132.963
370,100.0,860.0,42.0,29.0,0.0,23.055987,72.506014,132.963
371,111.0,860.0,43.0,30.0,0.0,23.055987,72.506014,132.963
372,122.0,861.0,44.0,29.0,0.0,23.055987,72.506014,132.963
373,130.0,863.0,44.0,29.0,0.0,23.055987,72.506014,132.963
374,140.0,863.0,44.0,29.0,0.0,23.055987,72.506014,132.963
375,151.0,863.0,43.0,30.0,0.0,23.055987,72.506014,132.952
376,157.0,864.0,43.0,31.0,0.0,23.055987,72.506014,132.952
377,171.0,864.0,42.0,31.0,0.0,23.055987,72.506014,132.952
378,184.0,865.0,41.0,29.0,0.0,23.055987,72.506014,132.952
379,192.0,864.0,40.0,30.0,0.0,23.055987,72.506014,132.952
380,199.0,865.0,41.0,29.0,0.0,23.055987,72.506014,132.952
381,213.0,864.0,39.0,30.0,0.0,23.055987,72.506014,132.944
382,223.0,865.0,38.0,29.0,0.0,23.055987,72.506014,132.944
383,233.0,865.0,38.0,30.0,0.0,23.055987,72.506014,132.944
384,242.0,864.0,38.0,31.0,0.0,23.055987,72.506014,132.944
385,252.0,865.0,38.0,31.0,0.0,23.055987,72.506014,132.944
386,264.0,864.0,38.0,31.0,0.0,23.055987,72.506014,132.944
387,275.0,865.0,37.0,31.0,0.0,23.055987,72.506014,132.931
388,285.0,865.0,37.0,31.0,0.0,23.055987,72.506014,132.931
389,291.0,865.0,38.0,30.0,0.0,23.055987,72.506014,132.931
390,299.0,867.0,37.0,30.0,0.0,23.055987,72.506014,132.931
391,307.0,868.0,37.0,30.0,0.0,23.055987,72.506014,132.931
392,319.0,867.0,36.0,30.0,0.0,23.055987,72.506014,132.931
393,327.0,867.0,36.0,30.0,0.0,23.055987,72.506014,132.925
394,335.0,868.0,37.0,30.0,0.0,23.055987,72.506014,132.925
395,342.0,870.0,37.0,30.0,0.0,23.055987,72.506014,132.925
396,354.0,870.0,37.0,30.0,0.0,23.055987,72.506014,132.925
397,360.0,870.0,38.0,30.0,0.0,23.055987,72.506014,132.925
398,371.0,868.0,38.0,30.0,0.0,23.055987,72.506014,132.925
399,380.0,868.0,37.0,30.0,0.0,23.055987,72.506014,132.912
400,387.0,869.0,36.0,30.0,0.0,23.055987,72.506014,132.912
401,394.0,870.0,36.0,30.0,0.0,23.055987,72.506014,132.912
402,402.0,870.0,35.0,31.0,0.0,23.055987,72.506014,132.912
403,409.0,870.0,36.0,32.0,0.0,23.055987,72.506014,132.912
404,419.0,871.0,36.0,31.0,0.0,23.055987,72.506014,132.912
405,428.0,873.0,36.0,31.0,0.0,23.055987,72.506014,132.903
406,436.0,873.0,37.0,30.0,0.0,23.055987,72.506014,132.903
407,444.0,875.0,37.0,29.0,0.0,23.055987,72.506014,132.903
408,451.0,873.0,36.0,30.0,0.0,23.055987,72.506014,132.903
409,466.0,872.0,35.0,30.0,0.0,23.055987,72.506014,132.903
410,472.0,873.0,39.0,30.0,0.0,23.055987,72.506014,132.903
411,479.0,871.0,37.0,31.0,0.0,23.055987,72.506014,132.888
412,487.75,871.0,37.25,31.25,0.0,23.055987,72.506014,132.888
413,496.5,871.0,37.5,31.5,0.0,23.055987,72.506014,132.888
414,505.25,871.0,37.75,31.75,0.0,23.055987,72.506014,132.888
415,514.0,871.0,38.0,32.0,0.0,23.055987,72.506014,132.888
416,522.0,870.0,38.0,32.0,0.0,23.055987,72.506014,132.888
417,528.0,872.0,40.0,32.0,0.0,23.055987,72.506014,132.881
418,532.0,871.0,41.0,32.0,0.0,23.055987,72.506014,132.881
