frameNo,left,top,w,h,conf,lat,long,alt
1,2245.0,462.0,69.0,36.0,0.0,23.055986,72.506015,133.062
2,2246.0,461.0,69.0,35.0,0.0,23.055986,72.506015,133.062
3,2245.0,461.0,70.0,36.0,0.0,23.055986,72.506015,133.064
4,2245.0,463.0,69.0,36.0,0.0,23.055986,72.506015,133.064
5,2246.0,462.0,70.0,36.0,0.0,23.055986,72.506015,133.064
6,2246.0,461.0,71.0,37.0,0.0,23.055986,72.506015,133.064
7,2247.0,461.0,71.0,37.0,0.0,23.055986,72.506015,133.064
8,2248.0,460.0,71.0,37.0,0.0,23.055986,72.506015,133.064
9,2248.0,461.0,71.0,37.0,0.0,23.055986,72.506015,133.07
10,2248.0,461.0,70.0,37.0,0.0,23.055986,72.506015,133.07
11,2248.0,460.0,71.0,37.0,0.0,23.055986,72.506015,133.07
12,2249.0,459.0,71.0,37.0,0.0,23.055986,72.506015,133.07
13,2249.0,459.0,70.0,36.0,0.0,23.055986,72.506015,133.07
14,2249.0,459.0,70.0,36.0,0.0,23.055986,72.506015,133.07
15,2250.0,458.0,70.0,37.0,0.0,23.055986,72.506015,133.068
16,2250.0,459.0,70.0,37.0,0.0,23.055986,72.506015,133.068
17,2250.0,458.0,71.0,38.0,0.0,23.055986,72.506015,133.068
18,2250.0,459.0,72.0,38.0,0.0,23.055986,72.506015,133.068
19,2250.0,459.0,72.0,38.0,0.0,23.055986,72.506015,133.068
20,2250.0,460.0,72.0,38.0,0.0,23.055986,72.506015,133.068
21,2248.0,461.0,73.0,38.0,0.0,23.055987,72.506015,133.075
22,2247.0,461.0,73.0,38.0,0.0,23.055987,72.506015,133.075
23,2250.0,462.0,73.0,38.0,0.0,23.055987,72.506015,133.075
24,2251.0,463.0,73.0,38.0,0.0,23.055987,72.506015,133.075
25,2251.0,464.0,73.0,38.0,0.0,23.055987,72.506015,133.075
26,2250.730769230769,464.0,72.76923076923077,38.0,0.0,23.055987,72.506015,133.07473076923077
27,2250.4615384615386,464.0,72.53846153846153,38.0,0.0,23.055987,72.506015,133.07446153846152
28,2250.1923076923076,464.0,72.3076923076923,38.0,0.0,23.055987,72.506015,133.0741923076923
29,2249.923076923077,464.0,72.07692307692308,38.0,0.0,23.055987,72.506015,133.07392307692308
30,2249.653846153846,464.0,71.84615384615384,38.0,0.0,23.055987,72.506015,133.07365384615383
31,2249.3846153846152,464.0,71.61538461538461,38.0,0.0,23.055987,72.506015,133.0733846153846
32,2249.1153846153848,464.0,71.38461538461539,38.0,0.0,23.055987,72.506015,133.0731153846154
33,2248.846153846154,464.0,71.15384615384616,38.0,0.0,23.055987,72.506015,133.07284615384614
34,2248.576923076923,464.0,70.92307692307692,38.0,0.0,23.055987,72.506015,133.07257692307692
35,2248.3076923076924,464.0,70.6923076923077,38.0,0.0,23.055987,72.506015,133.0723076923077
36,2248.0384615384614,464.0,70.46153846153847,38.0,0.0,23.055987,72.506015,133.07203846153845
37,2247.769230769231,464.0,70.23076923076923,38.0,0.0,23.055987,72.506015,133.07176923076923
38,2247.5,464.0,70.0,38.0,0.0,23.055987,72.506015,133.07150000000001
39,2247.230769230769,464.0,69.76923076923077,38.0,0.0,23.055987,72.506015,133.07123076923077
40,2246.9615384615386,464.0,69.53846153846153,38.0,0.0,23.055987,72.506015,133.07096153846155
41,2246.6923076923076,464.0,69.3076923076923,38.0,0.0,23.055987,72.506015,133.0706923076923
42,2246.423076923077,464.0,69.07692307692308,38.0,0.0,23.055987,72.506015,133.07042307692308
43,2246.153846153846,464.0,68.84615384615384,38.0,0.0,23.055987,72.506015,133.07015384615386
44,2245.8846153846152,464.0,68.61538461538461,38.0,0.0,23.055987,72.506015,133.0698846153846
45,2245.6153846153848,464.0,68.38461538461539,38.0,0.0,23.055987,72.506015,133.0696153846154
46,2245.346153846154,464.0,68.15384615384616,38.0,0.0,23.055987,72.506015,133.06934615384617
47,2245.076923076923,464.0,67.92307692307692,38.0,0.0,23.055987,72.506015,133.06907692307692
48,2244.8076923076924,464.0,67.6923076923077,38.0,0.0,23.055987,72.506015,133.0688076923077
49,2244.5384615384614,464.0,67.46153846153847,38.0,0.0,23.055987,72.506015,133.06853846153848
50,2244.269230769231,464.0,67.23076923076923,38.0,0.0,23.055987,72.506015,133.06826923076923
51,2244.0,464.0,67.0,38.0,0.0,23.055987,72.506015,133.068
52,2242.0,468.0,68.0,38.0,0.0,23.055987,72.506015,133.068
53,2242.0,467.0,68.0,39.0,0.0,23.055987,72.506015,133.068
54,2239.0,472.0,69.0,38.0,0.0,23.055987,72.506015,133.068
55,2239.0,470.0,68.0,38.0,0.0,23.055987,72.506015,133.068
56,2239.0,473.0,68.0,39.0,0.0,23.055987,72.506015,133.068
57,2238.0,475.0,69.0,39.0,0.0,23.055987,72.506015,133.071
58,2239.0,473.0,69.0,39.0,0.0,23.055987,72.506015,133.071
59,2239.0,472.0,69.0,39.0,0.0,23.055987,72.506015,133.071
60,2240.0,470.0,69.0,39.0,0.0,23.055987,72.506015,133.071
61,2240.2,470.6,69.0,39.0,0.0,23.055987,72.506015,133.0708
62,2240.4,471.2,69.0,39.0,0.0,23.055987,72.506015,133.07059999999998
63,2240.6,471.8,69.0,39.0,0.0,23.055987,72.506015,133.0704
64,2240.8,472.4,69.0,39.0,0.0,23.055987,72.506015,133.0702
65,2241.0,473.0,69.0,39.0,0.0,23.055987,72.506015,133.07
66,2238.0,476.0,70.0,39.0,0.0,23.055987,72.506015,133.07
67,2239.0,477.0,69.0,39.0,0.0,23.055987,72.506015,133.07
68,2238.0,478.0,70.0,38.0,0.0,23.055987,72.506015,133.07
69,2239.0,479.0,70.0,38.0,0.0,23.055987,72.506015,133.075
70,2239.0,478.0,70.0,39.0,0.0,23.055987,72.506015,133.075
71,2240.0,477.0,71.0,39.0,0.0,23.055987,72.506015,133.075
72,2240.0,477.0,71.0,39.0,0.0,23.055987,72.506015,133.075
73,2240.0,475.0,71.0,40.0,0.0,23.055987,72.506015,133.075
74,2240.0,474.0,71.0,40.0,0.0,23.055987,72.506015,133.075
75,2240.0,474.0,71.0,40.0,0.0,23.055987,72.506015,133.077
76,2240.0,474.0,71.0,41.0,0.0,23.055987,72.506015,133.077
77,2240.0,474.0,71.0,41.0,0.0,23.055987,72.506015,133.077
78,2241.0,474.0,71.0,41.0,0.0,23.055987,72.506015,133.077
79,2241.0,473.0,72.0,41.0,0.0,23.055987,72.506015,133.077
80,2242.0,472.0,72.0,40.0,0.0,23.055987,72.506015,133.077
81,2242.0,472.0,73.0,41.0,0.0,23.055987,72.506015,133.087
82,2243.0,471.0,73.0,41.0,0.0,23.055987,72.506015,133.087
83,2243.0,469.0,73.0,41.0,0.0,23.055987,72.506015,133.087
84,2243.0,469.0,73.0,41.0,0.0,23.055987,72.506015,133.087
85,2244.0,467.0,73.0,41.0,0.0,23.055987,72.506015,133.087
86,2244.0,468.0,73.0,40.0,0.0,23.055987,72.506015,133.087
87,2245.0,467.0,73.0,40.0,0.0,23.055987,72.506015,133.096
88,2243.0,470.0,73.0,40.0,0.0,23.055987,72.506015,133.096
89,2242.0,472.0,74.0,41.0,0.0,23.055987,72.506015,133.096
90,2242.0,472.0,73.0,41.0,0.0,23.055987,72.506015,133.096
91,2241.25,472.25,73.0,40.75,0.0,23.055987,72.506015,133.09725
92,2240.5,472.5,73.0,40.5,0.0,23.055987,72.506015,133.0985
93,2239.75,472.75,73.0,40.25,0.0,23.055987,72.506015,133.09975
94,2239.0,473.0,73.0,40.0,0.0,23.055987,72.506015,133.101
95,2239.5,474.1666666666667,72.83333333333333,39.666666666666664,0.0,23.055987,72.506015,133.102
96,2240.0,475.3333333333333,72.66666666666667,39.333333333333336,0.0,23.055987,72.506015,133.103
97,2240.5,476.5,72.5,39.0,0.0,23.055987,72.506015,133.10399999999998
98,2241.0,477.6666666666667,72.33333333333333,38.666666666666664,0.0,23.055987,72.506015,133.105
99,2241.5,478.8333333333333,72.16666666666667,38.333333333333336,0.0,23.055987,72.506015,133.106
100,2242.0,480.0,72.0,38.0,0.0,23.055987,72.506015,133.107
101,2241.923076923077,479.53846153846155,71.84615384615384,38.0,0.0,23.055987,72.506015,133.107
102,2241.846153846154,479.0769230769231,71.6923076923077,38.0,0.0,23.055987,72.506015,133.107
103,2241.769230769231,478.61538461538464,71.53846153846153,38.0,0.0,23.055987,72.506015,133.107
104,2241.6923076923076,478.15384615384613,71.38461538461539,38.0,0.0,23.055987,72.506015,133.107
105,2241.6153846153848,477.6923076923077,71.23076923076923,38.0,0.0,23.055987,72.506015,133.107
106,2241.5384615384614,477.2307692307692,71.07692307692308,38.0,0.0,23.055987,72.506015,133.107
107,2241.4615384615386,476.7692307692308,70.92307692307692,38.0,0.0,23.055987,72.506015,133.107
108,2241.3846153846152,476.3076923076923,70.76923076923077,38.0,0.0,23.055987,72.506015,133.107
109,2241.3076923076924,475.84615384615387,70.61538461538461,38.0,0.0,23.055987,72.506015,133.107
110,2241.230769230769,475.38461538461536,70.46153846153847,38.0,0.0,23.055987,72.506015,133.107
111,2241.153846153846,474.9230769230769,70.3076923076923,38.0,0.0,23.055987,72.506015,133.107
112,2241.076923076923,474.46153846153845,70.15384615384616,38.0,0.0,23.055987,72.506015,133.107
113,2241.0,474.0,70.0,38.0,0.0,23.055987,72.506015,133.107
114,2242.0,473.0,70.0,38.0,0.0,23.055987,72.506015,133.107
115,2243.0,473.0,69.0,38.0,0.0,23.055987,72.506015,133.107
116,2244.0,470.0,69.0,39.0,0.0,23.055987,72.506015,133.107
117,2244.0,472.0,69.0,39.0,0.0,23.055987,72.506015,133.107
118,2242.0,477.0,69.0,38.0,0.0,23.055987,72.506015,133.107
119,2243.0,473.0,69.0,38.0,0.0,23.055987,72.506015,133.107
120,2243.0,473.0,70.0,38.0,0.0,23.055987,72.506015,133.107
121,2242.0,473.0,70.0,39.0,0.0,23.055987,72.506015,133.107
122,2242.0,472.0,70.0,39.0,0.0,23.055987,72.506015,133.107
123,2241.0,471.0,71.0,39.0,0.0,23.055987,72.506015,133.108
124,2241.0,471.0,70.0,39.0,0.0,23.055987,72.506015,133.108
125,2241.0,471.0,70.0,39.0,0.0,23.055987,72.506015,133.108
126,2240.0,471.0,71.0,40.0,0.0,23.055987,72.506015,133.108
127,2240.0,472.0,72.0,39.0,0.0,23.055987,72.506015,133.108
128,2239.0,471.0,72.0,39.0,0.0,23.055987,72.506015,133.108
129,2239.0,469.0,72.0,39.0,0.0,23.055987,72.506015,133.096
130,2239.0,468.0,74.0,40.0,0.0,23.055987,72.506015,133.096
131,2239.0,469.0,74.0,39.0,0.0,23.055987,72.506015,133.096
132,2241.0,469.0,73.0,39.0,0.0,23.055987,72.506015,133.096
133,2242.0,470.0,73.0,38.0,0.0,23.055987,72.506015,133.096
134,2243.0,469.0,73.0,39.0,0.0,23.055987,72.506015,133.096
135,2242.0,471.0,73.0,38.0,0.0,23.055987,72.506015,133.09
136,2242.0,471.0,73.0,38.0,0.0,23.055987,72.506015,133.09
137,2242.0,472.0,71.0,37.0,0.0,23.055987,72.506015,133.09
138,2243.0,472.0,71.0,38.0,0.0,23.055987,72.506015,133.09
139,2241.0,472.0,72.0,37.0,0.0,23.055987,72.506015,133.09
140,2241.0,473.0,71.0,38.0,0.0,23.055987,72.506015,133.09
141,2241.0,475.0,71.0,37.0,0.0,23.055987,72.506015,133.088
142,2240.0,475.0,71.0,37.0,0.0,23.055987,72.506015,133.088
143,2239.0,475.0,70.0,36.0,0.0,23.055987,72.506015,133.088
