frameNo,left,top,w,h,conf,lat,long,alt
1,2275.0,415.0,66.0,38.0,0.0,23.055986,72.506015,133.062
2,2275.0,414.0,66.0,38.0,0.0,23.055986,72.506015,133.062
3,2275.0,414.0,66.0,39.0,0.0,23.055986,72.506015,133.064
4,2275.0,414.0,67.0,39.0,0.0,23.055986,72.506015,133.064
5,2275.0,413.0,67.0,39.0,0.0,23.055986,72.506015,133.064
6,2275.0,412.0,68.0,39.0,0.0,23.055986,72.506015,133.064
7,2276.0,412.0,67.0,38.0,0.0,23.055986,72.506015,133.064
8,2276.0,412.0,66.0,38.0,0.0,23.055986,72.506015,133.064
9,2276.0,412.0,66.0,37.0,0.0,23.055986,72.506015,133.07
10,2276.0,412.0,66.0,37.0,0.0,23.055986,72.506015,133.07
11,2276.0,413.0,65.0,37.0,0.0,23.055986,72.506015,133.07
12,2269.0,413.0,67.0,37.0,0.0,23.055986,72.506015,133.07
13,2273.0,414.0,66.0,37.0,0.0,23.055986,72.506015,133.07
14,2272.0,407.0,67.0,37.0,0.0,23.055986,72.506015,133.07
15,2273.0,405.0,67.0,36.0,0.0,23.055986,72.506015,133.068
16,2273.0,404.0,68.0,36.0,0.0,23.055986,72.506015,133.068
17,2273.0,403.0,68.0,37.0,0.0,23.055986,72.506015,133.068
18,2272.0,406.0,70.0,38.0,0.0,23.055986,72.506015,133.068
19,2272.0,408.0,70.0,38.0,0.0,23.055986,72.506015,133.068
20,2272.0,408.0,69.0,38.0,0.0,23.055986,72.506015,133.068
21,2278.0,405.0,71.0,39.0,0.0,23.055987,72.506015,133.075
22,2280.0,405.0,72.0,39.0,0.0,23.055987,72.506015,133.075
23,2276.0,404.0,72.0,40.0,0.0,23.055987,72.506015,133.075
24,2277.0,406.0,73.0,40.0,0.0,23.055987,72.506015,133.075
25,2276.0,408.0,73.0,41.0,0.0,23.055987,72.506015,133.075
26,2274.0,406.0,73.0,41.0,0.0,23.055987,72.506015,133.075
27,2274.0,405.0,73.0,42.0,0.0,23.055986,72.506015,133.073
28,2274.0,407.0,74.0,43.0,0.0,23.055986,72.506015,133.073
29,2274.0,408.0,74.0,43.0,0.0,23.055986,72.506015,133.073
30,2274.0,408.0,75.0,44.0,0.0,23.055986,72.506015,133.073
31,2274.0,408.0,75.0,44.0,0.0,23.055986,72.506015,133.073
32,2273.0,409.0,75.0,43.0,0.0,23.055986,72.506015,133.073
33,2273.0,408.0,75.0,44.0,0.0,23.055987,72.506015,133.075
34,2274.0,405.0,73.0,44.0,0.0,23.055987,72.506015,133.075
35,2273.0,407.0,74.0,44.0,0.0,23.055987,72.506015,133.075
36,2273.0,404.0,73.0,44.0,0.0,23.055987,72.506015,133.075
37,2274.0,407.0,73.0,44.0,0.0,23.055987,72.506015,133.075
38,2274.0,407.0,74.0,44.0,0.0,23.055987,72.506015,133.075
39,2274.0,407.0,75.0,45.0,0.0,23.055987,72.506015,133.073
40,2274.0,408.0,75.0,44.0,0.0,23.055987,72.506015,133.073
41,2274.0,408.0,74.0,44.0,0.0,23.055987,72.506015,133.073
42,2274.0,408.0,74.0,44.0,0.0,23.055987,72.506015,133.073
43,2274.0,408.0,74.0,44.0,0.0,23.055987,72.506015,133.073
44,2273.0,409.0,73.0,44.0,0.0,23.055987,72.506015,133.073
45,2274.0,405.0,72.0,44.0,0.0,23.055987,72.506015,133.074
46,2274.0,408.0,72.0,44.0,0.0,23.055987,72.506015,133.074
47,2275.0,405.0,71.0,44.0,0.0,23.055987,72.506015,133.074
48,2274.0,409.0,72.0,44.0,0.0,23.055987,72.506015,133.074
49,2275.0,410.0,71.0,44.0,0.0,23.055987,72.506015,133.074
50,2275.0,410.0,71.0,45.0,0.0,23.055987,72.506015,133.074
51,2274.0,410.0,72.0,46.0,0.0,23.055987,72.506015,133.068
52,2274.0,409.0,73.0,47.0,0.0,23.055987,72.506015,133.068
53,2275.0,408.0,72.0,48.0,0.0,23.055987,72.506015,133.068
54,2275.0,407.0,74.0,49.0,0.0,23.055987,72.506015,133.068
55,2275.0,407.0,74.0,49.0,0.0,23.055987,72.506015,133.068
56,2275.0,407.0,75.0,50.0,0.0,23.055987,72.506015,133.068
57,2275.0,407.0,75.0,50.0,0.0,23.055987,72.506015,133.071
58,2275.0,407.0,75.0,51.0,0.0,23.055987,72.506015,133.071
59,2274.0,408.0,75.0,50.0,0.0,23.055987,72.506015,133.071
60,2274.0,408.0,76.0,50.0,0.0,23.055987,72.506015,133.071
61,2275.0,407.0,75.0,51.0,0.0,23.055987,72.506015,133.071
62,2274.0,407.0,76.0,52.0,0.0,23.055987,72.506015,133.071
63,2274.0,408.0,75.0,51.0,0.0,23.055987,72.506015,133.07
64,2274.0,408.0,75.0,52.0,0.0,23.055987,72.506015,133.07
65,2274.0,407.0,75.0,52.0,0.0,23.055987,72.506015,133.07
66,2274.0,407.0,76.0,52.0,0.0,23.055987,72.506015,133.07
67,2274.0,407.0,75.0,51.0,0.0,23.055987,72.506015,133.07
68,2273.0,407.0,76.0,52.0,0.0,23.055987,72.506015,133.07
69,2273.0,408.0,75.0,51.0,0.0,23.055987,72.506015,133.075
70,2273.0,408.0,75.0,51.0,0.0,23.055987,72.506015,133.075
71,2273.0,408.0,75.0,51.0,0.0,23.055987,72.506015,133.075
72,2274.0,407.0,75.0,52.0,0.0,23.055987,72.506015,133.075
73,2274.0,407.0,75.0,52.0,0.0,23.055987,72.506015,133.075
74,2274.0,408.0,75.0,51.0,0.0,23.055987,72.506015,133.075
75,2274.0,408.0,75.0,51.0,0.0,23.055987,72.506015,133.077
76,2274.0,407.0,75.0,52.0,0.0,23.055987,72.506015,133.077
77,2274.0,407.0,76.0,52.0,0.0,23.055987,72.506015,133.077
78,2274.0,407.0,76.0,52.0,0.0,23.055987,72.506015,133.077
79,2274.0,407.0,75.0,52.0,0.0,23.055987,72.506015,133.077
80,2274.0,407.0,75.0,52.0,0.0,23.055987,72.506015,133.077
81,2274.0,407.0,75.0,51.0,0.0,23.055987,72.506015,133.087
82,2275.0,407.0,75.0,51.0,0.0,23.055987,72.506015,133.087
83,2275.0,407.0,75.0,50.0,0.0,23.055987,72.506015,133.087
84,2275.0,408.0,74.0,49.0,0.0,23.055987,72.506015,133.087
85,2276.0,407.0,74.0,49.0,0.0,23.055987,72.506015,133.087
86,2277.0,407.0,73.0,49.0,0.0,23.055987,72.506015,133.087
87,2277.0,407.0,73.0,48.0,0.0,23.055987,72.506015,133.096
88,2277.0,406.0,74.0,48.0,0.0,23.055987,72.506015,133.096
89,2278.0,406.0,73.0,48.0,0.0,23.055987,72.506015,133.096
90,2278.0,407.0,73.0,47.0,0.0,23.055987,72.506015,133.096
91,2277.0,408.0,73.0,46.0,0.0,23.055987,72.506015,133.096
92,2278.0,407.0,72.0,47.0,0.0,23.055987,72.506015,133.096
93,2278.0,408.0,72.0,46.0,0.0,23.055987,72.506015,133.101
94,2278.0,407.0,72.0,47.0,0.0,23.055987,72.506015,133.101
95,2278.0,408.0,72.0,46.0,0.0,23.055987,72.506015,133.101
96,2278.0,408.0,71.0,46.0,0.0,23.055987,72.506015,133.101
97,2278.0,409.0,70.0,45.0,0.0,23.055987,72.506015,133.101
