frameNo,left,top,w,h,conf,lat,long,alt
1,1629.0,994.0,33.0,39.0,0.0,23.055986,72.506015,133.062
2,1629.0,994.0,33.0,38.0,0.0,23.055986,72.506015,133.062
3,1628.0,993.0,34.0,39.0,0.0,23.055986,72.506015,133.064
4,1627.0,993.0,35.0,38.0,0.0,23.055986,72.506015,133.064
5,1625.0,992.0,36.0,38.0,0.0,23.055986,72.506015,133.064
6,1626.0,994.0,35.0,37.0,0.0,23.055986,72.506015,133.064
7,1625.0,993.0,35.0,37.0,0.0,23.055986,72.506015,133.064
8,1625.0,993.0,35.0,37.0,0.0,23.055986,72.506015,133.064
9,1625.0,992.0,37.0,41.0,0.0,23.055986,72.506015,133.07
10,1624.0,992.0,36.0,39.0,0.0,23.055986,72.506015,133.07
11,1624.0,992.0,36.0,38.0,0.0,23.055986,72.506015,133.07
12,1626.0,993.0,36.0,39.0,0.0,23.055986,72.506015,133.07
13,1625.0,992.0,36.0,39.0,0.0,23.055986,72.506015,133.07
14,1625.0,992.0,35.0,38.0,0.0,23.055986,72.506015,133.07
15,1625.0,992.0,35.0,38.0,0.0,23.055986,72.506015,133.068
16,1625.0,993.0,35.0,36.0,0.0,23.055986,72.506015,133.068
17,1626.0,993.0,34.0,36.0,0.0,23.055986,72.506015,133.068
18,1627.0,993.0,34.0,37.0,0.0,23.055986,72.506015,133.068
19,1627.0,993.0,35.0,37.0,0.0,23.055986,72.506015,133.068
20,1627.0,993.0,35.0,36.0,0.0,23.055986,72.506015,133.068
21,1628.0,993.0,35.0,36.0,0.0,23.055987,72.506015,133.075
22,1628.0,993.0,35.0,37.0,0.0,23.055987,72.506015,133.075
23,1628.0,993.0,35.0,37.0,0.0,23.055987,72.506015,133.075
24,1628.0,993.0,36.0,37.0,0.0,23.055987,72.506015,133.075
25,1628.0,992.0,36.0,37.0,0.0,23.055987,72.506015,133.075
26,1628.0,992.0,36.0,38.0,0.0,23.055987,72.506015,133.075
27,1628.0,992.0,36.0,38.0,0.0,23.055986,72.506015,133.073
28,1628.0,992.0,37.0,38.0,0.0,23.055986,72.506015,133.073
29,1628.4,992.4,36.8,38.0,0.0,23.0559862,72.506015,133.0734
30,1628.8,992.8,36.6,38.0,0.0,23.0559864,72.506015,133.0738
31,1629.2,993.2,36.4,38.0,0.0,23.0559866,72.506015,133.0742
32,1629.6,993.6,36.2,38.0,0.0,23.0559868,72.506015,133.0746
33,1630.0,994.0,36.0,38.0,0.0,23.055987,72.506015,133.075
34,1629.0,994.0,37.0,38.0,0.0,23.055987,72.506015,133.075
35,1629.0,994.0,37.0,38.0,0.0,23.055987,72.506015,133.075
36,1628.7307692307693,993.5769230769231,37.11538461538461,38.19230769230769,0.0,23.055987,72.506015,133.07484615384615
37,1628.4615384615386,993.1538461538462,37.23076923076923,38.38461538461539,0.0,23.055987,72.506015,133.0746923076923
38,1628.1923076923076,992.7307692307693,37.34615384615385,38.57692307692308,0.0,23.055987,72.506015,133.07453846153845
39,1627.923076923077,992.3076923076923,37.46153846153846,38.76923076923077,0.0,23.055987,72.506015,133.07438461538462
40,1627.6538461538462,991.8846153846154,37.57692307692308,38.96153846153846,0.0,23.055987,72.506015,133.07423076923075
41,1627.3846153846155,991.4615384615385,37.69230769230769,39.15384615384615,0.0,23.055987,72.506015,133.07407692307692
42,1627.1153846153845,991.0384615384615,37.80769230769231,39.34615384615385,0.0,23.055987,72.506015,133.07392307692308
43,1626.8461538461538,990.6153846153846,37.92307692307692,39.53846153846154,0.0,23.055987,72.506015,133.07376923076922
44,1626.576923076923,990.1923076923077,38.03846153846154,39.73076923076923,0.0,23.055987,72.506015,133.07361538461538
45,1626.3076923076924,989.7692307692307,38.15384615384615,39.92307692307692,0.0,23.055987,72.506015,133.07346153846154
46,1626.0384615384614,989.3461538461538,38.26923076923077,40.11538461538461,0.0,23.055987,72.506015,133.07330769230768
47,1625.7692307692307,988.9230769230769,38.38461538461539,40.30769230769231,0.0,23.055987,72.506015,133.07315384615384
48,1625.5,988.5,38.5,40.5,0.0,23.055987,72.506015,133.07299999999998
49,1625.2307692307693,988.0769230769231,38.61538461538461,40.69230769230769,0.0,23.055987,72.506015,133.07284615384614
50,1624.9615384615386,987.6538461538462,38.73076923076923,40.88461538461539,0.0,23.055987,72.506015,133.0726923076923
51,1624.6923076923076,987.2307692307693,38.84615384615385,41.07692307692308,0.0,23.055987,72.506015,133.07253846153844
52,1624.423076923077,986.8076923076923,38.96153846153846,41.26923076923077,0.0,23.055987,72.506015,133.0723846153846
53,1624.1538461538462,986.3846153846154,39.07692307692308,41.46153846153846,0.0,23.055987,72.506015,133.07223076923077
54,1623.8846153846155,985.9615384615385,39.19230769230769,41.65384615384615,0.0,23.055987,72.506015,133.0720769230769
55,1623.6153846153845,985.5384615384615,39.30769230769231,41.84615384615385,0.0,23.055987,72.506015,133.07192307692307
56,1623.3461538461538,985.1153846153846,39.42307692307692,42.03846153846154,0.0,23.055987,72.506015,133.07176923076923
57,1623.076923076923,984.6923076923077,39.53846153846154,42.23076923076923,0.0,23.055987,72.506015,133.07161538461537
58,1622.8076923076924,984.2692307692307,39.65384615384615,42.42307692307692,0.0,23.055987,72.506015,133.07146153846153
59,1622.5384615384614,983.8461538461538,39.76923076923077,42.61538461538461,0.0,23.055987,72.506015,133.0713076923077
60,1622.2692307692307,983.4230769230769,39.88461538461539,42.80769230769231,0.0,23.055987,72.506015,133.07115384615383
61,1622.0,983.0,40.0,43.0,0.0,23.055987,72.506015,133.071
62,1623.0,984.0,41.0,43.0,0.0,23.055987,72.506015,133.071
63,1623.0,984.0,40.0,43.0,0.0,23.055987,72.506015,133.07
64,1623.0,983.0,42.0,45.0,0.0,23.055987,72.506015,133.07
65,1624.0,984.0,41.0,44.0,0.0,23.055987,72.506015,133.07
66,1626.0,984.0,40.0,44.0,0.0,23.055987,72.506015,133.07
67,1624.0,982.0,39.0,44.0,0.0,23.055987,72.506015,133.07
68,1622.0,980.0,39.0,44.0,0.0,23.055987,72.506015,133.07
69,1621.0,979.0,38.0,45.0,0.0,23.055987,72.506015,133.075
70,1620.3333333333333,976.3174603174604,37.888888888888886,45.0,0.0,23.055987,72.506015,133.07533333333333
71,1619.6666666666667,973.6349206349206,37.77777777777778,45.0,0.0,23.055987,72.506015,133.07566666666665
72,1619.0,970.952380952381,37.666666666666664,45.0,0.0,23.055987,72.506015,133.076
73,1618.3333333333333,968.2698412698413,37.55555555555556,45.0,0.0,23.055987,72.506015,133.0763333333333
74,1617.6666666666667,965.5873015873016,37.44444444444444,45.0,0.0,23.055987,72.506015,133.07666666666665
75,1617.0,962.9047619047619,37.333333333333336,45.0,0.0,23.055987,72.506015,133.077
76,1616.3333333333333,960.2222222222222,37.22222222222222,45.0,0.0,23.055987,72.506015,133.0773333333333
77,1615.6666666666667,957.5396825396825,37.111111111111114,45.0,0.0,23.055987,72.506015,133.07766666666666
78,1615.0,954.8571428571429,37.0,45.0,0.0,23.055987,72.506015,133.078
79,1614.3333333333333,952.1746031746031,36.888888888888886,45.0,0.0,23.055987,72.506015,133.07833333333332
80,1613.6666666666667,949.4920634920635,36.77777777777778,45.0,0.0,23.055987,72.506015,133.07866666666666
81,1613.0,946.8095238095239,36.666666666666664,45.0,0.0,23.055987,72.506015,133.07899999999998
82,1612.3333333333333,944.1269841269841,36.55555555555556,45.0,0.0,23.055987,72.506015,133.07933333333332
83,1611.6666666666667,941.4444444444445,36.44444444444444,45.0,0.0,23.055987,72.506015,133.07966666666667
84,1611.0,938.7619047619048,36.333333333333336,45.0,0.0,23.055987,72.506015,133.07999999999998
85,1610.3333333333333,936.0793650793651,36.22222222222222,45.0,0.0,23.055987,72.506015,133.08033333333333
86,1609.6666666666667,933.3968253968254,36.111111111111114,45.0,0.0,23.055987,72.506015,133.08066666666667
87,1609.0,930.7142857142857,36.0,45.0,0.0,23.055987,72.506015,133.081
88,1608.3333333333333,928.031746031746,35.888888888888886,45.0,0.0,23.055987,72.506015,133.08133333333333
89,1607.6666666666667,925.3492063492064,35.77777777777778,45.0,0.0,23.055987,72.506015,133.08166666666665
90,1607.0,922.6666666666666,35.666666666666664,45.0,0.0,23.055987,72.506015,133.082
91,1606.3333333333333,919.984126984127,35.55555555555556,45.0,0.0,23.055987,72.506015,133.08233333333334
92,1605.6666666666667,917.3015873015873,35.44444444444444,45.0,0.0,23.055987,72.506015,133.08266666666665
93,1605.0,914.6190476190476,35.333333333333336,45.0,0.0,23.055987,72.506015,133.083
94,1604.3333333333333,911.936507936508,35.22222222222222,45.0,0.0,23.055987,72.506015,133.08333333333331
95,1603.6666666666667,909.2539682539682,35.111111111111114,45.0,0.0,23.055987,72.506015,133.08366666666666
96,1603.0,906.5714285714286,35.0,45.0,0.0,23.055987,72.506015,133.084
97,1602.3333333333333,903.8888888888889,34.888888888888886,45.0,0.0,23.055987,72.506015,133.08433333333332
98,1601.6666666666667,901.2063492063492,34.77777777777778,45.0,0.0,23.055987,72.506015,133.08466666666666
99,1601.0,898.5238095238095,34.666666666666664,45.0,0.0,23.055987,72.506015,133.085
100,1600.3333333333333,895.8412698412699,34.55555555555556,45.0,0.0,23.055987,72.506015,133.08533333333332
101,1599.6666666666667,893.1587301587301,34.44444444444444,45.0,0.0,23.055987,72.506015,133.08566666666667
102,1599.0,890.4761904761905,34.333333333333336,45.0,0.0,23.055987,72.506015,133.08599999999998
103,1598.3333333333333,887.7936507936508,34.22222222222222,45.0,0.0,23.055987,72.506015,133.08633333333333
104,1597.6666666666667,885.1111111111111,34.111111111111114,45.0,0.0,23.055987,72.506015,133.08666666666667
105,1597.0,882.4285714285714,34.0,45.0,0.0,23.055987,72.506015,133.087
106,1596.3333333333333,879.7460317460318,33.888888888888886,45.0,0.0,23.055987,72.506015,133.08733333333333
107,1595.6666666666667,877.063492063492,33.77777777777778,45.0,0.0,23.055987,72.506015,133.08766666666668
108,1595.0,874.3809523809524,33.666666666666664,45.0,0.0,23.055987,72.506015,133.088
109,1594.3333333333333,871.6984126984128,33.55555555555556,45.0,0.0,23.055987,72.506015,133.08833333333334
110,1593.6666666666667,869.015873015873,33.44444444444444,45.0,0.0,23.055987,72.506015,133.08866666666665
111,1593.0,866.3333333333334,33.333333333333336,45.0,0.0,23.055987,72.506015,133.089
112,1592.3333333333333,863.6507936507936,33.22222222222222,45.0,0.0,23.055987,72.506015,133.08933333333334
113,1591.6666666666667,860.968253968254,33.111111111111114,45.0,0.0,23.055987,72.506015,133.08966666666666
114,1591.0,858.2857142857143,33.0,45.0,0.0,23.055987,72.506015,133.09
115,1590.3333333333333,855.6031746031746,32.888888888888886,45.0,0.0,23.055987,72.506015,133.09033333333332
116,1589.6666666666667,852.9206349206349,32.77777777777778,45.0,0.0,23.055987,72.506015,133.09066666666666
117,1589.0,850.2380952380952,32.666666666666664,45.0,0.0,23.055987,72.506015,133.091
118,1588.3333333333333,847.5555555555555,32.55555555555556,45.0,0.0,23.055987,72.506015,133.09133333333332
119,1587.6666666666667,844.8730158730159,32.44444444444444,45.0,0.0,23.055987,72.506015,133.09166666666667
120,1587.0,842.1904761904761,32.333333333333336,45.0,0.0,23.055987,72.506015,133.092
121,1586.3333333333333,839.5079365079365,32.22222222222222,45.0,0.0,23.055987,72.506015,133.09233333333333
122,1585.6666666666667,836.8253968253969,32.111111111111114,45.0,0.0,23.055987,72.506015,133.09266666666667
123,1585.0,834.1428571428571,32.0,45.0,0.0,23.055987,72.506015,133.093
124,1584.3333333333333,831.4603174603175,31.88888888888889,45.0,0.0,23.055987,72.506015,133.09333333333333
125,1583.6666666666667,828.7777777777778,31.77777777777778,45.0,0.0,23.055987,72.506015,133.09366666666668
126,1583.0,826.0952380952381,31.666666666666668,45.0,0.0,23.055987,72.506015,133.094
127,1582.3333333333333,823.4126984126984,31.555555555555557,45.0,0.0,23.055987,72.506015,133.09433333333334
128,1581.6666666666667,820.7301587301588,31.444444444444443,45.0,0.0,23.055987,72.506015,133.09466666666668
129,1581.0,818.047619047619,31.333333333333336,45.0,0.0,23.055987,72.506015,133.095
130,1580.3333333333333,815.3650793650794,31.22222222222222,45.0,0.0,23.055987,72.506015,133.09533333333334
131,1579.6666666666667,812.6825396825398,31.11111111111111,45.0,0.0,23.055987,72.506015,133.09566666666666
132,1579.0,810.0,31.0,45.0,0.0,23.055987,72.506015,133.096
133,1579.0,806.0,31.0,46.0,0.0,23.055987,72.506015,133.096
134,1578.0,805.0,31.0,46.0,0.0,23.055987,72.506015,133.096
135,1576.0,801.0,32.0,47.0,0.0,23.055987,72.506015,133.09
136,1578.0,797.0,31.0,46.0,0.0,23.055987,72.506015,133.09
137,1577.25,792.0,31.25,46.25,0.0,23.055987,72.506015,133.09
138,1576.5,787.0,31.5,46.5,0.0,23.055987,72.506015,133.09
139,1575.75,782.0,31.75,46.75,0.0,23.055987,72.506015,133.09
140,1575.0,777.0,32.0,47.0,0.0,23.055987,72.506015,133.09
141,1574.25,774.0,31.75,47.25,0.0,23.055987,72.506015,133.0895
142,1573.5,771.0,31.5,47.5,0.0,23.055987,72.506015,133.089
