frameNo,left,top,w,h,conf,lat,long,alt
1123,1824.0,2.0,40.0,56.0,0.0,23.055988,72.506015,132.568
1124,1825.0,4.0,41.0,62.0,0.0,23.055988,72.506015,132.577
1125,1827.0,5.0,41.0,69.0,0.0,23.055988,72.506015,132.577
1126,1830.0,6.0,40.0,75.0,0.0,23.055988,72.506015,132.577
1127,1833.0,9.0,41.0,80.0,0.0,23.055988,72.506015,132.577
1128,1835.0,15.0,41.0,83.0,0.0,23.055988,72.506015,132.577
1129,1835.0,22.0,43.0,85.0,0.0,23.055988,72.506015,132.577
1130,1840.0,30.0,41.0,84.0,0.0,23.055988,72.506015,132.582
1131,1842.0,38.0,41.0,86.0,0.0,23.055988,72.506015,132.582
1132,1844.0,47.0,41.0,89.0,0.0,23.055988,72.506015,132.582
1133,1845.0,55.0,41.0,89.0,0.0,23.055988,72.506015,132.582
1134,1847.0,62.0,41.0,88.0,0.0,23.055988,72.506015,132.582
1135,1851.0,69.0,41.0,89.0,0.0,23.055988,72.506015,132.582
1136,1853.0,79.0,40.0,88.0,0.0,23.055988,72.506014,132.585
1137,1856.0,88.0,40.0,87.0,0.0,23.055988,72.506014,132.585
1138,1858.0,95.0,39.0,87.0,0.0,23.055988,72.506014,132.585
1139,1859.0,103.0,40.0,87.0,0.0,23.055988,72.506014,132.585
1140,1863.0,111.0,40.0,87.0,0.0,23.055988,72.506014,132.585
1141,1864.0,118.0,40.0,86.0,0.0,23.055988,72.506014,132.585
1142,1869.0,125.0,39.0,86.0,0.0,23.055988,72.506014,132.594
1143,1872.0,133.0,38.0,85.0,0.0,23.055988,72.506014,132.594
1144,1875.0,142.0,38.0,85.0,0.0,23.055988,72.506014,132.594
1145,1878.0,149.0,38.0,87.0,0.0,23.055988,72.506014,132.594
1146,1879.0,154.0,38.0,88.0,0.0,23.055988,72.506014,132.594
1147,1881.0,163.0,39.0,87.0,0.0,23.055988,72.506014,132.594
1148,1883.0,171.0,39.0,86.0,0.0,23.055988,72.506014,132.599
1149,1885.0,178.0,39.0,83.0,0.0,23.055988,72.506014,132.599
1150,1888.0,184.0,37.0,79.0,0.0,23.055988,72.506014,132.599
1151,1890.0,191.0,37.0,77.0,0.0,23.055988,72.506014,132.599
1152,1893.0,198.0,36.0,75.0,0.0,23.055988,72.506014,132.599
1153,1896.0,208.0,37.0,76.0,0.0,23.055988,72.506014,132.599
1154,1898.0,214.0,36.0,75.0,0.0,23.055988,72.506014,132.609
1155,1901.0,223.0,38.0,76.0,0.0,23.055988,72.506014,132.609
1156,1903.0,227.0,37.0,75.0,0.0,23.055988,72.506014,132.609
1157,1905.0,236.0,37.0,75.0,0.0,23.055988,72.506014,132.609
1158,1908.0,241.0,37.0,76.0,0.0,23.055988,72.506014,132.609
1159,1910.0,246.0,36.0,77.0,0.0,23.055988,72.506014,132.609
1160,1911.0,251.0,37.0,75.0,0.0,23.055988,72.506014,132.617
1161,1913.0,258.0,37.0,73.0,0.0,23.055988,72.506014,132.617
1162,1914.0,266.0,39.0,77.0,0.0,23.055988,72.506014,132.617
1163,1919.0,274.0,39.0,79.0,0.0,23.055988,72.506014,132.617
1164,1918.0,276.0,38.0,78.0,0.0,23.055988,72.506014,132.617
1165,1923.0,284.0,40.0,79.0,0.0,23.055988,72.506014,132.617
1166,1926.0,290.0,40.0,80.0,0.0,23.055988,72.506014,132.623
1167,1927.75,296.0,40.5,79.25,0.0,23.055988,72.506014,132.623
1168,1929.5,302.0,41.0,78.5,0.0,23.055988,72.506014,132.623
1169,1931.25,308.0,41.5,77.75,0.0,23.055988,72.506014,132.623
1170,1933.0,314.0,42.0,77.0,0.0,23.055988,72.506014,132.623
