frameNo,left,top,w,h,conf,lat,long,alt
1981,1802,1,67,81,0.0,23.055988,72.506014,132.419
1982,1802,2,72,89,0.0,23.055988,72.506014,132.43
1983,1805,3,72,94,0.0,23.055988,72.506014,132.43
1984,1807,5,73,102,0.0,23.055988,72.506014,132.43
1985,1808,12,75,106,0.0,23.055988,72.506014,132.43
1986,1811,19,74,107,0.0,23.055988,72.506014,132.43
1987,1813,26,74,109,0.0,23.055988,72.506014,132.436
1991,1823,61,73,113,0.0,23.055988,72.506014,132.436
1992,1825,69,73,114,0.0,23.055988,72.506014,132.436
1993,1828,78,72,114,0.0,23.055988,72.506014,132.446
1994,1830,86,71,114,0.0,23.055988,72.506014,132.446
2002,1847,151,70,106,0.0,23.055988,72.506014,132.452
2012,1868,229,68,97,0.0,23.055988,72.506014,132.47
2013,1870,237,68,98,0.0,23.055988,72.506014,132.47
2014,1872,242,69,101,0.0,23.055988,72.506014,132.47
2015,1872,250,70,102,0.0,23.055988,72.506014,132.47
2016,1873,258,71,106,0.0,23.055988,72.506014,132.47
2017,1875,263,70,109,0.0,23.055988,72.506014,132.479
2018,1877,268,70,111,0.0,23.055988,72.506014,132.479
2019,1879,273,70,110,0.0,23.055988,72.506014,132.479
2020,1880,276,69,111,0.0,23.055988,72.506014,132.479
2021,1881,280,70,111,0.0,23.055988,72.506014,132.479
2025,1886,307,70,107,0.0,23.055988,72.506014,132.478
2026,1889,315,70,105,0.0,23.055988,72.506014,132.478
2027,1890,321,70,105,0.0,23.055988,72.506014,132.478
2028,1891,325,70,106,0.0,23.055988,72.506014,132.478
2029,1892,330,70,108,0.0,23.055988,72.506014,132.479
2030,1894,339,70,106,0.0,23.055988,72.506014,132.479
2031,1896,346,70,104,0.0,23.055988,72.506014,132.479
2032,1897,352,70,106,0.0,23.055988,72.506014,132.479
2033,1898,358,69,105,0.0,23.055988,72.506014,132.479
2034,1898,363,71,105,0.0,23.055988,72.506014,132.479
2035,1900,369,70,105,0.0,23.055988,72.506014,132.479
2036,1902,376,70,106,0.0,23.055988,72.506014,132.479
2037,1904,381,69,106,0.0,23.055988,72.506014,132.479
2038,1905,387,69,107,0.0,23.055988,72.506014,132.479
2042,1913,410,69,104,0.0,23.055988,72.506014,132.482
2043,1915,417,69,103,0.0,23.055988,72.506014,132.482
2044,1918,422,70,102,0.0,23.055988,72.506014,132.482
2045,1919,429,71,105,0.0,23.055988,72.506014,132.482
2046,1918,434,73,104,0.0,23.055988,72.506014,132.482
2047,1920,440,72,104,0.0,23.055988,72.506014,132.478
2048,1923,447,71,104,0.0,23.055988,72.506014,132.478
2049,1925,451,71,105,0.0,23.055988,72.506014,132.478
2053,1931,474,71,106,0.0,23.055988,72.506014,132.475
2054,1931,479,73,107,0.0,23.055988,72.506014,132.475
2055,1931,485,75,107,0.0,23.055988,72.506014,132.475
2056,1934,490,74,106,0.0,23.055988,72.506014,132.475
2057,1935,495,75,106,0.0,23.055988,72.506014,132.475
2058,1935,500,75,105,0.0,23.055988,72.506014,132.475
2059,1937,505,75,105,0.0,23.055988,72.506014,132.475
2060,1939,511,74,105,0.0,23.055988,72.506014,132.475
2061,1941,515,73,105,0.0,23.055988,72.506014,132.475
2062,1943,518,72,107,0.0,23.055988,72.506014,132.475
2063,1944,523,73,107,0.0,23.055988,72.506014,132.475
2064,1946,530,72,107,0.0,23.055988,72.506014,132.475
2065,1946,537,72,107,0.0,23.055988,72.506014,132.47
2066,1948,542,73,107,0.0,23.055988,72.506014,132.47
2067,1950,547,72,106,0.0,23.055988,72.506014,132.47
2068,1952,552,72,104,0.0,23.055988,72.506014,132.47
2072,1956,575,75,103,0.0,23.055988,72.506014,132.472
2073,1957,580,76,104,0.0,23.055988,72.506014,132.472
2074,1960,586,76,105,0.0,23.055988,72.506014,132.472
2075,1962,591,75,105,0.0,23.055988,72.506014,132.472
2079,1972,610,72,104,0.0,23.055988,72.506014,132.472
2080,1974,616,71,104,0.0,23.055988,72.506014,132.472
2081,1975,623,71,105,0.0,23.055988,72.506014,132.472
2082,1976,629,72,105,0.0,23.055988,72.506014,132.472
2083,1978,635,73,105,0.0,23.055988,72.506014,132.472
2084,1980,640,72,106,0.0,23.055988,72.506014,132.472
2085,1980,646,73,105,0.0,23.055988,72.506014,132.472
2086,1982,651,73,106,0.0,23.055988,72.506014,132.472
2087,1984,656,73,106,0.0,23.055988,72.506014,132.472
2088,1988,659,73,105,0.0,23.055988,72.506014,132.472
2089,1991,663,72,106,0.0,23.055988,72.506014,132.476
2090,1991,671,73,106,0.0,23.055988,72.506014,132.476
2091,1992,676,73,106,0.0,23.055988,72.506014,132.476
2092,1995,684,72,105,0.0,23.055988,72.506014,132.476
2093,1997,691,73,106,0.0,23.055988,72.506014,132.476
2094,1998,697,72,105,0.0,23.055988,72.506014,132.476
2095,2000,703,73,104,0.0,23.055988,72.506014,132.481
2096,2003,706,73,105,0.0,23.055988,72.506014,132.481
2097,2005,709,73,105,0.0,23.055988,72.506014,132.481
2106,2023,758,75,103,0.0,23.055988,72.506014,132.482
2115,2042,810,75,103,0.0,23.055988,72.506014,132.486
2132,2077,897,77,97,0.0,23.055988,72.506014,132.484
2133,2078,903,77,97,0.0,23.055988,72.506014,132.484
2167,2123,1016,68,102,0.0,23.055988,72.506014,132.469
2168,2122,1020,67,101,0.0,23.055988,72.506014,132.469
2196,2131,1061,66,111,0.0,23.055988,72.506014,132.464
2197,2132,1063,65,111,0.0,23.055988,72.506014,132.465
2247,2105,1138,79,98,0.0,23.055988,72.506014,132.524
2248,2103,1138,81,99,0.0,23.055988,72.506014,132.524
2249,2101,1138,83,100,0.0,23.055988,72.506014,132.524
2255,2090,1153,87,92,0.0,23.055988,72.506014,132.543
2256,2088,1154,87,92,0.0,23.055988,72.506014,132.543
2257,2084,1153,89,93,0.0,23.055988,72.506014,132.565
2258,2083,1156,90,93,0.0,23.055988,72.506014,132.565
2259,2080,1158,90,93,0.0,23.055988,72.506014,132.565
2266,2063,1167,91,91,0.0,23.055988,72.506013,132.584
2267,2061,1167,92,91,0.0,23.055988,72.506013,132.584
2268,2058,1168,93,91,0.0,23.055988,72.506013,132.584
2269,2053,1169,96,92,0.0,23.055988,72.506014,132.597
2270,2050,1170,99,92,0.0,23.055988,72.506014,132.597
2271,2047,1171,100,93,0.0,23.055988,72.506014,132.597
2272,2047,1172,101,91,0.0,23.055988,72.506014,132.597
2273,2046,1174,102,90,0.0,23.055988,72.506014,132.597
2273,2047,1176,100,85,0.0,23.055988,72.506014,132.597
2274,2047,1178,97,83,0.0,23.055988,72.506014,132.597
2277,2040,1180,101,86,0.0,23.055988,72.506014,132.607
2278,2033,1182,102,86,0.0,23.055988,72.506014,132.607
2279,2028,1184,102,85,0.0,23.055988,72.506014,132.607
2280,2024,1183,102,84,0.0,23.055988,72.506014,132.607
2281,2023,1184,100,84,0.0,23.055988,72.506014,132.629
2282,2019,1186,101,83,0.0,23.055988,72.506014,132.629
2283,2017,1187,100,83,0.0,23.055988,72.506014,132.629
2284,2014,1188,101,82,0.0,23.055988,72.506014,132.629
