frameNo,left,top,w,h,conf,lat,long,alt
2141,1820,1,36,54,0.0,23.055988,72.506014,132.489
2142,1822,2,36,59,0.0,23.055988,72.506014,132.489
2143,1822,4,37,64,0.0,23.055988,72.506014,132.486
2144,1822,7,38,69,0.0,23.055988,72.506014,132.486
2145,1822,9,41,74,0.0,23.055988,72.506014,132.486
2146,1824,12,41,80,0.0,23.055988,72.506014,132.486
2147,1825,16,42,80,0.0,23.055988,72.506014,132.486
2148,1828,22,41,81,0.0,23.055988,72.506014,132.486
2149,1830,28,41,82,0.0,23.055988,72.506014,132.483
2150,1832,39,39,80,0.0,23.055988,72.506014,132.483
2151,1834,45,39,82,0.0,23.055988,72.506014,132.483
2152,1835,50,38,84,0.0,23.055988,72.506014,132.483
2153,1837,55,38,84,0.0,23.055988,72.506014,132.483
2154,1840,62,39,85,0.0,23.055988,72.506014,132.483
2155,1843,69,39,85,0.0,23.055988,72.506014,132.485
2156,1844,74,39,83,0.0,23.055988,72.506014,132.485
2157,1845,81,40,83,0.0,23.055988,72.506014,132.485
2158,1848,89,40,83,0.0,23.055988,72.506014,132.485
2159,1849,97,40,81,0.0,23.055988,72.506014,132.485
2160,1851,105,38,80,0.0,23.055988,72.506014,132.485
2161,1853,112,38,78,0.0,23.055988,72.506014,132.476
2162,1853,117,38,80,0.0,23.055988,72.506014,132.476
2163,1856,125,37,77,0.0,23.055988,72.506014,132.476
2164,1858,133,37,76,0.0,23.055988,72.506014,132.476
2165,1861,139,36,75,0.0,23.055988,72.506014,132.476
2166,1864,145,36,76,0.0,23.055988,72.506014,132.476
2167,1865,151,37,76,0.0,23.055988,72.506014,132.469
2168,1868,157,37,77,0.0,23.055988,72.506014,132.469
2169,1869,164,37,76,0.0,23.055988,72.506014,132.469
2170,1871,172,37,75,0.0,23.055988,72.506014,132.469
2171,1872,179,38,75,0.0,23.055988,72.506014,132.469
2172,1874,186,38,75,0.0,23.055988,72.506014,132.469
2173,1876,193,36,74,0.0,23.055988,72.506014,132.467
2174,1879,197,35,75,0.0,23.055988,72.506014,132.467
2175,1880,203,35,76,0.0,23.055988,72.506014,132.467
2176,1882,210,36,76,0.0,23.055988,72.506014,132.467
2177,1884,216,36,75,0.0,23.055988,72.506014,132.467
2178,1887,224,36,74,0.0,23.055988,72.506014,132.467
2179,1888,233,36,74,0.0,23.055988,72.506014,132.462
2180,1889,239,37,74,0.0,23.055988,72.506014,132.462
2181,1891,245,38,74,0.0,23.055988,72.506014,132.462
2182,1892,252,39,75,0.0,23.055988,72.506014,132.462
2183,1894,259,38,75,0.0,23.055988,72.506014,132.462
2184,1896,266,38,75,0.0,23.055988,72.506014,132.462
2185,1897,271,39,75,0.0,23.055988,72.506014,132.463
2186,1897,276,39,75,0.0,23.055988,72.506014,132.463
2187,1900,284,38,74,0.0,23.055988,72.506014,132.463
2188,1902,290,38,76,0.0,23.055988,72.506014,132.463
2189,1901,293,39,79,0.0,23.055988,72.506014,132.463
2190,1904,297,39,78,0.0,23.055988,72.506014,132.463
2191,1907,304,38,76,0.0,23.055988,72.506014,132.464
2192,1910,311,37,74,0.0,23.055988,72.506014,132.464
2193,1912,314,39,75,0.0,23.055988,72.506014,132.464
2194,1914,318,39,74,0.0,23.055988,72.506014,132.464
2195,1915,326,39,73,0.0,23.055988,72.506014,132.464
2196,1916,331,40,72,0.0,23.055988,72.506014,132.464
2197,1918,336,39,72,0.0,23.055988,72.506014,132.465
2198,1919,339,39,73,0.0,23.055988,72.506014,132.465
2199,1920,345,38,74,0.0,23.055988,72.506014,132.465
2200,1923,351,36,73,0.0,23.055988,72.506014,132.465
2201,1925,359,35,72,0.0,23.055988,72.506014,132.465
2202,1928,363,36,74,0.0,23.055988,72.506014,132.465
2203,1930,368,35,74,0.0,23.055988,72.506014,132.468
2204,1932,372,35,74,0.0,23.055988,72.506014,132.468
2205,1932,378,36,74,0.0,23.055988,72.506014,132.468
2206,1933,384,34,74,0.0,23.055988,72.506014,132.468
2207,1934,388,35,74,0.0,23.055988,72.506014,132.468
2208,1936,394,35,73,0.0,23.055988,72.506014,132.468
2209,1937,400,35,72,0.0,23.055988,72.506014,132.468
2210,1938,405,35,70,0.0,23.055988,72.506014,132.468
2211,1939,410,36,70,0.0,23.055988,72.506014,132.468
2212,1940,416,36,69,0.0,23.055988,72.506014,132.468
2213,1941,423,36,67,0.0,23.055988,72.506014,132.468
2214,1941,426,36,71,0.0,23.055988,72.506014,132.468
2215,1943,431,37,73,0.0,23.055988,72.506014,132.468
2216,1944,436,37,74,0.0,23.055988,72.506014,132.468
2217,1945,443,38,73,0.0,23.055988,72.506014,132.468
2218,1946,446,40,74,0.0,23.055988,72.506014,132.468
2219,1947,450,40,72,0.0,23.055988,72.506014,132.468
2220,1949,453,40,73,0.0,23.055988,72.506014,132.468
2221,1953,459,39,73,0.0,23.055988,72.506013,132.474
2222,1954,462,40,74,0.0,23.055988,72.506013,132.474
2223,1956,467,40,71,0.0,23.055988,72.506013,132.474
2224,1958,474,39,70,0.0,23.055988,72.506013,132.474
2225,1960,481,38,69,0.0,23.055988,72.506013,132.474
2226,1962,486,38,70,0.0,23.055988,72.506013,132.474
2227,1962,488,40,71,0.0,23.055988,72.506013,132.487
2228,1963,492,39,72,0.0,23.055988,72.506013,132.487
2229,1964,496,39,72,0.0,23.055988,72.506013,132.487
2230,1965,499,39,72,0.0,23.055988,72.506013,132.487
2231,1967,502,40,72,0.0,23.055988,72.506013,132.487
2232,1969,504,40,73,0.0,23.055988,72.506013,132.487
2233,1970,508,40,74,0.0,23.055988,72.506013,132.497
2234,1970,511,41,73,0.0,23.055988,72.506013,132.497
2235,1970,517,42,73,0.0,23.055988,72.506013,132.497
2236,1969,518,44,75,0.0,23.055988,72.506013,132.497
2237,1969,520,45,76,0.0,23.055988,72.506013,132.497
2238,1972,523,45,76,0.0,23.055988,72.506013,132.497
2239,1973,530,45,73,0.0,23.055988,72.506014,132.509
2240,1974,530,44,74,0.0,23.055988,72.506014,132.509
2241,1970,532,46,74,0.0,23.055988,72.506014,132.509
2242,1973,537,47,74,0.0,23.055988,72.506014,132.509
2243,1976,545,47,72,0.0,23.055988,72.506014,132.509
2244,1977,549,49,70,0.0,23.055988,72.506014,132.509
2245,1981,553,46,71,0.0,23.055988,72.506014,132.524
2246,1981,557,46,70,0.0,23.055988,72.506014,132.524
2247,1983,559,46,70,0.0,23.055988,72.506014,132.524
2248,1983,564,48,69,0.0,23.055988,72.506014,132.524
2249,1987,565,47,71,0.0,23.055988,72.506014,132.524
2250,1989,571,46,70,0.0,23.055988,72.506014,132.524
2251,1993,573,45,71,0.0,23.055988,72.506014,132.543
2252,1995,575,43,72,0.0,23.055988,72.506014,132.543
2253,1997,580,42,71,0.0,23.055988,72.506014,132.543
2254,1996,582,43,71,0.0,23.055988,72.506014,132.543
2255,1997,582,43,73,0.0,23.055988,72.506014,132.543
2256,1995,585,44,71,0.0,23.055988,72.506014,132.543
2257,1997,586,43,73,0.0,23.055988,72.506014,132.565
2258,1997,586,45,75,0.0,23.055988,72.506014,132.565
2259,1998,590,44,74,0.0,23.055988,72.506014,132.565
2260,2000,592,45,74,0.0,23.055988,72.506014,132.565
2261,2000,594,45,75,0.0,23.055988,72.506014,132.565
2262,2003,598,43,75,0.0,23.055988,72.506014,132.565
