frameNo,left,top,w,h,conf,lat,long,alt
1,814,2014,94,145,0.0,23.055986,72.506015,133.062
2,813,2014,95,145,0.0,23.055986,72.506015,133.062
3,812,2013,96,146,0.0,23.055986,72.506015,133.064
4,811,2013,97,146,0.0,23.055986,72.506015,133.064
5,811,2013,96,146,0.0,23.055986,72.506015,133.064
6,811,2013,96,146,0.0,23.055986,72.506015,133.064
7,811,2013,96,146,0.0,23.055986,72.506015,133.064
8,811,2012,96,147,0.0,23.055986,72.506015,133.064
9,811,2012,96,147,0.0,23.055986,72.506015,133.07
10,811,2012,95,147,0.0,23.055986,72.506015,133.07
11,811,2012,95,147,0.0,23.055986,72.506015,133.07
12,812,2011,94,148,0.0,23.055986,72.506015,133.07
13,812,2011,94,148,0.0,23.055986,72.506015,133.07
14,812,2011,94,148,0.0,23.055986,72.506015,133.07
15,813,2011,92,148,0.0,23.055986,72.506015,133.068
16,813,2011,92,148,0.0,23.055986,72.506015,133.068
17,813,2011,92,148,0.0,23.055986,72.506015,133.068
18,813,2010,91,148,0.0,23.055986,72.506015,133.068
19,813,2011,90,147,0.0,23.055986,72.506015,133.068
20,813,2011,89,146,0.0,23.055986,72.506015,133.068
21,812,2010,90,147,0.0,23.055987,72.506015,133.075
22,813,2011,89,146,0.0,23.055987,72.506015,133.075
23,812,2011,90,147,0.0,23.055987,72.506015,133.075
24,812,2011,90,147,0.0,23.055987,72.506015,133.075
25,811,2011,91,147,0.0,23.055987,72.506015,133.075
26,811,2011,91,147,0.0,23.055987,72.506015,133.075
27,811,2011,92,147,0.0,23.055986,72.506015,133.073
28,811,2012,91,146,0.0,23.055986,72.506015,133.073
29,811,2013,92,146,0.0,23.055986,72.506015,133.073
30,811,2013,92,146,0.0,23.055986,72.506015,133.073
31,812,2013,91,145,0.0,23.055986,72.506015,133.073
32,811,2013,92,145,0.0,23.055986,72.506015,133.073
33,811,2013,92,146,0.0,23.055987,72.506015,133.075
71,809,2008,93,149,0.0,23.055987,72.506015,133.075
76,807,2005,94,152,0.0,23.055987,72.506015,133.077
77,806,2004,95,153,0.0,23.055987,72.506015,133.077
78,806,2004,95,153,0.0,23.055987,72.506015,133.077
79,806,2004,95,153,0.0,23.055987,72.506015,133.077
80,806,2004,95,153,0.0,23.055987,72.506015,133.077
81,806,2004,95,153,0.0,23.055987,72.506015,133.087
82,806,2004,95,153,0.0,23.055987,72.506015,133.087
