frameNo,left,top,w,h,conf,lat,long,alt
1061,4,870,71,46,0.0,23.055988,72.506015,132.567
1062,5,872,77,44,0.0,23.055988,72.506015,132.567
1063,13,875,79,41,0.0,23.055988,72.506015,132.567
1064,21,876,80,39,0.0,23.055988,72.506015,132.566
1065,31,876,80,38,0.0,23.055988,72.506015,132.566
1066,42,876,79,37,0.0,23.055988,72.506015,132.566
1067,50,877,78,36,0.0,23.055987,72.506015,132.566
1068,59,878,77,35,0.0,23.055987,72.506015,132.566
1069,67,878,77,35,0.0,23.055987,72.506015,132.566
1070,74,878,78,35,0.0,23.055988,72.506015,132.568
1071,84,877,77,35,0.0,23.055988,72.506015,132.568
1072,91,878,77,34,0.0,23.055988,72.506015,132.568
1073,100,879,77,34,0.0,23.055988,72.506015,132.568
1074,107,880,77,34,0.0,23.055988,72.506015,132.568
1075,114,880,78,34,0.0,23.055988,72.506015,132.568
1076,121,880,80,33,0.0,23.055988,72.506015,132.565
1077,131,880,78,32,0.0,23.055988,72.506015,132.565
1078,140,880,78,33,0.0,23.055988,72.506015,132.565
1079,150,881,77,33,0.0,23.055988,72.506015,132.565
1080,157,880,76,33,0.0,23.055988,72.506015,132.565
1081,163,880,77,33,0.0,23.055988,72.506015,132.565
1082,174,879,75,32,0.0,23.055988,72.506015,132.566
1083,182,878,74,32,0.0,23.055988,72.506015,132.566
1084,190,879,74,31,0.0,23.055988,72.506015,132.566
1085,201,880,74,31,0.0,23.055988,72.506015,132.566
1086,207,879,75,32,0.0,23.055988,72.506015,132.566
1087,213,879,75,32,0.0,23.055988,72.506015,132.566
1088,222,878,74,32,0.0,23.055988,72.506015,132.564
1089,229,878,75,31,0.0,23.055988,72.506015,132.564
1090,237,878,74,31,0.0,23.055988,72.506015,132.564
1091,245,879,75,32,0.0,23.055988,72.506015,132.564
1092,253,879,75,32,0.0,23.055988,72.506015,132.564
1093,259,879,74,32,0.0,23.055988,72.506015,132.564
1094,265,879,75,32,0.0,23.055988,72.506015,132.565
1095,277,878,78,32,0.0,23.055988,72.506015,132.565
1096,283,877,80,33,0.0,23.055988,72.506015,132.565
1097,289,876,80,34,0.0,23.055988,72.506015,132.565
1098,297,877,79,33,0.0,23.055988,72.506015,132.565
1099,304,877,79,33,0.0,23.055988,72.506015,132.565
1100,310,877,79,33,0.0,23.055988,72.506015,132.564
1101,318,877,79,33,0.0,23.055988,72.506015,132.564
1102,327,876,77,33,0.0,23.055988,72.506015,132.564
1103,336,876,76,33,0.0,23.055988,72.506015,132.564
1104,343,877,76,33,0.0,23.055988,72.506015,132.564
1105,348,877,77,33,0.0,23.055988,72.506015,132.564
1106,356,877,77,33,0.0,23.055988,72.506015,132.566
1107,366,876,76,34,0.0,23.055988,72.506015,132.566
1108,374,876,78,34,0.0,23.055988,72.506015,132.566
1109,381,876,76,33,0.0,23.055988,72.506015,132.566
