frameNo,left,top,w,h,conf,lat,long,alt
1085,1843,162,68,103,0.0,23.055988,72.506015,132.566
1086,1844,168,67,103,0.0,23.055988,72.506015,132.566
1087,1845,175,69,103,0.0,23.055988,72.506015,132.566
1088,1847,182,69,103,0.0,23.055988,72.506015,132.564
1093,1857,216,67,103,0.0,23.055988,72.506015,132.564
1094,1859,222,67,102,0.0,23.055988,72.506015,132.565
1095,1860,228,66,101,0.0,23.055988,72.506015,132.565
1096,1862,234,67,103,0.0,23.055988,72.506015,132.565
1097,1864,240,70,103,0.0,23.055988,72.506015,132.565
1098,1866,247,70,103,0.0,23.055988,72.506015,132.565
1099,1866,255,71,106,0.0,23.055988,72.506015,132.565
1100,1866,263,74,110,0.0,23.055988,72.506015,132.564
1101,1867,267,74,111,0.0,23.055988,72.506015,132.564
1102,1867,270,75,113,0.0,23.055988,72.506015,132.564
1103,1868,274,75,114,0.0,23.055988,72.506015,132.564
1104,1870,275,74,115,0.0,23.055988,72.506015,132.564
1105,1872,275,75,116,0.0,23.055988,72.506015,132.564
1106,1872,279,76,116,0.0,23.055988,72.506015,132.566
1107,1873,286,76,116,0.0,23.055988,72.506015,132.566
1108,1875,294,75,113,0.0,23.055988,72.506015,132.566
1109,1875,302,76,111,0.0,23.055988,72.506015,132.566
1110,1876,308,76,111,0.0,23.055988,72.506015,132.566
1111,1878,314,76,111,0.0,23.055988,72.506015,132.566
1112,1880,320,77,111,0.0,23.055988,72.506015,132.571
1113,1883,325,77,111,0.0,23.055988,72.506015,132.571
1114,1884,329,78,112,0.0,23.055988,72.506015,132.571
1115,1885,334,77,112,0.0,23.055988,72.506015,132.571
1116,1886,340,79,111,0.0,23.055988,72.506015,132.571
1117,1888,348,78,112,0.0,23.055988,72.506015,132.571
1118,1889,353,77,112,0.0,23.055988,72.506015,132.568
1119,1890,359,77,110,0.0,23.055988,72.506015,132.568
1120,1892,365,76,109,0.0,23.055988,72.506015,132.568
1121,1895,369,75,110,0.0,23.055988,72.506015,132.568
1122,1898,375,75,111,0.0,23.055988,72.506015,132.568
1123,1900,382,74,110,0.0,23.055988,72.506015,132.568
1124,1902,388,74,110,0.0,23.055988,72.506015,132.577
1125,1904,393,73,110,0.0,23.055988,72.506015,132.577
1126,1906,397,73,109,0.0,23.055988,72.506015,132.577
1127,1908,403,73,108,0.0,23.055988,72.506015,132.577
1128,1910,410,72,107,0.0,23.055988,72.506015,132.577
1129,1912,418,73,106,0.0,23.055988,72.506015,132.577
1130,1913,424,73,105,0.0,23.055988,72.506015,132.582
1131,1914,428,74,107,0.0,23.055988,72.506015,132.582
1132,1916,433,74,108,0.0,23.055988,72.506015,132.582
1133,1918,438,74,107,0.0,23.055988,72.506015,132.582
1134,1920,445,75,107,0.0,23.055988,72.506015,132.582
1135,1922,450,75,108,0.0,23.055988,72.506015,132.582
1136,1925,455,75,109,0.0,23.055988,72.506014,132.585
1137,1927,460,73,109,0.0,23.055988,72.506014,132.585
1138,1928,467,73,108,0.0,23.055988,72.506014,132.585
1139,1929,471,73,109,0.0,23.055988,72.506014,132.585
1140,1931,477,72,108,0.0,23.055988,72.506014,132.585
1141,1932,482,72,108,0.0,23.055988,72.506014,132.585
1142,1933,488,71,107,0.0,23.055988,72.506014,132.594
1143,1934,494,71,105,0.0,23.055988,72.506014,132.594
1144,1936,500,71,105,0.0,23.055988,72.506014,132.594
1145,1939,504,71,106,0.0,23.055988,72.506014,132.594
1146,1940,509,72,107,0.0,23.055988,72.506014,132.594
1147,1943,514,72,107,0.0,23.055988,72.506014,132.594
1148,1945,518,71,107,0.0,23.055988,72.506014,132.599
1149,1947,521,71,108,0.0,23.055988,72.506014,132.599
1150,1949,524,72,111,0.0,23.055988,72.506014,132.599
1151,1950,529,72,112,0.0,23.055988,72.506014,132.599
1152,1951,535,74,111,0.0,23.055988,72.506014,132.599
1153,1952,540,74,112,0.0,23.055988,72.506014,132.599
1154,1952,545,76,112,0.0,23.055988,72.506014,132.609
1158,1961,568,77,108,0.0,23.055988,72.506014,132.609
1182,2008,694,80,104,0.0,23.055988,72.506014,132.626
1202,2046,791,83,109,0.0,23.055988,72.506014,132.624
1203,2048,796,83,108,0.0,23.055988,72.506014,132.624
1211,2061,837,78,102,0.0,23.055988,72.506014,132.62
1212,2061,841,80,102,0.0,23.055988,72.506014,132.62
1217,2067,862,80,104,0.0,23.055988,72.506014,132.617
1218,2069,865,79,107,0.0,23.055988,72.506014,132.617
1224,2081,893,79,103,0.0,23.055988,72.506014,132.614
1225,2083,898,79,102,0.0,23.055988,72.506014,132.614
1226,2085,903,78,101,0.0,23.055988,72.506014,132.613
1227,2085,907,78,102,0.0,23.055988,72.506014,132.613
1228,2087,911,78,102,0.0,23.055988,72.506014,132.613
1229,2090,915,77,102,0.0,23.055988,72.506014,132.613
1230,2091,921,76,102,0.0,23.055988,72.506014,132.613
1231,2093,927,75,102,0.0,23.055988,72.506014,132.613
1232,2096,933,73,102,0.0,23.055988,72.506014,132.608
1233,2097,938,74,102,0.0,23.055988,72.506014,132.608
1234,2099,943,73,102,0.0,23.055988,72.506014,132.608
1238,2105,963,76,104,0.0,23.055988,72.506014,132.605
1239,2107,968,76,103,0.0,23.055988,72.506014,132.605
1240,2108,972,75,103,0.0,23.055988,72.506014,132.605
1241,2113,977,73,102,0.0,23.055988,72.506014,132.605
1276,2171,1160,72,108,0.0,23.055988,72.506014,132.64
1277,2172,1165,74,107,0.0,23.055988,72.506014,132.64
1278,2174,1171,73,107,0.0,23.055988,72.506014,132.64
1279,2176,1177,73,107,0.0,23.055988,72.506014,132.64
1280,2179,1183,74,106,0.0,23.055988,72.506014,132.636
1281,2181,1188,74,107,0.0,23.055988,72.506014,132.636
1282,2181,1196,75,105,0.0,23.055988,72.506014,132.636
1286,2191,1220,74,106,0.0,23.055988,72.506014,132.636
1287,2192,1227,75,106,0.0,23.055988,72.506014,132.636
1288,2194,1232,76,105,0.0,23.055988,72.506014,132.636
1289,2197,1235,76,106,0.0,23.055988,72.506014,132.636
1290,2198,1240,78,107,0.0,23.055988,72.506014,132.636
1291,2199,1247,79,107,0.0,23.055988,72.506014,132.636
1292,2201,1253,81,105,0.0,23.055988,72.506015,132.633
1293,2203,1260,79,106,0.0,23.055988,72.506015,132.633
1297,2212,1283,79,106,0.0,23.055988,72.506015,132.633
1298,2213,1289,79,108,0.0,23.055988,72.506014,132.628
1299,2214,1296,79,108,0.0,23.055988,72.506014,132.628
1300,2217,1302,79,109,0.0,23.055988,72.506014,132.628
1301,2220,1308,78,110,0.0,23.055988,72.506015,132.628
1302,2222,1316,78,110,0.0,23.055988,72.506015,132.628
1303,2224,1323,79,108,0.0,23.055988,72.506015,132.628
1304,2226,1329,79,106,0.0,23.055988,72.506015,132.622
1305,2228,1335,80,107,0.0,23.055988,72.506015,132.622
1306,2227,1343,81,107,0.0,23.055988,72.506015,132.622
1307,2228,1352,83,108,0.0,23.055988,72.506015,132.622
1308,2232,1359,83,107,0.0,23.055988,72.506015,132.622
1309,2235,1366,83,108,0.0,23.055988,72.506015,132.622
1310,2237,1375,83,106,0.0,23.055988,72.506015,132.614
1311,2240,1381,83,105,0.0,23.055988,72.506015,132.614
1312,2243,1389,83,103,0.0,23.055988,72.506015,132.614
1313,2242,1395,85,104,0.0,23.055988,72.506015,132.614
1314,2246,1402,84,104,0.0,23.055988,72.506015,132.614
1315,2248,1409,83,103,0.0,23.055988,72.506015,132.614
1316,2251,1416,81,102,0.0,23.055988,72.506015,132.605
1317,2256,1421,81,104,0.0,23.055988,72.506015,132.605
1318,2261,1426,79,105,0.0,23.055988,72.506015,132.605
1319,2265,1432,79,106,0.0,23.055988,72.506015,132.605
1320,2265,1438,80,107,0.0,23.055988,72.506015,132.605
1321,2266,1445,80,106,0.0,23.055988,72.506015,132.605
1322,2268,1453,81,107,0.0,23.055988,72.506015,132.595
1326,2277,1481,84,105,0.0,23.055988,72.506015,132.595
1327,2280,1489,85,105,0.0,23.055988,72.506015,132.595
1331,2289,1520,85,103,0.0,23.055988,72.506015,132.587
1332,2292,1527,85,101,0.0,23.055988,72.506015,132.587
1333,2294,1535,85,101,0.0,23.055988,72.506015,132.587
1334,2296,1543,85,101,0.0,23.055988,72.506014,132.583
1335,2300,1551,85,101,0.0,23.055988,72.506014,132.583
1336,2304,1559,84,102,0.0,23.055988,72.506014,132.583
1337,2309,1565,83,103,0.0,23.055988,72.506014,132.583
1338,2312,1571,84,103,0.0,23.055988,72.506014,132.583
1339,2315,1580,84,104,0.0,23.055988,72.506014,132.583
1343,2327,1612,81,106,0.0,23.055988,72.506014,132.581
1344,2330,1619,81,106,0.0,23.055988,72.506014,132.581
1345,2333,1628,80,106,0.0,23.055988,72.506014,132.581
1346,2335,1637,79,106,0.0,23.055988,72.506014,132.582
1347,2338,1644,79,107,0.0,23.055988,72.506014,132.582
1371,2413,1837,82,109,0.0,23.055988,72.506014,132.587
1372,2416,1846,82,107,0.0,23.055988,72.506014,132.587
1373,2421,1855,83,108,0.0,23.055988,72.506014,132.587
1374,2423,1863,83,108,0.0,23.055988,72.506014,132.587
1378,2437,1895,84,113,0.0,23.055988,72.506014,132.586
1379,2438,1903,85,113,0.0,23.055988,72.506014,132.586
1380,2442,1914,85,111,0.0,23.055988,72.506014,132.586
1381,2446,1924,83,112,0.0,23.055988,72.506014,132.586
1382,2449,1933,84,111,0.0,23.055988,72.506014,132.585
1383,2452,1941,83,111,0.0,23.055988,72.506014,132.585
1384,2456,1950,83,111,0.0,23.055988,72.506014,132.585
1385,2458,1958,84,112,0.0,23.055988,72.506014,132.585
1386,2463,1968,84,113,0.0,23.055988,72.506014,132.585
1387,2467,1977,84,113,0.0,23.055988,72.506014,132.585
1388,2470,1986,85,113,0.0,23.055988,72.506014,132.581
1395,2494,2048,86,108,0.0,23.055988,72.506014,132.582
