frameNo,left,top,w,h,conf,lat,long,alt
118,3201,570,28,32,0.0,23.055988,72.506014,132.885
119,3200,570,29,33,0.0,23.055988,72.506014,132.888
120,3198,571,30,33,0.0,23.055988,72.506014,132.888
201,3081,591,36,34,0.0,23.055988,72.506015,132.955
202,3079,591,37,35,0.0,23.055988,72.506015,132.955
203,3075,593,39,34,0.0,23.055988,72.506015,132.967
209,3060,594,43,32,0.0,23.055988,72.506015,132.976
210,3058,593,45,34,0.0,23.055988,72.506015,132.976
211,3056,594,45,33,0.0,23.055988,72.506015,132.976
212,3054,594,45,33,0.0,23.055988,72.506015,132.976
213,3052,594,46,33,0.0,23.055988,72.506015,132.976
214,3052,594,45,33,0.0,23.055988,72.506015,132.976
225,3037,592,41,39,0.0,23.055988,72.506014,133.003
226,3034,592,40,38,0.0,23.055988,72.506014,133.011
227,3034,591,37,37,0.0,23.055988,72.506015,133.011
228,3032,592,37,36,0.0,23.055988,72.506015,133.011
229,3034,593,35,36,0.0,23.055988,72.506015,133.011
229,3029,598,47,34,0.0,23.055988,72.506015,133.011
245,3012,594,33,34,0.0,23.055988,72.506015,133.02
245,3000,596,48,39,0.0,23.055988,72.506015,133.02
249,3002,596,37,37,0.0,23.055988,72.506015,133.02
250,3002,596,35,37,0.0,23.055988,72.506015,133.018
251,3000,596,36,38,0.0,23.055988,72.506015,133.018
252,3000,596,35,38,0.0,23.055988,72.506015,133.018
253,3000,596,34,39,0.0,23.055988,72.506015,133.018
254,2999,597,35,39,0.0,23.055988,72.506015,133.018
255,2998,598,35,39,0.0,23.055988,72.506015,133.018
256,2996,598,35,38,0.0,23.055988,72.506015,133.029
257,2994,598,36,39,0.0,23.055988,72.506015,133.029
258,2995,599,35,38,0.0,23.055988,72.506015,133.029
259,2994,599,35,38,0.0,23.055988,72.506015,133.029
260,2996,600,32,38,0.0,23.055988,72.506015,133.029
261,2995,600,31,38,0.0,23.055988,72.506015,133.029
262,2993,600,32,38,0.0,23.055988,72.506015,133.033
263,2993,600,30,39,0.0,23.055988,72.506015,133.033
