frameNo,left,top,w,h,conf,lat,long,alt
1,2302,566,50,48,0.0,23.055988,72.506015,133.088
2,2303,567,49,48,0.0,23.055988,72.506015,133.088
3,2302,566,50,50,0.0,23.055988,72.506015,133.088
4,2302,567,50,49,0.0,23.055988,72.506015,133.088
5,2302,566,50,49,0.0,23.055988,72.506015,133.079
6,2303,567,49,48,0.0,23.055988,72.506015,133.079
7,2304,566,47,47,0.0,23.055988,72.506015,133.079
8,2304,566,48,47,0.0,23.055988,72.506015,133.079
9,2304,566,47,47,0.0,23.055988,72.506015,133.079
10,2304,567,46,46,0.0,23.055988,72.506015,133.079
11,2303,566,47,47,0.0,23.055988,72.506015,133.075
12,2302,568,48,45,0.0,23.055988,72.506015,133.075
13,2298,565,51,44,0.0,23.055988,72.506015,133.075
14,2300,566,51,44,0.0,23.055988,72.506015,133.075
15,2298,563,53,46,0.0,23.055988,72.506015,133.075
16,2297,563,54,44,0.0,23.055988,72.506015,133.075
17,2296,562,56,45,0.0,23.055988,72.506015,133.067
18,2296,562,57,45,0.0,23.055988,72.506015,133.067
19,2295,562,58,45,0.0,23.055988,72.506015,133.067
20,2294,562,58,46,0.0,23.055988,72.506015,133.067
21,2294,562,58,46,0.0,23.055988,72.506015,133.067
22,2293,563,58,45,0.0,23.055988,72.506015,133.067
23,2292,563,59,46,0.0,23.055988,72.506015,133.06
24,2290,560,60,44,0.0,23.055988,72.506015,133.06
25,2290,559,60,43,0.0,23.055988,72.506015,133.06
26,2289,559,61,43,0.0,23.055988,72.506015,133.06
27,2289,559,61,43,0.0,23.055988,72.506015,133.06
28,2289,558,61,44,0.0,23.055988,72.506015,133.06
29,2289,558,62,44,0.0,23.055988,72.506015,133.058
30,2289,557,62,45,0.0,23.055988,72.506015,133.058
31,2290,557,62,45,0.0,23.055988,72.506015,133.058
32,2290,557,63,45,0.0,23.055988,72.506015,133.058
33,2291,557,62,45,0.0,23.055988,72.506015,133.058
34,2291,557,63,46,0.0,23.055988,72.506015,133.058
35,2290,557,64,46,0.0,23.055988,72.506015,133.051
36,2291,556,64,47,0.0,23.055988,72.506015,133.051
37,2290,556,64,47,0.0,23.055988,72.506015,133.051
38,2292,560,62,47,0.0,23.055988,72.506015,133.051
39,2291,558,64,48,0.0,23.055988,72.506015,133.051
40,2292,560,63,48,0.0,23.055988,72.506015,133.051
41,2292,558,63,48,0.0,23.055988,72.506015,133.047
42,2292,558,63,48,0.0,23.055988,72.506015,133.047
43,2292,557,64,49,0.0,23.055988,72.506015,133.047
44,2291,559,64,48,0.0,23.055988,72.506015,133.047
45,2291,559,63,48,0.0,23.055988,72.506015,133.047
46,2290,559,63,47,0.0,23.055988,72.506015,133.047
47,2290,559,62,47,0.0,23.055988,72.506015,133.035
48,2295,561,57,46,0.0,23.055988,72.506015,133.035
49,2297,561,55,47,0.0,23.055988,72.506015,133.035
50,2298,562,53,46,0.0,23.055988,72.506015,133.035
51,2299,561,51,47,0.0,23.055988,72.506015,133.035
52,2300,563,50,46,0.0,23.055988,72.506015,133.035
53,2300,564,50,45,0.0,23.055988,72.506015,133.026
54,2301,565,48,44,0.0,23.055988,72.506015,133.026
55,2301,563,48,45,0.0,23.055988,72.506015,133.026
59,2301,564,50,45,0.0,23.055988,72.506015,133.011
60,2300,564,51,45,0.0,23.055988,72.506015,133.011
61,2298,564,51,45,0.0,23.055988,72.506015,133.011
62,2297,565,51,45,0.0,23.055988,72.506015,133.011
63,2297,566,50,44,0.0,23.055988,72.506015,133.011
64,2299,565,51,45,0.0,23.055988,72.506015,133.011
65,2298,566,53,44,0.0,23.055988,72.506015,132.994
66,2299,565,52,45,0.0,23.055988,72.506015,132.994
67,2298,565,52,45,0.0,23.055988,72.506015,132.994
68,2298,565,52,45,0.0,23.055988,72.506015,132.994
69,2296,565,53,45,0.0,23.055988,72.506015,132.994
70,2292,565,53,46,0.0,23.055988,72.506015,132.994
71,2290,565,56,45,0.0,23.055988,72.506015,132.973
72,2288,564,56,45,0.0,23.055988,72.506015,132.973
73,2289,565,57,44,0.0,23.055988,72.506015,132.973
74,2290,565,58,44,0.0,23.055988,72.506015,132.973
75,2288,565,59,44,0.0,23.055988,72.506015,132.973
76,2288,564,59,45,0.0,23.055988,72.506015,132.973
77,2285,564,60,45,0.0,23.055988,72.506015,132.949
106,2301,563,47,43,0.0,23.055988,72.506014,132.895
107,2301,562,48,44,0.0,23.055988,72.506014,132.888
108,2303,562,46,43,0.0,23.055988,72.506014,132.888
109,2303,563,46,41,0.0,23.055988,72.506014,132.888
110,2303,563,46,41,0.0,23.055988,72.506014,132.888
111,2303,563,46,40,0.0,23.055988,72.506014,132.888
112,2303,563,46,40,0.0,23.055988,72.506014,132.888
113,2304,563,45,40,0.0,23.055988,72.506014,132.885
114,2304,564,45,39,0.0,23.055988,72.506014,132.885
115,2304,565,46,37,0.0,23.055988,72.506014,132.885
116,2304,565,46,37,0.0,23.055988,72.506014,132.885
117,2304,564,46,38,0.0,23.055988,72.506014,132.885
118,2303,564,46,38,0.0,23.055988,72.506014,132.885
119,2304,563,46,38,0.0,23.055988,72.506014,132.888
120,2304,563,47,37,0.0,23.055988,72.506014,132.888
121,2304,563,47,37,0.0,23.055988,72.506014,132.888
122,2304,563,47,37,0.0,23.055988,72.506014,132.888
123,2303,562,47,38,0.0,23.055988,72.506014,132.888
124,2303,563,48,38,0.0,23.055988,72.506014,132.888
125,2303,562,48,38,0.0,23.055988,72.506014,132.893
126,2303,562,48,38,0.0,23.055988,72.506014,132.893
127,2303,562,48,38,0.0,23.055988,72.506014,132.893
128,2303,562,48,38,0.0,23.055988,72.506014,132.893
129,2303,562,48,38,0.0,23.055988,72.506014,132.893
130,2303,562,48,38,0.0,23.055988,72.506014,132.893
131,2303,562,48,37,0.0,23.055989,72.506014,132.898
132,2304,561,48,38,0.0,23.055989,72.506014,132.898
133,2303,562,48,38,0.0,23.055989,72.506014,132.898
134,2304,561,48,39,0.0,23.055989,72.506014,132.898
135,2304,561,48,39,0.0,23.055989,72.506014,132.898
136,2304,561,48,39,0.0,23.055989,72.506014,132.898
137,2304,562,48,39,0.0,23.055989,72.506014,132.905
138,2304,561,48,40,0.0,23.055989,72.506014,132.905
139,2304,561,48,40,0.0,23.055989,72.506014,132.905
140,2305,560,47,40,0.0,23.055989,72.506014,132.905
141,2305,560,47,40,0.0,23.055989,72.506014,132.905
142,2304,561,47,40,0.0,23.055989,72.506014,132.905
143,2304,561,47,40,0.0,23.055989,72.506014,132.906
144,2304,561,48,40,0.0,23.055989,72.506014,132.906
145,2304,561,47,40,0.0,23.055989,72.506014,132.906
146,2303,561,48,40,0.0,23.055988,72.506014,132.906
147,2303,562,48,39,0.0,23.055988,72.506014,132.906
148,2303,561,48,39,0.0,23.055988,72.506014,132.906
149,2303,561,48,39,0.0,23.055988,72.506014,132.907
150,2302,561,49,40,0.0,23.055988,72.506014,132.907
151,2302,561,49,40,0.0,23.055988,72.506014,132.907
152,2302,562,50,39,0.0,23.055988,72.506015,132.907
153,2301,562,50,40,0.0,23.055988,72.506015,132.907
154,2301,563,50,40,0.0,23.055988,72.506015,132.907
155,2300,563,51,40,0.0,23.055988,72.506014,132.909
156,2300,563,52,40,0.0,23.055988,72.506014,132.909
157,2301,563,51,41,0.0,23.055988,72.506014,132.909
158,2301,563,51,41,0.0,23.055988,72.506014,132.909
159,2301,563,51,41,0.0,23.055988,72.506014,132.909
160,2302,563,50,41,0.0,23.055988,72.506014,132.909
161,2301,566,50,41,0.0,23.055988,72.506015,132.911
162,2302,564,50,41,0.0,23.055988,72.506015,132.911
163,2303,563,49,42,0.0,23.055988,72.506015,132.911
164,2303,563,48,42,0.0,23.055988,72.506015,132.911
165,2303,564,48,42,0.0,23.055988,72.506015,132.911
166,2303,564,47,42,0.0,23.055988,72.506015,132.913
167,2303,563,47,43,0.0,23.055988,72.506015,132.913
168,2303,563,47,43,0.0,23.055988,72.506015,132.913
169,2303,563,47,43,0.0,23.055988,72.506015,132.913
170,2302,562,48,44,0.0,23.055988,72.506015,132.913
171,2303,562,47,44,0.0,23.055988,72.506015,132.913
172,2302,562,48,44,0.0,23.055988,72.506015,132.913
173,2302,562,48,44,0.0,23.055988,72.506015,132.917
174,2301,563,48,44,0.0,23.055988,72.506015,132.917
175,2301,563,48,44,0.0,23.055988,72.506015,132.917
176,2300,563,49,44,0.0,23.055988,72.506015,132.917
177,2300,562,49,45,0.0,23.055988,72.506015,132.917
178,2300,562,49,45,0.0,23.055988,72.506015,132.917
179,2300,563,49,44,0.0,23.055988,72.506015,132.924
180,2300,562,50,45,0.0,23.055988,72.506015,132.924
181,2296,562,52,45,0.0,23.055988,72.506015,132.924
182,2295,562,53,46,0.0,23.055988,72.506015,132.924
183,2294,561,55,47,0.0,23.055988,72.506015,132.924
184,2294,561,55,47,0.0,23.055988,72.506015,132.924
185,2293,561,56,48,0.0,23.055988,72.506015,132.933
186,2293,561,56,48,0.0,23.055988,72.506015,132.933
187,2293,561,57,48,0.0,23.055988,72.506015,132.933
188,2293,561,57,48,0.0,23.055988,72.506015,132.933
189,2292,561,58,48,0.0,23.055988,72.506015,132.933
190,2293,561,57,48,0.0,23.055988,72.506015,132.933
191,2292,561,59,48,0.0,23.055988,72.506015,132.946
192,2292,561,59,48,0.0,23.055988,72.506015,132.946
193,2292,561,59,48,0.0,23.055988,72.506015,132.946
194,2294,561,58,48,0.0,23.055988,72.506015,132.946
195,2296,561,56,48,0.0,23.055988,72.506015,132.946
196,2293,561,58,48,0.0,23.055988,72.506015,132.946
197,2292,562,58,48,0.0,23.055988,72.506015,132.955
198,2294,562,57,47,0.0,23.055988,72.506015,132.955
199,2293,562,57,47,0.0,23.055988,72.506015,132.955
200,2294,562,57,46,0.0,23.055988,72.506015,132.955
201,2295,562,56,46,0.0,23.055988,72.506015,132.955
202,2295,563,56,45,0.0,23.055988,72.506015,132.955
203,2295,563,57,45,0.0,23.055988,72.506015,132.967
204,2295,564,56,44,0.0,23.055988,72.506015,132.967
205,2296,563,56,44,0.0,23.055988,72.506015,132.967
206,2296,563,56,44,0.0,23.055988,72.506015,132.967
207,2295,564,56,43,0.0,23.055988,72.506015,132.967
208,2295,564,57,43,0.0,23.055988,72.506015,132.967
209,2296,564,56,43,0.0,23.055988,72.506015,132.976
210,2295,564,56,43,0.0,23.055988,72.506015,132.976
211,2294,565,57,42,0.0,23.055988,72.506015,132.976
