frameNo,left,top,w,h,conf,lat,long,alt
2,2578,614,33,53,0.0,23.055988,72.506015,133.088
54,2577,614,42,46,0.0,23.055988,72.506015,133.026
55,2577,614,43,46,0.0,23.055988,72.506015,133.026
61,2579,615,45,43,0.0,23.055988,72.506015,133.011
62,2578,614,46,43,0.0,23.055988,72.506015,133.011
63,2573,611,50,44,0.0,23.055988,72.506015,133.011
63,2581,606,36,41,0.0,23.055988,72.506015,133.011
64,2572,610,51,46,0.0,23.055988,72.506015,133.011
64,2580,606,36,41,0.0,23.055988,72.506015,133.011
65,2571,609,52,48,0.0,23.055988,72.506015,132.994
65,2580,606,37,41,0.0,23.055988,72.506015,132.994
66,2570,609,53,48,0.0,23.055988,72.506015,132.994
66,2578,607,39,41,0.0,23.055988,72.506015,132.994
67,2569,609,55,49,0.0,23.055988,72.506015,132.994
67,2578,607,38,41,0.0,23.055988,72.506015,132.994
68,2569,608,55,49,0.0,23.055988,72.506015,132.994
68,2577,607,39,41,0.0,23.055988,72.506015,132.994
69,2569,608,55,49,0.0,23.055988,72.506015,132.994
69,2577,606,39,42,0.0,23.055988,72.506015,132.994
70,2568,607,56,48,0.0,23.055988,72.506015,132.994
70,2577,606,39,41,0.0,23.055988,72.506015,132.994
71,2567,608,57,47,0.0,23.055988,72.506015,132.973
71,2578,607,39,40,0.0,23.055988,72.506015,132.973
72,2567,607,58,45,0.0,23.055988,72.506015,132.973
72,2579,606,39,39,0.0,23.055988,72.506015,132.973
73,2567,607,59,44,0.0,23.055988,72.506015,132.973
73,2578,606,40,38,0.0,23.055988,72.506015,132.973
74,2567,606,59,43,0.0,23.055988,72.506015,132.973
74,2580,605,39,37,0.0,23.055988,72.506015,132.973
75,2571,608,59,41,0.0,23.055988,72.506015,132.973
75,2583,605,39,36,0.0,23.055988,72.506015,132.973
76,2572,608,60,40,0.0,23.055988,72.506015,132.973
76,2584,604,39,35,0.0,23.055988,72.506015,132.973
77,2572,609,61,38,0.0,23.055988,72.506015,132.949
77,2584,604,39,34,0.0,23.055988,72.506015,132.949
78,2573,609,61,37,0.0,23.055988,72.506015,132.949
78,2585,603,40,34,0.0,23.055988,72.506015,132.949
79,2573,609,62,36,0.0,23.055988,72.506015,132.949
79,2585,604,40,33,0.0,23.055988,72.506015,132.949
80,2568,608,64,36,0.0,23.055988,72.506015,132.949
80,2579,604,41,32,0.0,23.055988,72.506015,132.949
81,2568,608,64,35,0.0,23.055988,72.506015,132.949
82,2566,607,64,35,0.0,23.055988,72.506015,132.949
83,2568,608,63,35,0.0,23.055988,72.506015,132.934
84,2567,607,64,35,0.0,23.055988,72.506015,132.934
85,2567,606,65,35,0.0,23.055988,72.506015,132.934
86,2568,604,64,35,0.0,23.055988,72.506015,132.934
87,2568,603,66,36,0.0,23.055988,72.506015,132.934
88,2568,603,67,36,0.0,23.055988,72.506015,132.934
89,2568,602,68,37,0.0,23.055988,72.506015,132.918
90,2570,602,67,37,0.0,23.055988,72.506015,132.918
91,2570,601,66,37,0.0,23.055988,72.506015,132.918
92,2570,601,67,38,0.0,23.055988,72.506015,132.918
93,2570,601,67,38,0.0,23.055988,72.506015,132.918
94,2569,600,69,39,0.0,23.055988,72.506015,132.918
95,2571,600,68,40,0.0,23.055988,72.506014,132.9
96,2573,601,68,39,0.0,23.055988,72.506014,132.9
97,2575,601,66,40,0.0,23.055988,72.506014,132.9
98,2582,603,60,40,0.0,23.055988,72.506014,132.9
99,2585,603,57,40,0.0,23.055988,72.506014,132.9
111,2602,604,37,34,0.0,23.055988,72.506014,132.888
119,2607,601,39,36,0.0,23.055988,72.506014,132.888
120,2608,601,39,36,0.0,23.055988,72.506014,132.888
121,2609,601,39,36,0.0,23.055988,72.506014,132.888
122,2612,603,36,36,0.0,23.055988,72.506014,132.888
138,2610,605,50,36,0.0,23.055989,72.506014,132.905
139,2611,606,48,35,0.0,23.055989,72.506014,132.905
268,2619,605,36,34,0.0,23.055988,72.506015,133.033
269,2620,607,34,33,0.0,23.055988,72.506015,133.039
270,2618,605,37,34,0.0,23.055988,72.506015,133.039
271,2618,604,37,34,0.0,23.055988,72.506015,133.039
272,2617,604,39,35,0.0,23.055988,72.506015,133.039
273,2617,604,39,35,0.0,23.055988,72.506015,133.039
274,2617,604,39,35,0.0,23.055988,72.506015,133.045
275,2617,604,40,34,0.0,23.055988,72.506015,133.045
276,2617,604,40,34,0.0,23.055988,72.506015,133.045
277,2620,607,36,33,0.0,23.055988,72.506015,133.045
278,2621,608,35,33,0.0,23.055988,72.506015,133.045
279,2622,608,34,33,0.0,23.055988,72.506015,133.045
280,2623,609,32,32,0.0,23.055988,72.506015,133.05
281,2624,609,31,32,0.0,23.055988,72.506015,133.05
282,2624,609,31,32,0.0,23.055988,72.506015,133.05
283,2624,609,30,32,0.0,23.055988,72.506015,133.05
284,2625,609,29,32,0.0,23.055988,72.506015,133.05
285,2625,609,30,32,0.0,23.055988,72.506015,133.05
286,2625,609,30,32,0.0,23.055988,72.506015,133.05
287,2626,609,29,32,0.0,23.055988,72.506015,133.05
288,2626,609,29,32,0.0,23.055988,72.506015,133.05
289,2626,609,29,32,0.0,23.055988,72.506015,133.05
290,2626,609,29,33,0.0,23.055988,72.506015,133.05
291,2626,609,29,33,0.0,23.055988,72.506015,133.05
292,2626,609,29,33,0.0,23.055988,72.506015,133.049
293,2626,609,29,33,0.0,23.055988,72.506015,133.049
294,2626,609,29,33,0.0,23.055988,72.506015,133.049
295,2626,609,29,32,0.0,23.055988,72.506015,133.049
296,2626,609,30,33,0.0,23.055988,72.506015,133.049
297,2627,609,29,33,0.0,23.055988,72.506015,133.049
298,2627,609,29,33,0.0,23.055988,72.506015,133.05
299,2627,608,29,34,0.0,23.055988,72.506015,133.05
300,2627,608,30,34,0.0,23.055988,72.506015,133.05
301,2627,607,30,34,0.0,23.055988,72.506015,133.05
302,2627,607,30,35,0.0,23.055988,72.506015,133.05
303,2626,607,31,34,0.0,23.055988,72.506015,133.05
304,2626,607,32,34,0.0,23.055988,72.506015,133.043
305,2625,607,32,34,0.0,23.055988,72.506015,133.043
306,2625,607,33,34,0.0,23.055988,72.506015,133.043
307,2625,607,33,34,0.0,23.055988,72.506015,133.043
308,2625,607,33,34,0.0,23.055987,72.506015,133.043
309,2625,607,33,35,0.0,23.055987,72.506015,133.043
310,2625,607,33,35,0.0,23.055987,72.506015,133.042
311,2625,607,33,34,0.0,23.055988,72.506015,133.042
321,2625,608,34,35,0.0,23.055987,72.506015,133.036
322,2626,608,34,35,0.0,23.055987,72.506015,133.048
323,2626,608,34,35,0.0,23.055987,72.506015,133.048
324,2627,608,34,36,0.0,23.055987,72.506015,133.048
325,2628,608,33,36,0.0,23.055987,72.506015,133.048
326,2629,608,32,36,0.0,23.055987,72.506015,133.048
327,2629,608,32,36,0.0,23.055987,72.506015,133.048
328,2630,608,32,37,0.0,23.055987,72.506015,133.051
329,2630,608,32,36,0.0,23.055987,72.506015,133.051
330,2630,608,33,36,0.0,23.055987,72.506015,133.051
331,2631,607,32,37,0.0,23.055987,72.506015,133.051
332,2631,607,33,37,0.0,23.055987,72.506014,133.051
333,2631,607,33,37,0.0,23.055987,72.506014,133.051
334,2631,607,33,37,0.0,23.055987,72.506014,133.053
335,2631,607,33,37,0.0,23.055987,72.506015,133.053
336,2631,607,33,37,0.0,23.055987,72.506015,133.053
337,2631,607,34,37,0.0,23.055987,72.506015,133.053
338,2631,607,34,37,0.0,23.055987,72.506014,133.053
339,2631,606,34,36,0.0,23.055987,72.506014,133.053
340,2631,606,35,36,0.0,23.055987,72.506014,133.057
341,2631,607,36,36,0.0,23.055987,72.506014,133.057
342,2631,608,37,35,0.0,23.055987,72.506014,133.057
343,2631,608,37,36,0.0,23.055987,72.506014,133.057
344,2632,608,36,36,0.0,23.055987,72.506014,133.057
345,2632,607,36,36,0.0,23.055987,72.506014,133.057
346,2634,607,34,37,0.0,23.055987,72.506014,133.063
347,2634,608,35,36,0.0,23.055987,72.506014,133.063
348,2635,608,34,37,0.0,23.055987,72.506014,133.063
349,2635,608,35,38,0.0,23.055987,72.506014,133.063
350,2635,608,35,38,0.0,23.055987,72.506014,133.063
351,2635,608,36,39,0.0,23.055987,72.506014,133.063
384,2647,607,41,35,0.0,23.055987,72.506014,133.143
385,2647,607,40,35,0.0,23.055987,72.506014,133.143
386,2647,608,40,34,0.0,23.055987,72.506014,133.143
387,2647,608,40,34,0.0,23.055987,72.506014,133.143
388,2647,608,40,35,0.0,23.055987,72.506014,133.156
389,2647,608,40,35,0.0,23.055987,72.506014,133.156
449,2634,616,48,30,0.0,23.055988,72.506014,133.24
460,2634,615,45,34,0.0,23.055988,72.506015,133.238
461,2634,615,46,35,0.0,23.055988,72.506015,133.238
462,2633,616,47,37,0.0,23.055988,72.506015,133.238
462,2640,613,37,37,0.0,23.055988,72.506015,133.238
463,2632,616,48,38,0.0,23.055988,72.506015,133.238
464,2631,616,48,39,0.0,23.055988,72.506015,133.238
465,2632,616,47,38,0.0,23.055988,72.506015,133.238
466,2639,613,37,38,0.0,23.055988,72.506015,133.237
467,2639,613,37,38,0.0,23.055988,72.506015,133.237
490,2625,595,56,61,0.0,23.055988,72.506015,133.218
491,2626,596,55,60,0.0,23.055988,72.506015,133.218
492,2628,597,53,59,0.0,23.055988,72.506015,133.218
493,2628,599,53,57,0.0,23.055988,72.506015,133.218
494,2627,600,54,55,0.0,23.055988,72.506015,133.218
495,2627,600,53,53,0.0,23.055988,72.506015,133.218
496,2627,600,53,52,0.0,23.055988,72.506015,133.219
497,2627,601,53,49,0.0,23.055988,72.506015,133.219
498,2627,601,53,48,0.0,23.055988,72.506015,133.219
499,2627,604,52,44,0.0,23.055988,72.506015,133.219
500,2628,607,51,41,0.0,23.055988,72.506015,133.219
501,2629,609,50,40,0.0,23.055988,72.506015,133.219
502,2629,608,53,41,0.0,23.055988,72.506015,133.212
503,2629,608,54,41,0.0,23.055988,72.506015,133.212
504,2629,608,55,41,0.0,23.055988,72.506015,133.212
505,2629,608,56,41,0.0,23.055988,72.506014,133.212
506,2629,608,57,40,0.0,23.055988,72.506014,133.212
507,2628,607,58,41,0.0,23.055988,72.506014,133.212
508,2628,607,59,40,0.0,23.055988,72.506015,133.212
509,2628,606,60,40,0.0,23.055988,72.506015,133.212
510,2629,606,62,39,0.0,23.055988,72.506015,133.212
511,2629,607,64,38,0.0,23.055988,72.506015,133.212
512,2629,607,66,38,0.0,23.055988,72.506015,133.212
513,2629,607,66,38,0.0,23.055988,72.506015,133.212
514,2628,608,67,37,0.0,23.055988,72.506015,133.209
515,2628,608,67,38,0.0,23.055988,72.506015,133.209
516,2627,608,68,38,0.0,23.055988,72.506015,133.209
517,2628,608,68,38,0.0,23.055988,72.506015,133.209
518,2627,608,69,38,0.0,23.055988,72.506015,133.209
519,2626,609,69,39,0.0,23.055988,72.506015,133.209
520,2625,610,68,38,0.0,23.055988,72.506015,133.212
521,2623,610,68,38,0.0,23.055988,72.506015,133.212
522,2624,610,67,39,0.0,23.055988,72.506015,133.212
552,2627,620,61,34,0.0,23.055987,72.506015,133.217
553,2627,620,61,35,0.0,23.055987,72.506015,133.217
554,2627,620,62,36,0.0,23.055987,72.506015,133.217
555,2627,620,63,37,0.0,23.055987,72.506015,133.217
556,2627,621,62,37,0.0,23.055987,72.506015,133.219
