frameNo,left,top,w,h,conf,lat,long,alt
1,2190.0,385.0,63.0,40.0,0.0,23.055988,72.506015,133.088
2,2190.0,385.0,63.0,40.0,0.0,23.055988,72.506015,133.088
3,2189.0,385.0,64.0,39.0,0.0,23.055988,72.506015,133.088
4,2190.0,384.0,64.0,39.0,0.0,23.055988,72.506015,133.088
5,2190.0,385.0,63.0,39.0,0.0,23.055988,72.506015,133.079
6,2190.0,385.0,62.0,39.0,0.0,23.055988,72.506015,133.079
7,2191.0,385.0,61.0,39.0,0.0,23.055988,72.506015,133.079
8,2190.8947368421054,384.5263157894737,61.526315789473685,39.31578947368421,0.0,23.055988,72.506015,133.078
9,2190.7894736842104,384.05263157894734,62.05263157894737,39.63157894736842,0.0,23.055988,72.506015,133.077
10,2190.684210526316,383.57894736842104,62.578947368421055,39.94736842105263,0.0,23.055988,72.506015,133.076
11,2190.5789473684213,383.10526315789474,63.10526315789474,40.26315789473684,0.0,23.055988,72.506015,133.07500000000002
12,2190.4736842105262,382.63157894736844,63.63157894736842,40.578947368421055,0.0,23.055988,72.506015,133.074
13,2190.3684210526317,382.1578947368421,64.15789473684211,40.89473684210526,0.0,23.055988,72.506015,133.073
14,2190.2631578947367,381.6842105263158,64.6842105263158,41.21052631578947,0.0,23.055988,72.506015,133.072
15,2190.157894736842,381.2105263157895,65.21052631578948,41.526315789473685,0.0,23.055988,72.506015,133.071
16,2190.0526315789475,380.7368421052632,65.73684210526315,41.8421052631579,0.0,23.055988,72.506015,133.07
17,2189.9473684210525,380.2631578947368,66.26315789473684,42.1578947368421,0.0,23.055988,72.506015,133.06900000000002
18,2189.842105263158,379.7894736842105,66.78947368421052,42.473684210526315,0.0,23.055988,72.506015,133.068
19,2189.7368421052633,379.3157894736842,67.3157894736842,42.78947368421053,0.0,23.055988,72.506015,133.067
20,2189.6315789473683,378.8421052631579,67.84210526315789,43.10526315789474,0.0,23.055988,72.506015,133.066
21,2189.5263157894738,378.36842105263156,68.36842105263158,43.421052631578945,0.0,23.055988,72.506015,133.065
22,2189.4210526315787,377.89473684210526,68.89473684210526,43.73684210526316,0.0,23.055988,72.506015,133.064
23,2189.315789473684,377.42105263157896,69.42105263157895,44.05263157894737,0.0,23.055988,72.506015,133.06300000000002
24,2189.2105263157896,376.94736842105266,69.94736842105263,44.368421052631575,0.0,23.055988,72.506015,133.062
25,2189.1052631578946,376.4736842105263,70.47368421052632,44.68421052631579,0.0,23.055988,72.506015,133.061
26,2189.0,376.0,71.0,45.0,0.0,23.055988,72.506015,133.06
27,2190.0,376.0,71.0,44.0,0.0,23.055988,72.506015,133.06
28,2189.0,377.0,71.0,44.0,0.0,23.055988,72.506015,133.06
29,2190.0,377.0,70.0,44.0,0.0,23.055988,72.506015,133.058
30,2190.0,377.0,70.0,44.0,0.0,23.055988,72.506015,133.058
31,2188.0,377.0,70.0,44.0,0.0,23.055988,72.506015,133.058
32,2188.0,376.0,70.0,45.0,0.0,23.055988,72.506015,133.058
33,2188.0,377.0,69.0,44.0,0.0,23.055988,72.506015,133.058
34,2188.0,377.0,69.0,44.0,0.0,23.055988,72.506015,133.058
35,2189.0,377.0,68.0,44.0,0.0,23.055988,72.506015,133.051
36,2189.0,377.0,67.0,44.0,0.0,23.055988,72.506015,133.051
37,2189.0,377.0,66.0,44.0,0.0,23.055988,72.506015,133.051
38,2190.0,378.0,66.0,43.0,0.0,23.055988,72.506015,133.051
39,2190.0,377.0,66.0,44.0,0.0,23.055988,72.506015,133.051
40,2190.016129032258,377.01612903225805,65.96774193548387,43.95967741935484,0.0,23.055988,72.506015,133.04987096774192
41,2190.032258064516,377.03225806451616,65.93548387096774,43.91935483870968,0.0,23.055988,72.506015,133.04874193548386
42,2190.048387096774,377.0483870967742,65.90322580645162,43.87903225806452,0.0,23.055988,72.506015,133.0476129032258
43,2190.064516129032,377.06451612903226,65.87096774193549,43.83870967741935,0.0,23.055988,72.506015,133.04648387096773
44,2190.0806451612902,377.0806451612903,65.83870967741936,43.79838709677419,0.0,23.055988,72.506015,133.04535483870967
45,2190.0967741935483,377.0967741935484,65.80645161290323,43.75806451612903,0.0,23.055988,72.506015,133.0442258064516
46,2190.1129032258063,377.11290322580646,65.7741935483871,43.71774193548387,0.0,23.055988,72.506015,133.04309677419354
47,2190.1290322580644,377.1290322580645,65.74193548387096,43.67741935483871,0.0,23.055988,72.506015,133.04196774193548
48,2190.1451612903224,377.14516129032256,65.70967741935483,43.63709677419355,0.0,23.055988,72.506015,133.04083870967742
49,2190.1612903225805,377.16129032258067,65.6774193548387,43.596774193548384,0.0,23.055988,72.506015,133.03970967741935
50,2190.1774193548385,377.1774193548387,65.64516129032258,43.556451612903224,0.0,23.055988,72.506015,133.0385806451613
51,2190.1935483870966,377.19354838709677,65.61290322580645,43.516129032258064,0.0,23.055988,72.506015,133.03745161290323
52,2190.2096774193546,377.2096774193548,65.58064516129032,43.475806451612904,0.0,23.055988,72.506015,133.03632258064516
53,2190.2258064516127,377.2258064516129,65.54838709677419,43.435483870967744,0.0,23.055988,72.506015,133.0351935483871
54,2190.2419354838707,377.241935483871,65.51612903225806,43.395161290322584,0.0,23.055988,72.506015,133.03406451612904
55,2190.2580645161293,377.258064516129,65.48387096774194,43.354838709677416,0.0,23.055988,72.506015,133.03293548387094
56,2190.2741935483873,377.2741935483871,65.45161290322581,43.314516129032256,0.0,23.055988,72.506015,133.03180645161288
57,2190.2903225806454,377.2903225806452,65.41935483870968,43.274193548387096,0.0,23.055988,72.506015,133.03067741935482
58,2190.3064516129034,377.30645161290323,65.38709677419355,43.233870967741936,0.0,23.055988,72.506015,133.02954838709675
59,2190.3225806451615,377.3225806451613,65.35483870967742,43.193548387096776,0.0,23.055988,72.506015,133.0284193548387
60,2190.3387096774195,377.33870967741933,65.3225806451613,43.153225806451616,0.0,23.055988,72.506015,133.02729032258063
61,2190.3548387096776,377.35483870967744,65.29032258064517,43.11290322580645,0.0,23.055988,72.506015,133.02616129032256
62,2190.3709677419356,377.3709677419355,65.25806451612904,43.07258064516129,0.0,23.055988,72.506015,133.0250322580645
63,2190.3870967741937,377.38709677419354,65.2258064516129,43.03225806451613,0.0,23.055988,72.506015,133.02390322580644
64,2190.4032258064517,377.4032258064516,65.19354838709677,42.99193548387097,0.0,23.055988,72.506015,133.02277419354837
65,2190.4193548387098,377.4193548387097,65.16129032258064,42.95161290322581,0.0,23.055988,72.506015,133.0216451612903
66,2190.435483870968,377.43548387096774,65.12903225806451,42.91129032258065,0.0,23.055988,72.506015,133.02051612903225
67,2190.451612903226,377.4516129032258,65.09677419354838,42.87096774193549,0.0,23.055988,72.506015,133.01938709677418
68,2190.467741935484,377.46774193548384,65.06451612903226,42.83064516129032,0.0,23.055988,72.506015,133.01825806451612
69,2190.483870967742,377.48387096774195,65.03225806451613,42.79032258064516,0.0,23.055988,72.506015,133.01712903225805
70,2190.5,377.5,65.0,42.75,0.0,23.055988,72.506015,133.016
71,2190.516129032258,377.51612903225805,64.96774193548387,42.70967741935484,0.0,23.055988,72.506015,133.01487096774193
72,2190.532258064516,377.53225806451616,64.93548387096774,42.66935483870968,0.0,23.055988,72.506015,133.01374193548386
73,2190.548387096774,377.5483870967742,64.90322580645162,42.62903225806452,0.0,23.055988,72.506015,133.0126129032258
74,2190.564516129032,377.56451612903226,64.87096774193549,42.58870967741935,0.0,23.055988,72.506015,133.01148387096774
75,2190.5806451612902,377.5806451612903,64.83870967741936,42.54838709677419,0.0,23.055988,72.506015,133.01035483870967
76,2190.5967741935483,377.5967741935484,64.80645161290323,42.50806451612903,0.0,23.055988,72.506015,133.0092258064516
77,2190.6129032258063,377.61290322580646,64.7741935483871,42.46774193548387,0.0,23.055988,72.506015,133.00809677419355
78,2190.6290322580644,377.6290322580645,64.74193548387096,42.42741935483871,0.0,23.055988,72.506015,133.00696774193548
79,2190.6451612903224,377.64516129032256,64.70967741935483,42.38709677419355,0.0,23.055988,72.506015,133.00583870967742
80,2190.6612903225805,377.66129032258067,64.6774193548387,42.346774193548384,0.0,23.055988,72.506015,133.00470967741936
81,2190.6774193548385,377.6774193548387,64.64516129032258,42.306451612903224,0.0,23.055988,72.506015,133.0035806451613
82,2190.6935483870966,377.69354838709677,64.61290322580645,42.266129032258064,0.0,23.055988,72.506015,133.00245161290323
83,2190.7096774193546,377.7096774193548,64.58064516129032,42.225806451612904,0.0,23.055988,72.506015,133.00132258064517
84,2190.7258064516127,377.7258064516129,64.54838709677419,42.185483870967744,0.0,23.055988,72.506015,133.0001935483871
85,2190.7419354838707,377.741935483871,64.51612903225806,42.145161290322584,0.0,23.055988,72.506015,132.99906451612904
86,2190.7580645161293,377.758064516129,64.48387096774194,42.104838709677416,0.0,23.055988,72.506015,132.99793548387095
87,2190.7741935483873,377.7741935483871,64.45161290322581,42.064516129032256,0.0,23.055988,72.506015,132.99680645161288
88,2190.7903225806454,377.7903225806452,64.41935483870968,42.024193548387096,0.0,23.055988,72.506015,132.99567741935482
89,2190.8064516129034,377.80645161290323,64.38709677419355,41.983870967741936,0.0,23.055988,72.506015,132.99454838709676
90,2190.8225806451615,377.8225806451613,64.35483870967742,41.943548387096776,0.0,23.055988,72.506015,132.9934193548387
91,2190.8387096774195,377.83870967741933,64.3225806451613,41.903225806451616,0.0,23.055988,72.506015,132.99229032258063
92,2190.8548387096776,377.85483870967744,64.29032258064517,41.86290322580645,0.0,23.055988,72.506015,132.99116129032257
93,2190.8709677419356,377.8709677419355,64.25806451612904,41.82258064516129,0.0,23.055988,72.506015,132.9900322580645
94,2190.8870967741937,377.88709677419354,64.2258064516129,41.78225806451613,0.0,23.055988,72.506015,132.98890322580644
95,2190.9032258064517,377.9032258064516,64.19354838709677,41.74193548387097,0.0,23.055988,72.506015,132.98777419354838
96,2190.9193548387098,377.9193548387097,64.16129032258064,41.70161290322581,0.0,23.055988,72.506015,132.9866451612903
97,2190.935483870968,377.93548387096774,64.12903225806451,41.66129032258065,0.0,23.055988,72.506015,132.98551612903225
98,2190.951612903226,377.9516129032258,64.09677419354838,41.62096774193549,0.0,23.055988,72.506015,132.98438709677419
99,2190.967741935484,377.96774193548384,64.06451612903226,41.58064516129032,0.0,23.055988,72.506015,132.98325806451612
100,2190.983870967742,377.98387096774195,64.03225806451613,41.54032258064516,0.0,23.055988,72.506015,132.98212903225806
101,2191.0,378.0,64.0,41.5,0.0,23.055988,72.506015,132.981
102,2191.016129032258,378.01612903225805,63.96774193548387,41.45967741935484,0.0,23.055988,72.506015,132.97987096774193
103,2191.032258064516,378.03225806451616,63.935483870967744,41.41935483870968,0.0,23.055988,72.506015,132.97874193548387
104,2191.048387096774,378.0483870967742,63.903225806451616,41.37903225806451,0.0,23.055988,72.506015,132.9776129032258
105,2191.064516129032,378.06451612903226,63.87096774193549,41.33870967741935,0.0,23.055988,72.506015,132.97648387096774
106,2191.0806451612902,378.0806451612903,63.83870967741935,41.29838709677419,0.0,23.055988,72.506015,132.97535483870968
107,2191.0967741935483,378.0967741935484,63.806451612903224,41.25806451612903,0.0,23.055988,72.506015,132.9742258064516
108,2191.1129032258063,378.11290322580646,63.774193548387096,41.21774193548387,0.0,23.055988,72.506015,132.97309677419355
109,2191.1290322580644,378.1290322580645,63.74193548387097,41.17741935483871,0.0,23.055988,72.506015,132.9719677419355
110,2191.1451612903224,378.14516129032256,63.70967741935484,41.13709677419355,0.0,23.055988,72.506015,132.97083870967742
111,2191.1612903225805,378.16129032258067,63.67741935483871,41.096774193548384,0.0,23.055988,72.506015,132.96970967741936
112,2191.1774193548385,378.1774193548387,63.645161290322584,41.056451612903224,0.0,23.055988,72.506015,132.9685806451613
113,2191.1935483870966,378.19354838709677,63.61290322580645,41.016129032258064,0.0,23.055988,72.506015,132.96745161290323
114,2191.2096774193546,378.2096774193548,63.58064516129032,40.975806451612904,0.0,23.055988,72.506015,132.96632258064517
115,2191.2258064516127,378.2258064516129,63.54838709677419,40.935483870967744,0.0,23.055988,72.506015,132.9651935483871
116,2191.2419354838707,378.241935483871,63.516129032258064,40.895161290322584,0.0,23.055988,72.506015,132.96406451612904
117,2191.2580645161293,378.258064516129,63.483870967741936,40.854838709677416,0.0,23.055988,72.506015,132.96293548387095
118,2191.2741935483873,378.2741935483871,63.45161290322581,40.814516129032256,0.0,23.055988,72.506015,132.9618064516129
119,2191.2903225806454,378.2903225806452,63.41935483870968,40.774193548387096,0.0,23.055988,72.506015,132.96067741935482
120,2191.3064516129034,378.30645161290323,63.38709677419355,40.733870967741936,0.0,23.055988,72.506015,132.95954838709676
121,2191.3225806451615,378.3225806451613,63.354838709677416,40.693548387096776,0.0,23.055988,72.506015,132.9584193548387
122,2191.3387096774195,378.33870967741933,63.32258064516129,40.653225806451616,0.0,23.055988,72.506015,132.95729032258063
123,2191.3548387096776,378.35483870967744,63.29032258064516,40.61290322580645,0.0,23.055988,72.506015,132.95616129032257
124,2191.3709677419356,378.3709677419355,63.25806451612903,40.57258064516129,0.0,23.055988,72.506015,132.9550322580645
125,2191.3870967741937,378.38709677419354,63.225806451612904,40.53225806451613,0.0,23.055988,72.506015,132.95390322580644
126,2191.4032258064517,378.4032258064516,63.193548387096776,40.49193548387097,0.0,23.055988,72.506015,132.95277419354838
127,2191.4193548387098,378.4193548387097,63.16129032258065,40.45161290322581,0.0,23.055988,72.506015,132.95164516129032
128,2191.435483870968,378.43548387096774,63.12903225806451,40.41129032258065,0.0,23.055988,72.506015,132.95051612903225
129,2191.451612903226,378.4516129032258,63.096774193548384,40.37096774193549,0.0,23.055988,72.506015,132.9493870967742
130,2191.467741935484,378.46774193548384,63.064516129032256,40.33064516129032,0.0,23.055988,72.506015,132.94825806451612
131,2191.483870967742,378.48387096774195,63.03225806451613,40.29032258064516,0.0,23.055988,72.506015,132.94712903225806
132,2191.5,378.5,63.0,40.25,0.0,23.055988,72.506015,132.946
133,2191.516129032258,378.51612903225805,62.96774193548387,40.20967741935484,0.0,23.055988,72.506015,132.94487096774193
134,2191.532258064516,378.53225806451616,62.935483870967744,40.16935483870968,0.0,23.055988,72.506015,132.94374193548387
135,2191.548387096774,378.5483870967742,62.903225806451616,40.12903225806451,0.0,23.055988,72.506015,132.9426129032258
136,2191.564516129032,378.56451612903226,62.87096774193549,40.08870967741935,0.0,23.055988,72.506015,132.94148387096774
137,2191.5806451612902,378.5806451612903,62.83870967741935,40.04838709677419,0.0,23.055988,72.506015,132.94035483870968
138,2191.5967741935483,378.5967741935484,62.806451612903224,40.00806451612903,0.0,23.055988,72.506015,132.93922580645162
139,2191.6129032258063,378.61290322580646,62.774193548387096,39.96774193548387,0.0,23.055988,72.506015,132.93809677419355
140,2191.6290322580644,378.6290322580645,62.74193548387097,39.92741935483871,0.0,23.055988,72.506015,132.9369677419355
141,2191.6451612903224,378.64516129032256,62.70967741935484,39.88709677419355,0.0,23.055988,72.506015,132.93583870967743
142,2191.6612903225805,378.66129032258067,62.67741935483871,39.846774193548384,0.0,23.055988,72.506015,132.93470967741936
143,2191.6774193548385,378.6774193548387,62.645161290322584,39.806451612903224,0.0,23.055988,72.506015,132.9335806451613
144,2191.6935483870966,378.69354838709677,62.61290322580645,39.766129032258064,0.0,23.055988,72.506015,132.93245161290324
145,2191.7096774193546,378.7096774193548,62.58064516129032,39.725806451612904,0.0,23.055988,72.506015,132.93132258064517
146,2191.7258064516127,378.7258064516129,62.54838709677419,39.685483870967744,0.0,23.055988,72.506015,132.9301935483871
147,2191.7419354838707,378.741935483871,62.516129032258064,39.645161290322584,0.0,23.055988,72.506015,132.92906451612905
148,2191.7580645161293,378.758064516129,62.483870967741936,39.604838709677416,0.0,23.055988,72.506015,132.92793548387095
149,2191.7741935483873,378.7741935483871,62.45161290322581,39.564516129032256,0.0,23.055988,72.506015,132.9268064516129
150,2191.7903225806454,378.7903225806452,62.41935483870968,39.524193548387096,0.0,23.055988,72.506015,132.92567741935483
151,2191.8064516129034,378.80645161290323,62.38709677419355,39.483870967741936,0.0,23.055988,72.506015,132.92454838709676
152,2191.8225806451615,378.8225806451613,62.354838709677416,39.443548387096776,0.0,23.055988,72.506015,132.9234193548387
153,2191.8387096774195,378.83870967741933,62.32258064516129,39.403225806451616,0.0,23.055988,72.506015,132.92229032258064
154,2191.8548387096776,378.85483870967744,62.29032258064516,39.36290322580645,0.0,23.055988,72.506015,132.92116129032257
155,2191.8709677419356,378.8709677419355,62.25806451612903,39.32258064516129,0.0,23.055988,72.506015,132.9200322580645
156,2191.8870967741937,378.88709677419354,62.225806451612904,39.28225806451613,0.0,23.055988,72.506015,132.91890322580645
157,2191.9032258064517,378.9032258064516,62.193548387096776,39.24193548387097,0.0,23.055988,72.506015,132.91777419354838
158,2191.9193548387098,378.9193548387097,62.16129032258065,39.20161290322581,0.0,23.055988,72.506015,132.91664516129032
159,2191.935483870968,378.93548387096774,62.12903225806451,39.16129032258065,0.0,23.055988,72.506015,132.91551612903226
160,2191.951612903226,378.9516129032258,62.096774193548384,39.12096774193549,0.0,23.055988,72.506015,132.9143870967742
161,2191.967741935484,378.96774193548384,62.064516129032256,39.08064516129032,0.0,23.055988,72.506015,132.91325806451613
162,2191.983870967742,378.98387096774195,62.03225806451613,39.04032258064516,0.0,23.055988,72.506015,132.91212903225806
163,2192.0,379.0,62.0,39.0,0.0,23.055988,72.506015,132.911
164,2192.0,379.0,62.0,39.0,0.0,23.055988,72.506015,132.911
165,2192.0,379.0,62.0,39.0,0.0,23.055988,72.506015,132.911
166,2192.0,380.0,61.0,38.0,0.0,23.055988,72.506015,132.913
167,2192.0,380.0,62.0,39.0,0.0,23.055988,72.506015,132.913
168,2191.0,379.0,62.0,39.0,0.0,23.055988,72.506015,132.913
169,2191.0,379.0,63.0,40.0,0.0,23.055988,72.506015,132.913
170,2191.0,379.0,63.0,40.0,0.0,23.055988,72.506015,132.913
171,2191.0,379.0,63.0,39.0,0.0,23.055988,72.506015,132.913
172,2191.0,379.0,63.0,39.0,0.0,23.055988,72.506015,132.913
173,2190.0,379.0,64.0,39.0,0.0,23.055988,72.506015,132.917
174,2190.0,379.0,64.0,40.0,0.0,23.055988,72.506015,132.917
175,2189.0,378.0,65.0,40.0,0.0,23.055988,72.506015,132.917
176,2190.0,378.0,64.0,40.0,0.0,23.055988,72.506015,132.917
177,2190.0,378.0,64.0,40.0,0.0,23.055988,72.506015,132.917
178,2190.0,379.0,64.0,40.0,0.0,23.055988,72.506015,132.917
179,2190.0,379.0,63.0,40.0,0.0,23.055988,72.506015,132.924
180,2190.0,378.0,64.0,40.0,0.0,23.055988,72.506015,132.924
181,2190.0,378.0,64.0,41.0,0.0,23.055988,72.506015,132.924
182,2190.0,378.0,64.0,41.0,0.0,23.055988,72.506015,132.924
183,2190.0,378.0,64.0,41.0,0.0,23.055988,72.506015,132.924
184,2190.0,378.0,64.0,41.0,0.0,23.055988,72.506015,132.924
185,2190.0,378.0,64.0,41.0,0.0,23.055988,72.506015,132.933
186,2190.0,378.0,64.0,41.0,0.0,23.055988,72.506015,132.933
187,2190.0,378.0,64.0,41.0,0.0,23.055988,72.506015,132.933
188,2190.0,378.0,64.0,41.0,0.0,23.055988,72.506015,132.933
189,2190.0,378.0,65.0,41.0,0.0,23.055988,72.506015,132.933
190,2190.0,378.0,65.0,42.0,0.0,23.055988,72.506015,132.933
191,2190.0,377.0,64.0,42.0,0.0,23.055988,72.506015,132.946
192,2190.0,377.0,64.0,43.0,0.0,23.055988,72.506015,132.946
193,2190.0,378.0,65.0,41.0,0.0,23.055988,72.506015,132.946
194,2191.0,378.0,64.0,42.0,0.0,23.055988,72.506015,132.946
195,2191.0,377.0,64.0,43.0,0.0,23.055988,72.506015,132.946
196,2191.0,377.0,64.0,42.0,0.0,23.055988,72.506015,132.946
197,2191.0,377.0,64.0,42.0,0.0,23.055988,72.506015,132.955
198,2191.0,377.0,63.0,42.0,0.0,23.055988,72.506015,132.955
199,2191.0,377.0,63.0,42.0,0.0,23.055988,72.506015,132.955
200,2191.0,377.0,63.0,42.0,0.0,23.055988,72.506015,132.955
201,2191.0,377.0,63.0,42.0,0.0,23.055988,72.506015,132.955
202,2191.0,377.0,63.0,42.0,0.0,23.055988,72.506015,132.955
203,2191.0,377.0,63.0,43.0,0.0,23.055988,72.506015,132.967
204,2191.0,377.0,63.0,42.0,0.0,23.055988,72.506015,132.967
205,2191.0,377.0,64.0,43.0,0.0,23.055988,72.506015,132.967
206,2191.0,376.0,64.0,44.0,0.0,23.055988,72.506015,132.967
207,2191.0,376.0,64.0,44.0,0.0,23.055988,72.506015,132.967
208,2192.0,377.0,63.0,42.0,0.0,23.055988,72.506015,132.967
209,2191.0,376.0,64.0,44.0,0.0,23.055988,72.506015,132.976
210,2191.0,376.0,64.0,44.0,0.0,23.055988,72.506015,132.976
211,2191.0,376.0,64.0,44.0,0.0,23.055988,72.506015,132.976
212,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506015,132.976
213,2191.0,377.0,64.0,44.0,0.0,23.055988,72.506015,132.976
214,2191.0,376.0,65.0,45.0,0.0,23.055988,72.506015,132.976
215,2191.0,376.0,65.0,44.0,0.0,23.055988,72.506015,132.992
216,2190.0,376.0,65.0,45.0,0.0,23.055988,72.506015,132.992
217,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506015,132.992
218,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506015,132.992
219,2190.0,376.0,65.0,45.0,0.0,23.055988,72.506015,132.992
220,2190.0,376.0,65.0,44.0,0.0,23.055988,72.506015,133.003
221,2191.0,376.0,63.0,44.0,0.0,23.055988,72.506014,133.003
222,2190.0,376.0,64.0,44.0,0.0,23.055988,72.506014,133.003
223,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506014,133.003
224,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506014,133.003
225,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506014,133.003
226,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506014,133.011
227,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506015,133.011
228,2191.0,376.0,64.0,44.0,0.0,23.055988,72.506015,133.011
229,2191.0,375.0,64.0,45.0,0.0,23.055988,72.506015,133.011
230,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506015,133.011
231,2190.0,376.0,64.0,45.0,0.0,23.055988,72.506015,133.011
232,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506015,133.011
233,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506014,133.016
234,2191.0,375.0,64.0,46.0,0.0,23.055988,72.506014,133.016
235,2191.0,375.0,64.0,46.0,0.0,23.055988,72.506014,133.016
236,2191.0,375.0,64.0,46.0,0.0,23.055988,72.506014,133.016
237,2192.0,375.0,63.0,46.0,0.0,23.055988,72.506014,133.016
238,2191.0,375.0,63.0,45.0,0.0,23.055988,72.506014,133.016
239,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506014,133.021
240,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506014,133.021
241,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506014,133.021
242,2191.0,376.0,65.0,45.0,0.0,23.055988,72.506014,133.021
243,2191.0,376.0,65.0,45.0,0.0,23.055988,72.506014,133.021
244,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506014,133.021
245,2191.0,375.0,64.0,46.0,0.0,23.055988,72.506015,133.02
246,2190.0,375.0,65.0,46.0,0.0,23.055988,72.506015,133.02
247,2191.0,375.0,64.0,46.0,0.0,23.055988,72.506015,133.02
248,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506015,133.02
249,2191.0,376.0,64.0,45.0,0.0,23.055988,72.506015,133.02
250,2190.0,375.0,65.0,46.0,0.0,23.055988,72.506015,133.018
251,2191.0,376.0,65.0,45.0,0.0,23.055988,72.506015,133.018
252,2191.0,375.0,65.0,46.0,0.0,23.055988,72.506015,133.018
253,2191.0,375.0,65.0,46.0,0.0,23.055988,72.506015,133.018
254,2191.0,375.0,65.0,46.0,0.0,23.055988,72.506015,133.018
255,2191.0,375.0,65.0,46.0,0.0,23.055988,72.506015,133.018
256,2191.0,374.0,65.0,47.0,0.0,23.055988,72.506015,133.029
257,2191.0,374.0,65.0,47.0,0.0,23.055988,72.506015,133.029
258,2191.0,374.0,65.0,47.0,0.0,23.055988,72.506015,133.029
259,2191.0,374.0,66.0,47.0,0.0,23.055988,72.506015,133.029
260,2191.0,374.0,66.0,47.0,0.0,23.055988,72.506015,133.029
261,2191.0,374.0,66.0,47.0,0.0,23.055988,72.506015,133.029
262,2191.0,375.0,67.0,46.0,0.0,23.055988,72.506015,133.033
263,2191.0,375.0,67.0,47.0,0.0,23.055988,72.506015,133.033
264,2190.0,375.0,68.0,47.0,0.0,23.055988,72.506015,133.033
265,2190.0,375.0,68.0,47.0,0.0,23.055988,72.506015,133.033
266,2190.0,375.0,67.0,47.0,0.0,23.055988,72.506015,133.033
267,2191.0,375.0,67.0,47.0,0.0,23.055988,72.506015,133.033
268,2191.0,375.0,68.0,47.0,0.0,23.055988,72.506015,133.033
269,2191.0,375.0,69.0,47.0,0.0,23.055988,72.506015,133.039
270,2192.0,376.0,69.0,46.0,0.0,23.055988,72.506015,133.039
271,2191.0,376.0,69.0,46.0,0.0,23.055988,72.506015,133.039
272,2191.0,375.0,68.0,46.0,0.0,23.055988,72.506015,133.039
273,2190.0,376.0,70.0,45.0,0.0,23.055988,72.506015,133.039
274,2190.0,376.0,69.0,45.0,0.0,23.055988,72.506015,133.045
275,2191.0,377.0,69.0,45.0,0.0,23.055988,72.506015,133.045
276,2192.0,377.0,68.0,45.0,0.0,23.055988,72.506015,133.045
277,2193.0,378.0,68.0,44.0,0.0,23.055988,72.506015,133.045
278,2193.0,378.0,69.0,44.0,0.0,23.055988,72.506015,133.045
