frameNo,left,top,w,h,conf,lat,long,alt
2,2578.0,614.0,33.0,53.0,0.0,23.055988,72.506015,133.088
3,2577.980769230769,614.0,33.17307692307692,52.86538461538461,0.0,23.055988,72.506015,133.08680769230767
4,2577.9615384615386,614.0,33.34615384615385,52.73076923076923,0.0,23.055988,72.506015,133.08561538461538
5,2577.9423076923076,614.0,33.51923076923077,52.59615384615385,0.0,23.055988,72.506015,133.08442307692306
6,2577.923076923077,614.0,33.69230769230769,52.46153846153846,0.0,23.055988,72.506015,133.08323076923077
7,2577.903846153846,614.0,33.86538461538461,52.32692307692308,0.0,23.055988,72.506015,133.08203846153845
8,2577.8846153846152,614.0,34.03846153846154,52.19230769230769,0.0,23.055988,72.506015,133.08084615384615
9,2577.8653846153848,614.0,34.21153846153846,52.05769230769231,0.0,23.055988,72.506015,133.07965384615383
10,2577.846153846154,614.0,34.38461538461539,51.92307692307692,0.0,23.055988,72.506015,133.07846153846154
11,2577.826923076923,614.0,34.55769230769231,51.78846153846154,0.0,23.055988,72.506015,133.07726923076922
12,2577.8076923076924,614.0,34.73076923076923,51.65384615384615,0.0,23.055988,72.506015,133.07607692307693
13,2577.7884615384614,614.0,34.90384615384615,51.51923076923077,0.0,23.055988,72.506015,133.0748846153846
14,2577.769230769231,614.0,35.07692307692308,51.38461538461539,0.0,23.055988,72.506015,133.0736923076923
15,2577.75,614.0,35.25,51.25,0.0,23.055988,72.506015,133.0725
16,2577.730769230769,614.0,35.42307692307692,51.11538461538461,0.0,23.055988,72.506015,133.0713076923077
17,2577.7115384615386,614.0,35.59615384615385,50.98076923076923,0.0,23.055988,72.506015,133.07011538461538
18,2577.6923076923076,614.0,35.76923076923077,50.84615384615385,0.0,23.055988,72.506015,133.06892307692308
19,2577.673076923077,614.0,35.94230769230769,50.71153846153846,0.0,23.055988,72.506015,133.06773076923076
20,2577.653846153846,614.0,36.11538461538461,50.57692307692308,0.0,23.055988,72.506015,133.06653846153847
21,2577.6346153846152,614.0,36.28846153846154,50.44230769230769,0.0,23.055988,72.506015,133.06534615384615
22,2577.6153846153848,614.0,36.46153846153846,50.30769230769231,0.0,23.055988,72.506015,133.06415384615386
23,2577.596153846154,614.0,36.63461538461539,50.17307692307692,0.0,23.055988,72.506015,133.06296153846154
24,2577.576923076923,614.0,36.80769230769231,50.03846153846154,0.0,23.055988,72.506015,133.06176923076924
25,2577.5576923076924,614.0,36.98076923076923,49.90384615384615,0.0,23.055988,72.506015,133.06057692307692
26,2577.5384615384614,614.0,37.15384615384615,49.76923076923077,0.0,23.055988,72.506015,133.05938461538463
27,2577.519230769231,614.0,37.32692307692308,49.63461538461539,0.0,23.055988,72.506015,133.0581923076923
