frameNo,left,top,w,h,conf,lat,long,alt
3,2230.0,467.0,56.0,36.0,0.0,23.055988,72.506015,133.088
4,2229.75,467.0625,55.75,35.8125,0.0,23.055988,72.506015,133.08668749999998
5,2229.5,467.125,55.5,35.625,0.0,23.055988,72.506015,133.085375
6,2229.25,467.1875,55.25,35.4375,0.0,23.055988,72.506015,133.0840625
7,2229.0,467.25,55.0,35.25,0.0,23.055988,72.506015,133.08275
8,2228.75,467.3125,54.75,35.0625,0.0,23.055988,72.506015,133.0814375
9,2228.5,467.375,54.5,34.875,0.0,23.055988,72.506015,133.080125
10,2228.25,467.4375,54.25,34.6875,0.0,23.055988,72.506015,133.0788125
11,2228.0,467.5,54.0,34.5,0.0,23.055988,72.506015,133.0775
12,2227.75,467.5625,53.75,34.3125,0.0,23.055988,72.506015,133.0761875
13,2227.5,467.625,53.5,34.125,0.0,23.055988,72.506015,133.074875
14,2227.25,467.6875,53.25,33.9375,0.0,23.055988,72.506015,133.0735625
15,2227.0,467.75,53.0,33.75,0.0,23.055988,72.506015,133.07225
16,2226.75,467.8125,52.75,33.5625,0.0,23.055988,72.506015,133.0709375
17,2226.5,467.875,52.5,33.375,0.0,23.055988,72.506015,133.069625
18,2226.25,467.9375,52.25,33.1875,0.0,23.055988,72.506015,133.06831250000002
19,2226.0,468.0,52.0,33.0,0.0,23.055988,72.506015,133.067
20,2226.0,468.0,52.0,33.0,0.0,23.055988,72.506015,133.067
21,2226.0,468.0,52.0,33.0,0.0,23.055988,72.506015,133.067
22,2226.0,469.0,51.0,33.0,0.0,23.055988,72.506015,133.067
23,2226.0,468.0,52.0,33.0,0.0,23.055988,72.506015,133.06
24,2226.0,468.0,53.0,33.0,0.0,23.055988,72.506015,133.06
25,2226.0,468.0,53.0,34.0,0.0,23.055988,72.506015,133.06
26,2226.0,468.0,53.0,34.0,0.0,23.055988,72.506015,133.06
27,2226.0,468.0,53.0,34.0,0.0,23.055988,72.506015,133.06
28,2227.0,467.0,53.0,34.0,0.0,23.055988,72.506015,133.06
29,2227.0,467.0,52.0,34.0,0.0,23.055988,72.506015,133.058
30,2227.0,467.0,53.0,34.0,0.0,23.055988,72.506015,133.058
31,2227.55,467.3,53.6,34.1,0.0,23.055988,72.506015,133.05685
32,2228.1,467.6,54.2,34.2,0.0,23.055988,72.506015,133.0557
33,2228.65,467.9,54.8,34.3,0.0,23.055988,72.506015,133.05455
34,2229.2,468.2,55.4,34.4,0.0,23.055988,72.506015,133.05339999999998
35,2229.75,468.5,56.0,34.5,0.0,23.055988,72.506015,133.05225
36,2230.3,468.8,56.6,34.6,0.0,23.055988,72.506015,133.0511
37,2230.85,469.1,57.2,34.7,0.0,23.055988,72.506015,133.04995
38,2231.4,469.4,57.8,34.8,0.0,23.055988,72.506015,133.0488
39,2231.95,469.7,58.4,34.9,0.0,23.055988,72.506015,133.04765
40,2232.5,470.0,59.0,35.0,0.0,23.055988,72.506015,133.04649999999998
41,2233.05,470.3,59.6,35.1,0.0,23.055988,72.506015,133.04534999999998
42,2233.6,470.6,60.2,35.2,0.0,23.055988,72.506015,133.0442
43,2234.15,470.9,60.8,35.3,0.0,23.055988,72.506015,133.04305
44,2234.7,471.2,61.4,35.4,0.0,23.055988,72.506015,133.0419
45,2235.25,471.5,62.0,35.5,0.0,23.055988,72.506015,133.04075
46,2235.8,471.8,62.6,35.6,0.0,23.055988,72.506015,133.0396
47,2236.35,472.1,63.2,35.7,0.0,23.055988,72.506015,133.03844999999998
48,2236.9,472.4,63.8,35.8,0.0,23.055988,72.506015,133.0373
49,2237.45,472.7,64.4,35.9,0.0,23.055988,72.506015,133.03615
50,2238.0,473.0,65.0,36.0,0.0,23.055988,72.506015,133.035
51,2238.0,473.0,65.0,37.0,0.0,23.055988,72.506015,133.035
52,2238.0,473.0,65.0,36.0,0.0,23.055988,72.506015,133.035
53,2238.0,473.0,66.0,37.0,0.0,23.055988,72.506015,133.026
54,2239.0,473.0,65.0,37.0,0.0,23.055988,72.506015,133.026
55,2238.0,472.0,65.0,37.0,0.0,23.055988,72.506015,133.026
56,2237.0,477.0,65.0,37.0,0.0,23.055988,72.506015,133.026
57,2237.0,479.0,65.0,36.0,0.0,23.055988,72.506015,133.026
58,2238.0,474.0,65.0,37.0,0.0,23.055988,72.506015,133.026
59,2237.0,478.0,65.0,37.0,0.0,23.055988,72.506015,133.011
60,2236.0,479.0,67.0,37.0,0.0,23.055988,72.506015,133.011
61,2237.0,475.0,66.0,37.0,0.0,23.055988,72.506015,133.011
62,2238.0,474.0,66.0,37.0,0.0,23.055988,72.506015,133.011
63,2239.0,473.0,66.0,37.0,0.0,23.055988,72.506015,133.011
64,2239.0,473.0,66.0,37.0,0.0,23.055988,72.506015,133.011
65,2239.0,473.0,66.0,37.0,0.0,23.055988,72.506015,132.994
66,2238.0,473.0,66.0,37.0,0.0,23.055988,72.506015,132.994
67,2239.0,473.0,66.0,37.0,0.0,23.055988,72.506015,132.994
68,2238.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.994
69,2238.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.994
70,2238.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.994
71,2238.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.973
72,2238.0,473.0,67.0,36.0,0.0,23.055988,72.506015,132.973
73,2238.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.973
74,2238.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.973
75,2238.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.973
76,2238.0,473.0,68.0,37.0,0.0,23.055988,72.506015,132.973
77,2237.0,472.0,68.0,37.0,0.0,23.055988,72.506015,132.949
78,2237.0,473.0,68.0,37.0,0.0,23.055988,72.506015,132.949
79,2238.0,472.0,67.0,37.0,0.0,23.055988,72.506015,132.949
80,2238.0,473.0,67.0,36.0,0.0,23.055988,72.506015,132.949
81,2238.0,472.0,66.0,37.0,0.0,23.055988,72.506015,132.949
82,2238.0,472.0,67.0,37.0,0.0,23.055988,72.506015,132.949
83,2238.0,472.0,67.0,37.0,0.0,23.055988,72.506015,132.934
84,2238.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.934
85,2238.0,473.0,66.0,37.0,0.0,23.055988,72.506015,132.934
86,2237.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.934
87,2238.0,473.0,66.0,37.0,0.0,23.055988,72.506015,132.934
88,2238.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.934
89,2239.0,472.0,66.0,37.0,0.0,23.055988,72.506015,132.918
90,2238.0,472.0,67.0,38.0,0.0,23.055988,72.506015,132.918
91,2239.0,473.0,67.0,37.0,0.0,23.055988,72.506015,132.918
92,2238.0,473.0,68.0,37.0,0.0,23.055988,72.506015,132.918
