frameNo,left,top,w,h,conf,lat,long,alt
1287,2264.0,525.0,65.0,46.0,0.0,23.055987,72.506015,133.26
1288,2264.0,525.6666666666666,65.0,45.666666666666664,0.0,23.055987,72.506015,133.25916666666666
1289,2264.0,526.3333333333334,65.0,45.333333333333336,0.0,23.055987,72.506015,133.25833333333333
1290,2264.0,527.0,65.0,45.0,0.0,23.055987,72.506015,133.2575
1291,2264.0,527.6666666666666,65.0,44.666666666666664,0.0,23.055987,72.506015,133.25666666666666
1292,2264.0,528.3333333333334,65.0,44.333333333333336,0.0,23.055987,72.506015,133.25583333333333
1293,2264.0,529.0,65.0,44.0,0.0,23.055987,72.506015,133.255
1294,2265.0,530.0,64.0,44.0,0.0,23.055987,72.506015,133.246
1295,2265.0,530.0,64.0,44.0,0.0,23.055987,72.506015,133.246
1296,2265.0,530.0,63.0,44.0,0.0,23.055987,72.506015,133.246
1297,2264.0,530.0,64.0,44.0,0.0,23.055987,72.506015,133.246
1298,2264.0,530.0,64.0,44.0,0.0,23.055987,72.506015,133.246
1299,2264.0,530.0,64.0,44.0,0.0,23.055987,72.506015,133.246
1300,2265.0,530.0,63.0,44.0,0.0,23.055987,72.506015,133.245
1301,2265.0,529.0,63.0,44.0,0.0,23.055987,72.506015,133.245
1302,2265.0,528.0,63.0,45.0,0.0,23.055987,72.506015,133.245
1303,2266.0,530.0,62.0,44.0,0.0,23.055987,72.506015,133.245
1304,2265.0,530.0,62.0,45.0,0.0,23.055987,72.506015,133.245
1305,2265.0,530.0,62.0,45.0,0.0,23.055987,72.506015,133.241
1306,2265.0,530.0,62.0,45.0,0.0,23.055987,72.506015,133.241
1307,2265.0,531.0,62.0,45.0,0.0,23.055987,72.506015,133.241
1308,2265.0,530.0,62.0,45.0,0.0,23.055987,72.506015,133.241
1309,2265.0,530.0,62.0,45.0,0.0,23.055987,72.506015,133.241
1310,2265.0,530.0,62.0,45.0,0.0,23.055987,72.506015,133.241
1311,2264.0,529.0,64.0,45.0,0.0,23.055987,72.506015,133.241
1312,2265.0,529.0,63.0,45.0,0.0,23.055987,72.506015,133.241
1313,2265.0,528.7142857142857,63.285714285714285,45.142857142857146,0.0,23.055987,72.506015,133.24057142857143
1314,2265.0,528.4285714285714,63.57142857142857,45.285714285714285,0.0,23.055987,72.506015,133.24014285714287
1315,2265.0,528.1428571428571,63.857142857142854,45.42857142857143,0.0,23.055987,72.506015,133.23971428571429
1316,2265.0,527.8571428571429,64.14285714285714,45.57142857142857,0.0,23.055987,72.506015,133.23928571428573
1317,2265.0,527.5714285714286,64.42857142857143,45.714285714285715,0.0,23.055987,72.506015,133.23885714285714
1318,2265.0,527.2857142857143,64.71428571428571,45.857142857142854,0.0,23.055987,72.506015,133.23842857142859
1319,2265.0,527.0,65.0,46.0,0.0,23.055987,72.506015,133.238
1320,2264.0,528.0,66.0,45.0,0.0,23.055987,72.506015,133.238
1321,2264.0,528.0,66.0,46.0,0.0,23.055987,72.506015,133.238
1322,2265.0,528.0,65.0,46.0,0.0,23.055987,72.506015,133.238
1323,2265.0,528.0,65.0,46.0,0.0,23.055987,72.506015,133.238
1324,2264.0,529.0,65.0,45.0,0.0,23.055987,72.506015,133.242
1325,2264.02752293578,528.9633027522935,65.01834862385321,45.0,0.0,23.055987,72.50601499082569,133.24205504587155
1326,2264.0550458715597,528.9266055045872,65.03669724770643,45.0,0.0,23.055987,72.50601498165138,133.24211009174311
1327,2264.0825688073396,528.8899082568807,65.05504587155963,45.0,0.0,23.055987,72.50601497247708,133.24216513761468
1328,2264.1100917431195,528.8532110091743,65.07339449541284,45.0,0.0,23.055987,72.50601496330276,133.24222018348624
1329,2264.137614678899,528.816513761468,65.09174311926606,45.0,0.0,23.055987,72.50601495412845,133.2422752293578
1330,2264.1651376146788,528.7798165137615,65.11009174311927,45.0,0.0,23.055987,72.50601494495413,133.24233027522934
1331,2264.1926605504586,528.743119266055,65.12844036697248,45.0,0.0,23.055987,72.50601493577982,133.2423853211009
1332,2264.2201834862385,528.7064220183486,65.14678899082568,45.0,0.0,23.055987,72.5060149266055,133.24244036697246
1333,2264.2477064220184,528.6697247706422,65.1651376146789,45.0,0.0,23.055987,72.5060149174312,133.24249541284402
1334,2264.2752293577983,528.6330275229358,65.18348623853211,45.0,0.0,23.055987,72.50601490825689,133.24255045871558
1335,2264.302752293578,528.5963302752293,65.20183486238533,45.0,0.0,23.055987,72.50601489908257,133.24260550458715
1336,2264.330275229358,528.559633027523,65.22018348623853,45.0,0.0,23.055987,72.50601488990826,133.2426605504587
1337,2264.3577981651374,528.5229357798165,65.23853211009174,45.0,0.0,23.055987,72.50601488073394,133.24271559633027
1338,2264.3853211009173,528.4862385321101,65.25688073394495,45.0,0.0,23.055987,72.50601487155964,133.24277064220183
1339,2264.412844036697,528.4495412844037,65.27522935779817,45.0,0.0,23.055987,72.50601486238533,133.2428256880734
1340,2264.440366972477,528.4128440366973,65.29357798165138,45.0,0.0,23.055987,72.50601485321101,133.24288073394496
1341,2264.467889908257,528.3761467889908,65.31192660550458,45.0,0.0,23.055987,72.5060148440367,133.2429357798165
1342,2264.4954128440368,528.3394495412844,65.3302752293578,45.0,0.0,23.055987,72.50601483486238,133.24299082568805
1343,2264.5229357798166,528.302752293578,65.34862385321101,45.0,0.0,23.055987,72.50601482568807,133.24304587155962
1344,2264.5504587155965,528.2660550458716,65.36697247706422,45.0,0.0,23.055987,72.50601481651377,133.24310091743118
1345,2264.577981651376,528.2293577981651,65.38532110091744,45.0,0.0,23.055987,72.50601480733945,133.24315596330274
1346,2264.605504587156,528.1926605504588,65.40366972477064,45.0,0.0,23.055987,72.50601479816514,133.2432110091743
1347,2264.6330275229357,528.1559633027523,65.42201834862385,45.0,0.0,23.055987,72.50601478899083,133.24326605504586
1348,2264.6605504587155,528.1192660550458,65.44036697247707,45.0,0.0,23.055987,72.50601477981651,133.24332110091743
1349,2264.6880733944954,528.0825688073395,65.45871559633028,45.0,0.0,23.055987,72.50601477064221,133.243376146789
1350,2264.7155963302753,528.045871559633,65.4770642201835,45.0,0.0,23.055987,72.5060147614679,133.24343119266055
1351,2264.743119266055,528.0091743119266,65.4954128440367,45.0,0.0,23.055987,72.50601475229358,133.2434862385321
1352,2264.770642201835,527.9724770642201,65.5137614678899,45.0,0.0,23.055987,72.50601474311927,133.24354128440365
1353,2264.798165137615,527.9357798165138,65.53211009174312,45.0,0.0,23.055987,72.50601473394495,133.2435963302752
1354,2264.8256880733943,527.8990825688073,65.55045871559633,45.0,0.0,23.055987,72.50601472477065,133.24365137614677
1355,2264.853211009174,527.8623853211009,65.56880733944953,45.0,0.0,23.055987,72.50601471559634,133.24370642201833
1356,2264.880733944954,527.8256880733945,65.58715596330275,45.0,0.0,23.055987,72.50601470642202,133.2437614678899
1357,2264.908256880734,527.7889908256881,65.60550458715596,45.0,0.0,23.055987,72.5060146972477,133.24381651376146
1358,2264.935779816514,527.7522935779816,65.62385321100918,45.0,0.0,23.055987,72.50601468807339,133.24387155963302
1359,2264.9633027522937,527.7155963302753,65.64220183486239,45.0,0.0,23.055987,72.50601467889908,133.24392660550458
1360,2264.9908256880735,527.6788990825688,65.66055045871559,45.0,0.0,23.055987,72.50601466972478,133.24398165137615
1361,2265.0183486238534,527.6422018348624,65.6788990825688,45.0,0.0,23.055987,72.50601466055046,133.2440366972477
1362,2265.045871559633,527.605504587156,65.69724770642202,45.0,0.0,23.055987,72.50601465137615,133.24409174311927
1363,2265.0733944954127,527.5688073394496,65.71559633027523,45.0,0.0,23.055987,72.50601464220183,133.2441467889908
1364,2265.1009174311926,527.5321100917431,65.73394495412845,45.0,0.0,23.055987,72.50601463302752,133.24420183486237
1365,2265.1284403669724,527.4954128440367,65.75229357798165,45.0,0.0,23.055987,72.50601462385322,133.24425688073393
1366,2265.1559633027523,527.4587155963303,65.77064220183486,45.0,0.0,23.055987,72.5060146146789,133.2443119266055
1367,2265.183486238532,527.4220183486239,65.78899082568807,45.0,0.0,23.055987,72.50601460550459,133.24436697247705
1368,2265.211009174312,527.3853211009174,65.80733944954129,45.0,0.0,23.055987,72.50601459633027,133.24442201834862
1369,2265.238532110092,527.348623853211,65.8256880733945,45.0,0.0,23.055987,72.50601458715596,133.24447706422018
1370,2265.266055045872,527.3119266055046,65.8440366972477,45.0,0.0,23.055987,72.50601457798165,133.24453211009174
1371,2265.293577981651,527.2752293577981,65.86238532110092,45.0,0.0,23.055987,72.50601456880734,133.2445871559633
1372,2265.321100917431,527.2385321100918,65.88073394495413,45.0,0.0,23.055987,72.50601455963303,133.24464220183486
1373,2265.348623853211,527.2018348623853,65.89908256880734,45.0,0.0,23.055987,72.50601455045872,133.24469724770643
1374,2265.376146788991,527.1651376146789,65.91743119266054,45.0,0.0,23.055987,72.5060145412844,133.24475229357796
1375,2265.4036697247707,527.1284403669724,65.93577981651376,45.0,0.0,23.055987,72.50601453211009,133.24480733944952
1376,2265.4311926605506,527.0917431192661,65.95412844036697,45.0,0.0,23.055987,72.50601452293579,133.24486238532108
1377,2265.4587155963304,527.0550458715596,65.97247706422019,45.0,0.0,23.055987,72.50601451376147,133.24491743119265
1378,2265.4862385321103,527.0183486238532,65.9908256880734,45.0,0.0,23.055987,72.50601450458716,133.2449724770642
1379,2265.5137614678897,526.9816513761468,66.0091743119266,45.0,0.0,23.055987,72.50601449541284,133.24502752293577
1380,2265.5412844036696,526.9449541284404,66.02752293577981,45.0,0.0,23.055987,72.50601448623853,133.24508256880733
1381,2265.5688073394494,526.9082568807339,66.04587155963303,45.0,0.0,23.055987,72.50601447706421,133.2451376146789
1382,2265.5963302752293,526.8715596330276,66.06422018348624,45.0,0.0,23.055987,72.50601446788991,133.24519266055046
1383,2265.623853211009,526.8348623853211,66.08256880733946,45.0,0.0,23.055987,72.5060144587156,133.24524770642202
1384,2265.651376146789,526.7981651376147,66.10091743119266,45.0,0.0,23.055987,72.50601444954128,133.24530275229355
1385,2265.678899082569,526.7614678899082,66.11926605504587,45.0,0.0,23.055987,72.50601444036697,133.24535779816512
1386,2265.706422018349,526.7247706422019,66.13761467889908,45.0,0.0,23.055987,72.50601443119265,133.24541284403668
1387,2265.733944954128,526.6880733944954,66.1559633027523,45.0,0.0,23.055987,72.50601442201835,133.24546788990824
1388,2265.761467889908,526.651376146789,66.1743119266055,45.0,0.0,23.055987,72.50601441284404,133.2455229357798
1389,2265.788990825688,526.6146788990826,66.19266055045871,45.0,0.0,23.055987,72.50601440366972,133.24557798165137
1390,2265.816513761468,526.5779816513761,66.21100917431193,45.0,0.0,23.055987,72.50601439449541,133.24563302752293
1391,2265.8440366972477,526.5412844036697,66.22935779816514,45.0,0.0,23.055987,72.5060143853211,133.2456880733945
1392,2265.8715596330276,526.5045871559633,66.24770642201835,45.0,0.0,23.055987,72.50601437614678,133.24574311926605
1393,2265.8990825688074,526.4678899082569,66.26605504587155,45.0,0.0,23.055987,72.50601436697248,133.24579816513761
1394,2265.9266055045873,526.4311926605504,66.28440366972477,45.0,0.0,23.055987,72.50601435779816,133.24585321100918
1395,2265.954128440367,526.394495412844,66.30275229357798,45.0,0.0,23.055987,72.50601434862385,133.2459082568807
1396,2265.9816513761466,526.3577981651376,66.3211009174312,45.0,0.0,23.055987,72.50601433944954,133.24596330275227
1397,2266.0091743119265,526.3211009174312,66.33944954128441,45.0,0.0,23.055987,72.50601433027522,133.24601834862383
1398,2266.0366972477063,526.2844036697247,66.35779816513761,45.0,0.0,23.055987,72.50601432110092,133.2460733944954
