frameNo,left,top,w,h,conf,lat,long,alt
803,3667.0,1323.0,84.0,39.0,0.0,23.055986,72.506014,133.131
804,3656.0,1325.0,84.0,38.0,0.0,23.055986,72.506014,133.131
805,3644.3076923076924,1325.2307692307693,83.3076923076923,37.46153846153846,0.0,23.055986,72.506014,133.1313846153846
806,3632.6153846153848,1325.4615384615386,82.61538461538461,36.92307692307692,0.0,23.055986,72.506014,133.13176923076924
807,3620.923076923077,1325.6923076923076,81.92307692307692,36.38461538461539,0.0,23.055986,72.506014,133.13215384615384
808,3609.230769230769,1325.923076923077,81.23076923076923,35.84615384615385,0.0,23.055986,72.506014,133.13253846153847
809,3597.5384615384614,1326.1538461538462,80.53846153846153,35.30769230769231,0.0,23.055986,72.506014,133.13292307692308
810,3585.846153846154,1326.3846153846155,79.84615384615384,34.76923076923077,0.0,23.055986,72.506014,133.13330769230768
811,3574.153846153846,1326.6153846153845,79.15384615384616,34.23076923076923,0.0,23.055986,72.506014,133.13369230769231
812,3562.4615384615386,1326.8461538461538,78.46153846153847,33.69230769230769,0.0,23.055986,72.506014,133.13407692307692
813,3550.769230769231,1327.076923076923,77.76923076923077,33.15384615384615,0.0,23.055986,72.506014,133.13446153846152
814,3539.076923076923,1327.3076923076924,77.07692307692308,32.61538461538461,0.0,23.055986,72.506014,133.13484615384615
815,3527.3846153846152,1327.5384615384614,76.38461538461539,32.07692307692308,0.0,23.055986,72.506014,133.13523076923076
816,3515.6923076923076,1327.7692307692307,75.6923076923077,31.53846153846154,0.0,23.055986,72.506014,133.1356153846154
817,3504.0,1328.0,75.0,31.0,0.0,23.055986,72.506014,133.136
818,3496.0,1327.0,80.0,32.0,0.0,23.055986,72.506014,133.136
819,3486.0,1328.0,83.0,33.0,0.0,23.055986,72.506014,133.136
820,3474.0,1329.0,83.0,32.0,0.0,23.055986,72.506014,133.131
821,3462.0,1330.0,83.0,32.0,0.0,23.055986,72.506014,133.131
822,3452.0,1330.0,83.0,32.0,0.0,23.055986,72.506014,133.131
823,3442.0,1331.0,84.0,32.0,0.0,23.055986,72.506014,133.131
824,3432.0,1332.0,85.0,32.0,0.0,23.055986,72.506014,133.131
825,3423.0,1333.0,84.0,31.0,0.0,23.055986,72.506014,133.131
826,3414.0,1333.0,82.0,31.0,0.0,23.055986,72.506014,133.132
827,3402.0,1332.0,82.0,32.0,0.0,23.055986,72.506014,133.132
828,3396.0,1334.0,78.0,31.0,0.0,23.055986,72.506014,133.132
829,3386.0,1335.0,77.0,29.0,0.0,23.055986,72.506014,133.132
830,3376.0,1336.0,78.0,28.0,0.0,23.055986,72.506014,133.132
831,3366.0,1337.0,78.0,28.0,0.0,23.055986,72.506014,133.132
832,3351.0,1337.0,80.0,29.0,0.0,23.055986,72.506014,133.131
833,3339.0,1337.0,80.0,29.0,0.0,23.055986,72.506014,133.131
834,3329.0,1337.0,84.0,29.0,0.0,23.055986,72.506014,133.131
835,3322.0,1339.0,84.0,28.0,0.0,23.055986,72.506014,133.131
836,3309.0,1339.0,82.0,29.0,0.0,23.055986,72.506014,133.131
837,3298.0,1337.0,82.0,30.0,0.0,23.055986,72.506014,133.131
838,3289.0,1336.0,83.0,31.0,0.0,23.055986,72.506014,133.127
839,3278.0,1337.0,83.0,32.0,0.0,23.055986,72.506014,133.127
840,3271.0,1339.0,82.0,31.0,0.0,23.055986,72.506014,133.127
841,3261.0,1339.0,82.0,31.0,0.0,23.055986,72.506014,133.127
842,3255.0,1340.0,80.0,30.0,0.0,23.055986,72.506014,133.127
843,3244.0,1342.0,79.0,30.0,0.0,23.055986,72.506014,133.127
844,3235.0,1344.0,76.0,29.0,0.0,23.055986,72.506014,133.123
845,3228.0,1345.0,75.0,29.0,0.0,23.055986,72.506014,133.123
846,3212.0,1345.0,77.0,29.0,0.0,23.055986,72.506014,133.123
847,3200.0,1345.0,78.0,29.0,0.0,23.055986,72.506014,133.123
848,3188.0,1346.0,80.0,29.0,0.0,23.055986,72.506014,133.123
849,3181.0,1347.0,78.0,29.0,0.0,23.055986,72.506014,133.123
850,3174.0,1346.0,77.0,29.0,0.0,23.055986,72.506014,133.114
851,3163.0,1346.75,76.75,28.75,0.0,23.055986,72.506014,133.114
852,3152.0,1347.5,76.5,28.5,0.0,23.055986,72.506014,133.114
853,3141.0,1348.25,76.25,28.25,0.0,23.055986,72.506014,133.114
854,3130.0,1349.0,76.0,28.0,0.0,23.055986,72.506014,133.114
855,3123.0,1350.0,75.0,28.0,0.0,23.055986,72.506014,133.114
856,3112.0,1350.0,77.0,28.0,0.0,23.055986,72.506014,133.109
857,3105.0,1351.0,75.0,28.0,0.0,23.055986,72.506014,133.109
858,3095.0,1351.0,75.0,29.0,0.0,23.055986,72.506014,133.109
859,3086.0,1350.0,76.0,30.0,0.0,23.055986,72.506014,133.109
860,3074.0,1352.0,78.0,29.0,0.0,23.055986,72.506014,133.109
861,3064.0,1352.0,80.0,30.0,0.0,23.055986,72.506014,133.109
862,3051.0,1354.0,82.0,31.0,0.0,23.055986,72.506014,133.104
863,3042.0,1356.0,84.0,31.0,0.0,23.055986,72.506014,133.104
864,3031.0,1356.0,83.0,32.0,0.0,23.055986,72.506014,133.104
865,3025.0,1357.0,80.0,31.0,0.0,23.055986,72.506014,133.104
866,3016.0,1357.0,79.0,31.0,0.0,23.055986,72.506014,133.104
867,3005.0,1359.0,79.0,31.0,0.0,23.055986,72.506014,133.104
868,2997.0,1361.0,78.0,31.0,0.0,23.055986,72.506014,133.097
869,2988.0,1362.0,77.0,32.0,0.0,23.055986,72.506014,133.097
870,2980.0,1362.0,78.0,32.0,0.0,23.055986,72.506014,133.097
871,2970.0,1363.0,77.0,33.0,0.0,23.055986,72.506014,133.097
872,2959.0,1364.0,79.0,34.0,0.0,23.055986,72.506014,133.097
873,2950.0,1365.0,81.0,33.0,0.0,23.055986,72.506014,133.097
874,2942.0,1365.0,82.0,33.0,0.0,23.055986,72.506014,133.089
875,2937.0,1366.0,81.0,33.0,0.0,23.055986,72.506014,133.089
876,2922.0,1367.0,83.0,33.0,0.0,23.055986,72.506014,133.089
877,2910.0,1368.0,83.0,32.0,0.0,23.055986,72.506014,133.089
878,2900.0,1369.0,84.0,33.0,0.0,23.055986,72.506014,133.089
879,2891.0,1371.0,83.0,33.0,0.0,23.055986,72.506014,133.089
880,2889.0,1374.0,80.0,32.0,0.0,23.055986,72.506014,133.083
881,2875.0,1374.0,81.0,32.0,0.0,23.055986,72.506014,133.083
882,2864.0,1376.0,82.0,31.0,0.0,23.055986,72.506014,133.083
883,2854.0,1375.0,84.0,33.0,0.0,23.055986,72.506014,133.083
884,2847.0,1378.0,84.0,32.0,0.0,23.055986,72.506014,133.083
885,2838.0,1378.0,84.0,33.0,0.0,23.055986,72.506014,133.083
886,2828.0,1379.0,82.0,33.0,0.0,23.055986,72.506014,133.082
887,2818.0,1382.0,82.0,35.0,0.0,23.055986,72.506014,133.082
888,2813.0,1384.0,80.0,36.0,0.0,23.055986,72.506014,133.082
889,2802.0,1384.0,79.0,37.0,0.0,23.055986,72.506014,133.082
890,2796.0,1387.0,80.0,34.0,0.0,23.055986,72.506014,133.082
891,2783.0,1386.0,83.0,36.0,0.0,23.055986,72.506014,133.082
892,2774.0,1386.0,84.0,36.0,0.0,23.055986,72.506014,133.08
893,2769.0,1391.0,81.0,35.0,0.0,23.055986,72.506014,133.08
894,2758.0,1394.0,82.0,32.0,0.0,23.055986,72.506014,133.08
895,2749.0,1393.0,80.0,34.0,0.0,23.055986,72.506014,133.08
896,2743.0,1394.0,78.0,34.0,0.0,23.055986,72.506014,133.08
897,2732.0,1397.0,77.0,33.0,0.0,23.055986,72.506014,133.08
898,2720.0,1399.0,78.0,33.0,0.0,23.055986,72.506014,133.077
899,2712.0,1400.0,77.0,33.0,0.0,23.055986,72.506014,133.077
900,2702.0,1401.0,78.0,34.0,0.0,23.055986,72.506014,133.077
901,2694.0,1404.0,77.0,33.0,0.0,23.055986,72.506014,133.077
902,2683.0,1405.0,80.0,34.0,0.0,23.055986,72.506014,133.077
903,2676.0,1405.0,79.0,35.0,0.0,23.055986,72.506014,133.077
904,2669.0,1406.0,79.0,35.0,0.0,23.055986,72.506014,133.078
905,2659.0,1408.0,78.0,34.0,0.0,23.055986,72.506014,133.078
906,2649.0,1411.0,78.0,32.0,0.0,23.055986,72.506014,133.078
907,2645.0,1412.0,77.0,33.0,0.0,23.055986,72.506014,133.078
908,2634.0,1414.0,77.0,32.0,0.0,23.055986,72.506014,133.078
909,2624.0,1415.0,77.0,32.0,0.0,23.055986,72.506014,133.078
910,2614.0,1416.0,78.0,31.0,0.0,23.055986,72.506014,133.076
911,2606.0,1418.0,78.0,31.0,0.0,23.055986,72.506014,133.076
912,2595.0,1421.0,77.0,32.0,0.0,23.055986,72.506014,133.076
913,2585.0,1422.0,77.0,31.0,0.0,23.055986,72.506014,133.076
914,2577.0,1423.0,76.0,30.0,0.0,23.055986,72.506014,133.076
915,2569.0,1426.0,76.0,31.0,0.0,23.055986,72.506014,133.076
916,2559.0,1429.0,76.0,31.0,0.0,23.055986,72.506014,133.084
917,2550.0,1432.0,75.0,30.0,0.0,23.055986,72.506014,133.084
918,2547.0,1432.0,71.0,30.0,0.0,23.055986,72.506014,133.084
919,2536.0,1435.0,71.0,30.0,0.0,23.055986,72.506014,133.084
920,2523.0,1438.0,72.0,30.0,0.0,23.055986,72.506014,133.084
921,2514.0,1439.0,71.0,29.0,0.0,23.055986,72.506014,133.084
922,2510.0,1439.0,70.0,29.0,0.0,23.055986,72.506014,133.094
923,2498.0,1441.0,71.0,29.0,0.0,23.055986,72.506014,133.094
924,2488.0,1442.0,72.0,29.0,0.0,23.055986,72.506014,133.094
925,2477.0,1443.0,72.0,29.0,0.0,23.055985,72.506014,133.094
926,2472.0,1444.0,70.0,30.0,0.0,23.055985,72.506014,133.094
927,2463.0,1444.0,71.0,31.0,0.0,23.055985,72.506014,133.094
928,2452.0,1445.0,72.0,30.0,0.0,23.055986,72.506014,133.111
929,2441.0,1446.0,73.0,30.0,0.0,23.055986,72.506014,133.111
930,2432.0,1449.0,74.0,30.0,0.0,23.055986,72.506014,133.111
931,2423.0,1450.0,73.0,32.0,0.0,23.055986,72.506014,133.111
932,2415.0,1451.0,73.0,32.0,0.0,23.055986,72.506014,133.111
933,2405.0,1452.0,74.0,32.0,0.0,23.055986,72.506014,133.111
934,2398.0,1453.0,74.0,32.0,0.0,23.055986,72.506014,133.125
935,2392.0,1455.0,73.0,31.0,0.0,23.055986,72.506014,133.125
936,2380.0,1456.0,74.0,32.0,0.0,23.055986,72.506014,133.125
937,2367.0,1458.0,75.0,31.0,0.0,23.055986,72.506014,133.125
938,2358.0,1459.0,77.0,31.0,0.0,23.055986,72.506014,133.125
939,2352.0,1459.0,76.0,32.0,0.0,23.055986,72.506014,133.125
940,2344.0,1461.0,74.0,31.0,0.0,23.055986,72.506014,133.14
941,2332.0,1461.0,74.0,32.0,0.0,23.055986,72.506014,133.14
942,2319.0,1463.0,76.0,31.0,0.0,23.055986,72.506014,133.14
943,2311.0,1464.0,76.0,32.0,0.0,23.055986,72.506014,133.14
944,2305.0,1466.0,73.0,31.0,0.0,23.055986,72.506014,133.14
945,2295.0,1467.0,73.0,31.0,0.0,23.055986,72.506014,133.14
946,2285.0,1468.0,74.0,32.0,0.0,23.055985,72.506014,133.156
947,2274.0,1470.0,75.0,31.0,0.0,23.055985,72.506014,133.156
948,2263.0,1471.0,79.0,32.0,0.0,23.055985,72.506014,133.156
949,2253.0,1473.0,79.0,31.0,0.0,23.055985,72.506014,133.156
950,2244.0,1473.0,77.0,32.0,0.0,23.055985,72.506014,133.156
951,2236.0,1474.0,76.0,33.0,0.0,23.055985,72.506014,133.156
952,2223.0,1474.0,76.0,34.0,0.0,23.055985,72.506014,133.176
953,2217.0,1478.0,77.0,32.0,0.0,23.055985,72.506014,133.176
954,2210.0,1478.0,75.0,33.0,0.0,23.055985,72.506014,133.176
955,2200.0,1478.0,75.0,33.0,0.0,23.055985,72.506014,133.176
