frameNo,left,top,w,h,conf,lat,long,alt
1367,3498.0,1263.0,62.0,35.0,0.0,23.055987,72.506015,133.249
1368,3497.8571428571427,1258.857142857143,62.142857142857146,34.42857142857143,0.0,23.055987,72.50601485714286,133.249
1369,3497.714285714286,1254.7142857142858,62.285714285714285,33.857142857142854,0.0,23.055987,72.50601471428571,133.249
1370,3497.5714285714284,1250.5714285714287,62.42857142857143,33.285714285714285,0.0,23.055987,72.50601457142857,133.249
1371,3497.4285714285716,1246.4285714285713,62.57142857142857,32.714285714285715,0.0,23.055987,72.50601442857143,133.249
1372,3497.285714285714,1242.2857142857142,62.714285714285715,32.142857142857146,0.0,23.055987,72.50601428571429,133.249
1373,3497.1428571428573,1238.142857142857,62.857142857142854,31.571428571428573,0.0,23.055987,72.50601414285714,133.249
1374,3497.0,1234.0,63.0,31.0,0.0,23.055987,72.506014,133.249
1375,3496.25,1230.0,62.25,31.5,0.0,23.055987,72.506014,133.24975
1376,3495.5,1226.0,61.5,32.0,0.0,23.055987,72.506014,133.2505
1377,3494.75,1222.0,60.75,32.5,0.0,23.055987,72.506014,133.25125
1378,3494.0,1218.0,60.0,33.0,0.0,23.055987,72.506014,133.252
1379,3493.0,1214.0,60.0,35.0,0.0,23.055987,72.506014,133.252
1380,3493.0,1209.0,58.0,35.0,0.0,23.055987,72.506014,133.252
1381,3492.0,1205.0,56.0,36.0,0.0,23.055987,72.506014,133.252
1382,3490.6,1201.8,54.4,35.6,0.0,23.055987,72.506014,133.2512
1383,3489.2,1198.6,52.8,35.2,0.0,23.055987,72.506014,133.2504
1384,3487.8,1195.4,51.2,34.8,0.0,23.055987,72.506014,133.2496
1385,3486.4,1192.2,49.6,34.4,0.0,23.055987,72.506014,133.2488
1386,3485.0,1189.0,48.0,34.0,0.0,23.055987,72.506014,133.248
1387,3481.0,1186.0,49.0,34.0,0.0,23.055987,72.506014,133.248
1388,3481.0,1183.0,47.0,35.0,0.0,23.055987,72.506014,133.248
1389,3479.0,1179.75,47.25,35.0,0.0,23.055987,72.506014,133.24775
1390,3477.0,1176.5,47.5,35.0,0.0,23.055987,72.506014,133.2475
1391,3475.0,1173.25,47.75,35.0,0.0,23.055987,72.506014,133.24725
1392,3473.0,1170.0,48.0,35.0,0.0,23.055987,72.506014,133.247
1393,3472.0,1167.0,47.0,36.0,0.0,23.055987,72.506014,133.247
1394,3469.0,1164.0,45.0,35.0,0.0,23.055987,72.506014,133.247
1395,3468.0,1162.0,44.0,35.0,0.0,23.055987,72.506014,133.244
1396,3464.0,1158.0,44.0,36.0,0.0,23.055987,72.506015,133.244
1397,3460.0,1156.0,44.0,36.0,0.0,23.055987,72.506015,133.244
1398,3457.0,1151.0,43.0,37.0,0.0,23.055987,72.506015,133.244
1399,3451.0,1147.0,47.0,37.0,0.0,23.055987,72.506015,133.244
1400,3447.0,1144.0,47.0,37.0,0.0,23.055987,72.506015,133.244
1401,3442.0,1142.0,47.0,35.0,0.0,23.055987,72.506015,133.24
1402,3433.0,1137.0,51.0,34.0,0.0,23.055987,72.506014,133.24
1403,3431.0,1136.0,51.0,34.0,0.0,23.055987,72.506014,133.24
1404,3427.4285714285716,1133.2857142857142,51.142857142857146,33.42857142857143,0.0,23.055987,72.506014,133.23957142857142
1405,3423.8571428571427,1130.5714285714287,51.285714285714285,32.857142857142854,0.0,23.055987,72.506014,133.23914285714287
1406,3420.285714285714,1127.857142857143,51.42857142857143,32.285714285714285,0.0,23.055987,72.506014,133.23871428571428
1407,3416.714285714286,1125.142857142857,51.57142857142857,31.714285714285715,0.0,23.055987,72.506014,133.23828571428572
1408,3413.1428571428573,1122.4285714285713,51.714285714285715,31.142857142857142,0.0,23.055987,72.506014,133.23785714285714
1409,3409.5714285714284,1119.7142857142858,51.857142857142854,30.571428571428573,0.0,23.055987,72.506014,133.23742857142858
1410,3406.0,1117.0,52.0,30.0,0.0,23.055987,72.506014,133.237
1411,3401.0,1116.0,52.0,29.0,0.0,23.055987,72.506014,133.237
1412,3396.0,1114.0,53.0,29.0,0.0,23.055987,72.506014,133.237
1413,3391.0,1111.0,52.0,30.0,0.0,23.055987,72.506014,133.24
1414,3388.0,1108.6,49.4,30.2,0.0,23.055987,72.506014,133.24
1415,3385.0,1106.2,46.8,30.4,0.0,23.055987,72.506014,133.24
1416,3382.0,1103.8,44.2,30.6,0.0,23.055987,72.506014,133.24
1417,3379.0,1101.4,41.6,30.8,0.0,23.055987,72.506014,133.24
1418,3376.0,1099.0,39.0,31.0,0.0,23.055987,72.506014,133.24
1419,3368.0,1097.0,42.0,29.0,0.0,23.055987,72.506014,133.24
1420,3364.0,1095.0,43.0,30.0,0.0,23.055987,72.506014,133.24
1421,3357.0,1094.0,45.0,29.0,0.0,23.055987,72.506014,133.24
1422,3348.0,1091.0,50.0,31.0,0.0,23.055987,72.506014,133.24
1423,3341.0,1089.0,49.0,32.0,0.0,23.055987,72.506014,133.24
1424,3337.0,1088.0,50.0,31.0,0.0,23.055987,72.506014,133.24
1425,3335.0,1087.0,48.0,31.0,0.0,23.055987,72.506014,133.243
1426,3332.0,1084.0,48.0,33.0,0.0,23.055987,72.506014,133.243
1427,3329.0,1083.0,47.0,33.0,0.0,23.055987,72.506014,133.243
1428,3324.2727272727275,1081.2727272727273,47.18181818181818,32.81818181818182,0.0,23.055987,72.506014,133.24372727272726
1429,3319.5454545454545,1079.5454545454545,47.36363636363637,32.63636363636363,0.0,23.055987,72.506014,133.24445454545454
1430,3314.818181818182,1077.8181818181818,47.54545454545455,32.45454545454545,0.0,23.055987,72.506014,133.2451818181818
1431,3310.090909090909,1076.090909090909,47.72727272727273,32.27272727272727,0.0,23.055987,72.506014,133.2459090909091
1432,3305.3636363636365,1074.3636363636363,47.90909090909091,32.09090909090909,0.0,23.055987,72.506014,133.24663636363636
1433,3300.6363636363635,1072.6363636363637,48.09090909090909,31.90909090909091,0.0,23.055987,72.506014,133.24736363636364
1434,3295.909090909091,1070.909090909091,48.27272727272727,31.727272727272727,0.0,23.055987,72.506014,133.2480909090909
1435,3291.181818181818,1069.1818181818182,48.45454545454545,31.545454545454547,0.0,23.055987,72.506014,133.2488181818182
1436,3286.4545454545455,1067.4545454545455,48.63636363636363,31.363636363636363,0.0,23.055987,72.506014,133.24954545454545
1437,3281.7272727272725,1065.7272727272727,48.81818181818182,31.18181818181818,0.0,23.055987,72.506014,133.25027272727274
1438,3277.0,1064.0,49.0,31.0,0.0,23.055987,72.506014,133.251
1439,3270.0,1060.0,51.0,30.0,0.0,23.055987,72.506014,133.251
1440,3266.0,1056.0,51.0,31.0,0.0,23.055987,72.506014,133.251
1441,3263.3870967741937,1054.9032258064517,50.774193548387096,30.967741935483872,0.0,23.055987,72.506014,133.2515
1442,3260.7741935483873,1053.8064516129032,50.54838709677419,30.93548387096774,0.0,23.055987,72.506014,133.252
1443,3258.1612903225805,1052.7096774193549,50.32258064516129,30.903225806451612,0.0,23.055987,72.506014,133.2525
1444,3255.548387096774,1051.6129032258063,50.096774193548384,30.870967741935484,0.0,23.055987,72.506014,133.25300000000001
1445,3252.935483870968,1050.516129032258,49.87096774193549,30.838709677419356,0.0,23.055987,72.506014,133.2535
1446,3250.3225806451615,1049.4193548387098,49.645161290322584,30.806451612903224,0.0,23.055987,72.506014,133.25400000000002
1447,3247.7096774193546,1048.3225806451612,49.41935483870968,30.774193548387096,0.0,23.055987,72.506014,133.2545
1448,3245.0967741935483,1047.225806451613,49.193548387096776,30.741935483870968,0.0,23.055987,72.506014,133.255
