frameNo,left,top,w,h,conf,lat,long,alt
1,831.0,2012.0,77.0,144.0,0.0,23.055988,72.506015,133.088
2,830.0,2012.0,78.0,144.0,0.0,23.055988,72.506015,133.088
3,830.0,2012.0,77.0,144.0,0.0,23.055988,72.506015,133.088
4,830.0,2012.0,78.0,144.0,0.0,23.055988,72.506015,133.088
5,830.0,2012.0,78.0,144.0,0.0,23.055988,72.506015,133.079
6,830.0,2011.0,78.0,145.0,0.0,23.055988,72.506015,133.079
7,830.0,2012.0,78.0,144.0,0.0,23.055988,72.506015,133.079
8,830.0,2012.0,78.0,144.0,0.0,23.055988,72.506015,133.079
9,828.0,2012.0,80.0,145.0,0.0,23.055988,72.506015,133.079
10,827.0,2013.0,81.0,144.0,0.0,23.055988,72.506015,133.079
11,826.0,2013.0,82.0,144.0,0.0,23.055988,72.506015,133.075
12,826.0,2013.0,82.0,144.0,0.0,23.055988,72.506015,133.075
13,824.0,2013.0,84.0,144.0,0.0,23.055988,72.506015,133.075
14,823.0,2012.0,85.0,146.0,0.0,23.055988,72.506015,133.075
15,822.0,2012.0,86.0,146.0,0.0,23.055988,72.506015,133.075
16,819.0,2012.0,89.0,146.0,0.0,23.055988,72.506015,133.075
17,817.0,2012.0,91.0,147.0,0.0,23.055988,72.506015,133.067
18,816.0,2012.0,93.0,147.0,0.0,23.055988,72.506015,133.067
19,815.0,2012.0,95.0,147.0,0.0,23.055988,72.506015,133.067
20,814.0,2011.0,96.0,148.0,0.0,23.055988,72.506015,133.067
21,813.0,2011.0,96.0,148.0,0.0,23.055988,72.506015,133.067
22,812.0,2011.0,98.0,148.0,0.0,23.055988,72.506015,133.067
23,812.0,2010.0,98.0,149.0,0.0,23.055988,72.506015,133.06
24,812.0,2010.0,98.0,149.0,0.0,23.055988,72.506015,133.06
25,812.0,2010.0,98.0,149.0,0.0,23.055988,72.506015,133.06
26,811.0,2010.0,99.0,149.0,0.0,23.055988,72.506015,133.06
27,811.0,2010.0,99.0,149.0,0.0,23.055988,72.506015,133.06
28,811.0,2010.0,99.0,149.0,0.0,23.055988,72.506015,133.06
29,811.0,2010.0,99.0,149.0,0.0,23.055988,72.506015,133.058
30,810.0,2010.0,100.0,149.0,0.0,23.055988,72.506015,133.058
31,811.0,2011.0,99.0,148.0,0.0,23.055988,72.506015,133.058
32,811.0,2011.0,99.0,148.0,0.0,23.055988,72.506015,133.058
33,811.0,2010.0,99.0,149.0,0.0,23.055988,72.506015,133.058
34,812.0,2011.0,98.0,148.0,0.0,23.055988,72.506015,133.058
35,813.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.051
36,813.0,2012.0,98.0,146.0,0.0,23.055988,72.506015,133.051
37,812.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.051
38,812.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.051
39,812.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.051
40,812.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.051
41,812.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.047
42,812.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.047
43,812.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.047
44,812.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.047
45,812.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.047
46,813.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.047
47,814.0,2012.0,97.0,147.0,0.0,23.055988,72.506015,133.035
48,815.0,2012.0,96.0,146.0,0.0,23.055988,72.506015,133.035
49,816.0,2012.0,95.0,146.0,0.0,23.055988,72.506015,133.035
50,816.0,2012.0,95.0,146.0,0.0,23.055988,72.506015,133.035
51,816.0,2012.0,95.0,146.0,0.0,23.055988,72.506015,133.035
52,816.0,2012.0,94.0,146.0,0.0,23.055988,72.506015,133.035
53,816.0,2012.0,95.0,145.0,0.0,23.055988,72.506015,133.026
54,816.0,2013.0,94.0,144.0,0.0,23.055988,72.506015,133.026
55,815.0,2013.0,95.0,144.0,0.0,23.055988,72.506015,133.026
56,815.0,2013.0,95.0,144.0,0.0,23.055988,72.506015,133.026
57,816.0,2013.0,95.0,144.0,0.0,23.055988,72.506015,133.026
58,814.0,2013.0,96.0,144.0,0.0,23.055988,72.506015,133.026
59,813.0,2012.0,97.0,146.0,0.0,23.055988,72.506015,133.011
60,812.0,2012.0,97.0,147.0,0.0,23.055988,72.506015,133.011
61,811.0,2012.0,98.0,147.0,0.0,23.055988,72.506015,133.011
62,810.0,2011.0,99.0,148.0,0.0,23.055988,72.506015,133.011
63,810.0,2011.0,100.0,148.0,0.0,23.055988,72.506015,133.011
64,810.0,2011.0,100.0,148.0,0.0,23.055988,72.506015,133.011
65,810.0,2011.0,99.0,147.0,0.0,23.055988,72.506015,132.994
66,811.0,2011.0,99.0,147.0,0.0,23.055988,72.506015,132.994
67,811.0,2011.0,99.0,147.0,0.0,23.055988,72.506015,132.994
68,811.0,2011.0,99.0,147.0,0.0,23.055988,72.506015,132.994
69,811.0,2011.0,98.0,147.0,0.0,23.055988,72.506015,132.994
70,812.0,2011.0,97.0,147.0,0.0,23.055988,72.506015,132.994
71,812.0,2011.0,97.0,147.0,0.0,23.055988,72.506015,132.973
72,812.0,2011.0,96.0,148.0,0.0,23.055988,72.506015,132.973
73,811.0,2011.0,97.0,148.0,0.0,23.055988,72.506015,132.973
74,811.0,2011.0,97.0,148.0,0.0,23.055988,72.506015,132.973
75,810.0,2011.0,98.0,146.0,0.0,23.055988,72.506015,132.973
76,810.0,2011.0,98.0,146.0,0.0,23.055988,72.506015,132.973
77,810.0,2012.0,98.0,144.0,0.0,23.055988,72.506015,132.949
78,810.0,2012.0,98.0,144.0,0.0,23.055988,72.506015,132.949
79,810.0,2013.0,99.0,143.0,0.0,23.055988,72.506015,132.949
80,810.0,2013.0,99.0,143.0,0.0,23.055988,72.506015,132.949
81,810.0,2013.0,98.0,143.0,0.0,23.055988,72.506015,132.949
82,809.0,2013.0,100.0,142.0,0.0,23.055988,72.506015,132.949
83,809.0,2013.0,100.0,142.0,0.0,23.055988,72.506015,132.934
84,810.0,2013.0,99.0,142.0,0.0,23.055988,72.506015,132.934
85,810.0,2013.0,99.0,142.0,0.0,23.055988,72.506015,132.934
86,810.0,2013.0,98.0,142.0,0.0,23.055988,72.506015,132.934
87,811.0,2013.0,98.0,144.0,0.0,23.055988,72.506015,132.934
88,810.0,2013.0,99.0,145.0,0.0,23.055988,72.506015,132.934
89,810.0,2013.0,99.0,144.0,0.0,23.055988,72.506015,132.918
90,810.0,2013.0,98.0,144.0,0.0,23.055988,72.506015,132.918
91,810.0,2012.0,98.0,145.0,0.0,23.055988,72.506015,132.918
92,810.0,2013.0,98.0,144.0,0.0,23.055988,72.506015,132.918
93,810.0,2012.0,98.0,146.0,0.0,23.055988,72.506015,132.918
94,810.0,2012.0,99.0,146.0,0.0,23.055988,72.506015,132.918
95,810.0,2012.0,99.0,146.0,0.0,23.055988,72.506014,132.9
96,810.0,2011.0,99.0,148.0,0.0,23.055988,72.506014,132.9
97,810.0,2012.0,99.0,147.0,0.0,23.055988,72.506014,132.9
98,810.0,2012.0,99.0,147.0,0.0,23.055988,72.506014,132.9
99,810.0,2011.0,99.0,148.0,0.0,23.055988,72.506014,132.9
100,809.0,2012.0,99.0,147.0,0.0,23.055988,72.506014,132.9
101,809.0,2011.0,99.0,148.0,0.0,23.055988,72.506014,132.895
102,810.0,2012.0,98.0,147.0,0.0,23.055988,72.506014,132.895
103,810.0,2012.0,98.0,147.0,0.0,23.055988,72.506014,132.895
104,810.0,2012.0,98.0,147.0,0.0,23.055988,72.506014,132.895
105,810.0,2012.0,98.0,147.0,0.0,23.055988,72.506014,132.895
106,810.0,2011.0,98.0,148.0,0.0,23.055988,72.506014,132.895
107,810.0,2012.0,98.0,147.0,0.0,23.055988,72.506014,132.888
108,811.0,2012.0,97.0,147.0,0.0,23.055988,72.506014,132.888
109,812.0,2011.0,96.0,148.0,0.0,23.055988,72.506014,132.888
110,812.0,2012.0,95.0,147.0,0.0,23.055988,72.506014,132.888
111,812.0,2012.0,95.0,147.0,0.0,23.055988,72.506014,132.888
112,812.0,2011.0,95.0,148.0,0.0,23.055988,72.506014,132.888
113,812.0,2011.0,94.0,148.0,0.0,23.055988,72.506014,132.885
114,811.0,2011.0,94.0,148.0,0.0,23.055988,72.506014,132.885
115,812.0,2011.0,94.0,148.0,0.0,23.055988,72.506014,132.885
116,812.0,2011.0,93.0,148.0,0.0,23.055988,72.506014,132.885
117,812.0,2011.0,93.0,148.0,0.0,23.055988,72.506014,132.885
118,812.0,2011.0,93.0,148.0,0.0,23.055988,72.506014,132.885
119,812.0,2011.0,93.0,148.0,0.0,23.055988,72.506014,132.888
