frameNo,left,top,w,h,conf,lat,long,alt
593,3460,1336,46,27,0.0,23.055987,72.506015,133.247
594,3453,1338,45,27,0.0,23.055987,72.506015,133.247
595,3446,1339,43,26,0.0,23.055987,72.506015,133.247
596,3439,1340,44,26,0.0,23.055987,72.506015,133.247
597,3433,1342,44,25,0.0,23.055987,72.506015,133.247
598,3423,1344,46,26,0.0,23.055987,72.506015,133.247
599,3415,1345,45,26,0.0,23.055987,72.506015,133.247
600,3409,1344,44,27,0.0,23.055987,72.506015,133.247
601,3403,1345,43,27,0.0,23.055987,72.506015,133.247
602,3397,1345,42,27,0.0,23.055987,72.506015,133.247
603,3388,1346,42,27,0.0,23.055987,72.506015,133.247
604,3381,1348,41,27,0.0,23.055987,72.506015,133.248
605,3371,1349,42,28,0.0,23.055987,72.506015,133.248
606,3365,1350,43,28,0.0,23.055987,72.506015,133.248
607,3355,1350,44,28,0.0,23.055987,72.506015,133.248
608,3349,1350,43,27,0.0,23.055987,72.506015,133.248
609,3344,1349,41,27,0.0,23.055987,72.506015,133.248
610,3339,1350,41,27,0.0,23.055987,72.506014,133.244
611,3327,1351,46,27,0.0,23.055987,72.506014,133.244
612,3320,1353,48,27,0.0,23.055987,72.506014,133.244
617,3285,1356,49,28,0.0,23.055987,72.506014,133.247
639,3143,1381,39,30,0.0,23.055987,72.506014,133.248
640,3142,1382,37,30,0.0,23.055987,72.506014,133.246
641,3128,1384,38,31,0.0,23.055987,72.506014,133.246
642,3117,1386,39,31,0.0,23.055987,72.506014,133.246
643,3109,1386,40,31,0.0,23.055987,72.506014,133.246
644,3105,1385,40,32,0.0,23.055987,72.506014,133.246
645,3101,1386,42,32,0.0,23.055987,72.506014,133.246
646,3097,1386,43,34,0.0,23.055987,72.506014,133.247
647,3090,1390,45,33,0.0,23.055987,72.506014,133.247
648,3082,1392,45,33,0.0,23.055987,72.506014,133.247
649,3076,1392,44,33,0.0,23.055987,72.506014,133.247
650,3067,1395,43,32,0.0,23.055987,72.506014,133.247
651,3057,1396,44,30,0.0,23.055987,72.506014,133.247
652,3053,1397,45,30,0.0,23.055987,72.506014,133.243
653,3053,1398,43,30,0.0,23.055987,72.506014,133.243
654,3044,1400,43,30,0.0,23.055987,72.506014,133.243
655,3036,1402,42,30,0.0,23.055987,72.506014,133.243
659,3013,1405,44,33,0.0,23.055987,72.506014,133.244
660,3008,1405,43,33,0.0,23.055987,72.506014,133.244
661,3000,1407,45,33,0.0,23.055987,72.506014,133.244
662,2996,1409,46,34,0.0,23.055987,72.506014,133.244
663,2991,1411,47,34,0.0,23.055987,72.506014,133.244
664,2985,1411,45,36,0.0,23.055987,72.506014,133.241
665,2981,1413,45,36,0.0,23.055987,72.506014,133.241
666,2973,1416,44,36,0.0,23.055987,72.506014,133.241
667,2968,1418,44,35,0.0,23.055987,72.506014,133.241
668,2964,1421,42,35,0.0,23.055987,72.506014,133.241
669,2957,1425,42,34,0.0,23.055987,72.506014,133.241
670,2952,1427,41,33,0.0,23.055987,72.506014,133.241
671,2949,1428,40,34,0.0,23.055987,72.506014,133.241
672,2940,1430,40,35,0.0,23.055987,72.506014,133.241
673,2932,1431,40,35,0.0,23.055987,72.506014,133.241
674,2928,1433,40,34,0.0,23.055987,72.506014,133.241
675,2923,1435,39,34,0.0,23.055987,72.506014,133.241
676,2916,1437,41,34,0.0,23.055987,72.506014,133.243
677,2911,1440,43,35,0.0,23.055987,72.506014,133.243
678,2907,1441,43,35,0.0,23.055987,72.506014,133.243
679,2904,1443,43,34,0.0,23.055987,72.506014,133.243
680,2899,1446,42,34,0.0,23.055987,72.506014,133.243
681,2894,1447,40,34,0.0,23.055987,72.506014,133.243
682,2889,1449,38,34,0.0,23.055987,72.506014,133.239
683,2883,1451,39,35,0.0,23.055987,72.506014,133.239
684,2875,1452,40,37,0.0,23.055987,72.506014,133.239
685,2871,1455,40,37,0.0,23.055987,72.506014,133.239
686,2866,1457,40,37,0.0,23.055987,72.506014,133.239
687,2864,1459,40,37,0.0,23.055987,72.506014,133.239
688,2861,1461,40,37,0.0,23.055987,72.506014,133.244
689,2852,1466,40,36,0.0,23.055987,72.506014,133.244
690,2845,1467,40,37,0.0,23.055987,72.506014,133.244
691,2838,1470,40,37,0.0,23.055987,72.506014,133.244
692,2833,1473,41,37,0.0,23.055987,72.506014,133.244
693,2828,1475,42,39,0.0,23.055987,72.506014,133.244
694,2824,1477,43,39,0.0,23.055987,72.506014,133.239
695,2820,1480,42,39,0.0,23.055987,72.506014,133.239
696,2813,1482,42,40,0.0,23.055987,72.506014,133.239
697,2812,1484,42,40,0.0,23.055987,72.506014,133.239
698,2810,1486,41,40,0.0,23.055987,72.506014,133.239
699,2805,1489,41,40,0.0,23.055987,72.506014,133.239
700,2801,1492,39,39,0.0,23.055987,72.506014,133.239
701,2797,1495,40,40,0.0,23.055987,72.506014,133.239
702,2792,1498,40,40,0.0,23.055987,72.506014,133.239
703,2788,1502,40,40,0.0,23.055987,72.506014,133.239
704,2786,1506,38,39,0.0,23.055987,72.506014,133.239
705,2780,1510,38,39,0.0,23.055987,72.506014,133.239
706,2775,1515,38,37,0.0,23.055987,72.506014,133.24
707,2770,1519,38,37,0.0,23.055987,72.506014,133.24
708,2765,1522,38,38,0.0,23.055987,72.506014,133.24
709,2763,1524,38,38,0.0,23.055987,72.506014,133.24
710,2760,1528,36,38,0.0,23.055987,72.506014,133.24
711,2759,1531,35,38,0.0,23.055987,72.506014,133.24
712,2753,1533,36,38,0.0,23.055987,72.506014,133.236
713,2746,1537,35,39,0.0,23.055987,72.506014,133.236
714,2741,1539,35,38,0.0,23.055987,72.506014,133.236
715,2736,1541,36,40,0.0,23.055987,72.506014,133.236
716,2733,1543,36,41,0.0,23.055987,72.506014,133.236
717,2726,1547,39,42,0.0,23.055987,72.506014,133.236
718,2724,1551,39,42,0.0,23.055987,72.506014,133.228
719,2719,1552,39,43,0.0,23.055987,72.506014,133.228
720,2716,1555,39,43,0.0,23.055987,72.506014,133.228
724,2702,1574,39,43,0.0,23.055987,72.506014,133.222
725,2697,1577,39,44,0.0,23.055987,72.506014,133.222
726,2693,1582,39,45,0.0,23.055987,72.506014,133.222
727,2689,1585,40,45,0.0,23.055987,72.506014,133.222
728,2686,1588,40,44,0.0,23.055987,72.506014,133.222
729,2682,1592,40,45,0.0,23.055987,72.506014,133.222
730,2679,1596,40,44,0.0,23.055987,72.506014,133.218
731,2676,1600,40,44,0.0,23.055987,72.506014,133.218
767,2585,1767,37,54,0.0,23.055987,72.506014,133.167
768,2584,1772,35,53,0.0,23.055987,72.506014,133.167
769,2584,1775,34,52,0.0,23.055987,72.506013,133.167
770,2584,1780,33,50,0.0,23.055987,72.506013,133.167
771,2583,1787,32,47,0.0,23.055987,72.506013,133.167
772,2579,1793,35,50,0.0,23.055987,72.506014,133.159
773,2579,1799,35,51,0.0,23.055987,72.506014,133.159
774,2578,1804,35,53,0.0,23.055987,72.506014,133.159
775,2578,1807,35,56,0.0,23.055987,72.506014,133.159
776,2577,1811,35,56,0.0,23.055987,72.506014,133.159
777,2577,1817,34,55,0.0,23.055987,72.506014,133.159
778,2575,1826,35,53,0.0,23.055987,72.506014,133.15
779,2573,1832,36,52,0.0,23.055987,72.506014,133.15
783,2568,1856,36,52,0.0,23.055987,72.506014,133.15
784,2569,1861,36,53,0.0,23.055987,72.506013,133.147
798,2564,1946,33,50,0.0,23.055987,72.506013,133.138
799,2565,1952,33,49,0.0,23.055987,72.506013,133.138
800,2564,1958,32,50,0.0,23.055987,72.506013,133.138
801,2564,1963,32,49,0.0,23.055987,72.506013,133.138
802,2564,1967,31,47,0.0,23.055986,72.506014,133.131
803,2565,1976,31,46,0.0,23.055986,72.506014,133.131
804,2564,1982,31,47,0.0,23.055986,72.506014,133.131
805,2566,1989,30,45,0.0,23.055986,72.506014,133.131
806,2567,1996,30,43,0.0,23.055986,72.506014,133.131
807,2568,2003,30,46,0.0,23.055986,72.506014,133.131
808,2568,2009,30,46,0.0,23.055986,72.506014,133.135
