frameNo,left,top,w,h,conf,lat,long,alt
1063,2715,2098,38,60,0.0,23.055986,72.506014,133.36
1064,2715,2095,39,63,0.0,23.055986,72.506014,133.36
1065,2714,2093,39,66,0.0,23.055986,72.506014,133.36
1066,2715,2091,38,66,0.0,23.055986,72.506014,133.364
1067,2714,2087,38,71,0.0,23.055986,72.506014,133.364
1068,2714,2085,39,70,0.0,23.055986,72.506014,133.364
1069,2713,2081,38,72,0.0,23.055986,72.506014,133.364
1070,2713,2079,39,71,0.0,23.055986,72.506014,133.364
1071,2713,2077,38,70,0.0,23.055986,72.506014,133.364
1072,2714,2074,36,69,0.0,23.055986,72.506014,133.363
1073,2714,2070,36,70,0.0,23.055986,72.506014,133.363
1074,2715,2066,36,69,0.0,23.055986,72.506014,133.363
1075,2714,2063,36,68,0.0,23.055986,72.506014,133.363
1076,2713,2059,36,68,0.0,23.055986,72.506014,133.363
1077,2713,2057,36,67,0.0,23.055986,72.506014,133.363
1078,2713,2052,35,69,0.0,23.055986,72.506014,133.367
1079,2711,2046,37,74,0.0,23.055986,72.506014,133.367
1080,2711,2043,37,75,0.0,23.055986,72.506014,133.367
1081,2710,2038,36,76,0.0,23.055986,72.506014,133.367
1082,2710,2034,37,78,0.0,23.055986,72.506014,133.367
1083,2709,2031,38,78,0.0,23.055986,72.506014,133.367
1084,2709,2030,38,76,0.0,23.055986,72.506014,133.37
1085,2709,2028,38,74,0.0,23.055986,72.506014,133.37
1086,2709,2025,38,74,0.0,23.055986,72.506014,133.37
1087,2708,2023,38,73,0.0,23.055986,72.506014,133.37
1088,2708,2020,37,74,0.0,23.055986,72.506014,133.37
1089,2707,2015,38,74,0.0,23.055986,72.506014,133.37
1090,2707,2013,37,73,0.0,23.055986,72.506014,133.368
1091,2707,2010,38,71,0.0,23.055986,72.506014,133.368
1092,2708,2007,37,71,0.0,23.055986,72.506014,133.368
1093,2707,2005,38,70,0.0,23.055986,72.506014,133.368
1094,2708,2002,36,69,0.0,23.055986,72.506014,133.368
1095,2709,2000,36,70,0.0,23.055986,72.506014,133.368
1096,2709,1995,36,70,0.0,23.055986,72.506014,133.367
1097,2708,1993,36,69,0.0,23.055986,72.506014,133.367
1098,2707,1989,36,67,0.0,23.055986,72.506014,133.367
1099,2707,1987,35,67,0.0,23.055986,72.506014,133.367
1100,2707,1984,36,66,0.0,23.055986,72.506014,133.367
1101,2706,1980,35,68,0.0,23.055986,72.506014,133.367
1102,2706,1976,35,68,0.0,23.055986,72.506015,133.382
1103,2705,1972,35,69,0.0,23.055986,72.506015,133.382
1104,2705,1968,35,69,0.0,23.055986,72.506015,133.382
1105,2704,1965,36,71,0.0,23.055986,72.506015,133.382
1106,2703,1961,37,71,0.0,23.055986,72.506015,133.382
1107,2703,1958,37,71,0.0,23.055986,72.506015,133.382
1108,2702,1952,38,75,0.0,23.055986,72.506015,133.387
1109,2702,1948,37,77,0.0,23.055986,72.506015,133.387
1110,2701,1944,38,78,0.0,23.055986,72.506015,133.387
1111,2700,1940,37,78,0.0,23.055986,72.506015,133.387
1112,2699,1939,38,77,0.0,23.055986,72.506015,133.387
1113,2699,1936,37,77,0.0,23.055986,72.506015,133.387
1114,2699,1935,37,76,0.0,23.055986,72.506015,133.389
1115,2699,1932,36,75,0.0,23.055986,72.506015,133.389
1116,2698,1931,37,74,0.0,23.055986,72.506015,133.389
1117,2699,1929,36,72,0.0,23.055986,72.506015,133.389
1118,2699,1926,36,73,0.0,23.055986,72.506015,133.389
1119,2699,1922,36,72,0.0,23.055986,72.506015,133.389
1120,2698,1919,36,73,0.0,23.055986,72.506015,133.394
1121,2699,1914,35,73,0.0,23.055986,72.506015,133.394
1122,2698,1910,35,74,0.0,23.055986,72.506015,133.394
1123,2699,1907,34,74,0.0,23.055986,72.506015,133.394
1124,2699,1903,35,76,0.0,23.055986,72.506015,133.394
1125,2700,1901,34,76,0.0,23.055986,72.506015,133.394
1126,2699,1897,36,77,0.0,23.055986,72.506015,133.396
1127,2699,1894,35,76,0.0,23.055986,72.506015,133.396
1128,2700,1891,35,77,0.0,23.055986,72.506015,133.396
1129,2700,1887,34,77,0.0,23.055986,72.506015,133.396
1130,2700,1885,34,77,0.0,23.055986,72.506015,133.396
1131,2700,1880,35,78,0.0,23.055986,72.506015,133.396
1132,2701,1877,34,80,0.0,23.055986,72.506015,133.404
1133,2701,1873,36,82,0.0,23.055986,72.506015,133.404
1134,2701,1870,36,84,0.0,23.055986,72.506015,133.404
1135,2701,1868,37,83,0.0,23.055986,72.506015,133.404
1136,2701,1866,37,82,0.0,23.055986,72.506015,133.404
1137,2701,1861,37,83,0.0,23.055986,72.506015,133.404
1138,2702,1860,37,82,0.0,23.055986,72.506015,133.402
1139,2704,1856,36,81,0.0,23.055986,72.506015,133.402
1140,2702,1852,36,79,0.0,23.055986,72.506015,133.402
1141,2703,1849,36,78,0.0,23.055986,72.506015,133.402
1142,2704,1847,36,77,0.0,23.055986,72.506015,133.402
1143,2706,1843,35,76,0.0,23.055986,72.506015,133.402
1144,2707,1840,35,77,0.0,23.055986,72.506015,133.404
1145,2708,1839,35,75,0.0,23.055986,72.506015,133.404
