frameNo,left,top,w,h,conf,lat,long,alt
2673,1841,2,44,57,0.0,23.055988,72.506015,132.628
2674,1841,3,45,63,0.0,23.055988,72.506015,132.628
2675,1844,3,47,69,0.0,23.055988,72.506015,132.628
2676,1845,6,49,75,0.0,23.055988,72.506015,132.628
2677,1849,13,47,76,0.0,23.055988,72.506015,132.627
2678,1851,20,47,79,0.0,23.055988,72.506015,132.627
2679,1853,26,47,82,0.0,23.055988,72.506015,132.627
2680,1858,36,45,82,0.0,23.055988,72.506015,132.627
2681,1861,44,44,81,0.0,23.055988,72.506015,132.627
2682,1863,52,44,82,0.0,23.055988,72.506015,132.627
2683,1865,62,44,82,0.0,23.055988,72.506015,132.628
2684,1868,69,43,82,0.0,23.055988,72.506015,132.628
2685,1871,76,43,81,0.0,23.055988,72.506015,132.628
2686,1873,85,44,81,0.0,23.055988,72.506015,132.628
2687,1876,93,42,82,0.0,23.055988,72.506015,132.628
2688,1878,101,43,80,0.0,23.055988,72.506015,132.628
2689,1879,110,44,80,0.0,23.055988,72.506015,132.625
2690,1881,118,44,79,0.0,23.055988,72.506015,132.625
2691,1884,125,44,78,0.0,23.055988,72.506015,132.625
2692,1885,135,45,79,0.0,23.055988,72.506015,132.625
2693,1888,142,44,81,0.0,23.055988,72.506015,132.625
2694,1889,149,45,80,0.0,23.055988,72.506015,132.625
2695,1890,157,44,80,0.0,23.055988,72.506015,132.631
2696,1894,163,43,80,0.0,23.055988,72.506015,132.631
2697,1896,171,43,81,0.0,23.055988,72.506015,132.631
2698,1898,178,42,82,0.0,23.055988,72.506015,132.631
2699,1903,186,40,80,0.0,23.055988,72.506015,132.631
2700,1904,195,41,82,0.0,23.055988,72.506015,132.631
2701,1905,202,41,82,0.0,23.055988,72.506015,132.638
2702,1907,209,39,79,0.0,23.055988,72.506015,132.638
2703,1909,216,39,78,0.0,23.055988,72.506015,132.638
2704,1912,224,39,78,0.0,23.055988,72.506015,132.638
2705,1915,232,39,76,0.0,23.055988,72.506015,132.638
2706,1916,239,39,75,0.0,23.055988,72.506015,132.638
2707,1917,244,40,75,0.0,23.055988,72.506015,132.643
2708,1918,252,40,74,0.0,23.055988,72.506015,132.643
2709,1920,261,41,75,0.0,23.055988,72.506015,132.643
