frameNo,left,top,w,h,conf,lat,long,alt
876,2259,1364,31,40,0.0,23.055988,72.506014,132.691
889,2295,1437,32,41,0.0,23.055988,72.506015,132.668
890,2297,1441,32,41,0.0,23.055988,72.506014,132.664
891,2301,1451,31,42,0.0,23.055988,72.506014,132.664
892,2304,1456,31,42,0.0,23.055988,72.506014,132.664
893,2306,1461,31,42,0.0,23.055988,72.506015,132.664
894,2307,1465,32,40,0.0,23.055988,72.506015,132.664
895,2311,1470,31,41,0.0,23.055988,72.506015,132.664
896,2316,1477,30,40,0.0,23.055988,72.506015,132.652
897,2319,1480,30,40,0.0,23.055988,72.506015,132.652
898,2320,1486,31,40,0.0,23.055988,72.506015,132.652
899,2324,1492,30,39,0.0,23.055988,72.506015,132.652
901,2331,1509,32,44,0.0,23.055988,72.506015,132.652
902,2333,1514,31,43,0.0,23.055988,72.506015,132.646
903,2336,1519,32,44,0.0,23.055988,72.506015,132.646
904,2339,1525,32,44,0.0,23.055988,72.506015,132.646
905,2339,1530,34,43,0.0,23.055988,72.506015,132.646
906,2344,1537,33,44,0.0,23.055988,72.506015,132.646
907,2346,1542,33,42,0.0,23.055988,72.506015,132.646
908,2350,1552,32,41,0.0,23.055988,72.506015,132.635
909,2354,1558,31,41,0.0,23.055988,72.506015,132.635
910,2359,1565,31,42,0.0,23.055988,72.506015,132.635
911,2364,1573,31,43,0.0,23.055988,72.506015,132.635
912,2364,1579,32,44,0.0,23.055988,72.506015,132.635
917,2383,1619,33,44,0.0,23.055988,72.506015,132.627
918,2384,1626,34,43,0.0,23.055988,72.506015,132.627
919,2388,1632,35,43,0.0,23.055988,72.506015,132.627
920,2393,1637,34,44,0.0,23.055988,72.506015,132.621
921,2397,1645,34,45,0.0,23.055988,72.506015,132.621
922,2399,1653,33,43,0.0,23.055988,72.506015,132.621
923,2402,1662,33,43,0.0,23.055988,72.506015,132.621
924,2406,1668,33,44,0.0,23.055988,72.506015,132.621
925,2409,1676,33,43,0.0,23.055988,72.506015,132.621
951,2484,1870,34,50,0.0,23.055988,72.506015,132.594
966,2523,2009,36,54,0.0,23.055988,72.506015,132.583
