frameNo,left,top,w,h,conf,lat,long,alt
1,1562,912,71,32,0,23,73,134
2,1568,910,70,32,0,23,73,134
3,1575,909,68,33,0,23,73,134
4,1581,908,69,33,0,23,73,134
5,1588,906,70,34,0,23,73,134
6,1594,905,71,34,0,23,73,134
7,1600,903,71,34,0,23,73,134
8,1606,902,72,34,0,23,73,134
9,1613,900,73,35,0,23,73,134
10,1619,899,74,35,0,23,73,134
11,1626,898,72,35,0,23,73,134
12,1633,896,70,35,0,23,73,134
13,1640,894,68,35,0,23,73,134
14,1647,893,66,35,0,23,73,134
15,1655,891,65,35,0,23,73,134
16,1660,889,64,34,0,23,73,134
17,1664,889,64,34,0,23,73,134
18,1669,888,63,34,0,23,73,134
19,1675,887,63,34,0,23,73,134
20,1680,886,62,33,0,23,73,134
21,1686,884,62,33,0,23,73,134
22,1691,883,61,33,0,23,73,134
23,1696,882,61,33,0,23,73,134
24,1702,881,60,33,0,23,73,134
25,1707,880,60,32,0,23,73,134
26,1713,879,59,32,0,23,73,134
27,1718,878,59,32,0,23,73,134
28,1723,877,58,32,0,23,73,134
29,1729,875,58,32,0,23,73,134
30,1734,874,57,31,0,23,73,134
31,1740,873,57,31,0,23,73,134
32,1745,872,56,31,0,23,73,134
33,1749,871,56,31,0,23,73,134
34,1752,869,56,31,0,23,73,134
35,1756,868,56,31,0,23,73,134
36,1759,867,56,31,0,23,73,134
37,1763,865,56,31,0,23,73,134
38,1766,864,56,30,0,23,73,134
39,1770,863,57,30,0,23,73,134
40,1774,861,57,30,0,23,73,134
41,1777,860,57,30,0,23,73,134
42,1781,859,57,30,0,23,73,134
43,1784,857,57,30,0,23,73,134
44,1788,856,57,30,0,23,73,134
45,1795,857,60,31,0,23,73,134
46,1800,857,59,31,0,23,73,134
47,1804,856,58,31,0,23,73,134
48,1809,856,58,32,0,23,73,134
49,1813,855,57,32,0,23,73,134
50,1818,855,56,32,0,23,73,134
51,1820,854,57,34,0,23,73,134
52,1822,853,58,34,0,23,73,134
53,1825,852,59,34,0,23,73,134
54,1827,852,60,34,0,23,73,134
55,1829,851,60,34,0,23,73,134
56,1832,850,61,34,0,23,73,134
57,1834,849,62,34,0,23,73,134
58,1846,847,59,33,0,23,73,134
59,1850,846,58,33,0,23,73,134
60,1854,846,58,32,0,23,73,134
61,1858,845,57,32,0,23,73,134
62,1861,845,57,32,0,23,73,134
63,1865,844,56,32,0,23,73,134
64,1869,844,56,31,0,23,73,134
65,1873,843,55,31,0,23,73,134
66,1878,843,53,30,0,23,73,134
67,1882,841,52,31,0,23,73,134
68,1887,839,51,32,0,23,73,134
69,1889,839,51,32,0,23,73,134
70,1892,837,52,32,0,23,73,134
71,1894,836,53,32,0,23,73,134
72,1897,834,55,33,0,23,73,134
73,1899,833,56,33,0,23,73,134
74,1902,831,57,33,0,23,73,134
75,1904,830,58,33,0,23,73,134
76,1907,828,60,34,0,23,73,134
77,1909,827,61,34,0,23,73,134
78,1912,825,62,34,0,23,73,134
79,1914,823,63,35,0,23,73,134
80,1916,821,65,36,0,23,73,134
81,1925,818,57,35,0,23,73,134
82,1926,818,60,36,0,23,73,134
83,1926,818,62,36,0,23,73,134
84,1927,817,65,37,0,23,73,134
85,1928,817,68,38,0,23,73,134
86,1930,814,70,40,0,23,73,134
87,1933,813,71,40,0,23,73,134
88,1936,812,71,40,0,23,73,134
89,1938,811,72,41,0,23,73,134
90,1941,810,72,41,0,23,73,134
91,1944,809,73,41,0,23,73,134
92,1948,807,72,41,0,23,73,134
93,1950,805,74,42,0,23,73,134
94,1956,803,74,41,0,23,73,134
95,1960,801,75,41,0,23,73,134
96,1973,804,65,40,0,23,73,134
97,1971,800,69,41,0,23,73,134
98,1974,801,69,40,0,23,73,134
99,1978,802,69,40,0,23,73,134
100,1981,803,69,39,0,23,73,134
101,1984,803,69,39,0,23,73,134
102,1987,804,69,38,0,23,73,134
103,1991,805,69,38,0,23,73,134
104,1994,806,69,37,0,23,73,134
105,1997,806,69,36,0,23,73,134
106,2001,807,68,35,0,23,73,134
107,2003,807,68,35,0,23,73,134
108,2011,807,66,35,0,23,73,134
109,2017,806,63,34,0,23,73,134
110,2019,805,64,34,0,23,73,134
111,2021,805,65,34,0,23,73,134
112,2023,804,66,34,0,23,73,134
113,2024,804,68,35,0,23,73,134
114,2026,803,69,35,0,23,73,134
115,2028,803,70,35,0,23,73,134
116,2030,802,71,35,0,23,73,134
117,2033,802,72,36,0,23,73,134
118,2037,802,73,36,0,23,73,134
119,2046,803,70,35,0,23,73,134
120,2047,802,72,35,0,23,73,134
121,2051,801,72,35,0,23,73,134
122,2056,804,70,35,0,23,73,134
123,2062,808,66,33,0,23,73,134
124,2067,808,65,33,0,23,73,134
125,2066,806,66,34,0,23,73,134
126,2067,807,67,33,0,23,73,134
127,2071,806,69,34,0,23,73,134
128,2075,808,71,34,0,23,73,134
129,2083,809,67,31,0,23,73,134
130,2085,806,69,32,0,23,73,134
131,2088,804,72,33,0,23,73,134
