frameNo,left,top,w,h,conf,lat,long,alt
1,2539,1556,56,28,0,23,73,134
2,2541,1557,54,28,0,23,73,134
3,2541,1557,54,28,0,23,73,134
4,2541,1556,54,28,0,23,73,134
5,2542,1556,55,28,0,23,73,134
6,2542,1555,55,28,0,23,73,134
7,2542,1555,55,28,0,23,73,134
8,2541,1554,57,29,0,23,73,134
9,2547,1552,52,28,0,23,73,134
10,2553,1550,47,27,0,23,73,134
11,2559,1549,42,26,0,23,73,134
12,2565,1547,37,25,0,23,73,134
13,2562,1546,38,26,0,23,73,134
14,2560,1544,40,27,0,23,73,134
15,2557,1543,41,29,0,23,73,134
16,2555,1541,43,30,0,23,73,134
17,2552,1540,44,31,0,23,73,134
18,2549,1539,45,32,0,23,73,134
19,2547,1537,47,33,0,23,73,134
20,2544,1536,48,35,0,23,73,134
21,2542,1534,50,36,0,23,73,134
22,2539,1533,51,37,0,23,73,134
23,2543,1533,47,35,0,23,73,134
24,2546,1533,43,34,0,23,73,134
25,2550,1534,39,32,0,23,73,134
26,2553,1534,35,31,0,23,73,134
27,2557,1534,31,29,0,23,73,134
28,2557,1533,32,29,0,23,73,134
29,2556,1532,33,30,0,23,73,134
30,2556,1531,34,30,0,23,73,134
31,2555,1531,34,31,0,23,73,134
32,2555,1530,35,31,0,23,73,134
33,2554,1529,36,32,0,23,73,134
34,2554,1528,37,32,0,23,73,134
35,2555,1528,36,32,0,23,73,134
36,2556,1528,34,32,0,23,73,134
37,2556,1528,34,31,0,23,73,134
38,2555,1528,34,31,0,23,73,134
39,2555,1528,34,31,0,23,73,134
40,2554,1528,34,31,0,23,73,134
41,2553,1528,34,30,0,23,73,134
42,2553,1528,34,30,0,23,73,134
43,2552,1528,34,30,0,23,73,134
44,2551,1529,35,30,0,23,73,134
45,2550,1529,35,30,0,23,73,134
46,2550,1529,35,30,0,23,73,134
47,2549,1529,35,30,0,23,73,134
48,2548,1529,35,30,0,23,73,134
49,2548,1529,35,29,0,23,73,134
50,2547,1529,35,29,0,23,73,134
51,2546,1529,35,29,0,23,73,134
52,2546,1529,35,29,0,23,73,134
