frameNo,left,top,w,h,conf,lat,long,alt
3,2238,534,68,52,0,23,73,134
4,2238,534,68,52,0,23,73,134
5,2238,534,68,52,0,23,73,134
6,2238,534,68,52,0,23,73,134
7,2238,534,68,52,0,23,73,134
8,2238,534,68,51,0,23,73,134
9,2238,534,68,51,0,23,73,134
10,2238,534,68,51,0,23,73,134
11,2238,534,68,51,0,23,73,134
12,2238,534,68,51,0,23,73,134
13,2238,534,68,51,0,23,73,134
14,2238,534,68,51,0,23,73,134
15,2238,534,68,51,0,23,73,134
16,2238,534,68,51,0,23,73,134
17,2238,534,68,50,0,23,73,134
18,2238,534,68,50,0,23,73,134
19,2238,534,68,50,0,23,73,134
20,2239,534,68,50,0,23,73,134
21,2239,534,68,50,0,23,73,134
22,2239,534,68,50,0,23,73,134
23,2239,534,68,50,0,23,73,134
24,2239,534,68,50,0,23,73,134
25,2239,534,68,50,0,23,73,134
26,2239,534,68,49,0,23,73,134
27,2239,534,68,49,0,23,73,134
28,2239,534,68,49,0,23,73,134
29,2239,534,68,49,0,23,73,134
30,2239,534,68,49,0,23,73,134
31,2239,534,68,49,0,23,73,134
32,2239,534,68,49,0,23,73,134
33,2239,534,68,49,0,23,73,134
34,2239,534,68,49,0,23,73,134
35,2239,534,68,48,0,23,73,134
36,2239,535,67,48,0,23,73,134
37,2239,535,67,48,0,23,73,134
38,2239,535,67,48,0,23,73,134
39,2239,535,67,48,0,23,73,134
40,2239,535,67,48,0,23,73,134
41,2239,535,67,48,0,23,73,134
42,2239,535,67,48,0,23,73,134
43,2239,535,67,48,0,23,73,134
44,2239,535,67,48,0,23,73,134
45,2239,535,67,47,0,23,73,134
46,2239,535,67,47,0,23,73,134
47,2239,535,67,47,0,23,73,134
48,2239,535,67,47,0,23,73,134
49,2239,535,67,47,0,23,73,134
50,2239,535,67,47,0,23,73,134
51,2240,535,67,47,0,23,73,134
52,2240,535,67,47,0,23,73,134
53,2240,535,67,47,0,23,73,134
54,2240,535,67,46,0,23,73,134
55,2240,535,67,46,0,23,73,134
56,2240,535,67,46,0,23,73,134
57,2240,535,67,46,0,23,73,134
58,2240,535,67,46,0,23,73,134
59,2240,535,67,46,0,23,73,134
60,2240,535,67,46,0,23,73,134
61,2240,535,67,46,0,23,73,134
62,2240,535,67,46,0,23,73,134
63,2240,535,67,45,0,23,73,134
64,2240,535,67,45,0,23,73,134
65,2240,535,67,45,0,23,73,134
66,2240,535,67,45,0,23,73,134
67,2240,535,67,45,0,23,73,134
68,2240,535,68,45,0,23,73,134
69,2240,535,68,46,0,23,73,134
70,2240,534,70,47,0,23,73,134
71,2240,534,72,47,0,23,73,134
72,2240,534,72,47,0,23,73,134
73,2240,534,73,47,0,23,73,134
74,2239,535,73,47,0,23,73,134
75,2239,535,73,46,0,23,73,134
76,2239,535,74,46,0,23,73,134
77,2239,535,74,46,0,23,73,134
78,2239,536,74,46,0,23,73,134
79,2239,536,75,46,0,23,73,134
80,2238,536,75,46,0,23,73,134
81,2238,536,75,46,0,23,73,134
82,2238,537,76,45,0,23,73,134
83,2238,537,76,45,0,23,73,134
84,2238,537,76,45,0,23,73,134
85,2238,537,76,45,0,23,73,134
86,2237,537,77,45,0,23,73,134
87,2237,538,77,45,0,23,73,134
88,2237,538,77,45,0,23,73,134
89,2237,538,78,44,0,23,73,134
90,2237,538,78,44,0,23,73,134
91,2236,539,78,44,0,23,73,134
92,2236,539,79,44,0,23,73,134
93,2236,539,79,44,0,23,73,134
94,2236,539,79,44,0,23,73,134
95,2236,540,80,44,0,23,73,134
96,2236,540,80,43,0,23,73,134
97,2235,540,80,43,0,23,73,134
98,2235,540,81,43,0,23,73,134
99,2235,540,81,43,0,23,73,134
100,2235,541,81,43,0,23,73,134
101,2235,541,82,43,0,23,73,134
102,2234,541,82,43,0,23,73,134
103,2234,541,82,42,0,23,73,134
104,2234,542,83,42,0,23,73,134
105,2234,542,83,42,0,23,73,134
106,2234,542,83,42,0,23,73,134
107,2234,542,84,42,0,23,73,134
108,2233,543,84,42,0,23,73,134
109,2233,543,84,42,0,23,73,134
110,2233,543,85,41,0,23,73,134
111,2233,543,85,41,0,23,73,134
