frameNo,left,top,w,h,conf,lat,long,alt
3,2319,551,66,44,0,23,73,134
4,2319,551,66,44,0,23,73,134
5,2319,551,66,44,0,23,73,134
6,2319,551,66,44,0,23,73,134
7,2319,551,66,44,0,23,73,134
8,2319,551,66,44,0,23,73,134
9,2319,551,66,44,0,23,73,134
10,2319,551,66,44,0,23,73,134
11,2319,551,66,44,0,23,73,134
12,2319,551,66,44,0,23,73,134
13,2319,551,67,45,0,23,73,134
14,2319,551,67,45,0,23,73,134
15,2319,551,67,45,0,23,73,134
16,2319,551,67,45,0,23,73,134
17,2319,551,67,45,0,23,73,134
18,2319,551,67,45,0,23,73,134
19,2319,551,67,45,0,23,73,134
20,2319,551,67,45,0,23,73,134
21,2319,551,67,45,0,23,73,134
22,2319,551,67,45,0,23,73,134
23,2318,551,67,45,0,23,73,134
24,2318,551,67,45,0,23,73,134
25,2318,551,67,45,0,23,73,134
26,2318,551,67,45,0,23,73,134
27,2318,551,67,45,0,23,73,134
28,2318,551,67,45,0,23,73,134
29,2318,551,67,45,0,23,73,134
30,2318,551,67,45,0,23,73,134
31,2318,551,67,45,0,23,73,134
32,2318,551,67,45,0,23,73,134
33,2318,551,68,46,0,23,73,134
34,2318,551,68,46,0,23,73,134
35,2318,551,68,46,0,23,73,134
36,2318,551,68,46,0,23,73,134
37,2318,551,68,46,0,23,73,134
38,2318,551,68,46,0,23,73,134
39,2318,551,68,46,0,23,73,134
40,2318,551,68,46,0,23,73,134
41,2318,551,68,46,0,23,73,134
42,2318,551,68,46,0,23,73,134
43,2318,551,68,45,0,23,73,134
44,2319,551,68,45,0,23,73,134
45,2318,550,68,46,0,23,73,134
46,2318,550,69,45,0,23,73,134
47,2318,550,69,46,0,23,73,134
48,2318,549,69,46,0,23,73,134
49,2319,549,68,46,0,23,73,134
50,2319,549,68,46,0,23,73,134
51,2319,549,68,46,0,23,73,134
52,2319,549,69,46,0,23,73,134
53,2318,548,69,46,0,23,73,134
54,2318,548,69,45,0,23,73,134
55,2318,548,70,45,0,23,73,134
56,2318,548,70,45,0,23,73,134
57,2318,548,70,45,0,23,73,134
58,2318,548,70,45,0,23,73,134
59,2318,548,70,45,0,23,73,134
60,2318,548,71,45,0,23,73,134
61,2318,548,71,44,0,23,73,134
62,2317,547,71,44,0,23,73,134
63,2317,547,72,44,0,23,73,134
64,2317,547,72,44,0,23,73,134
65,2317,547,72,44,0,23,73,134
66,2317,547,72,44,0,23,73,134
67,2317,547,72,44,0,23,73,134
68,2317,547,73,44,0,23,73,134
69,2316,546,73,44,0,23,73,134
70,2316,546,73,43,0,23,73,134
71,2316,546,74,43,0,23,73,134
72,2316,546,74,43,0,23,73,134
73,2316,546,74,43,0,23,73,134
74,2316,546,73,43,0,23,73,134
75,2315,547,73,43,0,23,73,134
76,2315,547,73,43,0,23,73,134
77,2315,547,73,42,0,23,73,134
78,2315,547,73,42,0,23,73,134
79,2315,547,73,42,0,23,73,134
80,2315,547,73,41,0,23,73,134
81,2316,547,73,41,0,23,73,134
82,2316,547,73,41,0,23,73,134
83,2316,547,73,40,0,23,73,134
84,2316,547,73,40,0,23,73,134
85,2316,547,73,40,0,23,73,134
86,2316,547,73,39,0,23,73,134
87,2316,547,73,39,0,23,73,134
88,2316,547,72,39,0,23,73,134
89,2317,547,72,39,0,23,73,134
90,2317,548,72,38,0,23,73,134
91,2317,548,72,37,0,23,73,134
92,2317,549,70,37,0,23,73,134
93,2317,550,69,37,0,23,73,134
94,2317,550,68,37,0,23,73,134
95,2316,550,68,37,0,23,73,134
96,2316,550,68,38,0,23,73,134
97,2317,551,67,36,0,23,73,134
98,2316,551,68,37,0,23,73,134
99,2316,550,68,37,0,23,73,134
100,2316,550,69,37,0,23,73,134
101,2317,549,69,37,0,23,73,134
102,2317,549,70,38,0,23,73,134
103,2317,549,69,37,0,23,73,134
104,2317,550,69,37,0,23,73,134
105,2317,549,69,37,0,23,73,134
106,2317,549,69,37,0,23,73,134
107,2316,549,70,37,0,23,73,134
108,2317,549,70,37,0,23,73,134
109,2316,549,70,38,0,23,73,134
110,2316,550,70,37,0,23,73,134
111,2316,551,69,37,0,23,73,134
112,2317,550,69,38,0,23,73,134
113,2316,551,69,37,0,23,73,134
114,2316,551,69,37,0,23,73,134
115,2316,551,68,37,0,23,73,134
116,2316,550,68,38,0,23,73,134
117,2316,550,69,38,0,23,73,134
118,2316,549,69,38,0,23,73,134
119,2317,550,69,37,0,23,73,134
120,2317,550,69,37,0,23,73,134
121,2318,550,68,37,0,23,73,134
122,2317,551,69,36,0,23,73,134
123,2317,552,67,36,0,23,73,134
124,2317,552,67,36,0,23,73,134
125,2317,552,67,36,0,23,73,134
126,2318,552,66,36,0,23,73,134
127,2318,553,65,36,0,23,73,134
128,2318,553,65,36,0,23,73,134
129,2318,553,65,36,0,23,73,134
130,2318,553,65,36,0,23,73,134
131,2317,553,65,37,0,23,73,134
132,2317,553,65,37,0,23,73,134
133,2317,553,66,36,0,23,73,134
134,2317,554,65,36,0,23,73,134
135,2317,554,65,36,0,23,73,134
136,2318,555,63,36,0,23,73,134
137,2317,555,64,36,0,23,73,134
138,2316,556,64,36,0,23,73,134
139,2316,556,64,36,0,23,73,134
140,2316,556,63,37,0,23,73,134
141,2316,556,64,37,0,23,73,134
142,2315,556,65,37,0,23,73,134
143,2314,556,65,37,0,23,73,134
144,2315,556,64,37,0,23,73,134
145,2315,556,64,37,0,23,73,134
146,2315,556,65,37,0,23,73,134
147,2315,555,65,38,0,23,73,134
148,2314,556,65,37,0,23,73,134
149,2315,555,65,38,0,23,73,134
150,2315,555,65,38,0,23,73,134
151,2315,555,65,38,0,23,73,134
152,2315,555,65,38,0,23,73,134
153,2314,555,66,38,0,23,73,134
154,2315,555,65,38,0,23,73,134
155,2315,555,65,38,0,23,73,134
156,2315,555,65,38,0,23,73,134
157,2315,555,66,38,0,23,73,134
158,2316,555,64,38,0,23,73,134
159,2316,555,65,37,0,23,73,134
160,2316,555,64,37,0,23,73,134
161,2317,555,64,37,0,23,73,134
162,2316,555,64,37,0,23,73,134
163,2315,556,64,37,0,23,73,134
164,2315,557,63,37,0,23,73,134
165,2315,556,63,38,0,23,73,134
166,2314,557,64,38,0,23,73,134
167,2313,558,64,37,0,23,73,134
168,2313,558,64,38,0,23,73,134
169,2314,557,64,38,0,23,73,134
170,2314,557,64,38,0,23,73,134
171,2314,556,64,39,0,23,73,134
172,2314,557,64,39,0,23,73,134
173,2314,557,63,39,0,23,73,134
174,2314,558,63,38,0,23,73,134
175,2313,558,64,38,0,23,73,134
176,2313,558,63,38,0,23,73,134
177,2313,557,64,38,0,23,73,134
178,2314,558,63,38,0,23,73,134
179,2313,558,64,38,0,23,73,134
180,2313,558,64,38,0,23,73,134
181,2313,558,64,38,0,23,73,134
182,2313,558,63,38,0,23,73,134
183,2313,558,63,38,0,23,73,134
184,2313,558,63,38,0,23,73,134
185,2312,558,64,38,0,23,73,134
186,2312,558,64,38,0,23,73,134
187,2312,558,64,39,0,23,73,134
188,2312,558,64,38,0,23,73,134
189,2311,558,65,38,0,23,73,134
190,2311,559,65,38,0,23,73,134
191,2312,558,65,39,0,23,73,134
192,2313,558,64,38,0,23,73,134
193,2313,558,65,38,0,23,73,134
194,2312,558,65,38,0,23,73,134
195,2312,559,64,37,0,23,73,134
196,2312,559,64,37,0,23,73,134
197,2312,558,64,38,0,23,73,134
198,2311,558,65,38,0,23,73,134
199,2311,558,65,38,0,23,73,134
200,2311,558,65,39,0,23,73,134
201,2311,558,66,38,0,23,73,134
202,2311,557,66,38,0,23,73,134
203,2311,558,66,38,0,23,73,134
204,2311,558,66,38,0,23,73,134
205,2311,558,66,38,0,23,73,134
206,2311,558,66,38,0,23,73,134
207,2311,558,66,38,0,23,73,134
208,2311,558,66,38,0,23,73,134
209,2311,558,66,38,0,23,73,134
210,2311,558,66,38,0,23,73,134
211,2311,558,66,38,0,23,73,134
212,2311,558,66,38,0,23,73,134
213,2311,558,66,38,0,23,73,134
214,2312,557,66,38,0,23,73,134
215,2312,557,66,38,0,23,73,134
216,2312,557,66,38,0,23,73,134
217,2312,557,66,38,0,23,73,134
218,2312,557,66,38,0,23,73,134
219,2312,557,66,38,0,23,73,134
220,2312,557,66,38,0,23,73,134
221,2312,557,66,38,0,23,73,134
222,2312,557,66,38,0,23,73,134
223,2312,557,66,38,0,23,73,134
224,2312,557,66,38,0,23,73,134
225,2312,557,66,38,0,23,73,134
226,2312,557,66,38,0,23,73,134
227,2312,557,66,38,0,23,73,134
228,2312,557,66,38,0,23,73,134
229,2312,557,66,38,0,23,73,134
230,2312,557,66,38,0,23,73,134
231,2312,557,66,38,0,23,73,134
232,2312,557,66,38,0,23,73,134
233,2313,556,66,38,0,23,73,134
234,2313,556,66,38,0,23,73,134
235,2313,556,66,38,0,23,73,134
236,2313,556,66,38,0,23,73,134
237,2313,556,66,38,0,23,73,134
238,2313,556,66,38,0,23,73,134
239,2313,556,66,38,0,23,73,134
240,2313,556,66,38,0,23,73,134
241,2313,556,66,38,0,23,73,134
242,2313,556,66,38,0,23,73,134
243,2313,556,66,38,0,23,73,134
244,2313,556,66,38,0,23,73,134
245,2313,556,66,38,0,23,73,134
246,2313,556,66,38,0,23,73,134
247,2313,556,66,38,0,23,73,134
248,2313,556,66,38,0,23,73,134
249,2313,556,66,38,0,23,73,134
250,2313,556,66,38,0,23,73,134
251,2313,556,66,38,0,23,73,134
252,2314,555,66,38,0,23,73,134
253,2314,555,66,38,0,23,73,134
254,2314,555,66,38,0,23,73,134
255,2314,555,66,38,0,23,73,134
256,2314,555,66,38,0,23,73,134
257,2314,555,66,38,0,23,73,134
258,2314,555,66,38,0,23,73,134
259,2314,555,66,38,0,23,73,134
260,2314,555,66,38,0,23,73,134
261,2314,555,66,38,0,23,73,134
262,2314,555,66,39,0,23,73,134
263,2314,555,66,39,0,23,73,134
264,2314,555,66,39,0,23,73,134
265,2314,555,66,39,0,23,73,134
266,2314,555,66,39,0,23,73,134
267,2314,555,66,39,0,23,73,134
268,2314,555,66,39,0,23,73,134
269,2314,555,66,39,0,23,73,134
270,2314,555,66,39,0,23,73,134
271,2314,555,66,39,0,23,73,134
272,2315,554,66,39,0,23,73,134
273,2315,554,66,39,0,23,73,134
274,2315,554,66,39,0,23,73,134
275,2315,554,66,39,0,23,73,134
276,2315,554,66,39,0,23,73,134
277,2315,554,66,39,0,23,73,134
278,2315,554,66,39,0,23,73,134
279,2315,554,66,39,0,23,73,134
280,2315,554,66,39,0,23,73,134
281,2315,554,66,39,0,23,73,134
282,2315,554,66,39,0,23,73,134
283,2315,554,66,39,0,23,73,134
284,2315,554,66,39,0,23,73,134
285,2315,554,66,39,0,23,73,134
286,2315,554,66,39,0,23,73,134
287,2315,554,66,39,0,23,73,134
288,2315,554,66,39,0,23,73,134
289,2315,554,66,39,0,23,73,134
290,2315,554,66,39,0,23,73,134
291,2316,553,66,39,0,23,73,134
292,2316,553,66,39,0,23,73,134
293,2316,553,66,39,0,23,73,134
294,2316,553,66,39,0,23,73,134
295,2316,553,66,39,0,23,73,134
296,2316,553,66,39,0,23,73,134
297,2316,553,66,39,0,23,73,134
298,2316,553,66,39,0,23,73,134
299,2316,553,66,39,0,23,73,134
300,2316,553,66,39,0,23,73,134
301,2316,553,66,39,0,23,73,134
302,2316,553,66,39,0,23,73,134
303,2316,553,66,39,0,23,73,134
304,2316,553,66,39,0,23,73,134
305,2316,553,66,39,0,23,73,134
306,2316,553,66,39,0,23,73,134
307,2316,553,66,39,0,23,73,134
308,2316,553,66,39,0,23,73,134
309,2316,553,66,39,0,23,73,134
310,2317,552,66,39,0,23,73,134
311,2317,552,66,39,0,23,73,134
312,2317,552,66,39,0,23,73,134
313,2317,552,66,39,0,23,73,134
314,2317,552,66,39,0,23,73,134
315,2317,552,66,39,0,23,73,134
316,2317,552,66,39,0,23,73,134
317,2317,552,66,39,0,23,73,134
318,2317,552,66,39,0,23,73,134
319,2317,552,66,39,0,23,73,134
320,2316,553,67,39,0,23,73,134
321,2317,553,66,39,0,23,73,134
322,2316,553,67,40,0,23,73,134
