frameNo,left,top,w,h,conf,lat,long,alt
3,2557,725,52,44,0,23,73,134
4,2557,726,50,43,0,23,73,134
5,2556,726,48,43,0,23,73,134
6,2556,727,46,42,0,23,73,134
7,2556,727,46,42,0,23,73,134
8,2556,727,46,42,0,23,73,134
9,2556,725,48,43,0,23,73,134
10,2556,725,49,44,0,23,73,134
11,2556,725,48,43,0,23,73,134
12,2556,725,48,43,0,23,73,134
13,2556,725,47,43,0,23,73,134
14,2556,725,48,43,0,23,73,134
15,2556,725,49,43,0,23,73,134
16,2557,724,48,44,0,23,73,134
17,2557,724,48,44,0,23,73,134
18,2557,725,48,43,0,23,73,134
19,2557,724,49,44,0,23,73,134
20,2557,723,49,44,0,23,73,134
21,2559,722,52,44,0,23,73,134
22,2560,722,53,44,0,23,73,134
23,2559,722,55,44,0,23,73,134
24,2559,722,55,43,0,23,73,134
25,2559,722,56,43,0,23,73,134
26,2557,723,54,44,0,23,73,134
27,2561,720,55,42,0,23,73,134
28,2562,719,56,41,0,23,73,134
29,2558,722,55,42,0,23,73,134
30,2556,723,54,43,0,23,73,134
31,2556,723,53,44,0,23,73,134
32,2556,724,52,44,0,23,73,134
33,2556,724,52,45,0,23,73,134
34,2561,721,54,42,0,23,73,134
35,2562,720,57,39,0,23,73,134
36,2562,720,59,38,0,23,73,134
37,2560,723,59,39,0,23,73,134
38,2560,722,61,38,0,23,73,134
39,2560,721,62,37,0,23,73,134
40,2560,721,62,37,0,23,73,134
41,2558,723,62,38,0,23,73,134
42,2558,723,62,38,0,23,73,134
43,2559,723,62,37,0,23,73,134
44,2559,722,62,37,0,23,73,134
45,2559,722,62,36,0,23,73,134
46,2559,722,62,36,0,23,73,134
47,2560,722,63,35,0,23,73,134
48,2560,722,63,35,0,23,73,134
49,2560,722,63,34,0,23,73,134
50,2560,721,63,34,0,23,73,134
51,2561,721,63,33,0,23,73,134
52,2561,721,63,33,0,23,73,134
53,2560,721,63,32,0,23,73,134
54,2561,722,63,30,0,23,73,134
55,2562,722,63,30,0,23,73,134
56,2561,722,63,31,0,23,73,134
57,2561,724,65,31,0,23,73,134
58,2561,724,66,32,0,23,73,134
59,2560,724,68,33,0,23,73,134
60,2559,724,68,32,0,23,73,134
61,2560,723,68,31,0,23,73,134
62,2560,722,67,32,0,23,73,134
63,2561,722,67,32,0,23,73,134
64,2561,722,67,32,0,23,73,134
65,2561,722,66,32,0,23,73,134
66,2563,722,65,32,0,23,73,134
67,2564,721,65,32,0,23,73,134
68,2563,723,66,33,0,23,73,134
69,2564,721,65,34,0,23,73,134
70,2564,721,63,34,0,23,73,134
71,2564,721,62,33,0,23,73,134
72,2565,721,60,33,0,23,73,134
73,2564,722,58,34,0,23,73,134
74,2562,723,57,36,0,23,73,134
75,2560,724,56,38,0,23,73,134
76,2559,725,54,39,0,23,73,134
77,2558,726,52,40,0,23,73,134
78,2556,727,51,42,0,23,73,134
79,2558,725,53,41,0,23,73,134
80,2563,721,54,39,0,23,73,134
81,2565,721,54,36,0,23,73,134
82,2565,721,54,35,0,23,73,134
83,2565,721,54,35,0,23,73,134
84,2565,721,54,35,0,23,73,134
85,2564,721,54,35,0,23,73,134
86,2564,721,54,35,0,23,73,134
87,2564,722,53,35,0,23,73,134
88,2564,722,53,35,0,23,73,134
89,2564,722,53,36,0,23,73,134
90,2564,722,53,36,0,23,73,134
91,2563,722,53,36,0,23,73,134
92,2563,722,53,36,0,23,73,134
93,2563,722,53,36,0,23,73,134
94,2563,722,53,36,0,23,73,134
95,2563,723,52,36,0,23,73,134
96,2562,723,52,36,0,23,73,134
97,2562,723,52,36,0,23,73,134
98,2562,723,52,36,0,23,73,134
99,2562,723,52,36,0,23,73,134
100,2562,723,52,36,0,23,73,134
101,2562,723,52,37,0,23,73,134
102,2561,723,52,37,0,23,73,134
103,2561,724,51,37,0,23,73,134
104,2561,724,51,37,0,23,73,134
105,2561,724,51,37,0,23,73,134
106,2561,724,51,37,0,23,73,134
107,2560,724,51,37,0,23,73,134
108,2560,724,51,37,0,23,73,134
109,2560,724,51,37,0,23,73,134
110,2560,724,51,37,0,23,73,134
111,2560,724,51,37,0,23,73,134
112,2560,725,50,37,0,23,73,134
113,2559,725,50,37,0,23,73,134
114,2559,725,50,38,0,23,73,134
115,2559,725,50,38,0,23,73,134
116,2559,725,50,38,0,23,73,134
117,2559,725,50,38,0,23,73,134
118,2559,725,50,38,0,23,73,134
119,2558,725,50,38,0,23,73,134
120,2558,726,49,38,0,23,73,134
121,2558,726,49,38,0,23,73,134
122,2558,726,49,38,0,23,73,134
123,2558,726,49,38,0,23,73,134
124,2557,726,49,38,0,23,73,134
125,2557,726,49,38,0,23,73,134
126,2557,726,49,39,0,23,73,134
127,2557,726,49,39,0,23,73,134
128,2557,727,48,39,0,23,73,134
129,2557,727,48,39,0,23,73,134
130,2556,727,48,39,0,23,73,134
131,2556,727,48,39,0,23,73,134
132,2556,727,48,39,0,23,73,134
133,2556,727,49,38,0,23,73,134
134,2556,727,49,38,0,23,73,134
135,2556,727,49,39,0,23,73,134
136,2557,727,48,39,0,23,73,134
137,2556,727,49,39,0,23,73,134
138,2556,728,48,38,0,23,73,134
139,2556,727,48,38,0,23,73,134
140,2556,728,49,38,0,23,73,134
141,2556,728,49,37,0,23,73,134
142,2556,728,50,37,0,23,73,134
143,2556,728,49,38,0,23,73,134
144,2556,728,49,38,0,23,73,134
145,2557,728,49,38,0,23,73,134
146,2556,727,50,39,0,23,73,134
147,2556,727,50,38,0,23,73,134
148,2556,727,51,38,0,23,73,134
149,2556,727,51,38,0,23,73,134
150,2556,727,50,38,0,23,73,134
151,2556,727,51,38,0,23,73,134
152,2556,728,50,38,0,23,73,134
153,2556,727,51,38,0,23,73,134
154,2557,726,51,39,0,23,73,134
155,2556,727,51,39,0,23,73,134
156,2556,727,51,39,0,23,73,134
157,2557,727,50,39,0,23,73,134
158,2556,726,51,40,0,23,73,134
159,2556,727,50,39,0,23,73,134
160,2556,727,50,39,0,23,73,134
161,2556,727,50,38,0,23,73,134
162,2556,727,51,38,0,23,73,134
163,2556,727,51,38,0,23,73,134
164,2556,727,52,38,0,23,73,134
165,2556,727,51,38,0,23,73,134
166,2556,727,51,38,0,23,73,134
167,2556,727,52,38,0,23,73,134
168,2556,727,52,39,0,23,73,134
169,2556,727,52,39,0,23,73,134
170,2556,727,52,39,0,23,73,134
171,2555,726,52,40,0,23,73,134
172,2555,727,52,40,0,23,73,134
173,2555,727,51,39,0,23,73,134
174,2555,727,51,40,0,23,73,134
175,2555,727,50,40,0,23,73,134
176,2554,727,51,40,0,23,73,134
177,2554,727,50,40,0,23,73,134
178,2554,727,50,41,0,23,73,134
179,2554,727,49,41,0,23,73,134
180,2555,727,48,41,0,23,73,134
181,2555,727,49,41,0,23,73,134
182,2555,727,49,41,0,23,73,134
183,2555,727,49,41,0,23,73,134
184,2554,727,50,41,0,23,73,134
185,2554,727,49,41,0,23,73,134
186,2554,727,49,41,0,23,73,134
187,2555,726,49,42,0,23,73,134
188,2555,726,50,42,0,23,73,134
189,2555,725,50,43,0,23,73,134
190,2555,725,50,43,0,23,73,134
191,2555,726,50,42,0,23,73,134
192,2555,726,49,42,0,23,73,134
193,2555,726,50,42,0,23,73,134
194,2555,726,49,42,0,23,73,134
195,2556,726,49,41,0,23,73,134
196,2556,726,49,41,0,23,73,134
197,2555,726,50,41,0,23,73,134
198,2555,726,50,41,0,23,73,134
199,2556,726,50,41,0,23,73,134
200,2556,726,50,41,0,23,73,134
201,2556,726,50,41,0,23,73,134
202,2556,725,51,42,0,23,73,134
203,2556,726,51,41,0,23,73,134
204,2556,726,51,41,0,23,73,134
205,2556,726,51,40,0,23,73,134
206,2555,727,51,40,0,23,73,134
207,2555,726,52,41,0,23,73,134
208,2555,726,52,40,0,23,73,134
209,2555,726,52,40,0,23,73,134
210,2556,727,51,40,0,23,73,134
211,2555,727,51,40,0,23,73,134
212,2555,727,50,40,0,23,73,134
213,2555,727,49,40,0,23,73,134
214,2555,727,48,40,0,23,73,134
215,2555,727,48,40,0,23,73,134
216,2555,727,48,40,0,23,73,134
217,2555,728,48,39,0,23,73,134
218,2555,728,48,39,0,23,73,134
219,2554,728,49,39,0,23,73,134
220,2556,728,48,40,0,23,73,134
221,2555,727,49,40,0,23,73,134
222,2556,728,49,40,0,23,73,134
223,2554,727,51,40,0,23,73,134
224,2555,728,50,39,0,23,73,134
225,2555,728,50,40,0,23,73,134
226,2555,728,50,40,0,23,73,134
227,2555,728,50,41,0,23,73,134
228,2555,728,50,40,0,23,73,134
229,2555,728,51,40,0,23,73,134
230,2555,729,51,39,0,23,73,134
231,2556,729,50,39,0,23,73,134
232,2556,729,50,39,0,23,73,134
233,2556,729,50,39,0,23,73,134
234,2556,729,50,39,0,23,73,134
235,2556,730,50,39,0,23,73,134
236,2556,730,49,39,0,23,73,134
237,2556,730,48,39,0,23,73,134
238,2556,729,48,39,0,23,73,134
239,2557,728,47,40,0,23,73,134
240,2557,728,48,40,0,23,73,134
241,2557,728,48,41,0,23,73,134
242,2557,728,47,40,0,23,73,134
243,2557,728,47,40,0,23,73,134
244,2557,728,47,40,0,23,73,134
245,2557,728,47,40,0,23,73,134
246,2556,727,47,40,0,23,73,134
247,2556,727,47,40,0,23,73,134
248,2556,727,47,40,0,23,73,134
249,2556,727,47,40,0,23,73,134
250,2556,727,48,39,0,23,73,134
251,2556,727,48,39,0,23,73,134
252,2556,727,48,39,0,23,73,134
253,2556,727,48,39,0,23,73,134
254,2555,726,48,39,0,23,73,134
255,2555,726,48,39,0,23,73,134
256,2555,726,48,39,0,23,73,134
257,2555,726,48,39,0,23,73,134
258,2555,727,47,39,0,23,73,134
259,2555,727,46,39,0,23,73,134
260,2556,726,47,40,0,23,73,134
261,2556,726,47,40,0,23,73,134
262,2556,726,47,40,0,23,73,134
263,2556,726,47,40,0,23,73,134
264,2556,726,47,40,0,23,73,134
265,2556,726,47,40,0,23,73,134
266,2556,726,47,40,0,23,73,134
267,2556,726,47,40,0,23,73,134
268,2556,726,47,40,0,23,73,134
269,2556,726,47,40,0,23,73,134
270,2556,726,47,40,0,23,73,134
271,2556,726,47,40,0,23,73,134
272,2556,726,47,40,0,23,73,134
273,2556,726,47,40,0,23,73,134
274,2556,726,47,40,0,23,73,134
275,2556,726,47,40,0,23,73,134
276,2556,726,47,40,0,23,73,134
277,2556,726,47,40,0,23,73,134
278,2556,726,47,40,0,23,73,134
279,2556,726,47,40,0,23,73,134
280,2556,726,47,40,0,23,73,134
281,2556,726,47,40,0,23,73,134
282,2556,726,47,40,0,23,73,134
283,2556,726,47,40,0,23,73,134
284,2556,726,47,40,0,23,73,134
285,2556,726,47,40,0,23,73,134
286,2556,726,47,40,0,23,73,134
287,2556,726,47,40,0,23,73,134
288,2556,726,47,40,0,23,73,134
289,2556,726,47,40,0,23,73,134
290,2556,726,47,40,0,23,73,134
291,2556,726,47,40,0,23,73,134
292,2556,726,48,40,0,23,73,134
293,2556,726,48,40,0,23,73,134
294,2556,726,48,40,0,23,73,134
295,2556,726,48,40,0,23,73,134
296,2556,726,48,40,0,23,73,134
297,2556,726,48,40,0,23,73,134
298,2556,726,48,40,0,23,73,134
299,2556,726,48,40,0,23,73,134
300,2556,726,48,40,0,23,73,134
301,2556,726,48,40,0,23,73,134
302,2556,726,48,40,0,23,73,134
303,2556,726,48,40,0,23,73,134
304,2556,726,48,40,0,23,73,134
305,2556,726,48,40,0,23,73,134
306,2556,726,48,40,0,23,73,134
307,2556,726,48,40,0,23,73,134
308,2556,726,48,40,0,23,73,134
309,2556,726,48,40,0,23,73,134
310,2556,726,48,40,0,23,73,134
311,2556,726,48,40,0,23,73,134
312,2556,726,48,40,0,23,73,134
313,2556,726,48,40,0,23,73,134
314,2556,726,48,40,0,23,73,134
315,2556,726,48,40,0,23,73,134
316,2556,726,48,40,0,23,73,134
317,2556,726,48,40,0,23,73,134
318,2556,726,48,40,0,23,73,134
319,2556,726,48,40,0,23,73,134
320,2556,726,48,40,0,23,73,134
321,2556,726,48,40,0,23,73,134
322,2556,726,48,40,0,23,73,134
323,2556,726,48,40,0,23,73,134
324,2555,725,48,39,0,23,73,134
325,2555,725,48,39,0,23,73,134
326,2555,725,48,39,0,23,73,134
327,2555,725,48,39,0,23,73,134
328,2555,725,48,39,0,23,73,134
329,2555,725,48,39,0,23,73,134
330,2555,725,48,39,0,23,73,134
331,2555,725,48,39,0,23,73,134
332,2555,725,48,39,0,23,73,134
333,2555,725,48,39,0,23,73,134
334,2555,725,48,39,0,23,73,134
335,2555,725,48,39,0,23,73,134
336,2555,725,48,39,0,23,73,134
337,2555,725,48,39,0,23,73,134
338,2555,725,48,39,0,23,73,134
339,2555,725,48,39,0,23,73,134
340,2555,725,48,39,0,23,73,134
341,2555,725,48,39,0,23,73,134
342,2555,725,48,39,0,23,73,134
343,2555,725,48,39,0,23,73,134
344,2555,725,48,39,0,23,73,134
345,2555,725,48,39,0,23,73,134
346,2555,725,48,39,0,23,73,134
347,2555,725,48,39,0,23,73,134
348,2555,725,48,39,0,23,73,134
349,2555,725,48,39,0,23,73,134
350,2555,725,48,39,0,23,73,134
351,2555,725,48,39,0,23,73,134
352,2555,725,48,39,0,23,73,134
353,2555,725,48,39,0,23,73,134
354,2555,725,48,39,0,23,73,134
355,2555,725,48,39,0,23,73,134
356,2555,725,49,39,0,23,73,134
357,2555,725,49,39,0,23,73,134
358,2555,725,49,39,0,23,73,134
359,2555,725,49,39,0,23,73,134
360,2555,725,49,39,0,23,73,134
361,2555,725,49,39,0,23,73,134
362,2555,725,49,39,0,23,73,134
363,2555,725,49,39,0,23,73,134
364,2555,725,49,39,0,23,73,134
365,2555,725,49,39,0,23,73,134
366,2555,725,49,39,0,23,73,134
367,2555,725,49,39,0,23,73,134
368,2555,725,49,39,0,23,73,134
369,2555,725,49,39,0,23,73,134
370,2555,725,49,39,0,23,73,134
371,2555,725,49,39,0,23,73,134
372,2555,725,49,39,0,23,73,134
373,2555,725,49,39,0,23,73,134
374,2555,725,49,39,0,23,73,134
375,2555,725,49,39,0,23,73,134
376,2555,725,49,39,0,23,73,134
377,2555,725,49,39,0,23,73,134
378,2555,725,49,39,0,23,73,134
379,2555,725,49,39,0,23,73,134
380,2555,725,49,39,0,23,73,134
381,2555,725,49,39,0,23,73,134
382,2555,725,49,39,0,23,73,134
383,2555,725,49,39,0,23,73,134
384,2555,725,49,39,0,23,73,134
385,2555,725,49,39,0,23,73,134
386,2555,725,49,39,0,23,73,134
387,2555,725,49,39,0,23,73,134
388,2554,725,49,39,0,23,73,134
389,2554,725,49,39,0,23,73,134
390,2554,725,49,39,0,23,73,134
391,2554,726,48,39,0,23,73,134
392,2555,726,48,39,0,23,73,134
393,2555,726,48,38,0,23,73,134
394,2555,726,48,38,0,23,73,134
395,2556,726,48,38,0,23,73,134
396,2556,727,47,38,0,23,73,134
397,2556,727,47,38,0,23,73,134
398,2556,727,48,37,0,23,73,134
399,2555,727,47,37,0,23,73,134
400,2556,727,47,37,0,23,73,134
401,2556,727,46,36,0,23,73,134
402,2556,727,47,37,0,23,73,134
403,2556,727,47,37,0,23,73,134
404,2557,727,48,37,0,23,73,134
405,2556,728,48,36,0,23,73,134
406,2555,728,48,36,0,23,73,134
407,2556,727,48,37,0,23,73,134
408,2556,727,47,37,0,23,73,134
409,2555,728,48,37,0,23,73,134
410,2556,727,47,38,0,23,73,134
411,2556,727,47,38,0,23,73,134
412,2556,727,47,38,0,23,73,134
413,2556,727,48,38,0,23,73,134
414,2556,727,48,38,0,23,73,134
415,2556,727,48,38,0,23,73,134
416,2556,727,48,38,0,23,73,134
417,2555,728,49,37,0,23,73,134
418,2555,728,49,37,0,23,73,134
419,2555,728,49,37,0,23,73,134
420,2555,728,49,37,0,23,73,134
421,2555,728,50,37,0,23,73,134
422,2555,728,50,37,0,23,73,134
423,2555,728,50,37,0,23,73,134
424,2555,728,50,37,0,23,73,134
425,2555,728,50,37,0,23,73,134
426,2555,728,50,37,0,23,73,134
427,2555,727,50,38,0,23,73,134
428,2555,727,50,38,0,23,73,134
429,2555,727,50,38,0,23,73,134
430,2555,727,49,39,0,23,73,134
431,2555,727,50,39,0,23,73,134
432,2555,726,50,40,0,23,73,134
433,2556,727,50,38,0,23,73,134
434,2555,727,50,38,0,23,73,134
435,2555,727,51,38,0,23,73,134
436,2556,726,50,39,0,23,73,134
437,2555,726,50,39,0,23,73,134
438,2556,725,50,40,0,23,73,134
439,2556,725,51,40,0,23,73,134
440,2555,725,50,40,0,23,73,134
441,2555,725,50,41,0,23,73,134
442,2556,725,50,41,0,23,73,134
443,2555,725,51,40,0,23,73,134
444,2556,725,50,41,0,23,73,134
445,2556,724,51,41,0,23,73,134
446,2556,725,51,40,0,23,73,134
447,2555,724,51,41,0,23,73,134
448,2555,725,51,41,0,23,73,134
449,2555,724,51,42,0,23,73,134
450,2556,725,51,40,0,23,73,134
451,2556,724,51,41,0,23,73,134
452,2556,725,52,40,0,23,73,134
453,2556,726,52,39,0,23,73,134
454,2559,723,53,37,0,23,73,134
455,2556,725,53,37,0,23,73,134
456,2555,726,54,37,0,23,73,134
457,2555,727,53,37,0,23,73,134
458,2555,727,52,37,0,23,73,134
459,2555,726,52,38,0,23,73,134
460,2555,726,52,39,0,23,73,134
461,2556,726,52,39,0,23,73,134
462,2556,725,52,40,0,23,73,134
463,2556,725,51,40,0,23,73,134
464,2556,725,51,40,0,23,73,134
465,2555,725,52,40,0,23,73,134
466,2555,726,50,39,0,23,73,134
467,2555,726,50,40,0,23,73,134
468,2556,725,50,40,0,23,73,134
469,2555,726,50,40,0,23,73,134
470,2555,726,49,40,0,23,73,134
471,2555,726,48,40,0,23,73,134
472,2555,726,48,40,0,23,73,134
473,2555,726,48,40,0,23,73,134
474,2555,726,48,40,0,23,73,134
475,2556,725,49,40,0,23,73,134
476,2556,725,49,40,0,23,73,134
477,2556,725,49,40,0,23,73,134
478,2556,725,49,40,0,23,73,134
479,2557,725,49,40,0,23,73,134
480,2556,725,51,40,0,23,73,134
481,2556,724,50,41,0,23,73,134
482,2556,724,51,41,0,23,73,134
483,2557,723,51,41,0,23,73,134
484,2557,723,51,42,0,23,73,134
485,2556,723,53,42,0,23,73,134
486,2556,723,53,42,0,23,73,134
487,2556,723,53,42,0,23,73,134
488,2556,724,53,41,0,23,73,134
489,2555,724,53,41,0,23,73,134
490,2555,725,52,40,0,23,73,134
491,2555,725,51,40,0,23,73,134
492,2555,726,51,39,0,23,73,134
493,2554,726,51,39,0,23,73,134
494,2555,726,50,39,0,23,73,134
495,2555,726,50,39,0,23,73,134
496,2555,726,50,39,0,23,73,134
497,2555,726,50,39,0,23,73,134
498,2556,726,50,39,0,23,73,134
499,2556,726,51,39,0,23,73,134
500,2556,726,51,39,0,23,73,134
501,2556,726,51,39,0,23,73,134
502,2556,725,50,40,0,23,73,134
503,2556,725,51,39,0,23,73,134
504,2558,723,53,38,0,23,73,134
505,2556,726,52,37,0,23,73,134
506,2555,727,52,37,0,23,73,134
507,2555,727,52,38,0,23,73,134
508,2556,726,52,38,0,23,73,134
509,2556,725,52,39,0,23,73,134
510,2556,725,52,40,0,23,73,134
511,2558,724,53,38,0,23,73,134
512,2557,724,54,39,0,23,73,134
513,2557,725,54,39,0,23,73,134
514,2556,725,54,40,0,23,73,134
515,2556,725,54,40,0,23,73,134
516,2558,723,55,38,0,23,73,134
517,2559,723,56,36,0,23,73,134
518,2559,723,56,35,0,23,73,134
519,2559,723,57,34,0,23,73,134
520,2560,723,57,34,0,23,73,134
521,2560,724,57,33,0,23,73,134
522,2559,724,58,34,0,23,73,134
523,2559,724,58,33,0,23,73,134
524,2559,724,58,33,0,23,73,134
525,2559,724,58,33,0,23,73,134
526,2559,724,58,33,0,23,73,134
527,2559,724,57,33,0,23,73,134
528,2559,724,57,34,0,23,73,134
529,2558,724,57,34,0,23,73,134
530,2558,724,57,34,0,23,73,134
531,2558,724,57,34,0,23,73,134
532,2558,724,56,34,0,23,73,134
533,2558,724,56,34,0,23,73,134
534,2558,725,56,34,0,23,73,134
535,2558,725,56,34,0,23,73,134
536,2558,725,56,35,0,23,73,134
537,2557,725,55,35,0,23,73,134
538,2557,725,55,35,0,23,73,134
539,2557,725,55,35,0,23,73,134
540,2557,725,55,35,0,23,73,134
541,2557,725,55,35,0,23,73,134
542,2557,725,54,35,0,23,73,134
543,2557,725,54,36,0,23,73,134
