frameNo,left,top,w,h,conf,lat,long,alt
849,1645.0,1.0,72.0,92.0,0.0,23.055951,72.506035,133.972
850,1646.2,1.6,72.6,96.5,0.0,23.055951,72.506035,133.9704
851,1647.4,2.2,73.2,101.0,0.0,23.055951,72.506035,133.96880000000002
852,1648.6,2.8,73.8,105.5,0.0,23.055951,72.506035,133.9672
853,1649.8,3.4,74.4,110.0,0.0,23.055951,72.506035,133.9656
854,1651.0,4.0,75.0,114.5,0.0,23.055951,72.506035,133.964
855,1652.2,4.6,75.6,119.0,0.0,23.055951,72.506035,133.9624
856,1653.4,5.2,76.2,123.5,0.0,23.055951,72.506035,133.9608
857,1654.6,5.8,76.8,128.0,0.0,23.055951,72.506035,133.95919999999998
858,1655.8,6.3999999999999995,77.4,132.5,0.0,23.055951,72.506035,133.95759999999999
859,1657.0,7.0,78.0,137.0,0.0,23.055951,72.506035,133.956
860,1658.0,11.0,79.0,138.0,0.0,23.055951,72.506035,133.956
861,1652.0,9.0,85.0,146.0,0.0,23.055951,72.506035,133.956
862,1649.0,7.0,89.0,155.0,0.0,23.055951,72.506035,133.956
863,1651.0,10.0,89.0,156.0,0.0,23.055951,72.506035,133.956
864,1654.0,16.0,89.0,158.0,0.0,23.055951,72.506035,133.952
865,1656.1666666666667,23.0,88.33333333333333,156.66666666666666,0.0,23.055951,72.506035,133.9505
866,1658.3333333333333,30.0,87.66666666666667,155.33333333333334,0.0,23.055951,72.506035,133.949
867,1660.5,37.0,87.0,154.0,0.0,23.055951,72.506035,133.9475
868,1662.6666666666667,44.0,86.33333333333333,152.66666666666666,0.0,23.055951,72.506035,133.946
869,1664.8333333333333,51.0,85.66666666666667,151.33333333333334,0.0,23.055951,72.506035,133.9445
870,1667.0,58.0,85.0,150.0,0.0,23.055951,72.506035,133.943
871,1668.8,65.8,84.2,148.8,0.0,23.055951,72.506035,133.943
872,1670.6,73.6,83.4,147.6,0.0,23.055951,72.506035,133.943
873,1672.4,81.4,82.6,146.4,0.0,23.055951,72.506035,133.943
874,1674.2,89.2,81.8,145.2,0.0,23.055951,72.506035,133.943
875,1676.0,97.0,81.0,144.0,0.0,23.055951,72.506035,133.943
876,1678.0,104.0,80.0,144.0,0.0,23.055952,72.506035,133.94
877,1681.0,108.0,78.0,143.0,0.0,23.055952,72.506035,133.94
878,1682.3333333333333,113.08333333333333,78.25,142.58333333333334,0.0,23.055952,72.506035,133.93883333333332
879,1683.6666666666667,118.16666666666667,78.5,142.16666666666666,0.0,23.055952,72.506035,133.93766666666667
880,1685.0,123.25,78.75,141.75,0.0,23.055952,72.506035,133.9365
881,1686.3333333333333,128.33333333333334,79.0,141.33333333333334,0.0,23.055952,72.506035,133.93533333333332
882,1687.6666666666667,133.41666666666666,79.25,140.91666666666666,0.0,23.055952,72.506035,133.93416666666667
883,1689.0,138.5,79.5,140.5,0.0,23.055952,72.506035,133.933
884,1690.3333333333333,143.58333333333331,79.75,140.08333333333334,0.0,23.055952,72.506035,133.93183333333332
885,1691.6666666666667,148.66666666666666,80.0,139.66666666666666,0.0,23.055952,72.506035,133.93066666666667
886,1693.0,153.75,80.25,139.25,0.0,23.055952,72.506035,133.9295
887,1694.3333333333333,158.83333333333331,80.5,138.83333333333334,0.0,23.055952,72.506035,133.9283333333333
888,1695.6666666666667,163.91666666666666,80.75,138.41666666666666,0.0,23.055952,72.506035,133.92716666666666
889,1697.0,169.0,81.0,138.0,0.0,23.055952,72.506035,133.926
890,1699.0,171.0,82.0,141.0,0.0,23.055952,72.506035,133.926
891,1703.25,177.25,80.0,140.0,0.0,23.055952,72.506035,133.92525
892,1707.5,183.5,78.0,139.0,0.0,23.055952,72.506035,133.9245
893,1711.75,189.75,76.0,138.0,0.0,23.055952,72.506035,133.92374999999998
894,1716.0,196.0,74.0,137.0,0.0,23.055952,72.506035,133.923
895,1718.0,201.0,73.0,138.0,0.0,23.055952,72.506035,133.923
896,1718.0,208.0,74.0,136.0,0.0,23.055952,72.506035,133.923
897,1719.0,216.0,75.0,135.0,0.0,23.055952,72.506035,133.923
898,1718.0,216.0,76.0,138.0,0.0,23.055952,72.506035,133.923
899,1719.0,217.0,76.0,140.0,0.0,23.055952,72.506035,133.923
900,1707.0,184.0,84.0,165.0,0.0,23.055952,72.506035,133.92
901,1719.0,215.0,78.0,151.0,0.0,23.055952,72.506035,133.92
902,1718.0,220.0,78.0,155.0,0.0,23.055952,72.506035,133.92
903,1719.0,227.0,77.0,155.0,0.0,23.055952,72.506035,133.92
904,1722.5,237.75,76.25,148.75,0.0,23.055952,72.506035,133.91825
905,1726.0,248.5,75.5,142.5,0.0,23.055952,72.506035,133.91649999999998
906,1729.5,259.25,74.75,136.25,0.0,23.055952,72.506035,133.91475
907,1733.0,270.0,74.0,130.0,0.0,23.055952,72.506035,133.913
908,1736.0,280.0,74.0,125.0,0.0,23.055952,72.506035,133.913
909,1739.0,281.0,71.0,121.0,0.0,23.055952,72.506035,133.913
910,1739.0,284.5,72.75,121.75,0.0,23.055952,72.506035,133.91175
911,1739.0,288.0,74.5,122.5,0.0,23.055952,72.506035,133.9105
912,1739.0,291.5,76.25,123.25,0.0,23.055952,72.506035,133.90925
913,1739.0,295.0,78.0,124.0,0.0,23.055952,72.506035,133.908
914,1742.0,302.0,78.0,124.0,0.0,23.055952,72.506035,133.908
915,1745.0,302.0,78.0,126.0,0.0,23.055952,72.506035,133.908
916,1745.0,301.0,79.0,127.0,0.0,23.055952,72.506035,133.908
917,1746.0,302.0,79.0,129.0,0.0,23.055952,72.506035,133.908
918,1747.142857142857,308.0,79.28571428571429,129.14285714285714,0.0,23.055952,72.506035,133.9067142857143
919,1748.2857142857142,314.0,79.57142857142857,129.28571428571428,0.0,23.055952,72.506035,133.90542857142856
