frameNo,left,top,w,h,conf,lat,long,alt
1788,11.0,1011.0,70.0,31.0,0.0,23.055951,72.506035,132.871
1789,17.0,1009.0,77.0,35.0,0.0,23.055951,72.506035,132.871
1790,30.0,1008.0,77.0,36.0,0.0,23.055951,72.506035,132.871
1791,39.0,1006.0,79.0,37.0,0.0,23.055951,72.506035,132.871
1792,49.0,1007.0,81.0,37.0,0.0,23.055951,72.506035,132.871
1793,59.0,1006.0,82.0,36.0,0.0,23.055951,72.506035,132.871
1794,68.0,1006.0,81.0,36.0,0.0,23.055951,72.506035,132.872
1795,78.0,1006.0,79.0,35.0,0.0,23.055951,72.506035,132.872
1796,86.0,1007.0,79.0,34.0,0.0,23.055951,72.506035,132.872
1797,97.0,1008.0,81.0,35.0,0.0,23.055951,72.506035,132.872
1798,107.0,1008.0,81.0,35.0,0.0,23.055951,72.506035,132.872
1799,116.0,1008.0,82.0,34.0,0.0,23.055951,72.506035,132.872
1800,125.0,1007.0,83.0,34.0,0.0,23.055951,72.506035,132.874
1801,134.0,1006.0,84.0,34.0,0.0,23.055951,72.506035,132.874
1802,140.0,1008.0,80.0,33.0,0.0,23.055951,72.506035,132.874
1803,150.0,1009.0,76.0,32.0,0.0,23.055951,72.506035,132.874
1804,158.0,1008.0,73.0,32.0,0.0,23.055951,72.506035,132.874
1805,174.0,1007.0,74.0,32.0,0.0,23.055951,72.506035,132.874
1806,183.0,1006.0,75.0,32.0,0.0,23.055951,72.506035,132.87
1807,191.0,1006.0,75.0,33.0,0.0,23.055951,72.506035,132.87
1808,195.0,1007.0,77.0,33.0,0.0,23.055951,72.506035,132.87
1809,205.0,1006.0,77.0,34.0,0.0,23.055951,72.506035,132.87
1810,211.0,1006.0,78.0,34.0,0.0,23.055951,72.506035,132.87
1811,223.0,1005.0,77.0,34.0,0.0,23.055951,72.506035,132.87
1812,228.0,1004.0,77.0,34.0,0.0,23.055951,72.506035,132.871
1813,235.0,1003.0,80.0,35.0,0.0,23.055951,72.506035,132.871
1814,244.0,1003.0,81.0,34.0,0.0,23.055951,72.506035,132.871
1815,248.0,1002.0,82.0,34.0,0.0,23.055951,72.506035,132.871
1816,263.0,1003.0,79.0,34.0,0.0,23.055951,72.506035,132.871
1817,274.0,1003.0,77.0,34.0,0.0,23.055951,72.506035,132.871
1818,282.0,1003.0,75.0,33.0,0.0,23.055951,72.506035,132.869
1819,290.0,1004.0,74.0,33.0,0.0,23.055951,72.506035,132.869
1820,296.0,1004.0,77.0,34.0,0.0,23.055951,72.506035,132.869
1821,307.0,1002.0,78.0,34.0,0.0,23.055951,72.506035,132.869
1822,314.0,1002.0,76.0,34.0,0.0,23.055951,72.506035,132.869
1823,322.0,1001.0,76.0,34.0,0.0,23.055951,72.506035,132.869
1824,332.0,1001.0,75.0,34.0,0.0,23.055951,72.506035,132.876
1825,338.0,1004.0,75.0,33.0,0.0,23.055951,72.506035,132.876
1826,345.0,1005.0,75.0,33.0,0.0,23.055951,72.506035,132.876
1827,355.0,1003.0,74.0,33.666666666666664,0.0,23.055951,72.506035,132.87466666666668
1828,365.0,1001.0,73.0,34.333333333333336,0.0,23.055951,72.506035,132.87333333333333
1829,375.0,999.0,72.0,35.0,0.0,23.055951,72.506035,132.872
1830,379.0,999.0,70.0,35.0,0.0,23.055951,72.506035,132.872
1831,388.0,999.0,66.0,33.0,0.0,23.055951,72.506035,132.872
1832,394.0,999.0,67.0,35.0,0.0,23.055951,72.506035,132.872
1833,401.0,1001.0,66.0,35.0,0.0,23.055951,72.506035,132.872
1834,414.0,1001.0,65.0,33.0,0.0,23.055951,72.506035,132.872
1835,424.0,1002.0,65.0,31.0,0.0,23.055951,72.506035,132.873
1836,431.0,1002.0,65.0,30.0,0.0,23.055951,72.506035,132.873
1837,436.0,1001.0,65.0,29.0,0.0,23.055951,72.506035,132.873
1838,448.0,1001.0,64.0,28.0,0.0,23.055951,72.506035,132.873
1839,455.0,1001.0,64.0,29.0,0.0,23.055951,72.506035,132.873
1840,454.0,1003.0,64.0,29.0,0.0,23.055951,72.506035,132.873
1841,459.0,1002.0,66.0,30.0,0.0,23.055951,72.506035,132.873
1842,467.0,1002.0,64.0,30.0,0.0,23.055951,72.506035,132.871
1843,474.0,1002.0,58.0,30.0,0.0,23.055951,72.506035,132.871
1844,483.0,1003.0,57.0,30.0,0.0,23.055951,72.506035,132.871
1845,487.0,1002.0,55.0,28.0,0.0,23.055951,72.506035,132.871
1846,492.90909090909093,1001.8181818181819,55.0,28.272727272727273,0.0,23.055951,72.506035,132.87145454545455
1847,498.8181818181818,1001.6363636363636,55.0,28.545454545454547,0.0,23.055951,72.506035,132.8719090909091
1848,504.72727272727275,1001.4545454545455,55.0,28.818181818181817,0.0,23.055951,72.506035,132.87236363636364
1849,510.6363636363636,1001.2727272727273,55.0,29.09090909090909,0.0,23.055951,72.506035,132.8728181818182
1850,516.5454545454545,1001.0909090909091,55.0,29.363636363636363,0.0,23.055951,72.506035,132.87327272727273
1851,522.4545454545455,1000.9090909090909,55.0,29.636363636363637,0.0,23.055951,72.506035,132.87372727272728
1852,528.3636363636364,1000.7272727272727,55.0,29.90909090909091,0.0,23.055951,72.506035,132.87418181818182
1853,534.2727272727273,1000.5454545454545,55.0,30.18181818181818,0.0,23.055951,72.506035,132.87463636363637
1854,540.1818181818181,1000.3636363636364,55.0,30.454545454545453,0.0,23.055951,72.506035,132.87509090909091
1855,546.0909090909091,1000.1818181818181,55.0,30.727272727272727,0.0,23.055951,72.506035,132.87554545454546
1856,552.0,1000.0,55.0,31.0,0.0,23.055951,72.506035,132.876
1857,562.0,1000.0,55.0,31.0,0.0,23.055951,72.506035,132.876
1858,567.0,999.0,56.0,31.0,0.0,23.055951,72.506035,132.876
1859,575.0,999.0,57.0,31.0,0.0,23.055951,72.506035,132.876
1860,580.1666666666666,998.1666666666666,57.166666666666664,31.0,0.0,23.055951,72.506035,132.87616666666668
1861,585.3333333333334,997.3333333333334,57.333333333333336,31.0,0.0,23.055951,72.506035,132.87633333333335
1862,590.5,996.5,57.5,31.0,0.0,23.055951,72.506035,132.87650000000002
1863,595.6666666666666,995.6666666666666,57.666666666666664,31.0,0.0,23.055951,72.506035,132.87666666666667
1864,600.8333333333334,994.8333333333334,57.833333333333336,31.0,0.0,23.055951,72.506035,132.87683333333334
1865,606.0,994.0,58.0,31.0,0.0,23.055951,72.506035,132.877
1866,610.25,993.5,57.5,31.0,0.0,23.055951,72.506035,132.877
1867,614.5,993.0,57.0,31.0,0.0,23.055951,72.506035,132.877
1868,618.75,992.5,56.5,31.0,0.0,23.055951,72.506035,132.877
1869,623.0,992.0,56.0,31.0,0.0,23.055951,72.506035,132.877
1870,629.5714285714286,992.0,55.642857142857146,30.5,0.0,23.055951,72.506035,132.87657142857142
1871,636.1428571428571,992.0,55.285714285714285,30.0,0.0,23.055951,72.506035,132.87614285714287
1872,642.7142857142857,992.0,54.92857142857143,29.5,0.0,23.055951,72.506035,132.8757142857143
1873,649.2857142857143,992.0,54.57142857142857,29.0,0.0,23.055951,72.506035,132.87528571428572
1874,655.8571428571429,992.0,54.214285714285715,28.5,0.0,23.055951,72.506035,132.87485714285714
1875,662.4285714285714,992.0,53.857142857142854,28.0,0.0,23.055951,72.506035,132.87442857142858
1876,669.0,992.0,53.5,27.5,0.0,23.055951,72.506035,132.87400000000002
1877,675.5714285714286,992.0,53.142857142857146,27.0,0.0,23.055951,72.506035,132.87357142857144
1878,682.1428571428571,992.0,52.785714285714285,26.5,0.0,23.055951,72.506035,132.87314285714285
1879,688.7142857142857,992.0,52.42857142857143,26.0,0.0,23.055951,72.506035,132.8727142857143
1880,695.2857142857142,992.0,52.07142857142857,25.5,0.0,23.055951,72.506035,132.87228571428574
1881,701.8571428571429,992.0,51.714285714285715,25.0,0.0,23.055951,72.506035,132.87185714285715
1882,708.4285714285714,992.0,51.357142857142854,24.5,0.0,23.055951,72.506035,132.87142857142857
1883,715.0,992.0,51.0,24.0,0.0,23.055951,72.506035,132.871
1884,719.0,992.0,53.0,24.0,0.0,23.055951,72.506035,132.871
1885,721.0,989.0,55.0,25.0,0.0,23.055951,72.506035,132.871
1886,727.75,988.875,54.25,25.125,0.0,23.055951,72.506035,132.869875
1887,734.5,988.75,53.5,25.25,0.0,23.055951,72.506035,132.86875
1888,741.25,988.625,52.75,25.375,0.0,23.055951,72.506035,132.867625
1889,748.0,988.5,52.0,25.5,0.0,23.055951,72.506035,132.8665
