frameNo,left,top,w,h,conf,lat,long,alt
2071,2264,627,70,42,0,23,73,133
2072,2264,626,71,43,0,23,73,133
2073,2265,625,71,43,0,23,73,133
2074,2266,624,71,44,0,23,73,133
2075,2266,624,71,44,0,23,73,133
2076,2266,624,71,44,0,23,73,133
2077,2267,622,71,45,0,23,73,133
2078,2267,621,71,46,0,23,73,133
2079,2267,622,71,46,0,23,73,133
2080,2267,622,70,45,0,23,73,133
2081,2266,623,71,45,0,23,73,133
2082,2266,625,69,43,0,23,73,133
2083,2266,625,69,43,0,23,73,133
2084,2266,624,69,43,0,23,73,133
2085,2266,624,69,43,0,23,73,133
2086,2266,623,69,44,0,23,73,133
2087,2267,622,69,44,0,23,73,133
2088,2267,622,69,44,0,23,73,133
2089,2267,622,68,44,0,23,73,133
2090,2268,621,68,45,0,23,73,133
2091,2268,620,68,45,0,23,73,133
2092,2268,620,68,45,0,23,73,133
2093,2268,620,68,46,0,23,73,133
2094,2268,619,68,46,0,23,73,133
2095,2269,618,68,46,0,23,73,133
2096,2269,618,68,47,0,23,73,133
2097,2269,618,68,47,0,23,73,133
2098,2270,617,68,47,0,23,73,133
2099,2270,616,68,48,0,23,73,133
2100,2270,616,67,48,0,23,73,133
2101,2270,616,67,48,0,23,73,133
2102,2270,615,67,48,0,23,73,133
2103,2271,614,67,49,0,23,73,133
2104,2271,614,67,49,0,23,73,133
2105,2271,614,66,49,0,23,73,133
2106,2271,614,66,49,0,23,73,133
2107,2272,614,66,49,0,23,73,133
2108,2272,613,66,49,0,23,73,133
2109,2272,614,66,49,0,23,73,133
2110,2272,615,66,48,0,23,73,133
2111,2272,616,66,47,0,23,73,133
2112,2272,616,66,46,0,23,73,133
2113,2272,616,65,46,0,23,73,133
2114,2272,617,64,46,0,23,73,133
2115,2272,617,64,45,0,23,73,133
2116,2272,617,64,46,0,23,73,133
2117,2271,617,65,46,0,23,73,133
2118,2270,618,65,45,0,23,73,133
2119,2270,617,66,45,0,23,73,133
2120,2270,618,66,45,0,23,73,133
2121,2270,618,66,44,0,23,73,133
2122,2271,618,66,44,0,23,73,133
2123,2271,617,66,45,0,23,73,133
2124,2271,617,66,45,0,23,73,133
2125,2271,618,66,45,0,23,73,133
2126,2270,620,66,44,0,23,73,133
2127,2269,620,67,44,0,23,73,133
2128,2270,620,66,44,0,23,73,133
2129,2270,620,66,43,0,23,73,133
2130,2270,619,66,43,0,23,73,133
2131,2269,619,67,44,0,23,73,133
2132,2268,620,67,43,0,23,73,133
2133,2267,620,67,44,0,23,73,133
2134,2267,621,67,43,0,23,73,133
2135,2266,621,68,44,0,23,73,133
2136,2265,621,68,44,0,23,73,133
2137,2265,620,69,45,0,23,73,133
2138,2265,621,69,44,0,23,73,133
2139,2265,621,70,44,0,23,73,133
2140,2265,620,69,45,0,23,73,133
2141,2265,620,69,45,0,23,73,133
2142,2265,620,69,46,0,23,73,133
2143,2265,620,70,46,0,23,73,133
2144,2266,619,70,46,0,23,73,133
2145,2266,619,70,47,0,23,73,133
2146,2266,619,70,47,0,23,73,133
2147,2267,619,70,47,0,23,73,133
2148,2267,618,69,48,0,23,73,133
2149,2267,618,69,48,0,23,73,133
2150,2266,618,70,48,0,23,73,133
2151,2267,618,70,49,0,23,73,133
2152,2266,617,70,50,0,23,73,133
2153,2266,617,70,50,0,23,73,133
2154,2266,617,70,50,0,23,73,133
2155,2266,617,71,50,0,23,73,133
2156,2265,617,71,50,0,23,73,133
2157,2265,618,70,49,0,23,73,133
2158,2265,618,69,49,0,23,73,133
2159,2265,619,69,49,0,23,73,133
2160,2265,618,69,49,0,23,73,133
2161,2266,618,68,49,0,23,73,133
2162,2267,617,68,49,0,23,73,133
2163,2267,617,68,49,0,23,73,133
2164,2268,616,67,50,0,23,73,133
2165,2267,616,68,50,0,23,73,133
2166,2267,616,68,50,0,23,73,133
2167,2267,617,68,49,0,23,73,133
2168,2267,617,69,50,0,23,73,133
2169,2267,616,69,51,0,23,73,133
2170,2267,616,69,51,0,23,73,133
2171,2266,617,69,50,0,23,73,133
2172,2265,618,68,49,0,23,73,133
2173,2265,618,68,49,0,23,73,133
2174,2265,618,68,49,0,23,73,133
2175,2265,618,68,49,0,23,73,133
2176,2265,618,68,49,0,23,73,133
2177,2265,618,68,49,0,23,73,133
2178,2265,618,68,49,0,23,73,133
2179,2265,618,68,49,0,23,73,133
2180,2265,618,68,49,0,23,73,133
2181,2265,618,68,49,0,23,73,133
2182,2265,618,68,49,0,23,73,133
2183,2265,618,68,49,0,23,73,133
2184,2265,618,68,49,0,23,73,133
2185,2265,618,68,49,0,23,73,133
2186,2265,618,68,49,0,23,73,133
2187,2265,618,68,49,0,23,73,133
2188,2265,618,68,49,0,23,73,133
2189,2265,618,68,49,0,23,73,133
2190,2265,618,68,49,0,23,73,133
2191,2265,618,68,49,0,23,73,133
2192,2265,618,68,49,0,23,73,133
2193,2265,618,68,48,0,23,73,133
2194,2265,618,69,48,0,23,73,133
2195,2265,618,69,48,0,23,73,133
2196,2265,618,69,48,0,23,73,133
2197,2265,618,69,48,0,23,73,133
2198,2265,618,69,48,0,23,73,133
2199,2265,618,69,48,0,23,73,133
2200,2265,618,69,48,0,23,73,133
2201,2265,618,69,48,0,23,73,133
2202,2265,618,69,48,0,23,73,133
2203,2265,618,69,48,0,23,73,133
2204,2265,618,69,48,0,23,73,133
2205,2265,618,69,48,0,23,73,133
2206,2265,618,69,48,0,23,73,133
2207,2265,618,69,48,0,23,73,133
2208,2265,618,69,48,0,23,73,133
2209,2265,618,69,48,0,23,73,133
2210,2265,618,69,48,0,23,73,133
2211,2265,618,69,48,0,23,73,133
2212,2265,618,69,48,0,23,73,133
2213,2265,618,69,48,0,23,73,133
2214,2265,618,69,48,0,23,73,133
2215,2265,617,69,48,0,23,73,133
2216,2265,617,69,48,0,23,73,133
2217,2265,617,69,48,0,23,73,133
2218,2265,617,69,48,0,23,73,133
2219,2265,617,69,48,0,23,73,133
2220,2265,617,69,48,0,23,73,133
2221,2265,617,69,48,0,23,73,133
2222,2265,617,69,48,0,23,73,133
2223,2265,617,69,48,0,23,73,133
2224,2265,617,69,48,0,23,73,133
2225,2265,617,69,48,0,23,73,133
2226,2265,617,69,48,0,23,73,133
2227,2265,617,69,48,0,23,73,133
2228,2265,617,69,48,0,23,73,133
2229,2265,617,69,48,0,23,73,133
2230,2265,617,69,48,0,23,73,133
2231,2265,617,69,48,0,23,73,133
2232,2265,617,69,48,0,23,73,133
2233,2265,617,69,48,0,23,73,133
2234,2265,617,69,48,0,23,73,133
2235,2265,617,70,48,0,23,73,133
2236,2265,617,70,47,0,23,73,133
2237,2265,617,70,47,0,23,73,133
2238,2265,617,70,47,0,23,73,133
2239,2265,617,70,47,0,23,73,133
2240,2265,617,70,47,0,23,73,133
2241,2265,617,70,47,0,23,73,133
2242,2265,617,70,47,0,23,73,133
2243,2265,617,70,47,0,23,73,133
2244,2265,617,70,47,0,23,73,133
2245,2265,617,70,47,0,23,73,133
2246,2265,617,70,47,0,23,73,133
2247,2265,617,70,47,0,23,73,133
2248,2265,617,70,47,0,23,73,133
2249,2265,617,70,47,0,23,73,133
2250,2265,617,70,47,0,23,73,133
2251,2265,617,70,47,0,23,73,133
2252,2265,617,70,47,0,23,73,133
2253,2265,617,70,47,0,23,73,133
2254,2265,617,70,47,0,23,73,133
2255,2265,617,70,47,0,23,73,133
2256,2265,617,70,47,0,23,73,133
2257,2265,619,69,46,0,23,73,133
2258,2266,618,69,47,0,23,73,133
2259,2266,618,70,47,0,23,73,133
2260,2266,617,70,47,0,23,73,133
2261,2267,617,69,47,0,23,73,133
2262,2267,618,69,46,0,23,73,133
2263,2267,618,69,46,0,23,73,133
2264,2267,618,68,47,0,23,73,133
2265,2267,618,68,47,0,23,73,133
2266,2267,618,68,47,0,23,73,133
2267,2267,618,68,47,0,23,73,133
2268,2266,617,69,48,0,23,73,133
2269,2266,617,69,48,0,23,73,133
2270,2266,617,69,48,0,23,73,133
2271,2266,617,69,48,0,23,73,133
2272,2266,617,69,48,0,23,73,133
2273,2266,618,69,48,0,23,73,133
2274,2266,618,69,48,0,23,73,133
2275,2266,618,69,48,0,23,73,133
2276,2266,618,70,48,0,23,73,133
2277,2267,619,69,47,0,23,73,133
2278,2268,617,70,49,0,23,73,133
2279,2268,616,70,49,0,23,73,133
2280,2268,616,70,50,0,23,73,133
2281,2267,617,70,49,0,23,73,133
2282,2267,618,70,48,0,23,73,133
2283,2266,618,70,48,0,23,73,133
2284,2266,617,70,49,0,23,73,133
2285,2267,617,70,49,0,23,73,133
2286,2267,617,70,49,0,23,73,133
2287,2267,617,70,49,0,23,73,133
2288,2267,617,70,49,0,23,73,133
2289,2267,617,70,49,0,23,73,133
2290,2267,617,70,49,0,23,73,133
2291,2266,616,70,49,0,23,73,133
2292,2266,616,70,49,0,23,73,133
