frameNo,left,top,w,h,conf,lat,long,alt
1204,12,1016,104,61,0,23,73,133
1205,13,1015,112,61,0,23,73,133
1206,23,1015,118,61,0,23,73,133
1207,27,1016,121,60,0,23,73,133
1208,38,1017,121,59,0,23,73,133
1209,49,1018,120,58,0,23,73,133
1210,60,1018,120,56,0,23,73,133
1211,71,1019,120,55,0,23,73,133
1212,79,1021,119,53,0,23,73,133
1213,88,1022,119,54,0,23,73,133
1214,99,1019,119,54,0,23,73,133
1215,105,1018,121,54,0,23,73,133
1216,114,1018,120,54,0,23,73,133
1217,124,1018,120,53,0,23,73,133
1218,133,1019,119,52,0,23,73,133
1219,142,1019,118,52,0,23,73,133
1220,152,1016,116,52,0,23,73,133
1221,162,1014,116,54,0,23,73,133
1222,172,1014,118,55,0,23,73,133
1223,180,1014,119,57,0,23,73,133
1224,189,1014,118,57,0,23,73,133
1225,198,1014,116,56,0,23,73,133
1226,206,1014,115,56,0,23,73,133
1227,215,1014,114,56,0,23,73,133
1228,222,1013,115,58,0,23,73,133
1229,230,1013,115,58,0,23,73,133
1230,238,1013,115,58,0,23,73,133
1231,246,1012,115,58,0,23,73,133
1232,254,1012,115,58,0,23,73,133
1233,262,1012,116,58,0,23,73,133
1234,271,1012,116,58,0,23,73,133
1235,279,1012,116,58,0,23,73,133
1236,287,1011,116,58,0,23,73,133
1237,295,1011,116,58,0,23,73,133
1238,303,1011,116,58,0,23,73,133
1239,310,1010,113,57,0,23,73,133
1240,316,1010,113,57,0,23,73,133
1241,323,1010,113,57,0,23,73,133
1242,331,1009,113,57,0,23,73,133
1243,338,1009,113,56,0,23,73,133
1244,346,1009,113,56,0,23,73,133
1245,353,1008,113,56,0,23,73,133
1246,360,1008,113,56,0,23,73,133
1247,368,1008,113,56,0,23,73,133
1248,375,1008,113,56,0,23,73,133
1249,382,1007,113,55,0,23,73,133
1250,390,1007,112,55,0,23,73,133
1251,397,1007,112,55,0,23,73,133
1252,404,1006,112,55,0,23,73,133
1253,412,1006,112,55,0,23,73,133
1254,419,1006,112,54,0,23,73,133
1255,427,1005,112,54,0,23,73,133
1256,434,1005,112,54,0,23,73,133
1257,441,1005,112,54,0,23,73,133
1258,449,1005,112,54,0,23,73,133
1259,456,1004,112,54,0,23,73,133
1260,464,1004,112,53,0,23,73,133
1261,471,1004,112,53,0,23,73,133
1262,478,1003,112,53,0,23,73,133
1263,486,1003,112,53,0,23,73,133
1264,493,1003,112,53,0,23,73,133
1265,500,1002,112,53,0,23,73,133
1266,508,1002,112,52,0,23,73,133
1267,515,1002,112,52,0,23,73,133
1268,522,1002,112,52,0,23,73,133
1269,530,1001,111,52,0,23,73,133
1270,537,1001,111,52,0,23,73,133
1271,545,1001,111,51,0,23,73,133
1272,552,1000,111,51,0,23,73,133
1273,559,1000,111,51,0,23,73,133
1274,567,1000,111,51,0,23,73,133
1275,574,999,111,51,0,23,73,133
1276,582,999,111,51,0,23,73,133
1277,589,999,111,50,0,23,73,133
1278,596,998,111,50,0,23,73,133
1279,604,998,111,50,0,23,73,133
1280,611,998,111,50,0,23,73,133
1281,618,998,111,50,0,23,73,133
1282,626,997,111,50,0,23,73,133
1283,633,997,111,49,0,23,73,133
1284,640,997,111,49,0,23,73,133
1285,648,996,111,49,0,23,73,133
1286,655,996,111,49,0,23,73,133
1287,663,996,110,49,0,23,73,133
1288,670,995,110,48,0,23,73,133
1289,677,995,110,48,0,23,73,133
1290,685,995,110,48,0,23,73,133
1291,692,995,110,48,0,23,73,133
1292,700,994,110,48,0,23,73,133
1293,707,994,110,48,0,23,73,133
1294,714,994,110,47,0,23,73,133
1295,722,993,110,47,0,23,73,133
1296,729,993,110,47,0,23,73,133
1297,736,997,107,46,0,23,73,133
1298,744,993,108,46,0,23,73,133
1299,751,992,109,46,0,23,73,133
1300,756,991,109,47,0,23,73,133
1301,765,991,108,47,0,23,73,133
1302,774,991,105,48,0,23,73,133
1303,781,990,105,48,0,23,73,133
1304,788,990,106,48,0,23,73,133
1305,795,990,106,49,0,23,73,133
1306,802,989,106,49,0,23,73,133
1307,809,988,107,49,0,23,73,133
1308,816,988,107,50,0,23,73,133
1309,823,988,107,50,0,23,73,133
1310,830,987,108,50,0,23,73,133
1311,837,986,108,50,0,23,73,133
1312,844,986,108,50,0,23,73,133
1313,851,986,109,51,0,23,73,133
1314,858,985,109,51,0,23,73,133
1315,866,984,109,51,0,23,73,133
1316,873,984,110,52,0,23,73,133
1317,880,984,110,52,0,23,73,133
1318,887,983,110,52,0,23,73,133
1319,894,982,111,52,0,23,73,133
1320,901,982,111,52,0,23,73,133
1321,908,982,111,53,0,23,73,133
1322,915,981,112,53,0,23,73,133
1323,922,980,112,53,0,23,73,133
1324,929,980,112,54,0,23,73,133
1325,936,980,113,54,0,23,73,133
1326,943,979,113,54,0,23,73,133
1327,957,979,109,52,0,23,73,133
1328,965,979,109,52,0,23,73,133
1329,973,978,109,52,0,23,73,133
1330,981,978,109,52,0,23,73,133
1331,990,977,109,52,0,23,73,133
1332,998,977,109,52,0,23,73,133
1333,1006,976,109,52,0,23,73,133
1334,1014,976,109,52,0,23,73,133
1335,1022,975,109,52,0,23,73,133
1336,1030,975,109,52,0,23,73,133
1337,1038,974,109,52,0,23,73,133
1338,1046,974,109,52,0,23,73,133
1339,1055,973,109,52,0,23,73,133
1340,1063,973,109,52,0,23,73,133
1341,1071,972,109,52,0,23,73,133
1342,1079,972,109,52,0,23,73,133
1343,1087,971,109,52,0,23,73,133
1344,1095,971,109,52,0,23,73,133
1345,1103,970,109,52,0,23,73,133
