frameNo,left,top,w,h,conf,lat,long,alt
1444,758,1043,81,33,0,23,73,133
1445,763,1041,86,35,0,23,73,133
1446,774,1044,85,34,0,23,73,133
1447,781,1043,88,35,0,23,73,133
1448,793,1042,86,35,0,23,73,133
1449,802,1040,84,35,0,23,73,133
1450,806,1039,87,36,0,23,73,133
1451,821,1038,87,36,0,23,73,133
1452,833,1038,86,36,0,23,73,133
1453,845,1038,85,35,0,23,73,133
1454,854,1038,83,36,0,23,73,133
1455,859,1037,83,35,0,23,73,133
1456,867,1037,81,34,0,23,73,133
1457,875,1036,80,35,0,23,73,133
1458,889,1036,78,35,0,23,73,133
1459,900,1035,77,34,0,23,73,133
1460,900,1036,82,35,0,23,73,133
1461,920,1033,76,34,0,23,73,133
1462,934,1029,77,34,0,23,73,133
1463,944,1026,78,35,0,23,73,133
1464,953,1026,78,35,0,23,73,133
1465,960,1024,78,36,0,23,73,133
1466,968,1024,79,36,0,23,73,133
1467,978,1024,78,36,0,23,73,133
1468,991,1024,77,35,0,23,73,133
1469,1003,1022,77,36,0,23,73,133
1470,1012,1021,79,35,0,23,73,133
1471,1025,1019,79,37,0,23,73,133
1472,1034,1019,80,37,0,23,73,133
1473,1045,1019,79,36,0,23,73,133
1474,1054,1018,79,37,0,23,73,133
1475,1063,1017,79,37,0,23,73,133
1476,1070,1016,80,38,0,23,73,133
1477,1078,1015,81,38,0,23,73,133
1478,1089,1014,82,38,0,23,73,133
1479,1096,1013,82,37,0,23,73,133
1480,1108,1015,85,35,0,23,73,133
1481,1121,1010,83,36,0,23,73,133
1482,1135,1010,81,35,0,23,73,133
1483,1148,1009,79,36,0,23,73,133
1484,1156,1010,80,35,0,23,73,133
1485,1166,1008,79,36,0,23,73,133
1486,1177,1006,78,35,0,23,73,133
1487,1186,1004,78,35,0,23,73,133
1488,1192,1004,79,35,0,23,73,133
1489,1201,1003,83,35,0,23,73,133
1490,1216,1002,83,34,0,23,73,133
1491,1231,1001,82,34,0,23,73,133
1492,1242,1000,83,34,0,23,73,133
1493,1250,1000,82,34,0,23,73,133
1494,1262,1000,82,34,0,23,73,133
1495,1269,999,84,35,0,23,73,133
1496,1278,998,86,36,0,23,73,133
1497,1288,999,85,34,0,23,73,133
1498,1303,1001,84,32,0,23,73,133
1499,1318,998,82,33,0,23,73,133
1500,1331,997,81,34,0,23,73,133
1501,1342,997,81,34,0,23,73,133
1502,1353,997,80,35,0,23,73,133
1503,1364,997,79,35,0,23,73,133
1504,1373,997,80,35,0,23,73,133
1505,1384,995,79,35,0,23,73,133
1506,1392,994,79,36,0,23,73,133
1507,1405,992,80,36,0,23,73,133
1508,1418,991,79,35,0,23,73,133
1509,1432,990,78,35,0,23,73,133
1510,1442,988,78,35,0,23,73,133
1511,1453,987,77,36,0,23,73,133
1512,1462,986,77,35,0,23,73,133
1513,1467,985,80,36,0,23,73,133
1514,1478,984,80,36,0,23,73,133
1515,1490,984,79,35,0,23,73,133
1516,1501,983,78,35,0,23,73,133
1517,1512,982,78,35,0,23,73,133
1518,1524,982,78,34,0,23,73,133
1519,1535,981,77,34,0,23,73,133
1520,1547,980,75,33,0,23,73,133
1521,1557,980,75,33,0,23,73,133
1522,1567,979,74,33,0,23,73,133
1523,1578,978,70,30,0,23,73,133
1524,1586,978,71,31,0,23,73,133
1525,1596,977,72,32,0,23,73,133
1526,1606,976,73,32,0,23,73,133
1527,1621,975,73,31,0,23,73,133
1528,1627,975,71,31,0,23,73,133
1529,1638,973,72,32,0,23,73,133
1530,1645,970,70,33,0,23,73,133
1531,1655,967,70,34,0,23,73,133
1532,1665,964,68,34,0,23,73,133
1533,1674,963,68,34,0,23,73,133
1534,1685,960,67,33,0,23,73,133
1535,1699,956,66,33,0,23,73,133
1536,1712,953,68,34,0,23,73,133
1537,1721,952,68,35,0,23,73,133
1538,1729,951,68,34,0,23,73,133
1539,1739,947,70,34,0,23,73,133
1540,1746,944,72,35,0,23,73,133
1541,1752,943,74,36,0,23,73,133
1542,1766,946,66,32,0,23,73,133
1543,1780,950,59,29,0,23,73,133
1544,1783,946,66,32,0,23,73,133
1545,1787,946,72,35,0,23,73,133
1546,1807,944,66,33,0,23,73,133
1547,1820,943,61,30,0,23,73,133
1548,1824,941,68,32,0,23,73,133
1549,1828,939,73,33,0,23,73,133
1550,1836,937,76,33,0,23,73,133
1551,1858,935,68,31,0,23,73,133
1552,1874,935,62,30,0,23,73,133
1553,1886,933,63,31,0,23,73,133
1554,1898,932,64,32,0,23,73,133
1555,1910,930,65,33,0,23,73,133
1556,1922,928,66,34,0,23,73,133
1557,1932,926,67,36,0,23,73,133
1558,1939,924,69,37,0,23,73,133
1559,1947,923,69,37,0,23,73,133
1560,1956,922,69,38,0,23,73,133
1561,1963,919,69,38,0,23,73,133
1562,1976,918,69,36,0,23,73,133
1563,1990,918,70,36,0,23,73,133
1564,2003,918,70,36,0,23,73,133
1565,2016,917,71,35,0,23,73,133
1566,2030,917,72,35,0,23,73,133
1567,2040,916,71,35,0,23,73,133
1568,2050,915,71,34,0,23,73,133
1569,2058,916,71,33,0,23,73,133
1570,2074,919,68,32,0,23,73,133
1571,2086,920,67,33,0,23,73,133
1572,2100,921,64,33,0,23,73,133
1573,2111,920,63,32,0,23,73,133
1574,2122,922,63,32,0,23,73,133
1575,2134,922,63,31,0,23,73,133
1576,2147,922,63,31,0,23,73,133
1577,2159,922,64,31,0,23,73,133
1578,2170,922,66,31,0,23,73,133
1579,2182,920,64,32,0,23,73,133
1580,2194,922,64,31,0,23,73,133
1581,2205,922,67,32,0,23,73,133
1582,2216,923,68,32,0,23,73,133
1583,2228,923,69,32,0,23,73,133
1584,2239,923,70,32,0,23,73,133
1585,2252,924,72,32,0,23,73,133
1586,2264,925,72,31,0,23,73,133
1587,2276,927,73,31,0,23,73,133
1588,2288,927,72,32,0,23,73,133
1589,2300,927,72,33,0,23,73,133
1590,2311,927,70,33,0,23,73,133
1591,2327,923,71,34,0,23,73,133
1592,2337,927,69,32,0,23,73,133
1593,2347,928,68,31,0,23,73,133
1594,2363,927,69,33,0,23,73,133
1595,2377,927,68,32,0,23,73,133
1596,2388,927,67,32,0,23,73,133
1597,2400,927,67,33,0,23,73,133
1598,2413,926,67,33,0,23,73,133
1599,2426,925,67,33,0,23,73,133
1600,2438,925,68,33,0,23,73,133
1601,2451,926,68,33,0,23,73,133
1602,2465,927,69,34,0,23,73,133
1603,2480,929,67,31,0,23,73,133
1604,2495,929,68,33,0,23,73,133
1605,2509,930,69,35,0,23,73,133
1606,2524,930,70,37,0,23,73,133
1607,2537,928,67,36,0,23,73,133
1608,2546,928,68,37,0,23,73,133
1609,2560,928,66,36,0,23,73,133
1610,2573,928,65,34,0,23,73,133
1611,2586,927,64,32,0,23,73,133
1612,2600,927,62,31,0,23,73,133
1613,2611,928,64,30,0,23,73,133
1614,2624,927,65,30,0,23,73,133
1615,2637,927,67,31,0,23,73,133
1616,2655,929,69,31,0,23,73,133
1617,2673,929,70,32,0,23,73,133
1618,2686,929,72,33,0,23,73,133
1619,2696,929,74,34,0,23,73,133
1620,2707,929,75,34,0,23,73,133
1621,2719,929,75,34,0,23,73,133
1622,2730,928,75,35,0,23,73,133
1623,2744,926,76,34,0,23,73,133
1624,2760,926,72,33,0,23,73,133
1625,2775,926,69,32,0,23,73,133
1626,2792,927,71,33,0,23,73,133
1627,2804,924,72,33,0,23,73,133
1628,2818,923,74,32,0,23,73,133
1629,2829,921,75,33,0,23,73,133
1630,2839,921,76,33,0,23,73,133
1631,2851,920,77,33,0,23,73,133
1632,2873,922,75,33,0,23,73,133
1633,2886,924,75,33,0,23,73,133
1634,2900,923,75,34,0,23,73,133
1635,2914,923,75,34,0,23,73,133
1636,2928,922,74,34,0,23,73,133
1637,2941,922,74,34,0,23,73,133
1638,2955,922,74,34,0,23,73,133
1639,2971,924,74,34,0,23,73,133
1640,2985,926,73,34,0,23,73,133
1641,3001,927,73,34,0,23,73,133
1642,3017,928,74,35,0,23,73,133
1643,3033,929,74,36,0,23,73,133
1644,3049,930,74,36,0,23,73,133
1645,3066,931,74,36,0,23,73,133
1646,3079,931,75,37,0,23,73,133
1647,3093,932,76,37,0,23,73,133
1648,3106,934,72,35,0,23,73,133
1649,3119,935,67,33,0,23,73,133
1650,3131,937,60,31,0,23,73,133
1651,3152,939,60,31,0,23,73,133
1652,3167,941,58,29,0,23,73,133
1653,3183,944,58,28,0,23,73,133
1654,3199,945,59,27,0,23,73,133
1655,3209,948,63,29,0,23,73,133
1656,3218,951,66,31,0,23,73,133
1657,3234,954,66,33,0,23,73,133
1658,3257,953,67,34,0,23,73,133
1659,3270,951,69,35,0,23,73,133
1660,3279,950,72,37,0,23,73,133
1661,3291,948,72,39,0,23,73,133
1662,3306,946,72,41,0,23,73,133
1663,3325,950,68,37,0,23,73,133
1664,3344,952,67,35,0,23,73,133
1665,3358,956,61,33,0,23,73,133
1666,3372,959,62,31,0,23,73,133
1667,3392,959,62,30,0,23,73,133
1668,3407,960,61,30,0,23,73,133
1669,3426,960,60,30,0,23,73,133
1670,3440,962,60,29,0,23,73,133
1671,3454,964,60,29,0,23,73,133
1672,3472,963,58,28,0,23,73,133
1673,3485,963,54,27,0,23,73,133
1674,3509,962,53,27,0,23,73,133
1675,3526,961,52,28,0,23,73,133
