frameNo,left,top,w,h,conf,lat,long,alt
1566,3772,1440,64,37,0,23,73,133
1567,3761,1437,73,40,0,23,73,133
1568,3750,1437,77,40,0,23,73,133
1569,3739,1438,83,38,0,23,73,133
1570,3728,1437,84,37,0,23,73,133
1571,3717,1438,84,36,0,23,73,133
1572,3705,1440,82,35,0,23,73,133
1573,3691,1441,82,36,0,23,73,133
1574,3680,1442,81,34,0,23,73,133
1575,3672,1444,80,34,0,23,73,133
1576,3662,1445,79,34,0,23,73,133
1577,3652,1446,78,33,0,23,73,133
1578,3642,1446,77,33,0,23,73,133
1579,3632,1447,76,32,0,23,73,133
1580,3622,1448,74,32,0,23,73,133
1581,3612,1449,73,32,0,23,73,133
1582,3602,1450,72,31,0,23,73,133
1583,3592,1450,71,31,0,23,73,133
1584,3582,1451,70,30,0,23,73,133
1585,3572,1452,69,30,0,23,73,133
1586,3556,1452,71,30,0,23,73,133
1587,3546,1453,71,30,0,23,73,133
1588,3538,1454,68,29,0,23,73,133
1589,3531,1455,66,28,0,23,73,133
1590,3520,1455,68,28,0,23,73,133
1591,3508,1456,69,28,0,23,73,133
1592,3496,1456,70,29,0,23,73,133
1593,3485,1456,72,29,0,23,73,133
1594,3473,1457,74,30,0,23,73,133
1595,3458,1457,78,31,0,23,73,133
1596,3447,1456,77,32,0,23,73,133
1597,3437,1456,78,32,0,23,73,133
1598,3429,1456,79,33,0,23,73,133
1599,3419,1458,79,32,0,23,73,133
1600,3407,1459,78,32,0,23,73,133
1601,3397,1459,77,32,0,23,73,133
1602,3386,1459,76,32,0,23,73,133
1603,3379,1458,75,31,0,23,73,133
1604,3368,1460,75,32,0,23,73,133
1605,3356,1461,75,31,0,23,73,133
1606,3346,1462,77,31,0,23,73,133
1607,3334,1462,79,31,0,23,73,133
1608,3326,1462,77,30,0,23,73,133
1609,3317,1463,77,30,0,23,73,133
1610,3308,1462,74,28,0,23,73,133
1611,3299,1465,71,27,0,23,73,133
1612,3292,1466,67,27,0,23,73,133
1613,3282,1468,65,24,0,23,73,133
1614,3274,1465,71,26,0,23,73,133
1615,3262,1464,75,27,0,23,73,133
1616,3255,1466,69,26,0,23,73,133
