frameNo,left,top,w,h,conf,lat,long,alt
2064,3,1016,51,99,0,23,73,133
2065,3,1017,57,101,0,23,73,133
2066,4,1017,63,104,0,23,73,133
2067,4,1017,70,103,0,23,73,133
2068,5,1016,79,102,0,23,73,133
2069,6,1014,88,103,0,23,73,133
2070,6,1016,98,100,0,23,73,133
2071,6,1020,107,97,0,23,73,133
2072,6,1020,115,96,0,23,73,133
2073,6,1021,125,94,0,23,73,133
2074,6,1023,133,94,0,23,73,133
2075,6,1022,143,94,0,23,73,133
2076,6,1023,150,93,0,23,73,133
2077,5,1024,158,91,0,23,73,133
2078,8,1023,164,90,0,23,73,133
2079,10,1026,170,86,0,23,73,133
2080,18,1025,173,84,0,23,73,133
2081,26,1026,175,82,0,23,73,133
2082,33,1027,177,82,0,23,73,133
2083,40,1026,179,81,0,23,73,133
2084,47,1026,181,80,0,23,73,133
2085,57,1027,181,79,0,23,73,133
2086,65,1027,181,80,0,23,73,133
2087,73,1027,180,80,0,23,73,133
2088,81,1028,181,79,0,23,73,133
2089,87,1027,181,79,0,23,73,133
2090,94,1029,181,76,0,23,73,133
2091,103,1029,180,76,0,23,73,133
2092,114,1027,179,77,0,23,73,133
2093,122,1026,178,78,0,23,73,133
2094,130,1025,177,77,0,23,73,133
2095,137,1024,177,77,0,23,73,133
2096,145,1026,177,76,0,23,73,133
2097,152,1025,176,76,0,23,73,133
2098,162,1025,174,76,0,23,73,133
2099,171,1025,175,78,0,23,73,133
2100,177,1027,175,78,0,23,73,133
2101,184,1028,176,77,0,23,73,133
2102,190,1025,174,77,0,23,73,133
2103,199,1026,173,77,0,23,73,133
2104,208,1027,174,77,0,23,73,133
2105,215,1027,173,77,0,23,73,133
2106,221,1027,174,77,0,23,73,133
2107,228,1027,173,77,0,23,73,133
2108,234,1027,174,76,0,23,73,133
2109,242,1027,174,75,0,23,73,133
2110,249,1027,174,76,0,23,73,133
2111,257,1029,174,76,0,23,73,133
2112,262,1028,175,76,0,23,73,133
2113,269,1028,175,76,0,23,73,133
2114,276,1028,176,77,0,23,73,133
2115,282,1028,176,77,0,23,73,133
2116,289,1028,175,76,0,23,73,133
2117,295,1029,176,76,0,23,73,133
2118,303,1029,176,76,0,23,73,133
2119,309,1028,177,76,0,23,73,133
2120,316,1027,175,77,0,23,73,133
2121,322,1027,175,78,0,23,73,133
2122,328,1028,175,77,0,23,73,133
2123,334,1027,175,77,0,23,73,133
2124,340,1028,174,76,0,23,73,133
2125,347,1028,175,76,0,23,73,133
2126,355,1028,174,75,0,23,73,133
2127,361,1027,174,77,0,23,73,133
2128,366,1027,174,77,0,23,73,133
2129,371,1027,175,77,0,23,73,133
2130,375,1028,176,77,0,23,73,133
2131,378,1028,177,76,0,23,73,133
2132,384,1027,175,76,0,23,73,133
2133,390,1029,172,74,0,23,73,133
2134,396,1029,171,75,0,23,73,133
2135,402,1028,170,75,0,23,73,133
2136,408,1028,171,74,0,23,73,133
2137,415,1029,172,75,0,23,73,133
2138,421,1030,172,75,0,23,73,133
2139,424,1030,171,75,0,23,73,133
2140,427,1031,172,75,0,23,73,133
2141,434,1029,172,74,0,23,73,133
2142,439,1030,169,73,0,23,73,133
2143,443,1031,168,72,0,23,73,133
2144,448,1031,168,73,0,23,73,133
2145,454,1029,169,73,0,23,73,133
2146,460,1029,169,73,0,23,73,133
2147,465,1029,169,73,0,23,73,133
2148,471,1030,169,72,0,23,73,133
2149,475,1030,170,71,0,23,73,133
2150,476,1029,170,71,0,23,73,133
2151,481,1028,168,72,0,23,73,133
2152,486,1028,167,72,0,23,73,133
2153,493,1027,168,74,0,23,73,133
2154,497,1028,169,74,0,23,73,133
2155,503,1026,168,74,0,23,73,133
2156,508,1026,169,75,0,23,73,133
2157,513,1028,170,74,0,23,73,133
2158,519,1027,169,75,0,23,73,133
2159,520,1029,171,73,0,23,73,133
2160,525,1029,171,74,0,23,73,133
2161,530,1029,170,74,0,23,73,133
2162,537,1029,171,74,0,23,73,133
2163,544,1028,170,74,0,23,73,133
2164,549,1027,169,73,0,23,73,133
2165,554,1027,169,73,0,23,73,133
2166,555,1028,172,73,0,23,73,133
2167,561,1028,171,72,0,23,73,133
2168,565,1030,172,73,0,23,73,133
2169,568,1027,172,73,0,23,73,133
2170,573,1026,171,73,0,23,73,133
2171,574,1028,174,72,0,23,73,133
2172,581,1028,171,70,0,23,73,133
2173,590,1028,171,72,0,23,73,133
2174,597,1027,171,73,0,23,73,133
2175,604,1026,170,73,0,23,73,133
2176,608,1027,170,73,0,23,73,133
2177,611,1027,171,73,0,23,73,133
2178,616,1027,171,73,0,23,73,133
2179,618,1027,173,73,0,23,73,133
2180,623,1027,174,73,0,23,73,133
2181,628,1028,172,73,0,23,73,133
2182,634,1027,171,74,0,23,73,133
2183,640,1028,171,74,0,23,73,133
2184,644,1027,173,74,0,23,73,133
2185,651,1026,173,75,0,23,73,133
2186,657,1027,172,75,0,23,73,133
2187,662,1027,173,74,0,23,73,133
2188,666,1027,172,74,0,23,73,133
2189,668,1027,173,74,0,23,73,133
2190,671,1025,173,75,0,23,73,133
2191,677,1025,171,75,0,23,73,133
2192,681,1026,172,76,0,23,73,133
2193,685,1028,171,75,0,23,73,133
2194,693,1025,168,75,0,23,73,133
2195,699,1025,167,75,0,23,73,133
2196,706,1026,168,75,0,23,73,133
2197,710,1027,170,74,0,23,73,133
2198,714,1027,171,74,0,23,73,133
2199,717,1026,172,74,0,23,73,133
2200,722,1025,170,73,0,23,73,133
2201,727,1025,171,74,0,23,73,133
2202,734,1025,169,74,0,23,73,133
2203,739,1023,168,74,0,23,73,133
2204,744,1023,168,73,0,23,73,133
2205,749,1023,168,74,0,23,73,133
2206,756,1023,166,74,0,23,73,133
2207,761,1024,166,74,0,23,73,133
2208,766,1023,166,74,0,23,73,133
2209,771,1023,167,74,0,23,73,133
2210,778,1023,166,75,0,23,73,133
