frameNo,left,top,w,h,conf,lat,long,alt
1,2395,745,48,61,0,23,73,134
2,2394,745,50,62,0,23,73,134
3,2394,745,49,61,0,23,73,134
4,2395,745,48,61,0,23,73,134
5,2395,745,49,62,0,23,73,134
6,2394,745,50,62,0,23,73,134
7,2395,745,50,63,0,23,73,134
8,2395,745,49,62,0,23,73,134
9,2395,745,49,62,0,23,73,134
10,2395,746,50,61,0,23,73,134
11,2395,745,50,62,0,23,73,134
12,2395,745,51,62,0,23,73,134
13,2394,745,52,62,0,23,73,134
14,2394,745,52,62,0,23,73,134
15,2394,745,52,62,0,23,73,134
16,2394,745,52,62,0,23,73,134
17,2394,744,51,63,0,23,73,134
18,2394,744,51,63,0,23,73,134
19,2393,744,52,63,0,23,73,134
20,2393,744,52,63,0,23,73,134
21,2393,744,52,63,0,23,73,134
22,2393,744,52,63,0,23,73,134
23,2393,744,52,63,0,23,73,134
24,2393,744,52,63,0,23,73,134
25,2393,744,52,63,0,23,73,134
26,2393,743,52,64,0,23,73,134
27,2394,743,50,63,0,23,73,134
28,2394,743,51,63,0,23,73,134
29,2394,743,50,63,0,23,73,134
30,2394,743,50,63,0,23,73,134
31,2394,744,51,62,0,23,73,134
32,2394,744,51,62,0,23,73,134
33,2395,744,49,62,0,23,73,134
34,2395,743,50,63,0,23,73,134
35,2395,744,49,62,0,23,73,134
36,2395,744,48,62,0,23,73,134
37,2395,744,49,62,0,23,73,134
38,2395,743,49,63,0,23,73,134
39,2394,743,50,63,0,23,73,134
40,2394,743,50,63,0,23,73,134
41,2395,743,49,63,0,23,73,134
42,2394,743,50,62,0,23,73,134
43,2394,743,49,62,0,23,73,134
44,2394,743,49,62,0,23,73,134
45,2394,743,49,62,0,23,73,134
46,2393,743,51,63,0,23,73,134
47,2393,742,51,64,0,23,73,134
48,2393,742,51,64,0,23,73,134
49,2393,742,52,64,0,23,73,134
50,2393,742,52,64,0,23,73,134
51,2393,742,52,64,0,23,73,134
52,2393,742,52,64,0,23,73,134
53,2393,742,52,64,0,23,73,134
54,2393,742,51,64,0,23,73,134
55,2393,742,51,64,0,23,73,134
56,2393,743,51,62,0,23,73,134
57,2392,743,51,62,0,23,73,134
58,2392,743,51,63,0,23,73,134
59,2392,743,51,63,0,23,73,134
60,2392,743,51,62,0,23,73,134
61,2393,743,49,62,0,23,73,134
62,2393,744,48,61,0,23,73,134
63,2393,744,48,61,0,23,73,134
64,2393,744,48,61,0,23,73,134
65,2393,744,47,61,0,23,73,134
66,2394,743,46,62,0,23,73,134
67,2394,743,46,62,0,23,73,134
68,2393,743,47,62,0,23,73,134
69,2393,743,48,62,0,23,73,134
70,2392,744,48,62,0,23,73,134
71,2392,743,49,62,0,23,73,134
72,2392,743,49,62,0,23,73,134
73,2392,743,50,63,0,23,73,134
74,2391,744,51,62,0,23,73,134
75,2391,743,52,63,0,23,73,134
76,2390,744,54,62,0,23,73,134
77,2390,744,54,62,0,23,73,134
78,2390,744,55,62,0,23,73,134
79,2391,743,53,62,0,23,73,134
80,2391,744,53,61,0,23,73,134
81,2391,743,53,62,0,23,73,134
82,2391,743,53,62,0,23,73,134
83,2392,743,52,61,0,23,73,134
84,2392,743,52,61,0,23,73,134
85,2392,743,52,61,0,23,73,134
86,2393,744,50,60,0,23,73,134
87,2393,744,50,60,0,23,73,134
88,2393,744,50,59,0,23,73,134
89,2394,744,49,59,0,23,73,134
90,2394,745,48,57,0,23,73,134
91,2390,751,47,53,0,23,73,134
92,2393,748,47,54,0,23,73,134
93,2390,753,46,50,0,23,73,134
94,2393,750,46,51,0,23,73,134
95,2394,748,47,53,0,23,73,134
96,2394,747,47,54,0,23,73,134
97,2394,746,48,55,0,23,73,134
98,2394,746,48,56,0,23,73,134
99,2394,746,48,56,0,23,73,134
100,2394,745,49,57,0,23,73,134
101,2393,745,50,57,0,23,73,134
102,2393,746,49,57,0,23,73,134
103,2393,746,49,57,0,23,73,134
104,2394,746,48,57,0,23,73,134
105,2390,752,46,52,0,23,73,134
106,2389,755,45,49,0,23,73,134
107,2389,756,43,47,0,23,73,134
108,2392,752,45,49,0,23,73,134
109,2390,756,43,47,0,23,73,134
110,2390,759,42,44,0,23,73,134
111,2390,760,41,41,0,23,73,134
112,2390,760,41,41,0,23,73,134
113,2390,761,41,39,0,23,73,134
114,2390,760,41,40,0,23,73,134
115,2390,760,41,40,0,23,73,134
116,2391,759,42,41,0,23,73,134
117,2391,759,42,41,0,23,73,134
118,2391,758,42,42,0,23,73,134
119,2391,757,42,43,0,23,73,134
120,2392,756,43,44,0,23,73,134
121,2392,756,43,44,0,23,73,134
122,2392,755,43,45,0,23,73,134
123,2393,754,43,46,0,23,73,134
124,2393,753,44,47,0,23,73,134
125,2393,752,44,48,0,23,73,134
126,2394,752,44,48,0,23,73,134
127,2394,751,44,49,0,23,73,134
128,2394,750,45,50,0,23,73,134
129,2395,749,45,51,0,23,73,134
130,2395,748,45,52,0,23,73,134
131,2395,748,45,52,0,23,73,134
132,2396,747,46,53,0,23,73,134
133,2396,746,46,54,0,23,73,134
134,2396,746,46,54,0,23,73,134
135,2396,745,46,55,0,23,73,134
136,2395,746,47,55,0,23,73,134
137,2395,746,46,55,0,23,73,134
138,2395,746,46,55,0,23,73,134
139,2395,747,45,55,0,23,73,134
140,2391,751,44,52,0,23,73,134
141,2390,753,42,50,0,23,73,134
142,2390,753,41,49,0,23,73,134
143,2394,750,42,51,0,23,73,134
144,2395,749,43,53,0,23,73,134
145,2395,749,44,53,0,23,73,134
146,2392,752,43,50,0,23,73,134
147,2390,754,42,48,0,23,73,134
148,2394,751,43,50,0,23,73,134
149,2395,749,44,52,0,23,73,134
150,2391,752,43,50,0,23,73,134
151,2390,753,43,48,0,23,73,134
152,2390,754,42,47,0,23,73,134
153,2390,754,42,47,0,23,73,134
154,2393,751,44,49,0,23,73,134
155,2395,749,44,51,0,23,73,134
156,2392,753,42,48,0,23,73,134
157,2391,754,42,47,0,23,73,134
158,2394,751,43,49,0,23,73,134
159,2392,754,42,47,0,23,73,134
160,2391,755,41,46,0,23,73,134
161,2391,755,41,45,0,23,73,134
162,2391,756,41,44,0,23,73,134
163,2391,756,41,44,0,23,73,134
164,2391,756,40,44,0,23,73,134
165,2391,757,40,43,0,23,73,134
166,2391,756,40,44,0,23,73,134
167,2394,753,42,46,0,23,73,134
168,2394,752,44,47,0,23,73,134
169,2394,751,45,48,0,23,73,134
170,2393,750,47,50,0,23,73,134
171,2393,749,47,51,0,23,73,134
172,2394,749,46,51,0,23,73,134
173,2393,748,48,52,0,23,73,134
174,2392,747,49,53,0,23,73,134
175,2392,747,49,52,0,23,73,134
176,2392,746,50,53,0,23,73,134
177,2392,747,49,53,0,23,73,134
178,2391,747,50,53,0,23,73,134
179,2392,746,49,53,0,23,73,134
180,2392,745,50,53,0,23,73,134
181,2392,745,50,53,0,23,73,134
182,2392,746,50,52,0,23,73,134
183,2393,746,49,52,0,23,73,134
184,2393,746,49,52,0,23,73,134
185,2393,747,49,51,0,23,73,134
186,2393,746,49,51,0,23,73,134
187,2394,745,49,51,0,23,73,134
188,2395,746,48,50,0,23,73,134
189,2395,745,48,51,0,23,73,134
190,2396,746,48,50,0,23,73,134
191,2397,746,46,50,0,23,73,134
192,2397,748,46,48,0,23,73,134
193,2397,748,46,48,0,23,73,134
194,2398,749,45,46,0,23,73,134
195,2398,749,44,46,0,23,73,134
196,2398,749,44,46,0,23,73,134
197,2399,748,43,46,0,23,73,134
198,2399,748,43,46,0,23,73,134
199,2398,750,43,45,0,23,73,134
200,2398,750,43,45,0,23,73,134
201,2397,751,44,46,0,23,73,134
202,2397,751,44,46,0,23,73,134
203,2396,751,45,46,0,23,73,134
204,2396,752,45,46,0,23,73,134
205,2396,752,45,47,0,23,73,134
206,2395,752,46,47,0,23,73,134
207,2395,752,46,47,0,23,73,134
208,2394,753,47,48,0,23,73,134
209,2394,753,47,48,0,23,73,134
210,2393,752,48,49,0,23,73,134
211,2393,751,49,49,0,23,73,134
212,2393,751,49,49,0,23,73,134
213,2393,750,49,50,0,23,73,134
214,2392,750,49,50,0,23,73,134
215,2392,749,49,51,0,23,73,134
216,2391,749,51,51,0,23,73,134
217,2391,748,51,53,0,23,73,134
218,2391,748,51,53,0,23,73,134
219,2392,747,50,54,0,23,73,134
220,2393,746,49,55,0,23,73,134
221,2394,746,48,55,0,23,73,134
222,2394,747,47,54,0,23,73,134
223,2393,748,47,53,0,23,73,134
224,2393,749,46,53,0,23,73,134
225,2392,750,45,52,0,23,73,134
226,2392,751,45,51,0,23,73,134
227,2392,752,44,50,0,23,73,134
228,2391,752,43,50,0,23,73,134
229,2391,753,42,49,0,23,73,134
230,2391,754,42,48,0,23,73,134
231,2390,755,41,47,0,23,73,134
232,2390,756,40,47,0,23,73,134
233,2389,757,40,46,0,23,73,134
234,2389,758,39,45,0,23,73,134
235,2389,757,40,46,0,23,73,134
236,2393,751,41,51,0,23,73,134
237,2395,748,42,53,0,23,73,134
238,2396,747,42,55,0,23,73,134
239,2396,746,41,55,0,23,73,134
240,2391,750,41,54,0,23,73,134
241,2389,751,41,53,0,23,73,134
