frameNo,left,top,w,h,conf,lat,long,alt
1642,3099,549,86,36,0,23,73,132
1643,3098,548,87,37,0,23,73,132
1644,3099,549,86,36,0,23,73,132
1645,3099,549,86,36,0,23,73,132
1646,3099,549,87,36,0,23,73,132
1647,3097,549,88,36,0,23,73,132
1648,3098,549,88,36,0,23,73,132
1649,3098,549,89,36,0,23,73,132
1650,3099,549,88,36,0,23,73,132
1651,3100,549,86,36,0,23,73,132
1652,3100,549,86,35,0,23,73,132
1653,3101,550,85,35,0,23,73,132
1654,3102,550,84,34,0,23,73,132
1655,3102,550,84,34,0,23,73,132
1656,3103,551,83,34,0,23,73,132
1657,3103,551,83,34,0,23,73,132
1658,3103,551,83,34,0,23,73,132
1659,3104,551,82,33,0,23,73,132
1660,3104,551,82,33,0,23,73,132
1661,3104,551,82,33,0,23,73,132
1662,3105,552,82,32,0,23,73,132
1663,3105,552,81,32,0,23,73,132
1664,3106,553,80,32,0,23,73,132
1665,3106,553,79,31,0,23,73,132
1666,3107,553,78,31,0,23,73,132
1667,3107,553,77,31,0,23,73,132
1668,3108,553,76,31,0,23,73,132
1669,3108,553,76,31,0,23,73,132
1670,3108,553,76,31,0,23,73,132
1671,3108,553,76,31,0,23,73,132
1672,3108,553,76,31,0,23,73,132
1673,3108,553,76,31,0,23,73,132
1674,3108,553,76,31,0,23,73,132
1675,3108,553,76,31,0,23,73,132
1676,3107,553,76,31,0,23,73,132
1677,3107,553,76,31,0,23,73,132
1678,3107,553,76,31,0,23,73,132
1679,3107,553,76,31,0,23,73,132
1680,3107,553,76,31,0,23,73,132
1681,3107,553,76,31,0,23,73,132
1682,3107,553,76,31,0,23,73,132
1683,3107,553,76,31,0,23,73,132
1684,3107,552,77,32,0,23,73,132
1685,3107,552,77,32,0,23,73,132
1686,3107,552,77,32,0,23,73,132
1687,3107,552,77,32,0,23,73,132
1688,3107,552,77,32,0,23,73,132
1689,3107,552,77,32,0,23,73,132
1690,3106,552,77,32,0,23,73,132
1691,3106,552,77,32,0,23,73,132
1692,3106,552,77,32,0,23,73,132
1693,3106,552,77,32,0,23,73,132
1694,3106,552,77,32,0,23,73,132
1695,3106,552,77,32,0,23,73,132
1696,3106,552,77,32,0,23,73,132
1697,3106,552,77,32,0,23,73,132
1698,3106,552,77,32,0,23,73,132
1699,3106,552,77,32,0,23,73,132
1700,3106,552,77,32,0,23,73,132
1701,3106,552,77,32,0,23,73,132
1702,3106,552,77,32,0,23,73,132
1703,3106,552,77,32,0,23,73,132
1704,3106,552,77,32,0,23,73,132
1705,3105,552,77,32,0,23,73,132
1706,3105,552,77,32,0,23,73,132
1707,3105,552,77,32,0,23,73,132
1708,3105,552,77,32,0,23,73,132
1709,3105,552,77,32,0,23,73,132
1710,3105,552,77,32,0,23,73,132
1711,3105,552,77,32,0,23,73,132
1712,3105,552,77,32,0,23,73,132
1713,3105,552,77,32,0,23,73,132
1714,3105,552,77,32,0,23,73,132
1715,3105,551,78,33,0,23,73,132
1716,3105,551,78,33,0,23,73,132
1717,3105,551,78,33,0,23,73,132
1718,3105,551,78,33,0,23,73,132
1719,3105,551,78,33,0,23,73,132
1720,3104,551,78,33,0,23,73,132
1721,3104,551,78,33,0,23,73,132
1722,3104,551,78,33,0,23,73,132
1723,3104,551,78,33,0,23,73,132
1724,3104,551,78,33,0,23,73,132
1725,3104,551,78,33,0,23,73,132
1726,3104,551,78,33,0,23,73,132
1727,3104,551,78,33,0,23,73,132
1728,3104,551,78,33,0,23,73,132
1729,3104,551,78,33,0,23,73,132
1730,3104,551,78,33,0,23,73,132
1731,3104,551,78,33,0,23,73,132
1732,3104,551,78,33,0,23,73,132
1733,3104,551,78,33,0,23,73,132
1734,3103,551,78,33,0,23,73,132
1735,3103,551,78,33,0,23,73,132
1736,3103,551,78,33,0,23,73,132
1737,3103,551,78,33,0,23,73,132
1738,3103,551,78,33,0,23,73,132
1739,3103,551,78,33,0,23,73,132
1740,3103,551,78,33,0,23,73,132
1741,3103,551,78,33,0,23,73,132
1742,3103,551,78,33,0,23,73,132
1743,3103,551,78,33,0,23,73,132
1744,3103,551,78,33,0,23,73,132
1745,3103,551,78,33,0,23,73,132
1746,3103,551,78,33,0,23,73,132
1747,3103,550,79,34,0,23,73,132
1748,3103,550,79,34,0,23,73,132
1749,3102,550,79,34,0,23,73,132
1750,3102,550,79,34,0,23,73,132
1751,3102,550,79,34,0,23,73,132
1752,3102,550,79,34,0,23,73,132
1753,3102,550,79,34,0,23,73,132
1754,3102,550,79,34,0,23,73,132
1755,3102,550,79,34,0,23,73,132
1756,3102,550,79,34,0,23,73,132
1757,3102,550,79,34,0,23,73,132
1758,3102,550,79,34,0,23,73,132
1759,3102,550,79,34,0,23,73,132
1760,3102,550,79,34,0,23,73,132
1761,3102,550,79,34,0,23,73,132
1762,3102,550,79,34,0,23,73,132
1763,3101,550,79,34,0,23,73,132
1764,3101,550,79,34,0,23,73,132
1765,3101,550,79,34,0,23,73,132
1766,3101,550,79,34,0,23,73,132
1767,3101,550,79,34,0,23,73,132
1768,3101,550,79,34,0,23,73,132
1769,3101,550,79,34,0,23,73,132
1770,3101,550,79,34,0,23,73,132
1771,3101,550,79,34,0,23,73,132
1772,3101,550,79,34,0,23,73,132
1773,3101,550,79,34,0,23,73,132
1774,3101,550,79,34,0,23,73,132
1775,3101,550,79,34,0,23,73,132
1776,3101,550,79,34,0,23,73,132
1777,3101,550,79,34,0,23,73,132
1778,3100,549,80,35,0,23,73,132
1779,3100,549,80,35,0,23,73,132
1780,3100,549,80,35,0,23,73,132
1781,3100,549,80,35,0,23,73,132
1782,3100,549,80,35,0,23,73,132
1783,3100,549,80,35,0,23,73,132
1784,3100,549,80,35,0,23,73,132
1785,3100,549,80,35,0,23,73,132
1786,3100,549,80,35,0,23,73,132
1787,3100,549,80,35,0,23,73,132
1788,3100,549,80,35,0,23,73,132
1789,3100,549,80,35,0,23,73,132
1790,3100,549,80,35,0,23,73,132
1791,3100,549,80,35,0,23,73,132
1792,3100,549,80,35,0,23,73,132
1793,3099,549,80,35,0,23,73,132
1794,3099,549,80,35,0,23,73,132
1795,3099,549,80,35,0,23,73,132
1796,3099,549,80,35,0,23,73,132
1797,3099,549,80,35,0,23,73,132
1798,3099,549,80,35,0,23,73,132
1799,3099,549,80,35,0,23,73,132
1800,3099,549,80,35,0,23,73,132
1801,3099,549,80,35,0,23,73,132
1802,3099,549,80,35,0,23,73,132
1803,3099,549,80,35,0,23,73,132
1804,3099,549,80,35,0,23,73,132
1805,3099,549,80,35,0,23,73,132
1806,3099,549,80,35,0,23,73,132
1807,3098,549,80,35,0,23,73,132
1808,3098,549,80,35,0,23,73,132
1809,3098,548,81,36,0,23,73,132
1810,3098,548,81,36,0,23,73,132
1811,3098,548,81,36,0,23,73,132
1812,3098,548,81,36,0,23,73,132
1813,3098,548,81,36,0,23,73,132
1814,3098,548,81,36,0,23,73,132
1815,3098,548,81,36,0,23,73,132
1816,3098,548,81,36,0,23,73,132
1817,3098,548,81,36,0,23,73,132
1818,3098,548,81,36,0,23,73,132
1819,3098,548,81,36,0,23,73,132
1820,3098,548,81,36,0,23,73,132
1821,3098,548,81,36,0,23,73,132
1822,3097,548,81,36,0,23,73,132
1823,3097,548,81,36,0,23,73,132
1824,3097,548,81,36,0,23,73,132
1825,3097,548,81,36,0,23,73,132
1826,3097,548,81,36,0,23,73,132
1827,3097,548,81,36,0,23,73,132
1828,3097,548,81,36,0,23,73,132
1829,3097,548,81,36,0,23,73,132
1830,3097,548,81,36,0,23,73,132
1831,3097,548,81,36,0,23,73,132
1832,3097,548,81,36,0,23,73,132
1833,3097,548,81,36,0,23,73,132
1834,3097,548,81,36,0,23,73,132
1835,3097,548,81,36,0,23,73,132
1836,3096,548,81,36,0,23,73,132
1837,3096,548,81,36,0,23,73,132
1838,3096,548,81,36,0,23,73,132
1839,3096,548,81,36,0,23,73,132
1840,3096,548,81,36,0,23,73,132
1841,3096,547,82,37,0,23,73,132
1842,3096,547,82,37,0,23,73,132
1843,3096,547,82,37,0,23,73,132
1844,3096,547,82,37,0,23,73,132
1845,3096,547,82,37,0,23,73,132
1846,3096,547,82,37,0,23,73,132
1847,3096,547,82,37,0,23,73,132
1848,3096,547,82,37,0,23,73,132
1849,3096,547,82,37,0,23,73,132
1850,3096,547,82,37,0,23,73,132
1851,3095,547,82,37,0,23,73,132
1852,3095,547,82,37,0,23,73,132
1853,3095,547,82,37,0,23,73,132
1854,3095,547,82,37,0,23,73,132
1855,3095,547,82,37,0,23,73,132
1856,3095,547,82,37,0,23,73,132
1857,3095,547,82,37,0,23,73,132
1858,3095,547,82,37,0,23,73,132
1859,3095,547,82,37,0,23,73,132
1860,3095,547,82,37,0,23,73,132
1861,3095,547,82,37,0,23,73,132
1862,3095,547,82,37,0,23,73,132
1863,3095,547,82,37,0,23,73,132
1864,3095,547,82,37,0,23,73,132
1865,3095,547,82,37,0,23,73,132
1866,3094,547,82,37,0,23,73,132
1867,3094,547,82,37,0,23,73,132
1868,3094,547,82,37,0,23,73,132
1869,3094,547,82,37,0,23,73,132
1870,3094,547,82,37,0,23,73,132
1871,3094,547,82,37,0,23,73,132
1872,3094,546,83,38,0,23,73,132
1873,3094,546,83,38,0,23,73,132
1874,3094,546,83,38,0,23,73,132
1875,3094,546,83,38,0,23,73,132
1876,3094,546,83,38,0,23,73,132
1877,3094,546,83,38,0,23,73,132
1878,3094,546,83,38,0,23,73,132
1879,3094,546,83,38,0,23,73,132
1880,3093,546,83,38,0,23,73,132
1881,3093,546,83,38,0,23,73,132
1882,3093,546,83,38,0,23,73,132
1883,3093,546,83,38,0,23,73,132
1884,3093,546,83,38,0,23,73,132
1885,3093,546,83,38,0,23,73,132
1886,3093,546,83,38,0,23,73,132
1887,3093,546,83,38,0,23,73,132
1888,3094,546,82,38,0,23,73,132
1889,3094,546,83,38,0,23,73,132
1890,3095,546,83,38,0,23,73,132
1891,3095,546,83,38,0,23,73,132
1892,3095,546,83,38,0,23,73,132
1893,3095,546,83,38,0,23,73,132
1894,3095,546,83,38,0,23,73,132
1895,3096,546,82,38,0,23,73,132
1896,3096,546,82,38,0,23,73,132
1897,3096,546,82,38,0,23,73,132
1898,3096,546,82,38,0,23,73,132
1899,3096,546,82,37,0,23,73,132
1900,3096,546,82,37,0,23,73,132
1901,3096,547,82,37,0,23,73,132
1902,3096,547,82,37,0,23,73,132
1903,3096,547,81,37,0,23,73,132
1904,3097,547,81,37,0,23,73,132
1905,3097,547,81,37,0,23,73,132
1906,3097,547,81,37,0,23,73,132
1907,3097,547,81,37,0,23,73,132
1908,3097,547,81,37,0,23,73,132
1909,3097,547,81,37,0,23,73,132
1910,3097,547,81,37,0,23,73,132
1911,3097,547,81,37,0,23,73,132
1912,3097,547,80,37,0,23,73,132
1913,3097,547,80,37,0,23,73,132
1914,3098,547,80,37,0,23,73,132
1915,3098,547,80,37,0,23,73,132
1916,3098,547,80,36,0,23,73,132
1917,3098,547,80,36,0,23,73,132
1918,3098,547,80,36,0,23,73,132
1919,3098,547,80,36,0,23,73,132
1920,3098,547,80,36,0,23,73,132
1921,3098,548,79,36,0,23,73,132
1922,3098,548,79,36,0,23,73,132
1923,3099,548,79,36,0,23,73,132
1924,3099,548,79,36,0,23,73,132
1925,3099,548,79,36,0,23,73,132
1926,3099,548,79,36,0,23,73,132
1927,3099,548,79,36,0,23,73,132
1928,3099,548,79,36,0,23,73,132
1929,3099,548,78,36,0,23,73,132
1930,3099,548,78,36,0,23,73,132
1931,3099,548,78,36,0,23,73,132
1932,3100,548,78,36,0,23,73,132
1933,3100,548,78,36,0,23,73,132
1934,3100,548,78,35,0,23,73,132
1935,3100,548,78,35,0,23,73,132
1936,3100,548,78,35,0,23,73,132
1937,3100,548,78,35,0,23,73,132
1938,3100,548,77,35,0,23,73,132
1939,3100,548,77,35,0,23,73,132
1940,3100,548,77,35,0,23,73,132
1941,3100,549,77,35,0,23,73,132
1942,3101,549,77,35,0,23,73,132
1943,3101,549,77,35,0,23,73,132
1944,3101,549,77,35,0,23,73,132
1945,3101,549,77,35,0,23,73,132
1946,3101,549,77,35,0,23,73,132
1947,3101,549,76,35,0,23,73,132
1948,3101,549,76,35,0,23,73,132
1949,3101,549,76,35,0,23,73,132
1950,3101,549,76,35,0,23,73,132
1951,3102,549,76,34,0,23,73,132
1952,3102,549,76,34,0,23,73,132
1953,3102,549,76,34,0,23,73,132
1954,3102,549,76,34,0,23,73,132
1955,3102,549,75,34,0,23,73,132
1956,3102,549,75,34,0,23,73,132
1957,3102,549,75,34,0,23,73,132
1958,3102,549,75,34,0,23,73,132
1959,3102,549,75,34,0,23,73,132
1960,3103,549,75,34,0,23,73,132
1961,3103,550,75,34,0,23,73,132
1962,3103,550,75,34,0,23,73,132
1963,3103,550,75,34,0,23,73,132
1964,3103,550,74,34,0,23,73,132
1965,3103,550,74,34,0,23,73,132
1966,3103,550,74,34,0,23,73,132
1967,3103,550,74,34,0,23,73,132
1968,3103,550,74,33,0,23,73,132
1969,3103,550,74,33,0,23,73,132
1970,3104,550,74,33,0,23,73,132
1971,3104,550,74,33,0,23,73,132
1972,3104,550,74,33,0,23,73,132
1973,3104,550,73,33,0,23,73,132
1974,3104,550,73,33,0,23,73,132
1975,3104,550,73,33,0,23,73,132
1976,3104,550,73,33,0,23,73,132
1977,3104,550,73,33,0,23,73,132
1978,3104,550,73,33,0,23,73,132
1979,3105,550,73,33,0,23,73,132
1980,3105,550,73,33,0,23,73,132
1981,3105,551,72,33,0,23,73,132
1982,3105,551,72,33,0,23,73,132
1983,3105,551,72,33,0,23,73,132
1984,3105,551,72,33,0,23,73,132
1985,3105,551,72,33,0,23,73,132
1986,3105,551,72,32,0,23,73,132
1987,3105,551,72,32,0,23,73,132
1988,3106,551,72,32,0,23,73,132
1989,3106,551,72,32,0,23,73,132
1990,3106,551,71,32,0,23,73,132
1991,3106,551,71,32,0,23,73,132
1992,3106,551,71,32,0,23,73,132
1993,3106,551,71,32,0,23,73,132
1994,3106,551,71,32,0,23,73,132
1995,3106,551,71,32,0,23,73,132
1996,3106,551,71,32,0,23,73,132
1997,3106,551,71,32,0,23,73,132
1998,3107,551,71,32,0,23,73,132
1999,3107,551,70,32,0,23,73,132
2000,3107,551,70,32,0,23,73,132
2001,3107,552,70,32,0,23,73,132
2002,3107,552,70,32,0,23,73,132
2003,3107,552,70,31,0,23,73,132
2004,3107,552,70,31,0,23,73,132
2005,3107,552,70,31,0,23,73,132
2006,3107,552,70,31,0,23,73,132
2007,3108,552,69,31,0,23,73,132
2008,3108,552,69,31,0,23,73,132
2009,3108,552,69,31,0,23,73,132
2010,3108,552,69,31,0,23,73,132
2011,3108,552,69,31,0,23,73,132
2012,3108,552,69,31,0,23,73,132
2013,3108,552,69,31,0,23,73,132
2014,3108,552,69,31,0,23,73,132
2015,3108,552,69,31,0,23,73,132
2016,3108,552,69,31,0,23,73,132
2017,3108,552,69,31,0,23,73,132
2018,3108,552,69,31,0,23,73,132
2019,3108,552,69,31,0,23,73,132
2020,3108,552,69,31,0,23,73,132
2021,3108,552,69,31,0,23,73,132
2022,3108,552,69,31,0,23,73,132
2023,3108,552,69,31,0,23,73,132
2024,3108,552,69,31,0,23,73,132
2025,3108,552,69,31,0,23,73,132
2026,3108,552,69,31,0,23,73,132
2027,3108,552,69,31,0,23,73,132
2028,3109,552,69,31,0,23,73,132
2029,3109,552,69,31,0,23,73,132
2030,3109,552,69,31,0,23,73,132
2031,3109,552,69,31,0,23,73,132
2032,3109,552,69,31,0,23,73,132
2033,3109,552,69,31,0,23,73,132
2034,3109,552,69,31,0,23,73,132
2035,3109,552,69,31,0,23,73,132
2036,3109,552,69,31,0,23,73,132
2037,3109,552,69,31,0,23,73,132
2038,3109,552,69,31,0,23,73,132
2039,3109,552,69,31,0,23,73,132
2040,3109,552,69,31,0,23,73,132
2041,3109,552,69,31,0,23,73,132
2042,3109,552,69,31,0,23,73,132
2043,3109,552,69,31,0,23,73,132
2044,3109,552,69,31,0,23,73,132
2045,3109,552,69,31,0,23,73,132
2046,3109,552,69,31,0,23,73,132
2047,3109,552,69,31,0,23,73,132
2048,3109,552,69,31,0,23,73,132
2049,3109,552,69,31,0,23,73,132
2050,3109,552,69,31,0,23,73,132
2051,3109,552,69,31,0,23,73,133
2052,3109,552,69,31,0,23,73,133
2053,3109,552,69,31,0,23,73,133
2054,3109,552,69,31,0,23,73,133
2055,3109,552,69,31,0,23,73,133
2056,3109,552,69,31,0,23,73,133
2057,3109,552,69,31,0,23,73,133
2058,3109,552,69,31,0,23,73,133
2059,3109,552,69,31,0,23,73,133
2060,3109,552,69,31,0,23,73,133
2061,3110,552,70,31,0,23,73,133
2062,3110,552,70,31,0,23,73,133
2063,3110,552,70,31,0,23,73,133
2064,3110,552,70,31,0,23,73,133
2065,3110,552,70,31,0,23,73,133
2066,3110,552,70,31,0,23,73,133
2067,3110,552,70,31,0,23,73,133
2068,3110,552,70,31,0,23,73,133
2069,3110,552,70,31,0,23,73,133
2070,3110,552,70,31,0,23,73,133
2071,3110,552,70,31,0,23,73,133
2072,3110,552,70,31,0,23,73,133
2073,3110,552,70,31,0,23,73,133
2074,3110,552,70,31,0,23,73,133
2075,3110,552,70,31,0,23,73,133
2076,3110,552,70,31,0,23,73,133
2077,3110,552,70,31,0,23,73,133
2078,3110,552,70,31,0,23,73,133
2079,3110,552,70,31,0,23,73,133
2080,3110,552,70,31,0,23,73,133
2081,3110,552,70,31,0,23,73,133
2082,3110,552,70,31,0,23,73,133
2083,3110,552,70,31,0,23,73,133
2084,3110,552,70,31,0,23,73,133
2085,3110,552,70,31,0,23,73,133
2086,3110,552,70,31,0,23,73,133
2087,3110,552,70,31,0,23,73,133
2088,3110,552,70,31,0,23,73,133
2089,3110,552,70,31,0,23,73,133
2090,3110,552,70,31,0,23,73,133
2091,3110,552,70,31,0,23,73,133
2092,3110,552,70,31,0,23,73,133
2093,3110,552,70,31,0,23,73,133
2094,3111,552,70,31,0,23,73,133
2095,3111,552,70,31,0,23,73,133
2096,3111,552,70,31,0,23,73,133
2097,3111,552,70,31,0,23,73,133
2098,3111,552,70,31,0,23,73,133
2099,3111,552,70,31,0,23,73,133
2100,3111,552,70,31,0,23,73,133
2101,3111,552,70,31,0,23,73,133
2102,3111,552,70,31,0,23,73,133
2103,3111,552,70,31,0,23,73,133
2104,3111,552,70,31,0,23,73,133
2105,3111,552,70,31,0,23,73,133
2106,3111,552,70,31,0,23,73,133
2107,3111,552,70,31,0,23,73,133
2108,3111,552,70,31,0,23,73,133
2109,3111,552,70,31,0,23,73,133
2110,3111,552,70,31,0,23,73,133
2111,3111,552,70,31,0,23,73,133
2112,3111,552,70,31,0,23,73,133
2113,3111,552,70,31,0,23,73,133
2114,3111,552,70,31,0,23,73,133
2115,3111,552,70,31,0,23,73,133
2116,3111,552,70,31,0,23,73,133
2117,3111,552,70,31,0,23,73,133
2118,3111,552,70,31,0,23,73,133
2119,3111,552,70,31,0,23,73,133
2120,3111,552,70,31,0,23,73,133
2121,3111,552,70,31,0,23,73,133
2122,3111,552,70,31,0,23,73,133
2123,3111,552,70,31,0,23,73,133
2124,3111,552,70,31,0,23,73,133
2125,3111,552,70,31,0,23,73,133
2126,3111,552,70,31,0,23,73,133
2127,3112,552,70,31,0,23,73,133
2128,3112,552,70,31,0,23,73,133
2129,3112,552,70,31,0,23,73,133
2130,3112,552,70,31,0,23,73,133
2131,3112,552,70,31,0,23,73,133
2132,3112,552,70,31,0,23,73,133
2133,3112,552,70,31,0,23,73,133
2134,3112,552,70,31,0,23,73,133
2135,3112,552,70,31,0,23,73,133
2136,3112,552,70,31,0,23,73,133
2137,3112,552,70,31,0,23,73,133
2138,3112,552,70,31,0,23,73,133
2139,3112,552,70,31,0,23,73,133
2140,3112,552,70,31,0,23,73,133
2141,3112,552,70,31,0,23,73,133
2142,3112,552,70,31,0,23,73,133
2143,3112,552,70,31,0,23,73,133
2144,3112,552,70,31,0,23,73,133
2145,3112,552,70,31,0,23,73,133
2146,3112,552,70,31,0,23,73,133
2147,3112,552,70,31,0,23,73,133
2148,3112,552,70,31,0,23,73,133
2149,3112,552,70,31,0,23,73,133
2150,3112,552,70,31,0,23,73,133
2151,3112,552,70,31,0,23,73,133
2152,3112,552,70,31,0,23,73,133
2153,3112,552,70,31,0,23,73,133
2154,3112,552,70,31,0,23,73,133
2155,3112,552,70,31,0,23,73,133
2156,3112,552,70,31,0,23,73,133
2157,3112,552,70,31,0,23,73,133
2158,3112,552,70,31,0,23,73,133
2159,3112,552,70,32,0,23,73,133
2160,3113,553,71,32,0,23,73,133
2161,3113,553,71,32,0,23,73,133
2162,3113,553,71,32,0,23,73,133
2163,3113,553,71,32,0,23,73,133
2164,3113,553,71,32,0,23,73,133
2165,3113,553,71,32,0,23,73,133
2166,3113,553,71,32,0,23,73,133
2167,3113,553,71,32,0,23,73,133
2168,3113,553,71,32,0,23,73,133
2169,3113,553,71,32,0,23,73,133
2170,3113,553,71,32,0,23,73,133
2171,3113,553,71,32,0,23,73,133
2172,3113,553,71,32,0,23,73,133
2173,3113,553,71,32,0,23,73,133
2174,3113,553,71,32,0,23,73,133
2175,3113,553,71,32,0,23,73,133
2176,3113,553,71,32,0,23,73,133
2177,3113,553,71,32,0,23,73,133
2178,3113,553,71,32,0,23,73,133
2179,3113,553,71,32,0,23,73,133
2180,3113,553,71,32,0,23,73,133
2181,3113,553,71,32,0,23,73,133
2182,3113,553,71,32,0,23,73,133
2183,3113,553,71,32,0,23,73,133
2184,3113,553,71,32,0,23,73,133
2185,3113,553,71,32,0,23,73,133
2186,3113,553,71,32,0,23,73,133
2187,3113,553,71,32,0,23,73,133
2188,3113,553,71,32,0,23,73,133
2189,3113,553,71,32,0,23,73,133
2190,3113,553,71,32,0,23,73,133
2191,3113,553,71,32,0,23,73,133
2192,3114,553,71,32,0,23,73,133
2193,3114,553,71,32,0,23,73,133
2194,3114,553,71,32,0,23,73,133
2195,3114,553,71,32,0,23,73,133
2196,3114,553,71,32,0,23,73,133
2197,3114,553,71,32,0,23,73,133
2198,3114,553,71,32,0,23,73,133
2199,3114,553,71,32,0,23,73,133
2200,3114,553,71,32,0,23,73,133
2201,3114,553,71,32,0,23,73,133
2202,3114,553,71,32,0,23,73,133
2203,3114,553,71,32,0,23,73,133
2204,3114,553,71,32,0,23,73,133
2205,3114,553,71,32,0,23,73,133
2206,3114,553,71,32,0,23,73,133
2207,3114,553,71,32,0,23,73,133
2208,3114,553,71,32,0,23,73,133
2209,3114,553,71,32,0,23,73,133
