frameNo,left,top,w,h,conf,lat,long,alt
1845,2258,526,67,42,0,23,73,132
1846,2258,526,67,42,0,23,73,132
1847,2259,526,66,42,0,23,73,132
1848,2260,527,66,42,0,23,73,132
1849,2260,527,66,42,0,23,73,132
1850,2260,527,66,42,0,23,73,132
1851,2260,527,66,42,0,23,73,132
1852,2260,527,66,42,0,23,73,132
1853,2260,527,66,42,0,23,73,132
1854,2260,527,66,42,0,23,73,132
1855,2260,527,66,42,0,23,73,132
1856,2260,527,66,42,0,23,73,132
1857,2260,527,66,42,0,23,73,132
1858,2260,527,66,42,0,23,73,132
1859,2260,527,66,42,0,23,73,132
1860,2260,527,66,42,0,23,73,132
1861,2260,527,66,42,0,23,73,132
1862,2260,527,66,42,0,23,73,132
1863,2260,527,66,42,0,23,73,132
1864,2260,527,65,42,0,23,73,132
1865,2260,527,65,42,0,23,73,132
1866,2260,527,65,42,0,23,73,132
1867,2260,527,65,42,0,23,73,132
1868,2260,527,65,41,0,23,73,132
1869,2260,527,65,41,0,23,73,132
1870,2260,527,65,41,0,23,73,132
1871,2260,527,65,41,0,23,73,132
1872,2260,527,65,41,0,23,73,132
1873,2260,527,65,41,0,23,73,132
1874,2261,527,65,41,0,23,73,132
1875,2261,527,65,41,0,23,73,132
1876,2261,527,65,41,0,23,73,132
1877,2261,527,65,41,0,23,73,132
1878,2261,527,65,41,0,23,73,132
1879,2261,527,65,41,0,23,73,132
1880,2261,527,65,41,0,23,73,132
1881,2261,527,65,41,0,23,73,132
1882,2261,527,65,41,0,23,73,132
1883,2261,527,65,41,0,23,73,132
1884,2261,527,65,41,0,23,73,132
1885,2261,527,65,41,0,23,73,132
1886,2261,527,65,41,0,23,73,132
1887,2261,527,65,41,0,23,73,132
1888,2261,527,65,41,0,23,73,132
1889,2261,527,65,41,0,23,73,132
1890,2261,527,65,41,0,23,73,132
1891,2261,527,65,41,0,23,73,132
1892,2261,527,65,41,0,23,73,132
1893,2261,527,64,41,0,23,73,132
1894,2261,527,64,41,0,23,73,132
1895,2261,527,64,41,0,23,73,132
1896,2261,527,64,41,0,23,73,132
1897,2261,527,64,41,0,23,73,132
1898,2261,527,64,41,0,23,73,132
1899,2261,527,64,41,0,23,73,132
1900,2261,527,64,41,0,23,73,132
1901,2261,527,64,41,0,23,73,132
1902,2261,527,64,41,0,23,73,132
1903,2261,527,64,40,0,23,73,132
1904,2261,527,64,40,0,23,73,132
1905,2261,527,64,40,0,23,73,132
1906,2261,527,64,40,0,23,73,132
1907,2261,527,64,40,0,23,73,132
1908,2261,527,64,40,0,23,73,132
1909,2261,527,64,40,0,23,73,132
1910,2261,527,64,40,0,23,73,132
1911,2261,527,64,40,0,23,73,132
1912,2261,527,64,40,0,23,73,132
1913,2261,527,64,40,0,23,73,132
1914,2261,527,64,40,0,23,73,132
1915,2261,527,64,40,0,23,73,132
1916,2261,527,64,40,0,23,73,132
1917,2261,527,64,40,0,23,73,132
1918,2261,527,64,40,0,23,73,132
1919,2261,527,64,40,0,23,73,132
1920,2261,527,64,40,0,23,73,132
1921,2262,527,64,40,0,23,73,132
1922,2262,527,63,40,0,23,73,132
1923,2262,527,63,40,0,23,73,132
1924,2262,527,63,40,0,23,73,132
1925,2262,527,63,40,0,23,73,132
1926,2262,527,63,40,0,23,73,132
1927,2262,527,63,40,0,23,73,132
1928,2262,527,63,40,0,23,73,132
1929,2262,527,63,40,0,23,73,132
1930,2262,527,63,40,0,23,73,132
1931,2262,527,63,40,0,23,73,132
1932,2262,527,63,40,0,23,73,132
1933,2262,527,63,40,0,23,73,132
1934,2262,527,63,40,0,23,73,132
1935,2262,527,63,40,0,23,73,132
1936,2262,527,63,40,0,23,73,132
1937,2262,527,63,40,0,23,73,132
1938,2262,527,63,40,0,23,73,132
1939,2262,527,63,40,0,23,73,132
1940,2262,527,63,39,0,23,73,132
1941,2262,527,63,39,0,23,73,132
1942,2262,527,63,39,0,23,73,132
1943,2262,527,63,39,0,23,73,132
1944,2262,527,63,39,0,23,73,132
1945,2262,527,63,39,0,23,73,132
1946,2262,527,63,39,0,23,73,132
1947,2262,527,63,39,0,23,73,132
1948,2262,527,63,39,0,23,73,132
1949,2262,527,63,39,0,23,73,132
1950,2262,527,62,39,0,23,73,132
1951,2262,527,62,39,0,23,73,132
1952,2262,527,62,39,0,23,73,132
1953,2262,527,62,39,0,23,73,132
1954,2262,527,62,39,0,23,73,132
1955,2262,527,62,39,0,23,73,132
1956,2262,527,62,39,0,23,73,132
1957,2262,527,62,39,0,23,73,132
1958,2262,527,62,39,0,23,73,132
1959,2262,527,62,39,0,23,73,132
1960,2262,527,62,39,0,23,73,132
1961,2262,527,62,39,0,23,73,132
1962,2262,527,62,39,0,23,73,132
1963,2262,527,62,39,0,23,73,132
1964,2262,527,62,39,0,23,73,132
1965,2262,527,62,39,0,23,73,132
1966,2262,527,62,39,0,23,73,132
1967,2262,527,62,39,0,23,73,132
1968,2262,527,62,39,0,23,73,132
