frameNo,left,top,w,h,conf,lat,long,alt
2055,3790,1267,47,111,0,23,73,132
2056,3783,1267,53,111,0,23,73,132
2057,3773,1267,62,107,0,23,73,132
2058,3763,1270,70,102,0,23,73,132
2059,3753,1270,80,99,0,23,73,132
2060,3744,1270,89,97,0,23,73,132
2061,3737,1270,97,95,0,23,73,132
2062,3727,1272,107,95,0,23,73,132
2063,3718,1271,115,95,0,23,73,132
2064,3708,1271,125,94,0,23,73,132
2065,3697,1273,136,93,0,23,73,132
2066,3689,1273,144,93,0,23,73,132
2067,3680,1274,153,92,0,23,73,132
2068,3672,1274,162,92,0,23,73,132
2069,3661,1273,170,94,0,23,73,132
2070,3649,1275,180,92,0,23,73,132
2071,3638,1276,191,89,0,23,73,132
2072,3626,1278,201,87,0,23,73,132
2073,3614,1279,208,90,0,23,73,132
2074,3606,1281,208,89,0,23,73,132
2075,3595,1283,209,88,0,23,73,132
2076,3584,1283,209,88,0,23,73,132
2077,3574,1283,207,87,0,23,73,132
2078,3567,1282,205,87,0,23,73,132
2079,3558,1284,205,86,0,23,73,132
2080,3549,1284,204,85,0,23,73,132
2081,3541,1284,204,85,0,23,73,132
2082,3531,1285,204,84,0,23,73,132
2083,3521,1286,203,85,0,23,73,132
2084,3512,1287,204,85,0,23,73,132
2085,3504,1287,205,86,0,23,73,132
2086,3493,1287,204,86,0,23,73,132
2087,3484,1286,203,87,0,23,73,132
2088,3475,1287,202,88,0,23,73,132
2089,3467,1287,202,88,0,23,73,132
2090,3458,1287,203,90,0,23,73,132
2091,3450,1287,201,89,0,23,73,132
2092,3439,1288,200,89,0,23,73,132
2093,3430,1289,199,89,0,23,73,132
2094,3421,1290,200,88,0,23,73,132
2095,3415,1292,198,87,0,23,73,132
2096,3404,1293,199,87,0,23,73,132
2097,3396,1293,199,89,0,23,73,132
2098,3386,1293,198,89,0,23,73,132
2099,3377,1293,198,88,0,23,73,132
2100,3369,1293,199,88,0,23,73,132
2101,3360,1293,199,88,0,23,73,132
2102,3351,1294,199,87,0,23,73,132
2103,3343,1294,198,87,0,23,73,132
2104,3333,1295,199,87,0,23,73,132
2105,3325,1296,200,87,0,23,73,132
2106,3317,1296,201,87,0,23,73,132
2107,3308,1297,201,87,0,23,73,132
